證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 應付股利,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－所得稅,　　　　　 遞延所得稅負債－其他,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 應付股利,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－限制員工權利股票,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 非控制權益
3588,2015年09月30日,,,,                              0,                874087,                874087,,                  2706,                  2706,,                 99262,                 99262,,                197549,                197549,,,                194994,                194994,,                 17207,                 17207,              1385805,,,                 46882,,,                 10977,                 10977,,                    617,                    617,                 11594,                              0,,                    270,                  2446,                  2716,                 61192,              1446997,,,,,                161966,                161966,,                 13985,                  1608,                              0,                 15593,                  4994,,                 50654,                 50654,                233207,,,                  1188,                              0,                  1188,,                  8558,                  3088,                 11646,                 12834,                246041,,,,                463808,                463808,,,                339652,                339652,                  6375,                 26036,                372063,,                132777,                              0,,                246073,                378850,,,                    114,,                              0,,                -13879,                -13879,                -13765,                              0,              1200956,                              0,              1200956,              1446997,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2015年06月30日,,,,,              1004049,              1004049,,                  6296,                  6296,,                 95490,                 95490,,                134279,                134279,,,                180127,                180127,,                 14864,                 14864,              1435105,,,                 47761,,,                 11464,                 11464,,                    749,                    749,                 12213,                              0,,                    270,                  2428,                  2698,                 62672,              1497777,,,,,                144054,                144054,,                 26393,                  3034,                 93157,                122584,                 11292,,                 47010,                 47010,                324940,,,                              0,                    266,                    266,,                  8411,                  3088,                 11499,                 11765,                336705,,,,                464288,                464288,,,                336245,                336245,                  6350,                 31027,                373622,,                132777,                              0,,                211113,                343890,,,                   -251,,                              0,,                -20477,                -20477,                -20728,                              0,              1161072,                              0,              1161072,              1497777,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2015年03月31日,,,,,                895807,                895807,,                 24413,                 24413,,                 86626,                 86626,,                180718,                180718,,,                170296,                170296,,                 16599,                 16599,              1374459,,,                 48082,,,                 10954,                 10954,,                              0,                              0,                 10954,                              0,,                    724,                  2435,                  3159,                 62195,              1436654,,,,,                116507,                116507,,                 22445,                  2580,                              0,                 25025,                 18411,,                 37853,                 37853,                197796,,,                    266,,                    266,,                  8269,,                  8269,                  8535,                206331,,,,                464693,                464693,,,                336245,                336245,                  6884,                 32451,                375580,,                122363,                     90,,                292855,                415308,,,                   -177,,                    576,,                -25657,                -25657,                -25258,                              0,              1230323,                              0,              1230323,              1436654,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2014年12月31日,,,,                              0,                995932,                995932,,                 20705,                 20705,,                 30535,                 30535,,                126827,                126827,,,                171945,                171945,,                 11196,                 11196,              1357140,,,                 51426,,,                  9819,                  9819,,                  1014,                  1014,                 10833,                    354,,                    609,                  2439,                  3048,                 65661,              1422801,,,,,                132491,                132491,,                 18701,                  2150,                              0,                 20851,                 12305,,                 45576,                 45576,                211223,,,                              0,                              0,                              0,,                  8382,                              0,                  8382,                  8382,                219605,,,,                464693,                464693,,,                327776,                327776,                  6763,                 40920,                375459,,                122363,                     90,,                271863,                394316,,,                   -115,,                    680,,                -31837,                -31837,                -31272,                              0,              1203196,                              0,              1203196,              1422801,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2014年09月30日,,,,                              0,                917337,                917337,,                 23950,                 23950,,                 29922,                 29922,,                221764,                221764,,,                174953,                174953,,                 12083,                 12083,              1380009,,,                 52880,,,                  8186,                  8186,,                  1161,                  1161,                  9347,                    354,,                    270,                  2425,                  2695,                 65276,              1445285,,,,,                204388,                204388,,                 15854,                  1728,                              0,                 17582,                    373,,                 40118,                 40118,                262461,,,                              0,                              0,                              0,,                  8959,                              0,                  8959,                  8959,                271420,,,,                461693,                461693,,,                327776,                327776,                  6463,                 43920,                378159,,                122363,                     90,,                250878,                373331,,,                   -301,,                    446,,                -39463,                -39463,                -39318,                              0,              1173865,                              0,              1173865,              1445285,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2014年06月30日,,,,,              1045509,              1045509,,                 20171,                 20171,,                 29204,                 29204,,                152208,                152208,,,                130272,                130272,,                 11664,                 11664,              1389028,,,                 55064,,,                  9512,                  9512,,                  1317,                  1317,                 10829,                    354,,                              0,                  2414,                  2414,                 68661,              1457689,,,,,                144176,                144176,,                 31187,                  3409,                 92388,                126984,                  8909,,                 36654,                 36654,                316723,,,                              0,                              0,                              0,,                  8821,                              0,                  8821,                  8821,                325544,,,,                461058,                461058,,,                324396,                324396,                  7315,                 28710,                360421,,                122363,                     90,,                218616,                341069,,,                   -500,,                    147,,                -30050,                -30050,                -30403,                              0,              1132145,                              0,              1132145,              1457689,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2014年03月31日,,,,,                996979,                996979,,                 19763,                 19763,,                 29757,                 29757,,                169865,                169865,,,                143090,                143090,,                 13594,                 13594,              1373048,,,                 54169,,,                  6157,                  6157,,                              0,                              0,                  6157,                    354,,                  4487,                  2387,                  6874,                 67554,              1440602,,,,,                151677,                151677,,                 26601,                  2914,                              0,                 29515,                 22010,,                 35617,                 35617,                238819,,,                              0,,                              0,,                  8684,,                  8684,                  8684,                247503,,,,                451873,                451873,,,                322076,                322076,                  8661,                 37710,                368447,,                111052,                    901,,                296905,                408858,,,                   -269,,                   -261,,                -35549,                -35549,                -36079,                              0,              1193099,                              0,              1193099,              1440602,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3588,2013年12月31日,,,,,,,,                 10236,                 10236,,,,,                129511,                129511,,,                141395,                141395,,                 10174,                 10174,              1300694,,,                 58301,,,                  4474,                  4474,,                  1628,                  1628,                  6102,                    354,,                  3245,                  2387,                  5632,                 70389,,,,,                124805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                979486,                 29892,                 29892,              1371083,,,,                124805,,                 22529,                  2355,                              0,                 24884,                 17745,,                 37777,                 37777,                205211,,,                  8797,                  8797,                  8797,                214008,,,,                450368,                450368,,,                316583,                316583,                  8365,                              0,                324948,,                111052,                    901,,                269896,                381849,,,                   -314,,                    224,,                              0,                              0,                    -90,                              0,              1157075,              1157075,
3588,2013年09月30日,,,,                874373,,,,                              0,                              0,,,,,                251515,                251515,,,                173744,                173744,,                 19393,                 19393,              1348420,,,                 55068,,,                  5170,                  5170,,                  1783,                  1783,                  6953,                  6078,,                  2381,                  2387,                  4768,                 72867,,,,,                212259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                874373,                 29395,                 29395,              1421287,,,,                212259,,                 17521,                  1803,                              0,                 19324,                 13150,,                 37139,                 37139,                281872,,,                  7652,                  7652,                  7652,                289524,,,,                450368,                450368,,,                316583,                316583,                  8339,                              0,                324922,,                111052,                    901,,                244962,                356915,,,                   -442,,                              0,,                              0,                              0,                   -442,                              0,              1131763,              1131763,
3588,2013年06月30日,,,,              1049181,,,,                              0,                              0,,,,,                165404,                165404,,,                107021,                107021,,                 13188,                 13188,              1364539,,,                 58086,,,                  6219,                  6219,,                  1939,                  1939,                  8158,                  5480,,                              0,                  2387,                  2387,                 74111,,,,,                152421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1049181,                 29745,                 29745,              1438650,,,,                152421,,                 33940,                  3846,                 99081,                136867,                  3465,,                 33103,                 33103,                325856,,,                  7497,                  7497,                  7497,                333353,,,,                450368,                450368,,,                316583,                316583,                  7316,                              0,                323899,,                111052,                    901,,                219414,                331367,,,                   -337,,                              0,,                              0,                              0,                   -337,                              0,              1105297,              1105297,
