證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－轉換公司債轉換溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－合併溢額,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 預付投資款,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－轉換公司債轉換溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－合併溢額,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 債券換股權利證書,　　　　 應付股利,　　　 應付公司債,　　　　 應付公司債合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 其他應付費用,　　　　 預收股本
3003,2015年09月30日,,,,              1542008,,                764816,,                144060,,                              0,,                102472,,                470956,,,                904348,                904348,,                 55184,                 55184,,                 51551,                 51551,              4035395,,,                  1799,,                 29662,,              1094971,,                  7449,                 26701,,                 35604,                  2808,,                 25355,                 63767,              1224349,              5259744,,,,,                350846,,                  6456,,                 61740,,                195665,                195665,                 56305,,,                              0,                116320,                116320,                 13202,                129522,                800534,,,                220451,,                167856,,                    337,                    337,                388644,              1189178,,,,              1556549,              1556549,,,                600799,                600799,                    352,                  9836,                              0,                610987,,                393837,                 32868,,              1411140,              1837845,,,                 56818,,                    552,                 57370,                              0,              4062751,                  7815,              4070566,              5259744,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,2015年03月31日,,,,              1325377,,                684131,,                142500,,                  5140,,                 98260,,                438139,,,                925491,                925491,,                 57179,                 57179,,                 26245,                 26245,              3702462,,,                  2547,,                 28774,,              1128530,,                  5439,                 26712,,                 24970,                  3395,,                 23770,                 52135,              1244137,              4946599,,,,,                 97267,,                  4344,,                 33513,,,                238740,                 69975,,,                 47522,                122603,                170125,                 13044,                183169,                627008,,,                236281,,                143051,,                    337,                    337,                379669,              1006677,,,,              1539659,              1539659,,,                560755,                560755,                    352,                  9836,                  9168,                580111,,                355005,                 32868,,              1387775,              1775648,,,                 31221,,                  1300,                 32521,                              0,              3927939,                 11983,              3939922,              4946599,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,2014年12月31日,,,,              1125093,,                726073,,                142500,,                 25439,,                117170,,                477682,,,                953525,                953525,,                 45345,                 45345,,                 32756,                 32756,              3645583,,,                  2575,,                 26002,,              1138857,,                  5722,                 26681,,                 27056,                  2721,,                 25102,                 54879,              1254716,              4900299,,,,,                 87826,,                  6249,,                 64052,,                226527,                226527,                 66752,,,                 85109,                125334,                210443,                 11596,                222039,                673445,,,                244700,,                156056,,                    337,                    337,                401093,              1074538,,,,              1526090,              1526090,,,                528936,                528936,                    352,                  9836,                 16518,                555642,,                355005,                 32868,,              1302631,              1690504,,,                 40590,,                  1328,                 41918,                              0,              3814154,                 11607,              3825761,              4900299,              0,              0,              0,              1125093,                 25439,                              0,              4900299,,,,                 87826,,                              0,,                  6249,,                 64052,,                226527,                226527,                 66752,,,                 85109,                125334,                210443,                 11596,                222039,                673445,,,                244700,,                156056,,                    337,                    337,                401093,              1074538,,,,              1526090,              1526090,,,                528936,                528936,                    352,                  9836,                 16518,                555642,,                355005,                 32868,,              1302631,              1690504,,,                 40590,,                  1328,                 41918,                              0,              3814154,                 11607,              3825761,,,,,,,,,
3003,2014年09月30日,,,,              1180443,,                567392,,                142500,,                 38424,,                 98482,,                464619,,,                939513,                939513,,                 52935,                 52935,,                 43665,                 43665,              3527973,,,                  2830,,                 23032,,              1140465,,                  4671,                 26345,,                 47624,                  2779,,                 23188,                 73591,              1270934,              4798907,,,,,                160562,,                  3191,,                 81067,,                176529,                176529,                 36740,,,                 86363,                 40064,                126427,                 22535,                148962,                607051,,,                341112,,                142941,,                    287,                    287,                484340,              1091391,,,,              1536524,              1536524,,,                531284,                531284,                    352,                  9907,                 16862,                558405,,                355005,                 32868,,              1220779,              1608652,,,                 16081,,                  1583,                 17664,                 23920,              3697325,                 10191,              3707516,              4798907,              0,              0,      1107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,2014年06月30日,,,,,,                592878,,                 71250,,,,                 96368,,                480627,,,                914062,                914062,,                 41828,                 41828,,                 55708,                 55708,              3605817,,,                  3446,,                 20592,,              1158629,,                  5167,                 27645,,                 33782,                  2828,,                 23175,                 59785,              1275264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1107000,              1304317,                 48779,                              0,              4881081,,,,                235630,,                              0,,                  3142,,                 80145,,                180702,                332084,                 51998,,,                 98801,                 44044,                142845,                 20643,                163488,                866487,,,                299520,,                133140,,                    287,                    287,                432947,              1299434,,,,              1524887,              1531864,,,                520409,                520409,                    352,                  9907,                 19408,                550076,,                355005,                 32868,,              1127516,              1515389,,,                 -1643,,                  2199,                    556,                 23920,              3573965,                  7682,              3581647,                  6977,                151382,,                              0,,,,,
3003,2014年03月31日,,,,              1268936,,                667105,,                 71250,,                 28207,,                 79782,,                453675,,,                888515,                888515,,                 43151,                 43151,,                 36937,                 36937,              3537558,,,                  3596,,                 20927,,              1180533,,                  5943,                 28329,,                 40688,                  2159,,                 29705,                 72552,              1311880,              4849438,,,,,                275630,,                  2871,,                 69412,,,                154254,                 71955,,,                117764,                 46941,                164705,                 38505,                203210,                777332,,,                309005,,                131113,,                    287,                    287,                440405,              1217737,,,,              1524887,              1524887,,,                503889,                503889,                    352,                  9907,                 23274,                537422,,                323780,                 32868,,              1215667,              1572315,,,                 11369,,                  2349,                 13718,                 23920,              3624422,                  7279,              3631701,              4849438,              0,              0,      1107000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,2013年12月31日,,,,,,                570411,,                              0,,,,                 96703,,                477490,,,                842614,                842614,,                 42227,                113477,,                 19449,                 19449,              3314480,,,                  3071,,                 21342,,              1208052,,                  5081,                 23781,,                 36271,                  2331,,                 29569,                 68171,              1329498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1107000,              1174838,                 19498,                 71250,              4643978,,,,                145982,,                    473,,                  4072,,                 66552,,                182221,                182221,                 60313,,,                455472,                 48192,                503664,                 54297,                557961,              1017574,,,                320133,,                121390,,                    287,                    287,                441810,              1459384,,,,              1403438,              1403438,,,                218760,                218760,                    352,                  9907,                 90569,                319588,,                323780,                 32868,,              1107373,              1464021,,,                 13348,,                  1824,                 15172,                 23920,              3178299,                  6295,              3184594,                              0,                              0,,                              0,,,,,
3003,2013年09月30日,,,,,,                631830,,                              0,,,,                 87200,,                417145,,,                816909,                816909,,                 37817,                 37817,,                 12476,                 12476,              3312672,,,                  3606,,                 22090,,              1236524,,                  5731,                 22551,,                 35956,                  2327,,                 26982,                 65265,              1355767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1107000,              1290039,                 19256,                              0,              4668439,,,,                343470,,                  3123,,                  5142,,                 71654,,                158486,                158486,                 45403,,,                452735,                 49442,                502177,                 31633,                533810,              1161088,,,                331254,,                112346,,                    287,                    287,                443887,              1604975,,,,              1403438,              1403438,,,                218760,                218760,                    352,                  9907,                 90569,                319588,,                323780,                 32868,,                997940,              1354588,,,                  2104,,                  2359,                  4463,                 23920,              3058157,                  5307,              3063464,                              0,,,,,,,,
3003,2013年06月30日,,,,,,                550426,,                              0,,,,                 89545,,                446993,,,                827316,                827316,,                 32714,                 32714,,                 18168,                 18168,              3301969,,,                  3713,,                 13127,,              1174791,,                  6536,                 26277,,                 97015,                  5880,,                 28996,                131891,              1356335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1107000,              1307673,                 29134,                              0,              4658304,,,,                274910,,                 23500,,                  6429,,                 74681,,                186450,                283916,                 51321,,,                              0,                 73442,                 73442,                 37749,                111191,                825948,,,                257963,,                113186,,                    287,                    287,                846920,              1672868,,,,              1403438,              1403438,,,                213630,                213630,                    352,                  9907,                 95699,                319588,,                323780,                 32868,,                904950,              1261598,,,                 16953,,                  2466,                 19419,                 23920,              2980123,                  5313,              2985436,                              0,                 97466,,                475484,,,,,
3003,2013年03月31日,,,,,,                522935,,                              0,,,,                 80697,,                394819,,,                866174,                866174,,                 35679,                 35679,,                 22052,                 22052,              3219793,,,                  4371,,                 13471,,              1199221,,                  6512,                 24219,,                 63451,                  5873,,                 27186,                 96510,              1344304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1107000,              1297437,                              0,                              0,              4564097,,,,                244655,,                 22160,,                  9878,,                 61500,,,                163247,                 50819,,,                              0,                 75859,                 75859,                 37019,                112878,                665137,,,                272713,,                108154,,                    287,                    287,                853747,              1518884,,,,              1403438,              1403438,,,                213630,                213630,                    352,                  9907,                 95699,                319588,,                288089,                 32868,,                990106,              1311063,,,                  2927,,                  3124,                  6051,                 23920,              3016220,                 28993,              3045213,,,,                472593,,,,,
