證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 暫收款,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 其他長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－流動,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 暫收款,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 無活絡市場之債券投資－非流動淨額,　　　 短期借款,　　　　 短期借款合計,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　 庫藏股票
2388,2015年09月30日,,,,              1230552,,                 39238,,                 20773,,                425685,,                              0,,                229194,,                 36425,,                 99717,,                411093,,                228811,                228811,              2721488,,,                391919,,                113371,,                              0,,              3150209,,              2309365,,                584115,,                202107,                 11487,,                150322,                 45981,                103526,,                    577,                300406,              7062979,              9784467,,,,,                250000,,                              0,,                  1933,,                354508,,                    103,,              1048738,                869740,                 63866,,                 29133,,,                731463,                 19015,                387624,              1138102,              3756123,,,              2247944,                454342,              2702286,,                 78075,                  3787,                 81862,              2784148,              6540271,,,,              4933034,              4933034,,,                              0,                    403,                    403,,,             -2160943,             -2160943,,,                240430,,                  2282,                242712,              3015206,                228990,              3244196,              9784467,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,2015年06月30日,,,,              1312849,,                 43860,,                 23624,,                438897,,                  4558,,                187920,,                 29450,,                 97305,,                464076,,                252812,                252812,              2855351,,,                444380,,                110959,,,,                817515,,              2305899,,                576243,,                265595,                 27687,,                142100,                 45981,                101775,,                    577,                290433,              4838711,              7694062,,,,,,,                    132,,                  2656,,                376533,,                    252,,              1065802,                816556,                 59597,,                 19943,,,                806431,                 18581,                340288,              1165300,              3506771,,,              2281607,                468788,              2750395,,                 77933,                  3807,                 81740,              2832135,              6338906,,,,              4933034,              4933034,,,,                    403,                    403,,,             -3871756,             -3871756,,,                 52658,,                  4650,                 57308,              1118989,                236167,              1355156,              7694062,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,2015年03月31日,,,,              1627078,,                332549,,                  4452,,                330938,,                  1987,,                203979,,                 62022,,                121635,,                489487,,                239318,                239318,              3413445,,,                581987,,                122547,,,,              1155074,,              2328530,,                583025,,                299211,                 43887,,                136173,                 45981,                103286,,                    577,                286017,              5400278,              8813723,,,,,,,                  1020,,                  1048,,                463883,,                    684,,                956950,                828198,                 64904,,                 22882,,,                702828,              1106336,                327464,              2136628,              4476197,,,              2314849,                483979,              2798828,,                 77764,                  2122,                 79886,              2878714,              7354911,,,,              4933034,              4933034,,,,                    403,                    403,,,             -3794208,             -3794208,,,                 80308,,                 -1313,                 78995,              1218224,                240588,              1458812,              8813723,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,2014年12月31日,,,,              1863275,,                347453,,                  3559,,                375068,,                  2014,,                262728,,                126778,,                 90039,,                538416,,                233114,                233114,              3842444,,,                592417,,                122967,,                              0,,              1155879,,              2344010,,                585495,,                338912,                 60087,,                142002,                 45981,                103837,,                    577,                292397,              5492164,              9334608,,,,,                              0,,                              0,,                  1382,,                459995,,                    140,,              1295938,                837459,                 64585,,                 19292,,,                278805,              1108424,                257027,              1644256,              4323047,,,              2591889,                491799,              3083688,,                 77723,                  3536,                 81259,              3164947,              7487994,,,,              4933034,              4933034,,,                              0,                    403,                    403,,,             -3418373,             -3418373,,,                 90434,,                 -2206,                 88228,              1603292,                243322,              1846614,              9334608,              0,              0,              0,                              0,              1863275,                375068,                 45981,              9334608,,,,                              0,,                  1382,,                459995,,                    140,,              1295938,                837459,                 64585,,                 19292,,,                278805,              1108424,                257027,              1644256,              4323047,,,              2591889,                491799,              3083688,,                 77723,                  3536,                 81259,              3164947,              7487994,,,,              4933034,              4933034,,                    403,                    403,,,             -3418373,             -3418373,,,                 90434,,                 -2206,                 88228,              1603292,                243322,              1846614,,,,,,
2388,2014年09月30日,,,,              1635503,,                320962,,                  4539,,                384986,,                  8663,,                319789,,                 56105,,                150136,,                749019,,                255674,                255674,              3885376,,,                550697,,                130617,,                              0,,              1248110,,              2315072,,                572301,,                373683,                 76287,,                137918,                 45322,                100899,,                    577,                284716,              5551483,              9436859,,,,,                              0,,                              0,,                  2779,,                460641,,                    444,,              1047989,                387551,                 60406,,                 18271,,,                253285,              1068931,                447952,              1770168,              3748249,,,              2677591,                469671,              3147262,,                 19424,                  2122,                 21546,              3168808,              6917057,,,,              4933034,              4933034,,,                              0,                    384,                    384,,,             -2681712,             -2681712,,,                  9327,,                 -2668,                  6659,              2258365,                261437,              2519802,              9436859,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,2014年06月30日,,,,              1604927,,                324489,,                 41205,,                326264,,                  1679,,                471726,,                 92443,,                161791,,                747754,,                230237,                230237,              4002515,,,                575729,,                129784,,,,              1330318,,              2432390,,                563496,,                390985,                 92506,,                136026,                 45322,                 99069,,                    577,                280994,              5796202,              9798717,,,,,,,                              0,,                  1256,,                555195,,                    100,,              1192573,                468283,                 58114,,                 19914,,,                252257,              1043955,                343906,              1640118,              3935553,,,              2530368,                419541,              2949909,,                 19871,                  2107,                 21978,              2971887,              6907440,,,,              4933034,              4933034,,,,                    384,                    384,,,             -2303641,             -2303641,,,                -33299,,                 27796,                 -5503,              2624274,                267003,              2891277,              9798717,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,2014年03月31日,,,,              1740807,,                355438,,                 52444,,                298914,,                  3898,,                322661,,                731724,,                 99310,,                872240,,                220171,                220171,              4697607,,,                638308,,                130692,,,,              1207060,,              2448682,,                573770,,                408834,                108686,,                141181,                 45322,                101358,,                    577,                288438,              5804470,             10502077,,,,,,,                              0,,                  4128,,                538556,,                     22,,                962739,                522561,                 61224,,                 32296,,,                252986,              1066793,              1138246,              2458025,              4579551,,,              2496816,                379950,              2876766,,                 20342,                  2107,                 22449,              2899215,              7478766,,,,              4933034,              4933034,,,,                    384,                    384,,,             -2229333,             -2229333,,,                 15724,,                 33301,                 49025,              2753110,                270201,              3023311,             10502077,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,2013年12月31日,,,,,,                 44595,,                 40810,,,,                  4604,,                484507,,                240081,,                814573,,                913209,,                207538,                207538,              4935853,,,                588245,,                129694,,,,                658629,,              2922171,,                121372,,                451316,                124886,,                137794,,                102623,,                    577,                286316,              5282629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,              1884537,                301399,                 45322,             10218482,,,,                              0,,                    491,,                449691,,                    145,,              1331785,                511156,                133339,,                 34169,,,              1753068,                356711,                336845,              2446624,              4907400,,,              1649967,                              0,              1649967,,                 21118,                229805,                250923,              1900890,              6808290,,,,              4933034,              4933034,,                    384,                    384,,,             -1811718,             -1811718,,,                 -8146,,                 21667,                 13521,              3135221,                274971,              3410192,                              0,,                              0,,                              0,
2388,2013年09月30日,,,,,,                 54139,,                 43606,,,,                  4444,,                364773,,                857096,,                231172,,              1143375,,                210338,                390338,              4589204,,,                550697,,                129342,,,,                831502,,              2917141,,                122674,,                500618,                144934,,                 30739,,                100889,,                    577,                178243,              5375151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                180000,              1104803,                395458,                 46038,              9964355,,,,,,                  2252,,                810524,,                    149,,                998388,                              0,                 61992,,                 27633,,,              1024202,                 23445,                179038,              1226685,              3325303,,,              2370000,                499620,              2869620,,                  7497,                287027,                294524,              3164144,              6489447,,,,              4933034,              4933034,,                              0,                              0,,,             -1706259,             -1706259,,,                -51376,,                 24463,                -26913,              3199862,                275046,              3474908,                              0,,                197680,,                              0,
2388,2013年06月30日,,,,,,                456880,,                 45965,,,,                  2005,,                275910,,                664766,,                 91368,,                773612,,                175155,                355155,              4293111,,,                597500,,                129900,,,,                230333,,              2948280,,                124056,,                539989,                161134,,                 35420,,                102477,,                    577,                184512,              5102504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                180000,              1588868,                 38582,                 46038,              9395615,,,,,,                  1806,,                578231,,                    217,,              1160546,                              0,                 61854,,                 26377,,,              1046351,                 23601,                163930,              1233882,              3062913,,,              1870000,                499475,              2369475,,                  8421,                294929,                303350,              2672825,              5735738,,,,              4933034,              4933034,,                              0,                              0,,,             -1561116,             -1561116,,,                -16379,,                 26822,                 10443,              3382361,                277516,              3659877,                186800,,,,,
