證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 待分配股票股利,　　　 庫藏股票
1736,2015年09月30日,,,,              4690032,,                 19049,,                 32389,,              6426420,,                361260,,              4689635,,                339966,,                              0,                147617,                147617,             16706368,,,              2074426,,                344010,                969974,,                822294,              4210704,             20917072,,,,,              4915127,,                149883,,                 25414,,                148038,,              2434345,,              2203804,                786729,,,                270092,                270092,                452966,                723058,             11386398,,,                387460,,                 37013,,                261166,,                 49505,                155394,                204899,                890538,             12276936,,,,              3040166,              3040166,,                 54921,,              1132667,                 64037,,              4169682,              5366386,,                175374,              8636847,                  3289,              8640136,             20917072,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,2015年06月30日,,,,              4624685,,                  4793,,                 26525,,              5065121,,                282655,,              4202538,,                352960,,                              0,                125521,                125521,             14684798,,,              1869032,,                254046,                905616,,                773369,              3802063,             18486861,,,,,              3940314,,                149874,,                 18889,,                132550,,              2018499,,              1883486,                744967,,,                260859,                260859,                420291,                681150,              9569729,,,                632127,,                 37400,,                171766,,                 49505,                 70223,                119728,                961021,             10530750,,,,              3024172,              3040166,,                 54921,,              1132667,                 64037,,              3948210,              5144914,,               -287175,              7952826,                  3285,              7956111,             18486861,              0,              0,              0,                 15994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,2015年03月31日,,,,              4275699,,                  4157,,                 32130,,              5156903,,                347298,,              3741788,,                333607,,                              0,                144405,                144405,             14035987,,,              1908606,,                237316,                844093,,                748138,              3738153,             17774140,,,,,              3329363,,                 99913,,                 27532,,                119632,,              1986555,,              1386096,                681415,,,                260406,                260406,                324254,                584660,              8215166,,,                672167,,                 35676,,                157880,,                 49505,                 61711,                111216,                976939,              9192105,,,,              3024172,              3024172,,                 49794,,                868897,                 64037,,              4842548,              5775482,,               -271103,              8578345,                  3690,              8582035,             17774140,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,2014年12月31日,,,,              5096716,,                    978,,                 33335,,              6417851,,                288082,,              3702712,,                309781,,                203480,                141172,                344652,             16194107,,,              1991568,,                243137,                835729,,                806542,              3876976,             20071083,,,,,              3949390,,                 99913,,                 29248,,                176566,,              2784725,,              1744491,                669726,,,                276479,                276479,                300449,                576928,             10030987,,,                557644,,                 36113,,                259226,,                 49505,                 37166,                 86671,                939654,             10970641,,,,              3024172,              3024172,,                 49794,,                868897,                 64037,,              4900715,              5833649,,                189424,              9097039,                  3403,              9100442,             20071083,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,2014年09月30日,,,,              5535117,,                  8064,,                 31492,,              5193372,,                 60341,,              3541509,,                272003,,                              0,                112314,                112314,             14754212,,,              2175335,,                246453,                792162,,                692336,              3906286,             18660498,,,,,              4248543,,                 99915,,                 23664,,                118041,,              2324565,,              1246054,                179970,,,                254082,                254082,              2003581,              2257663,             10498415,,,                791691,,                 37121,,                207133,,                 50576,                 71208,                121784,              1157729,             11656144,,,,              3024172,              3024172,,                 49794,,                868897,                 64037,,              2961503,              3894437,,                 31504,              6999907,                  4447,              7004354,             18660498,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,2014年06月30日,,,,              3315252,,                  2257,,                 39937,,              4575651,,                 39216,,              3192761,,                301607,,                              0,                 74007,                 74007,             11540688,,,              2342492,,                254496,                770525,,                685172,              4052685,             15593373,,,,,              2343294,,                 99830,,                 35076,,                 89453,,              1805508,,              1556756,                193255,,,                248209,                248209,              1310664,              1558873,              7682045,,,                860926,,                 37708,,                208497,,                 50576,                 47613,                 98189,              1205320,              8887365,,,,              2014480,              3024172,,                 49794,,                868897,                 64037,,              2704604,              3637538,,                 -9088,              6702416,                  3592,              6706008,             15593373,              0,              0,              0,              1009692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,2014年03月31日,,,,              1892355,,                  1744,,                 35902,,              4618869,,                 39628,,              3042721,,                233212,,              1638202,                 59154,              1697356,             11561787,,,              2439611,,                264848,                768091,,                690440,              4162990,             15724777,,,,,              2319322,,                 99905,,                 30448,,                 91964,,              1775877,,              1088064,                193204,,,                254245,                254245,                283789,                538034,              6136818,,,                974971,,                 37798,,                254041,,                 50576,              1210391,              1260967,              2527777,              8664595,,,,              2014480,              2014480,,                 37746,,                783200,                227206,,              3879323,              4889729,,                114578,              7056533,                  3649,              7060182,             15724777,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1736,2013年12月31日,,,,,,                  9040,,                 42081,,              5003027,,                 57803,,              3177461,,                223625,,                152241,                 81476,                233717,             10683364,,,              2452524,,                270446,                757143,,                671235,              4151348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1936610,             14834712,,,,              1952811,,                 99904,,                 19607,,                119714,,              2407895,,              1499727,                161739,,,                234159,                234159,                310311,                544470,              6805867,,,                953761,,                 35130,,                246102,,                 50576,                 32446,                 83022,              1318015,              8123882,,,,              2014480,              2014480,,                 37746,,                783200,                227206,,              3595433,              4605839,,                 49336,              6707401,                  3429,              6710830,,              3177461,                              0,                              0
1736,2013年09月30日,,,,,,                  8162,,                 46602,,              4046011,,                 65316,,              3357116,,                269262,,                              0,                 94421,                 94421,              9926164,,,              2429649,,                282598,                651269,,                687388,              4050904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              2039274,             13977068,,,,              2035274,,                 99899,,                 18741,,                105376,,              2148854,,              1624907,                148472,,,                271035,                271035,                179216,                450251,              6631774,,,              1056698,,                              0,,                210942,,                 53140,                185950,                239090,              1506730,              8138504,,,,              2014480,              2014480,,                 37746,,                783200,                227206,,              2815759,              3826165,,                -41198,              5837193,                  1371,              5838564,,,,
1736,2013年06月30日,,,,,,                 13299,,                 61501,,              3389650,,                 78978,,              3060085,,                246751,,                              0,                 77077,                 77077,              8831366,,,              2528898,,                288617,                647765,,                543229,              4008509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1904025,             12839875,,,,              1926601,,                 99812,,                 13585,,                 94541,,              1494684,,              1505651,                119646,,,                265268,                265268,                136707,                401975,              5656495,,,              1049405,,                 40234,,                191674,,                 53140,                 99799,                152939,              1434252,              7090747,,,,              2003815,              2014480,,                 37746,,                783200,                227206,,              2669477,              3679883,,                 10930,              5743039,                  6089,              5749128,,              3060085,                 10665,                              0
