證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 其他應付款項－關係人,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 其他應收票據,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 預收股本,　　　　 待分配股票股利,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 庫藏股票
3017,2015年09月30日,,,,              6537882,,                 32383,,                298660,,              1068189,,              5820918,,                    376,,                328438,,                 10086,,,              3565741,              3565741,,                349473,,                512401,                512401,             18524547,,,                291162,,                293705,,              5139825,,                152587,,                 43756,                332857,,              1151820,              7405712,             25930259,,,,,              1828174,,              1583530,,              6127064,,                     82,,              2592697,                100861,,,              1122160,              1122160,                131254,              1253414,             13485822,,,              2115155,,                687694,,                758288,                 12318,                  4385,                774991,              3577840,             17063662,,,,              3533101,              3533101,,              1796790,,                449753,                 95481,,              2077227,              2622461,,                727343,              8679695,                186902,              8866597,             25930259,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,2015年06月30日,,,,              5800262,,                 18892,,                274236,,                906988,,              5040309,,                    315,,                261394,,                  3533,,,,              3629049,,                326633,,,                468765,             16730376,,,                258196,,                280680,,              4875448,,                153584,,                 31468,                319974,,              1018623,              6937973,             23668349,,,,,              1924514,,              1520442,,              5580554,,                    158,,              2121647,                 83414,,,              1087001,              1087001,                130180,              1217181,             12447910,,,              1894856,,                594282,,                504787,                 12314,                  9243,                526344,              3015482,             15463392,,,,              3533101,              3533101,,              1796790,,                449753,                 95481,,              1858500,              2403734,,                283652,              8017277,                187680,              8204957,             23668349,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,2015年03月31日,,,,              6353936,,                 53988,,                283162,,                554625,,              4769962,,                  1566,,                266517,,                  1524,,,,              4071485,,                352355,,,                526807,             17235927,,,                258915,,                287725,,              4864965,,                154582,,                 28775,                312197,,                977854,              6885013,             24120940,,,,,              1881819,,              1593239,,              5930187,,                    536,,              1721852,                121432,,,              1139884,              1139884,                 69823,              1209707,             12458772,,,              2203529,,                589180,,                285572,                 12313,                  9521,                307406,              3100115,             15558887,,,,              3533101,              3533101,,              1796790,,                376853,                 95481,,              2132343,              2604677,,                418572,              8353140,                208913,              8562053,             24120940,              0,              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,2014年12月31日,,,,              5592249,,                 41249,,                298576,,                365272,,              5431851,,                    947,,                335182,,                  8857,,,              4208129,              4208129,,                145852,,                577911,                577911,             17006075,,,                263258,,                269966,,              4617409,,                155579,,                 32592,                312164,,                945512,              6596480,             23602555,,,,,              1452634,,              1401147,,              6385585,,                    541,,              1861526,                 62825,,,              1337108,              1337108,                 64685,              1401793,             12566051,,,              1643141,,                600567,,                288550,                 12314,                  9580,                310444,              2554152,             15120203,,,,              3533101,              3533101,,              1796728,,                376853,                 95481,,              1977176,              2449510,,                507220,              8286559,                195793,              8482352,             23602555,              0,              0,,                              0,                              0,              5592249,                298576,                365272,             23602555,,,,              1452634,,              1401147,,                              0,,              6385585,,                    541,,              1861526,                              0,                 62825,,,              1337108,              1337108,                 64685,              1401793,             12566051,,,              1643141,,                600567,,                288550,                 12314,                  9580,                310444,              2554152,             15120203,,,,              3533101,              3533101,,              1796728,,                376853,                 95481,,              1977176,              2449510,,                507220,              8286559,                195793,              8482352,              0,,,,,,,,,,,,
3017,2014年09月30日,,,,              6109685,,                 34045,,                218245,,                522642,,              5293764,,                  1114,,                218669,,                 13810,,,              3769066,              3769066,,                263101,,                497840,                497840,             16941981,,,                261358,,                248512,,              4140269,,                156577,,                 20513,                300453,,                981814,              6109496,             23051477,,,,,              1675964,,              1438696,,              6378754,,                    340,,              1746583,                 44727,,,              1427976,              1427976,                 82797,              1510773,             12795837,,,              1631572,,                552820,,                 57854,                 20192,                  9353,                 87399,              2271791,             15067628,,,,              3533101,              3533101,,              1796728,,                376853,                 95481,,              1816490,              2288824,,                211820,              7830473,                153376,              7983849,             23051477,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,2014年06月30日,,,,              5931407,,                 36192,,                190854,,                502564,,              5328686,,                  7109,,                277552,,                 50124,,,,              3546531,,                179042,,,                398503,             16448564,,,                530495,,                232912,,              3830329,,                151834,,                 30348,                208824,,                304176,              5288918,             21737482,,,,,              2078295,,              1362138,,              5850351,,                 29912,,              1477335,                 88957,,,              1338623,              1338623,                 73763,              1412386,             12433308,,,              1431621,,                442475,,                 56719,                 20186,                  2735,                 79640,              1953736,             14387044,,,,              3533101,              3533101,,              1796728,,                376853,                 95481,,              1456016,              1928350,,                 15150,              7273329,                 77109,              7350438,             21737482,              0,              0,,                130000,                  3934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,2014年03月31日,,,,              6171281,,                 28961,,                292550,,                727826,,              4786646,,                  9062,,                205902,,                 33795,,,,              3376888,,                334180,,,                462468,             16429559,,,                528676,,                226241,,              3941538,,                152719,,                 34501,                199950,,                342288,              5425913,             21855472,,,,,              2004480,,              1226280,,              5994804,,                 26778,,              1264698,                134130,,,              1487003,              1487003,                166893,              1653896,             12385090,,,              1470361,,                424224,,                 58070,                 20187,                  2750,                 81007,              1975592,             14360682,,,,              3533101,              3533101,,              1796728,,                352261,                169481,,              1397788,              1919530,,                155033,              7404392,                 90398,              7494790,             21855472,              0,              0,,                 80000,                     24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,2013年12月31日,,,,,,                  2458,,,,                304952,,              5591474,,                  2897,,                226549,,                 32162,,,              3520761,              3520761,,                166541,,,                447990,             16522055,,,                527798,,                232035,,              3766939,,                178934,,                 30740,                186847,,                451057,              5374350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              6057919,                168352,                304952,             21896405,,,,              2077921,,              1393656,,                    218,,              5544280,,                 29798,,              1586581,                    941,                119998,,,              1296081,              1296081,                104435,              1400516,             12153909,,,              1824001,,                418690,,                 58598,                 20199,                  3203,                 82000,              2324691,             14478600,,,,              3533101,              3533101,,              1796523,,                352261,                169481,,              1333872,              1855614,,                140076,              7325314,                 92491,              7417805,              0,,                              0,                              0,,,,,,,,,
3017,2013年09月30日,,,,,,                  4993,,,,                424614,,              4936205,,                  9671,,                222317,,                 27175,,,              3133512,              3133512,,                293169,,,                438390,             14772644,,,                526562,,                229102,,              3649094,,                180047,,                 33933,                179541,,                402647,              5200926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              5282598,                              0,,             19973570,,,,              1906159,,              1214843,,                    115,,              4665603,,                 21203,,              1420009,                    240,                100117,,,                822545,                846276,                144336,                990612,             10323901,,,              1929584,,                397742,,                 57879,                 27818,                  3530,                 89227,              2416553,             12740454,,,,              3533101,              3533101,,              1796523,,                352261,                169481,,              1261264,              1783006,,                 29182,              7141812,                 91304,              7233116,              0,,                  5000,                 23731,,,,,,,,,
3017,2013年06月30日,,,,,,                              0,,,,                362505,,              4487810,,                  9743,,                202111,,                 20608,,,              3214083,              3214083,,                247379,,,                475707,             14433297,,,                303365,,                236070,,              3739231,,                181990,,                 59220,                166259,,                400745,              5086880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              5412539,                    812,,             19520177,,,,              1325521,,              1192052,,                    276,,              4919713,,                 11497,,              1350266,                     20,                 94314,,,                988587,              1012173,                 31050,              1043223,             10066882,,,              1716335,,                409988,,                 58644,                 27362,                  3547,                 89553,              2215876,             12282758,,,,              3533101,              3533101,,              1796523,,                352261,                169481,,              1186203,              1707945,,                111687,              7149256,                 88163,              7237419,              0,,                130000,                 23586,,,,,,,,,
