證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 其他非流動負債－其他,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　　 預收股本,　　　 共同控制下前手權益,　　　 非控制權益,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 應付建造合約款,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 與待出售非流動資產直接相關之負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　　 預收股本,　　　　 商譽
4906,2015年09月30日,,,,              2644129,,                522725,,                116464,,                    946,,              4347787,,                617175,,                 49077,,                 37963,,              1873373,,                  1613,                  1613,,                131478,             10342730,,,                210459,,                104490,,                466012,,              1119281,,                522472,,              3675368,                 71989,,                 66533,,                 85080,                151613,              6321684,             16664414,,,,,              1660230,,                  4085,,                 20081,,              3546530,,                186139,,                375423,                375423,                 56639,,,              1814049,              1814049,                233145,              2047194,              7896321,,,                198604,,                 14496,                213100,              8109421,,,,              3057606,              3057606,,              4272009,,                622252,                195638,,                225099,              1042989,,,                210605,                210605,                 28216,              8554993,              8554993,             16664414,      1912000,              0,      1912000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4906,2015年06月30日,,,,              1902167,,                512052,,              1452398,,                 15505,,              3739437,,                583630,,                 30047,,                 16993,,              1591472,,                  1550,                  1550,,                169448,             10014699,,,                213601,,                 98357,,                443761,,                482900,,                559712,,              3671720,                 65668,,                 65414,,                 87704,                153118,              5688837,             15703536,,,,,              1373270,,                  8265,,                 28633,,              3112336,,                121912,,                521246,                521246,                  8180,,,              1834543,              1834543,                197153,              2031696,              7205538,,,                179942,,                 14476,                194418,              7399956,,,,              3057606,              3057606,,              4291760,,                622252,                195638,,                 75937,                893827,,,                 60387,                 60387,                              0,              8303580,              8303580,             15703536,              0,              0,              0,                 14476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4906,2015年03月31日,,,,              2819450,,                597672,,                 30341,,                 23146,,              3986097,,                580203,,                 38898,,                 12115,,              2583499,,                  1572,                  1572,,                157332,             10830325,,,                258704,,                 99759,,                448822,,              1844790,,                567193,,              3745412,                 71018,,                 66427,,                100372,                166799,              7202497,             18032822,,,,,              2840484,,                    955,,                 30056,,              3869199,,                143427,,                388845,                388845,                 22798,,,              1826147,              1826147,                212238,              2038385,              9334149,,,                177596,,                 13903,                191499,              9525648,,,,              3058975,              3058975,,              4368657,,                615088,                195638,,                133167,                943893,,,                135649,                135649,                              0,              8507174,              8507174,             18032822,              0,              0,              0,                 13903,,                              0,,,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4906,2014年12月31日,,,,              2011373,,              1003646,,                 98904,,                 14184,,              4362977,,                480690,,                 54661,,                 37963,,              2053793,,                  1587,                  1587,,                189457,             10309235,,,                271133,,                101137,,                452846,,              1706945,,                549893,,              3852103,                 68205,,                 67837,,                105445,                173282,              7175544,             17484779,,,,,              2452875,,                  1516,,                 30479,,              3529982,,                154412,,                504900,                504900,                 30989,,,              1817890,              1817890,                208807,              2026697,              8731850,,,                199503,,                 13910,                213413,              8945263,,,,              3153099,              3153099,,              4497765,,                615088,                195638,,                 82927,                893653,,,                203664,                203664,                208665,              8539516,              8539516,             17484779,      9306000,              0,      9306000,                 13910,,                              0,,,                              0,                              0,,                              0,                              0,                              0,                              0,              2011373,                 98904,                 37963,              1706945,             17484779,,,,              2452875,,                  1516,,                 30479,,              3529982,,                154412,                504900,                 30989,,,              1817890,              1817890,                208807,              2026697,              8731850,,,                199503,,                 13910,                 13910,                213413,              8945263,,,,              3153099,              3153099,,              4497765,,                615088,                195638,,                 82927,                893653,,,                203664,                203664,                208665,              8539516,                              0,                              0,              8539516,,,,,,,,,,,,
4906,2014年09月30日,,,,              2344405,,              1042375,,              1487809,,                 14803,,              4521864,,                957012,,                 67114,,                              0,,              2555460,,                  1538,                  1538,,                307684,             13300064,,,                274573,,                 97459,,                550670,,                487762,,                522536,,              3785283,                 67077,,                 65210,,                124915,                190125,              5975485,             19275549,,,,,              3422250,,                    955,,                 33613,,              4245136,,                393640,,                493996,                493996,                  4301,,,              1809478,              1809478,                204808,              2014286,             10608177,,,                181562,,                 13903,                195465,             10803642,,,,              3153099,              3153099,,              4477726,,                615088,                195638,,                 73905,                884631,,,                -43549,                -43549,                              0,              8471907,              8471907,             19275549,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4906,2014年06月30日,,,,              2423546,,              1254710,,              2711012,,                 12524,,              2814665,,              1051907,,                 58900,,                              0,,              2020040,,                  1513,                  1513,,                162892,             12511709,,,                314786,,                 95929,,                544288,,                467975,,                514013,,              3792755,                 72202,,                 64392,,                123212,                187604,              5989552,             18501261,,,,,              3420718,,                  1329,,                 30894,,              3050345,,                350781,,              1043667,              1043667,                 36201,,,              1801108,              1801108,                162412,              1963520,              9897455,,,                181837,,                 13900,                195737,             10093192,,,,              3093099,              3093099,,              4382041,,                615088,                195638,,                 70491,                881217,,,                 51712,                 51712,                              0,              8408069,              8408069,             18501261,              0,              0,              0,                 13900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4906,2014年03月31日,,,,              3163319,,              1166123,,              2578433,,                 10594,,              3065248,,                638574,,                 38813,,                  4348,,              1807251,,                  1544,                  1544,,                133946,             12608193,,,                279086,,                              0,,                551245,,                 20000,,                464004,,              3894461,                 62951,,                 66089,,                134854,                200943,              5472690,             18080883,,,,,              2894650,,                  2097,,                 22440,,              3087683,,                210137,,                558180,                558180,                 57867,,,              1792875,              1792875,                205900,              1998775,              8831829,,,                190431,,                 13828,                204259,              9036088,,,,              3093099,              3093099,,              4384315,,                569520,                195638,,                694191,              1459349,,,                108032,                108032,                              0,              9044795,              9044795,             18080883,              0,              0,              0,                 13828,,                              0,,,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4906,2013年12月31日,,,,,,              1244172,,,,                    525,,              3391765,,                444007,,                 53509,,,,              1495370,,                  1524,                  1524,,                149850,             11914449,,,                269304,,                              0,,                543598,,,,                462147,,              3979237,                 63174,,                 65613,,                145304,                210917,              5995452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,              4508456,                620919,                  4352,                467075,             17909901,,,,              2816573,,                  2826,,                 34653,,              3106027,,                121750,                630039,                 41836,,,              1784778,              1784778,                239966,              2024744,              8778448,,,                188434,,                 13828,                 13828,                202262,              8980710,,,,              3093099,              3093099,,              4384315,,                569520,                195638,,                644813,              1409971,,,                 41806,                 41806,                              0,              8929191,                              0,                              0,              8929191,,                              0,,                630039,                630039,                              0,,                              0,,                              0,,
4906,2013年09月30日,,,,,,              1175292,,,,                 14469,,              3307651,,                435855,,                 73861,,,,              1982942,,                  1491,                  1491,,                180990,             12104815,,,                238969,,                              0,,                259980,,,,                445441,,              4006818,                142955,,                 64938,,                415909,                480847,              6038560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,,,,,,,,              2866237,              2066027,                              0,                463550,             18143375,,,,              2646515,,                    119,,                 33953,,              3699007,,                110635,,                 53288,,,                              0,                              0,                154148,                154148,              7345886,,,                227216,,                 13846,                 13846,              2019857,              9365743,,,,              3093099,              3093099,,              4384315,,                569520,                195638,,                596820,              1361978,,,                -61760,                -61760,,              8777632,,,              8777632,,                              0,,                648221,                648221,                              0,,                  2265,,              1776530,,
4906,2013年06月30日,,,,              2799478,,                858186,,,,                  9868,,              3289514,,                417437,,                 76825,,,,              2060498,,                  1482,                  1482,,                170421,             12675967,,,                190219,,,,                261800,,,,                454569,,              4044639,                155981,,                 65956,,                139846,                205802,              5783129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,          6528,              0,,,                              0,,,                    119,                    119,,,,,,,              2992258,,                470000,             18459096,,,,              1785063,,                              0,,                 25537,,              4224986,,                118221,,                 26968,,,,,                216111,                216111,              7710099,,,                229710,,                 13839,                 13839,              2015258,              9725357,,,,              3093034,              3093099,,              4384315,,                569520,                195638,,                559491,              1324649,,,                -68324,                -68324,                              0,              8733739,,,              8733739,,,,              1313213,              1313213,,,                  3387,,              1768322,                     65,                              0
