證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－員工認股權,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額
3054,2015年09月30日,,,,                363456,,                    101,,                226014,,                      5,,                 40700,,                 77433,,                    835,,                     93,,                153636,,                 22187,,                 29365,                913825,,,                106438,,                 25148,,                422592,,                163124,,                  1596,                 13034,,                 19008,                750940,              1664765,,,,,                 90000,,                              0,,                     45,,                 24954,,                     70,,                 70642,                    123,,                 10419,,                334677,                530930,,,                              0,,                    386,,                    915,,                  1944,                  3245,                534175,,,,              1080882,              1080882,,,                 23939,                    700,                 12218,                 36857,,                 38803,                              0,,                 -2639,                 36164,,,                    882,,                -24195,                -23313,              1130590,              1130590,              1664765,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,2015年06月30日,,,,                401664,,,,                224972,,                              0,,                 66288,,                 76756,,                    378,,                     90,,                155091,,                 50323,,                  1846,                977408,,,                 87664,,                 12000,,                428250,,                163545,,                  1723,                 13391,,                 21693,                728266,              1705674,,,,,                 90000,,                    470,,                     72,,                 23995,,                    161,,                 74567,                    138,,                 10831,,                330612,                530846,,,                              0,,                    386,,                    553,,                  1944,                  2883,                533729,,,,              1080882,              1080882,,,                 23939,                    700,                 12218,                 36857,,                 38803,                              0,,                 17420,                 56223,,,                    187,,                 -2204,                 -2017,              1171945,              1171945,              1705674,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,2015年03月31日,,,,                459178,,,,                286552,,                              0,,                 73309,,                 75922,,                  2997,,                    105,,                138812,,                100351,,                     28,              1137254,,,                 72955,,                 12000,,                411457,,                163967,,                  1894,                 13359,,                 40841,                716473,              1853727,,,,,                150000,,                              0,,                  1192,,                 25935,,                    156,,                 70632,                  4928,,                 12736,,                335538,                601117,,,                              0,,                    386,,                    420,,                  1944,                  2750,                603867,,,,              1077806,              1077806,,,                 20512,                    860,                 12429,                 33801,,                 37273,                              0,,                 50469,                 87742,,,                    238,,                 50273,                 50511,              1249860,              1249860,              1853727,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,2014年12月31日,,,,                488060,,                              0,,                271655,,                      9,,                101444,,                 89511,,                  3159,,                     39,,                206135,,                 70136,,                    104,              1230252,,,                 64430,,                              0,,                400543,,                164389,,                  2106,                 15299,,                 39005,                685772,              1916024,,,,,                150000,,                  3360,,                  1341,,                 32077,,                 58981,,                 67114,                  4933,,                 15570,,                  3166,                336542,,,                337881,,                    317,,                  1001,,                  2179,                341378,                677920,,,,              1069521,              1069521,,,                 12183,                  2975,                 12731,                 27889,,                 37273,                              0,,                 67360,                104633,,,                    279,,                 35782,                 36061,              1238104,              1238104,              1916024,              0,              0,              0,,                              0,,                              0,                488060,                     39,              1916024,,,,                150000,,                  3360,,                  1341,,                 32077,,                 58981,,                 67114,                  4933,,                 15570,,                  3166,                336542,,,                337881,,                    317,,                  1001,,                  2179,                341378,                677920,,,,              1069521,              1069521,,,                 12183,                  2975,                 12731,                 27889,,                 37273,                              0,,                 67360,                104633,,,                    279,,                 35782,                 36061,              1238104,              1238104,,
3054,2014年09月30日,,,,                483544,,                              0,,                241880,,                              0,,                 80184,,                 84951,,                  6567,,                     63,,                332205,,                 23348,,                    292,              1253034,,,                 63231,,                              0,,                403653,,                164810,,                  2306,                 14271,,                 15728,                663999,              1917033,,,,,                156050,,                  3990,,                    466,,                 30580,,                 22023,,                 90201,                  4984,,                 16148,,                  3444,                327886,,,                336366,,                    317,,                              0,,                  2810,                339493,                667379,,,,              1069521,              1069521,,,                 12183,                  3272,                 12731,                 28186,,                 37273,                              0,,                 80091,                117364,,,                    121,,                 34462,                 34583,              1249654,              1249654,              1917033,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,2014年06月30日,,,,                743088,,,,                142051,,                              0,,                 87051,,                 87999,,                  8519,,                     33,,                366528,,                 13303,,                     71,              1448716,,,                 63231,,                              0,,                412472,,                165232,,                  2510,                 13713,,                 10384,                667542,              2116258,,,,,                              0,,                  1470,,                    678,,                 44594,,                175468,,                238376,                  4993,,                 17289,,                  3375,                486243,,,                334851,,                    317,,                              0,,                  2864,                338032,                824275,,,,              1069481,              1069481,,,                 12148,                  3327,                 12731,                 28206,,                 37273,                              0,,                 86045,                123318,,,                     57,,                 70921,                 70978,              1291983,              1291983,              2116258,              0,              0,              0,,                     73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,2014年03月31日,,,,                549867,,,,                136567,,                              0,,                209435,,                 84350,,                 24694,,                     51,,                221575,,                 22044,,                  1352,              1249935,,,                 63231,,                              0,,                421510,,                165653,,                  2813,                 10760,,                  9669,                673636,              1923571,,,,,                              0,,                    665,,                  1403,,                 33512,,                  1652,,                 82047,                  7513,,                 16973,,                  5029,                148794,,,                333336,,                    619,,                              0,,                  4000,                337955,                486749,,,,              1067371,              1067371,,,                 10029,                  4406,                 12731,                 27166,,                 17132,                 29108,,                230475,                276715,,,                    133,,                 65437,                 65570,              1436822,              1436822,              1923571,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,2013年12月31日,,,,,,,,                126360,,                              0,,                194410,,                 85464,,                  1218,,,,                588382,,                 49408,,                  1464,              1784506,,,                 63231,,,,                101830,,                166075,,                  3283,                 10096,,                 13210,                357725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                737784,                     16,              2142231,,,,                205000,,                              0,,                  1403,,                 48611,,                 25746,,                 97492,                  7505,,                 18388,,                  4941,                409086,,,                              0,,                    619,,                              0,,                354053,                354672,                763758,,,,              1064251,              1064251,,,                  6894,                  5805,                              0,                 12699,,                 17132,                 29108,,                201407,                247647,,,                     42,,                 53834,                 53876,              1378473,              1378473,,                              0
3054,2013年09月30日,,,,,,,,                145980,,,,                193298,,                 90441,,                 44245,,,,                710930,,                 50133,,                  2248,              1613626,,,                 92121,,,,                110497,,                166496,,                  3553,                 13328,,                 12040,                398035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                376327,                     24,              2011661,,,,                175000,,                              0,,                  2555,,                 46892,,                280235,,                 86226,                  7531,,                 21126,,                  4979,                624544,,,                              0,,                    618,,,,                  4863,                  5481,                630025,,,,              1062201,              1062201,,,                  4834,                  6670,                              0,                 11504,,                 17132,                 29108,,                186029,                232269,,,                      8,,                 75654,                 75662,              1381636,              1381636,,                              0
3054,2013年06月30日,,,,,,                     10,,                289909,,,,                208009,,                106368,,                 16265,,,,                559268,,                 40258,,                  1483,              1513338,,,                 92121,,,,                119083,,                166918,,                  3229,                 13808,,                  9938,                405097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,,                291743,                     25,              1918435,,,,                155000,,                              0,,                    915,,                 56627,,                295165,,                 66827,                              0,,                 23279,,                  8621,                606434,,,                              0,,                    619,,,,                  4915,                  5534,                611968,,,,              1056485,              1056485,,,                  3165,                  7489,                     83,                 10737,,                 17132,                 29108,,                 75569,                121809,,,                     81,,                117355,                117436,              1306467,              1306467,,                              0
