證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　　 存貨（建設業適用）,　　　　　 待售房地,　　　　　 營建用地,　　　　　 存貨（建設業適用）淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債－土地增值稅,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 預付投資款,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 應收票據,　　　　 應收帳款,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－土地增值稅,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 投資性不動產淨額,　　　　 投資性不動產淨額
9902,2015年09月30日,,,,                144244,,                 47949,,                  3324,,                              0,,                  3450,,                  3410,,                    399,,                    273,,,                 18567,,                553317,                              0,                553317,                571884,,                 30787,                805720,,,                 70492,,                112586,,                290036,,                 15722,,                     40,                 15762,                488876,              1294596,,,,,                 10382,,                     78,,                    200,,                  1679,                    968,,,                    816,                    163,                    979,                 14286,,,                 28849,                 28849,,                 55578,                 55578,                 84427,                 98713,,,,                980496,                980496,,                 50954,,                101583,,                 26730,                128313,,                 34838,                  2584,              1192017,                  3866,              1195883,              1294596,              0,              0,         35280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902,2015年06月30日,,,,                151273,,                 39932,,                  3869,,                              0,,                  2628,,                  2141,,                    651,,                    412,,,                 25410,,,                553317,                553317,                578727,,                  3589,                783222,,,                 79622,,                106586,,                295159,,                 17610,,                     50,                 17660,                499027,              1282249,,,,,                 13919,,                    848,,                    543,,                  2252,,,,                    825,                    225,                  1050,                 18612,,,                 28849,                 28849,,                 56417,                 56417,                 85266,                103878,,,,                980496,                980496,,                 50954,,                101583,,                  5067,                106650,,                 39052,                  2584,              1174568,                  3803,              1178371,              1282249,,              0,         35280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902,2015年03月31日,,,,                152992,,                 59408,,                  1094,,                              0,,                    430,,                    217,,                    299,,                    458,,,                 10115,,,                553317,                553317,                563432,,                  1205,                779535,,,                 74018,,                106586,,                286248,,                 14556,,                     60,                 14616,                481468,              1261003,,,,,                  2200,,                              0,,                    728,,                  2046,,,,                    832,                    211,                  1043,                  6017,,,                 28849,                 28849,,                 54857,                 54857,                 83706,                 89723,,,,                980496,                980496,,                 50954,,                100329,,                  4611,                104940,,                 33798,                  2584,              1167604,                  3676,              1171280,              1261003,              0,              0,         35280,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902,2014年12月31日,,,,                 80555,,                 56896,,                  2097,,                 50682,,                  3897,,                 34754,,                  2591,,                    378,,,                 32283,,                              0,                553317,                553317,                585600,,                  1193,                818643,,,                 75951,,                106916,,                286061,,                 18999,,                     70,                 19069,                487997,              1306640,,,,,                 27037,,                    459,,                  9754,,                  4033,                              0,,,                    693,                    206,                    899,                 42182,,,                 28849,                 28849,,                 54464,                 54464,                 83313,                125495,,,,                980496,                980496,,                 50954,,                100329,,                 12542,                112871,,                 35693,                  2584,              1177430,                  3715,              1181145,              1306640,              0,              0,         35280,                              0,                 80555,                 50682,                  3897,                 34754,                    378,              1306640,,,,                 27037,,                    459,,                  9754,,                  4033,,,                    693,                    206,                    899,                 42182,,,                 28849,                 28849,,                 54464,                 54464,                 83313,                125495,,,,                980496,                980496,,                 50954,,                100329,,                 12542,                112871,,                 35693,                  2584,              1177430,                  3715,              1181145,,
9902,2014年09月30日,,,,                 80105,,                 54432,,                  3963,,                 55532,,                  1838,,                  4236,,                  2644,,                    327,,,                 28712,,                              0,                553317,                553317,                582029,,                 10478,                795584,,,                 71312,,                106859,,                285684,,                 22679,,                     81,                 22760,                486615,              1282199,,,,,                 23813,,                              0,,                 10175,,                  2080,                              0,,,                    800,                    159,                    959,                 37027,,,                 28849,                 28849,,                 53556,                 53556,                 82405,                119432,,,,                980496,                980496,,                 50954,,                100329,,                 -1038,                 99291,,                 30990,                  2584,              1159147,                  3620,              1162767,              1282199,              0,              0,         35280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902,2014年06月30日,,,,                 69038,,                 61181,,                  3890,,                 44014,,                  2839,,                  9489,,                  1556,,                    286,,,                  4600,,,                553317,                553317,                557917,,                 17769,                767979,,,                 67958,,                107021,,                288017,,                 20293,,                     90,                 20383,                483379,              1251358,,,,,                              0,,                    621,,                  9237,,                  1717,,,,                    826,                    235,                  1061,                 12636,,,                 28849,                 28849,,                 54906,                 54906,                 83755,                 96391,,,,                980496,                980496,,                 50954,,                100329,,                 -5373,                 94956,,                 27620,                  2584,              1151442,                  3525,              1154967,              1251358,,              0,         35280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902,2014年03月31日,,,,                 66226,,                 55601,,                  3966,,                 77300,,                  2612,,                  3703,,                  3937,,                    214,,,                  3552,,,                553317,                553317,                556869,,                    966,                771394,,,                 65119,,                 92021,,                282080,,                 14416,,                    101,                 29517,                468737,              1240131,,,,,                              0,,                              0,,                  3722,,                  3522,,,,                    792,                    170,                    962,                  8206,,,                 28849,                 28849,,                 51446,                 51446,                 80295,                 88501,,,,                980496,                980496,,                 50954,,                123442,,                -31321,                 92121,,                 24907,                  2584,              1145894,                  5736,              1151630,              1240131,              0,              0,         35280,                 15000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9902,2013年12月31日,,,,,,                 41582,,                  3978,,,,                  2475,,                 39961,,                  4036,,,,,                              0,,,                553317,                553317,                553317,,                    901,                803860,,,                 70265,,                 92021,,                276566,,                 14408,,                    900,                 15308,                454160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         35280,,                 61387,                 96073,                  2475,                 39961,                    150,              1258020,,,,                              0,,                  1071,,                  9401,,                  3392,,,                    640,                    281,                    921,                 14785,,,                 28849,                 28849,,                 49356,                 49356,                 78205,                 92990,,,,                980496,                980496,,                 50954,,                123442,,                -23113,                100329,,                 29978,                  2584,              1159173,                  5857,              1165030,,
9902,2013年09月30日,,,,,,                 43769,,                  3802,,,,                    127,,                    126,,                    574,,,,,                              0,,,                553317,                553317,                553317,,                 33160,                794806,,,                 67993,,                 93891,,                278053,,                 15990,,                    121,                 16111,                456048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         35280,,                 80797,                 79001,,,                    133,              1250854,,,,                              0,,                     74,,                    175,,                    882,,,                    943,                    166,                  1109,                  2240,,,                 28849,                 28849,,                 48796,                 48796,                 77645,                 79885,,,,                980496,                980496,,                 50954,,                123442,,                -14298,                109144,,                 27535,                  2584,              1165545,                  5424,              1170969,,
9902,2013年06月30日,,,,,,                 34110,,                  3616,,,,                    289,,                 11795,,                  1027,,,,,                              0,,,                553317,                553317,                553317,,                  1828,                821049,,,                 74290,,                 93891,,                275091,,                 15740,,                    131,                 15871,                459143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,         35280,,                130828,                 84137,,,                    102,              1280192,,,,,,                    495,,                  3361,,                    965,,,                    354,                    162,                    516,                  5337,,,                 28849,                 28849,,                 86972,                 86972,                115821,                121158,,,,                980496,                980496,,                 50954,,                123442,,                -22046,                101396,,                 23861,                  2584,              1154123,                  4911,              1159034,,
