證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 應付建造合約款－關係人,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付建造合約款－關係人,　　　　 銀行長期借款
3058,2015年09月30日,,,,                990450,,                  2182,,                 55378,,              1396035,,                 38932,,,                660789,                660789,,                 72932,,                 11344,              3228042,,,                    265,,                109196,,                              0,,              1726830,,                263369,,                 15988,                 12982,,                 22877,                 17739,                 47098,                 87714,              2216344,              5444386,,,,,                832960,,                    412,,                 33264,,                              0,,              1311938,,                              0,                              0,,                              0,                298119,                298119,                  9955,,,                              0,                  1094,                  1094,                 40892,                 41986,              2528634,,,                              0,,                              0,,                  7944,                  7944,,                              0,,                  5232,                  3318,                  8550,                 16494,              2545128,,,,              1715194,              1715194,,                591161,,                298665,,                310109,                 16158,              2898971,                    287,              2899258,              5444386,              0,              0,      1513000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,2015年06月30日,,,,                760886,,                  2572,,                 61325,,              1415734,,                 30810,,,                544472,                544472,,                 97854,,                 11926,              2925579,,,                    255,,                113810,,                              0,,              1660570,,                257833,,                 19417,                 12982,,                 29838,                 16938,                 45622,                 92398,              2157265,              5082844,,,,,                747740,,                              0,,                 34772,,                              0,,              1111513,,                              0,                              0,,                 85246,                279741,                364987,                  9492,,,                              0,                  1009,                  1009,                 26295,                 27304,              2295808,,,                              0,,                              0,,,                  7576,,                              0,,                  5434,                  3297,                  8731,                 16307,              2312115,,,,              1715194,              1715194,,                591161,,                287536,,                188558,                 11979,              2770470,                    259,              2770729,              5082844,              0,              0,      1028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,2015年03月31日,,,,              1071657,,                  2681,,                 70044,,              1191264,,                 82689,,,                614521,                614521,,                122196,,                 13091,              3168143,,,                    259,,                 87858,,                              0,,              1690458,,                234008,,                 22617,                 12982,,                 35742,                 17301,                 46722,                 99765,              2147947,              5316090,,,,,                976450,,                    516,,                 47182,,                              0,,              1115969,,                              0,,,,                251334,                251334,                  6109,,,                              0,                  1040,                  1040,                 30330,                 31370,              2428930,,,                              0,,                              0,,,                  8074,,                              0,,                  5633,                  2117,                  7750,                 15824,              2444754,,,,              1715194,              1715194,,                591161,,                346035,,                230665,                 11979,              2871076,                    260,              2871336,              5316090,              0,              0,      1028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,2014年12月31日,,,,                999748,,                  2612,,                 83439,,              1324301,,                103382,,,                624062,                624062,,                100591,,                 28115,              3266250,,,                    262,,                 92426,,                              0,,              1827309,,                101211,,                 26249,                 12982,,                 38157,                 17625,                 47558,                103340,              2163779,              5430029,,,,,                903100,,                    643,,                 66004,,                              0,,              1240795,,                              0,                              0,,                              0,                273902,                273902,                  7321,,,                              0,                  1057,                  1057,                 26221,                 27278,              2519043,,,                              0,,                              0,,                  8467,                  8467,,                              0,,                  5833,                  2194,                  8027,                 16494,              2535537,,,,              1715194,              1715194,,                591161,,                339133,,                260720,                 11979,              2894229,                    263,              2894492,              5430029,              0,              0,      1028000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,2014年09月30日,,,,                846207,,                  2387,,                122952,,              1351318,,                101439,,,                594189,                594189,,                103215,,                  3739,              3125446,,,                    254,,                105753,,                 22998,,              1757439,,                104725,,                 30397,                 11051,,                 29623,                 19599,                 46455,                 95677,              2128294,              5253740,,,,,                784620,,                     92,,                  9277,,                 25006,,              1211424,,                 64730,                              0,,                              0,                265796,                265796,                  8360,,,                              0,                  1111,                  1111,                 21386,                 22497,              2391802,,,                              0,,                              0,,                  9176,                  9176,,                              0,,                  6364,                  1417,                  7781,                 16957,              2408759,,,,              1715194,              1715194,,                591161,,                364626,,                173724,                              0,              2844705,                    276,              2844981,              5253740,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,2014年06月30日,,,,                681615,,                  2475,,                170064,,              1310505,,                110912,,,                565058,                565058,,                 93647,,                  1338,              2935614,,,                    247,,                 55752,,                 26117,,              1732654,,                148298,,                 34387,                 11051,,                 18625,                 20127,                 39711,                 78463,              2086969,              5022583,,,,,                733853,,                    440,,                  7631,,                 34745,,              1072830,,                 48429,                              0,,                 85760,                245678,                331438,                  4262,,,                              0,                  1177,                  1177,                 25415,                 26592,              2260220,,,                              0,,                              0,,,                 10017,,                              0,,                  6552,                  1251,                  7803,                 17820,              2278040,,,,              1715194,              1715194,,                591161,,                326960,,                110951,                              0,              2744266,                    277,              2744543,              5022583,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,2014年03月31日,,,,                709303,,                  2279,,                174947,,              1335944,,                 47351,,,                655198,                655198,,                 95093,,                  9744,              3029859,,,                    252,,                 54570,,                 30651,,              1759296,,                150658,,                 38160,                 11051,,                 34320,                 15634,                 46660,                 96614,              2141252,              5171111,,,,,                753248,,                    398,,                 10977,,                 57547,,              1110097,,                 53277,,,,                229485,                229485,                 11210,,,                              0,                  1182,                  1182,                 26103,                 27285,              2253524,,,                              0,,                              0,,,                 10358,,                              0,,                  6765,                  1240,                  8005,                 18363,              2271887,,,,              1715194,              1715194,,                591161,,                434778,,                157805,                              0,              2898938,                    286,              2899224,              5171111,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,2013年12月31日,,,,,,                  4219,,                180434,,              1733152,,                 53267,,,                676932,                676932,,                 97615,,                 18467,              3424596,,,                  4020,,                 54570,,                 33397,,              1778559,,                149943,,                 42271,                 11051,,                 32162,                 14982,                 47132,                 94276,              2168087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                660510,              5592683,,,,                718245,,                              0,,                 14785,,                 66101,,              1469075,,                 88061,,                              0,                315199,                315199,                  8387,,,                              0,                  1134,                  1134,                 26749,                 27883,              2707736,,,                              0,,                              0,,                 10216,,                              0,,                  7002,                  1238,                  8240,                 18456,              2726192,,,,              1715194,              1715194,,                591161,,                405976,,                153885,                              0,              2866216,                    275,              2866491,                              0,                 10216
3058,2013年09月30日,,,,,,                  3940,,                121559,,              1804598,,                 50345,,,                669699,                669699,,                118458,,                 41166,              3503786,,,                  7648,,                 54570,,                 40477,,              1744004,,                144777,,                 44418,                  5630,,                 33133,                 15360,                 24311,                 72804,              2114328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                694021,              5618114,,,,                719990,,                              0,,                 28735,,                 53365,,              1542609,,                 90820,,                              0,                273780,                273780,                  6333,,,                              0,                              0,                              0,                 22202,                 22202,              2737834,,,                              0,,                              0,,                              0,,                  2906,,                  7614,                  1274,                  8888,                 11794,              2749628,,,,              1715194,              1715194,,                591161,,                442180,,                119652,                              0,              2868187,                    299,              2868486,                              0,                              0
3058,2013年06月30日,,,,,,                  5150,,                154108,,              1538744,,                 50077,,,                628534,                628534,,                 89054,,                 31226,              3307961,,,                  7733,,                 54570,,                 42648,,              1739372,,                 91635,,                 47154,                  5630,,                 20517,                 16028,                 24790,                 61335,              2050077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                811068,              5358038,,,,                487000,,                    286,,                  9788,,                 43006,,              1350072,,                 69701,,                298787,                244757,                543544,                  8969,,,                              0,                              0,                              0,                 11397,                 11397,              2523763,,,                              0,,                              0,,                              0,,                  2947,,                  7872,                  1284,                  9156,                 12103,              2535866,,,,              1715194,              1715194,,                591161,,                365591,,                150226,                              0,              2822172,                              0,              2822172,                              0,
