證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－合併溢額,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－合併溢額,　　　　 資本公積－認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款項－關係人,　　　 應付公司債,　　　　 應付公司債合計
6257,2015年09月30日,,,,              2980830,,                821608,,                579126,,                  9000,,              1376968,,                  5618,,                 18097,,                 60516,,                145177,,                  2292,              5999232,,,                              0,,                 20487,,                 51760,,              6142270,,                 22559,                 18526,,                 12922,              6268524,             12267756,,,,,              1061239,,                 21188,,                 96569,,                670155,                 55734,,              1110283,              3015168,,,              1370000,,                              0,,                136642,              1506642,              4521810,,,,              3598865,              3598865,,,                224650,                              0,                244129,                              0,                468779,,                850287,                              0,,              2779851,              3630138,,,                 47854,,                -39513,                  8341,                 49420,              7656703,                 89243,              7745946,             12267756,              0,              0,      2000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,2015年06月30日,,,,              3787287,,                843433,,                257468,,                  4951,,              1285318,,                  2910,,                 37983,,                 74491,,                166492,,                  1353,              6461686,,,,,                 29125,,                 49730,,              6099498,,                 24243,                 36492,,                 16404,              6255492,             12717178,,,,,                909625,,                    789,,                105785,,              1652340,                112010,,              1710265,              4490814,,,                505000,,                              0,,                136515,                641515,              5132329,,,,              3630865,              3630865,,,                226648,                 22150,                244129,                              0,                492927,,                850287,                              0,,              2589754,              3440041,,,                 40327,,                -30875,                  9452,                 76751,              7496534,                 88315,              7584849,             12717178,              0,              0,      2803000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,2015年03月31日,,,,              4194211,,                778871,,                260020,,                  5912,,              1125101,,                  3659,,                 22313,,                 63357,,                141728,,                  1987,              6597159,,,,,                 37505,,                 50440,,              5558514,,                 27913,                  1574,,                 13422,              5689368,             12286527,,,,,                551400,,                    413,,                119316,,                814402,                168203,,              1042920,              2696654,,,              1235000,,                              0,,                135140,              1370140,              4066794,,,,              3630865,              3630865,,,                607889,                 22150,                244129,                              0,                874168,,                744875,                  3142,,              2852384,              3600401,,,                 43461,,                -22495,                 20966,                              0,              8126400,                 93333,              8219733,             12286527,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,2014年12月31日,,,,              3981222,,                827900,,                262050,,                  8555,,              1241056,,                  5152,,                 16303,,                 58153,,                143730,,                  9842,              6553963,,,                              0,,                 34482,,                 50920,,              5107090,,                 29826,                  7806,,                 13602,              5243726,             11797689,,,,,                345432,,                      3,,                123347,,                786315,                143827,,                905038,              2303962,,,              1290000,,                              0,,                136323,              1426323,              3730285,,,,              3630894,              3630894,,,                607894,                 22184,                244129,                              0,                874207,,                744875,                  3142,,              2696028,              3444045,,,                 45694,,                -25518,                 20176,                     68,              7969254,                 98150,              8067404,             11797689,              0,              0,          2875,              3981222,                262050,             11797689,,,,                345432,,                      3,,                123347,,                786315,                143827,,                905038,              2303962,,,              1290000,,                              0,,                134405,              1424405,              3728367,,,,              3630894,              3630894,,,                607894,                 22184,                244129,                              0,                874207,,                744875,                  3142,,              2697946,              3445963,,,                 45694,,                -25518,                 20176,                     68,              7971172,                 98150,              8069322,,,,,
6257,2014年09月30日,,,,              4086752,,                733346,,                230580,,                  9667,,              1382043,,                  6463,,                 27261,,                 99533,,                134120,,                    559,              6710324,,,                 12000,,                 31666,,                 49340,,              5063699,,                 29081,                  9244,,                 13361,              5208391,             11918715,,,,,                658259,,                              0,,                145383,,                841900,                116381,,                922231,              2684154,,,              1256090,,                              0,,                107462,              1363552,              4047706,,,,              3631095,              3631095,,,                607927,                 22426,                244129,                              0,                874482,,                744875,                  3142,,              2500469,              3248486,,,                 38055,,                -28334,                  9721,                    544,              7763240,                107769,              7871009,             11918715,              0,              0,         23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,2014年06月30日,,,,              4678080,,                561824,,                227805,,                  7565,,              1377047,,                  5825,,                 88635,,                118404,,                112389,,                  2139,              7179713,,,,,                 43549,,                 48110,,              4619359,,                 32301,                  8662,,                 13419,              4765400,             11945113,,,,,                408052,,                              0,,                182726,,              1482172,                119769,,                549795,              2742514,,,              1506440,,                              0,,                107025,              1613465,              4355979,,,,              3631095,              3631095,,,                607927,                 22426,                244129,                              0,                874482,,                744875,                  3142,,              2207164,              2955181,,,                 31184,,                -16451,                 14733,                    544,              7474947,                114187,              7589134,             11945113,              0,              0,         23000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,2014年03月31日,,,,              4453368,,                478612,,                230830,,                  5999,,              1270002,,                  6397,,                102391,,                164235,,                100876,,                  3444,              6816154,,,,,                 21706,,                 49000,,              4644097,,                 25464,                 27617,,                 13536,              4781420,             11597574,,,,,                551084,,                  2073,,                268507,,                753458,                180376,,                528333,              2283831,,,              1268369,,                    502,,                108062,              1376933,              3660764,,,,              3664595,              3664595,,,                928558,                 74358,                244129,                              0,              1247045,,                657084,                 26941,,              2294130,              2978155,,,                 37095,,                -38294,                 -1199,                 79829,              7808767,                128043,              7936810,             11597574,              0,              0,      3373000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6257,2013年12月31日,,,,,,                472290,,,,                  5259,,              1245736,,                  6022,,                 39100,,                170970,,                101638,,                 33929,              6452018,,,,,                 18546,,                 49190,,              4663190,,                 27306,                 27617,,                 14406,              4800255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3373000,              4147114,                229960,             11252273,,,,                507723,,                  2970,,                174292,,                810836,                135443,,                746041,              2377305,,,              1067721,,                    502,,                104622,              1172845,              3550150,,,,              3664595,              3664595,,,                928558,                 74358,                244129,                              0,              1247045,,                657084,                 26941,,              2060793,              2744818,,,                 38312,,                -41454,                 -3142,                 79829,              7573487,                128636,              7702123,,,                              0,,
6257,2013年09月30日,,,,,,                455517,,,,                 10630,,              1383635,,                  6181,,                 22974,,                168031,,                101626,,                    700,              6114413,,,                              0,,                 17447,,                 48330,,              4717003,,                 28398,                 25976,,                 12003,              4849157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6821000,              3599059,                366060,             10963570,,,,                657872,,                  2126,,                239024,,                644330,                105093,,                672079,              2320524,,,              1127618,,                              0,,                107082,              1234700,              3555224,,,,              3664595,              3664595,,,                928558,                 55403,                244129,,              1228090,,                657084,                 26941,,              1864351,              2548376,,,                 32206,,                -42554,                -10348,                161433,              7269280,                139066,              7408346,,                              0,,,
6257,2013年06月30日,,,,,,                453190,,,,                  6175,,              1293319,,                 29302,,                 21861,,                149343,,                106884,,                 28491,              6000098,,,,,                 18546,,                 48880,,              4590317,,                 29830,                 27814,,                 12094,              4727481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      6821000,              3247053,                664480,             10727579,,,,                645027,,                  5614,,                198957,,              1464521,                 51511,,                676833,              3042730,,,                423846,,                              0,,                108902,                532748,              3575478,,,,              3664595,              3664595,,,                928558,                 55403,                244129,                              0,              1228090,,                657084,                 26941,,              1596465,              2280490,,,                 36529,,                -41454,                 -4925,                161433,              7006817,                145284,              7152101,,                    267,,,
