證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計
2427,2015年09月30日,,,,                324679,,                              0,,                    289,,                395526,,                  8979,,              1080848,,                229537,,                 38547,              2078405,,,                114333,,                200000,,                225049,,                546206,,                 21516,                 68621,,                 68618,              1244343,              3322748,,,,,                330000,,                 50000,,                              0,,                    690,,                259353,,                 59375,                    238,,                324409,              1024065,,,                 78500,,                165541,                244041,              1268106,,,,              1873145,              1873145,,                 94615,,                 11947,                 15222,,                 16142,                 43311,,                 56346,                 24234,              2043183,                 11459,              2054642,              3322748,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2015年06月30日,,,,                390234,,                  5506,,                    165,,                332462,,                 21437,,                825776,,                238290,,                 54226,              1868096,,,                 84333,,                200000,,                239452,,                546967,,                 22923,                 71425,,                 62014,              1227114,              3095210,,,,,                230000,,                              0,,                              0,,                    829,,                187347,,                102780,                     27,,                292823,                813806,,,                 78499,,                164965,                243464,              1057270,,,,              1873145,              1873145,,                 95801,,                 11947,                 15222,,                 -6596,                 20573,,                 61121,                 24234,              2026406,                 11534,              2037940,              3095210,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2015年03月31日,,,,                404209,,                  6352,,                    410,,                346588,,                 17576,,                820585,,                243635,,                 56790,              1896145,,,                 84981,,                200000,,                249675,,                546617,,                 24320,                 74037,,                 61031,              1240661,              3136806,,,,,                250000,,                 50000,,                              0,,                  1151,,                152505,,                 55424,                    463,,                288243,                797786,,,                 78500,,                170526,                249026,              1046812,,,,              1873145,              1873145,,                121605,,                  9748,                 15222,,                 10257,                 35227,,                 72733,                 24234,              2078476,                 11518,              2089994,              3136806,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2014年12月31日,,,,                349214,,                 14426,,                    413,,                416751,,                 20555,,                900230,,                241064,,                 70719,              2013372,,,                 84981,,                200000,,                 91787,,                554527,,                 24852,                 74403,,                 69768,              1100318,              3113690,,,,,                160253,,                 50000,,                  2538,,                  2003,,                218194,,                107089,                    272,,                223666,                764015,,,                 78500,,                170137,                248637,              1012652,,,,              1903145,              1903145,,                120515,,                  9748,                 15222,,                 23104,                 48074,,                 70902,                 53144,              2089492,                 11546,              2101038,              3113690,              0,              0,      6000000,                349214,              3113690,,,,                160253,,                 50000,,                  2538,,                  2003,,                218194,,                107089,                    272,,                223666,                764015,,,                 78500,,                170137,                248637,              1012652,,,,              1903145,              1903145,,                120515,,                  9748,                 15222,,                 23104,                 48074,,                 70902,                 53144,              2089492,                 11546,              2101038,,,,
2427,2014年09月30日,,,,                319558,,                 17230,,                    649,,                390370,,                 17308,,              1037479,,                100301,,                 65380,              1948275,,,                 76819,,                200000,,                 90149,,                555851,,                 26104,                 75430,,                 72077,              1096430,              3044705,,,,,                              0,,                              0,,                  6565,,                  1483,,                278214,,                 52706,                     44,,                353519,                692531,,,                 78500,,                169781,                248281,                940812,,,,              1903145,              1903145,,                124532,,                  9748,                 15221,,                 16592,                 41561,,                 52090,                 28910,              2092418,                 11475,              2103893,              3044705,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2014年06月30日,,,,                504785,,                 29738,,                    671,,                354600,,                 14947,,                804945,,                106244,,                 86361,              1902291,,,                 76819,,                200000,,                 94246,,                557459,,                 26561,                 76910,,                 78434,              1110429,              3012720,,,,,                 50000,,                 50000,,                              0,,                  1382,,                204276,,                 64737,                     73,,                294272,                664740,,,                 78500,,                169396,                247896,                912636,,,,              1903145,              1903145,,                125021,,                  9748,                 15221,,                 13859,                 38828,,                 50481,                 28910,              2088565,                 11519,              2100084,              3012720,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2014年03月31日,,,,                413290,,                 32543,,                    775,,                420149,,                 12437,,                770219,,                 98513,,                 91652,              1839578,,,                 76819,,                200000,,                 13810,,                561415,,                 27594,                 79254,,                 89550,              1048442,              2888020,,,,,                              0,,                              0,,                              0,,                  1155,,                185224,,                 62498,                    161,,                311509,                560547,,,                 78500,,                166735,                245235,                805782,,,,              1903145,              1903145,,                114029,,                  9748,                 15221,,                  5360,                 30329,,                 52087,                 28910,              2070680,                 11558,              2082238,              2888020,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2013年12月31日,,,,,,                 33407,,                  1781,,                516397,,                 13332,,                867829,,                102613,,                104037,              2106983,,,                 76819,,                200000,,                 12951,,                563358,,                 28965,                 81449,,                 85696,              1049238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,                467587,              3156221,,,,                              0,,                              0,,                              0,,                  1261,,                387834,,                113514,                    181,,                324515,                827305,,,                 78500,,                172374,                250874,              1078179,,,,              1903145,              1903145,,                114029,,                  9748,                 15221,,                  1898,                 26867,,                 51357,                 28910,              2066488,                 11554,              2078042,,                              0,,                              0
2427,2013年09月30日,,,,,,                 28276,,                  1033,,                509109,,                  9374,,                785255,,                 95684,,                 76792,              1824185,,,                 64678,,                200000,,                 14448,,                565845,,                 30262,                 81944,,                 87973,              1045150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,                318662,              2869335,,,,,,,,                              0,,                  1545,,                341162,,                 55611,                    251,,                163733,                562302,,,                 78500,,                168703,                247203,                809505,,,,              1903145,              1903145,,                114027,,                  9748,                 15221,,                 -3215,                 21754,,                 37687,                 28910,              2047703,                 12127,              2059830,,,,
2427,2013年06月30日,,,,,,                 40807,,                  2089,,                383698,,                 18318,,                821995,,                 80664,,                 78094,              1883475,,,                 64678,,                200000,,                 14900,,                573017,,                 31124,                 76534,,                 84954,              1045207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,                379528,              2928682,,,,                 93000,,                 50000,,,,                  1200,,                198965,,                 65800,                    356,,                178007,                587328,,,                 78500,,                172575,                251075,                838403,,,,              1903145,              1903145,,                114029,,                  9748,                 15221,,                 18537,                 43506,,                 41037,                 28910,              2072807,                 17472,              2090279,,                 78282,,
2427,2013年03月31日,,,,,,                 19351,,                  2119,,                450914,,                 18192,,                832754,,                 72366,,                 71353,              1887685,,,                 58593,,                200000,,                  8553,,                578463,,                 32511,                 80357,,                 91489,              1049966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,                343567,              2937651,,,,                134500,,,,,,                    854,,                192014,,                 63079,                              0,,                213653,                604100,,,                 78500,,                170690,                249532,                853632,,,,              1903145,              1903145,,                114188,,                  9306,                 15221,,                 18450,                 42977,,                 32672,                 28910,              2064072,                 19947,              2084019,,                 77069,,                    342
2427,2012年12月31日,,,,                463974,,                 41161,,                  1510,,                518367,,                 14640,,              1085747,,                 78872,,                 79262,              2283533,,,                 57323,,                200000,,                  8507,,                656963,,                 31791,                 82122,,                 94458,              1131164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3000000,,              3414697,,,,                262206,,,,                    137,,                    834,,                426023,,                 83793,                              0,,                313266,              1086259,,,                 78500,,                174645,                253145,              1339404,,,,              1903145,              1903145,,                114025,,                  9306,                 15230,,                 17885,                 42421,,                 23314,                 28910,              2053995,                 21298,              2075293,,,,
2427,2012年09月30日,,,,                300146,,                 35865,,                    372,,                410747,,                 12514,,                895909,,                113715,,                 67978,              1837246,,,                 59125,,                200000,,                  6034,,                660514,,                 33252,                 77814,,                 96593,              1133332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3000000,,              2970578,,,,                 50000,,,,                              0,,                    659,,                321110,,                 50027,                              0,,                242936,                664732,,,                 78500,,                169170,                247670,                912402,,,,              1903145,              1903145,,                115132,,                  9306,                 15230,,                  1978,                 26514,,                 19618,                 28910,              2035499,                 22677,              2058176,,,,
2427,2012年06月30日,,,,                292322,,                161209,,                  2208,,                565578,,                 14600,,                736962,,                105847,,                 83622,              1962348,,,                 59125,,                200000,,                              0,,                664213,,                 34644,                 77945,,                 97544,              1133471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3000000,,              3095819,,,,                 27000,,                              0,,                    124,,                    382,,                408231,,                122177,                              0,,                206120,                764034,,,                 78500,,                164528,                243028,              1007062,,,,              1903145,              1903145,,                115132,,                  9306,                 15230,,                 21050,                 45586,,                 21947,                 28910,              2056900,                 31857,              2088757,,                              0,,
2427,2012年03月31日,,,,                344724,,                171867,,                    658,,                568142,,                  9473,,                717303,,                 96251,,                 73611,              1982029,,,                 71439,,                200000,,                              0,,                665601,,                 36024,                 78474,,                 85613,              1137151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      3000000,,              3119180,,,,                 25000,,,,                  1006,,                    632,,                384970,,                 64191,                  1177,,                224641,                701617,,,                 78500,,                162601,                241101,                942718,,,,              1903145,              1903145,,                115132,,                  4411,                 15230,,                101998,                121639,,                 32366,                 28910,              2143372,                 33090,              2176462,,                              0,,                              0
2427,2012年01月01日,,,,                351893,,                198708,,                 18250,,                645866,,                  9025,,                788615,,                 97067,,                 86782,              2196206,,,                 74155,,                200000,,                              0,,                667829,,                 37540,                 82215,,                 85832,              1147571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2346000,,              3343777,,,,                 37247,,,,                              0,,                    833,,                511253,,                 93208,                  1177,,                276055,                919773,,,                 78500,,                161859,                240359,              1160132,,,,              1903145,              1903145,,                115132,,                  4411,                 15230,,                 88648,                108289,,                 45075,                 22357,              2149284,                 34361,              2183645,,,,
