證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 其他流動資產－其他,　　　　 預付退休金－非流動,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 應付股利,　　　　 待分配股票股利,　　　　 其他應付款－其他,　　　 長期借款,　　　　 長期借款合計,　　 共同控制下前手權益,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
4545,2015年09月30日,,,,                761376,,                752342,,                 78437,,                 10494,,                440229,,                 37205,              2080083,,,                130855,,                581378,,                 33547,                745780,              2825863,,,,,                333199,,                397191,,                193081,                193081,                 33389,                 77873,,                328220,              1362953,,,                 50000,,                 67441,                117441,              1480394,,,,                678810,                678810,,                 43155,,                626522,,                 -3018,              1345469,              1345469,              2825863,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4545,2015年06月30日,,,,                825977,,                558162,,                 97558,,                 18734,,                494272,,                 40676,              2035379,,,                130479,,                551051,,                 33900,                715430,              2750809,,,,,                130474,,                393071,,                205944,                588546,                 21826,                 68338,,                294957,              1497212,,,                 50000,,                 52097,                102097,              1599309,,,,                617100,                678810,,                 43155,,                438404,,                 -8869,              1151500,              1151500,              2750809,              0,              0,              0,                382602,                 61710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4545,2014年12月31日,,,,                656684,,                649807,,                116851,,                 21881,,                421527,,                 31324,              1898074,,,                149312,,                475800,,                 26362,                651474,              2549548,,,,,                147042,,                386440,,                236816,                236816,                 33095,                 84095,,                291511,              1178999,,,                              0,,                 43855,                 43855,              1222854,,,,                617100,                617100,,                 43155,,                647207,,                 19232,              1326694,              1326694,              2549548,              0,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4545,2014年09月30日,,,,                676823,,                667770,,                102096,,                 54614,,                336364,,                 52862,              1890529,,,                143586,,                474337,,                 10569,                628492,              2519021,,,,,                370158,,                377076,,                148205,                148205,                 27462,                 68916,,                299748,              1291565,,,                              0,,                 28529,                 28529,              1320094,,,,                617100,                617100,,                 43155,,                520604,,                 18068,              1198927,              1198927,              2519021,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4545,2014年06月30日,,,,                637834,,                511596,,                143349,,                 50802,,                325959,,                 58121,              1727661,,,                137119,,                439724,,                 16574,                593417,              2321078,,,,,                391291,,                399241,,                113122,                270202,                 14564,                 38231,,                185462,              1298991,,,                              0,,                 25150,                 25150,              1324141,,,,                617100,                617100,,                 43155,,                320352,,                 16330,                996937,                996937,              2321078,              0,              0,              0,                157080,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4545,2013年12月31日,,,,,,                491610,,                160140,,                 35916,,                211114,,                 21270,              1589270,,,                125917,,                417687,,                 31567,                575171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                669220,,                211114,                 21270,                  9827,,                 21740,              2164441,,,,                478135,,                296821,,                118290,                118290,                 28452,                 60043,,                167879,              1149620,,,                 27741,                 27741,              1177361,,,,                561000,                561000,,                 43155,,                136829,,                238669,                375498,,                  7427,                987080,                987080,                              0,                              0,,,,,,,,,,
4545,2013年06月30日,,,,,,                360588,,                145336,,                113200,,                227538,,                 24738,              1318912,,,                134952,,                425178,,                 31383,                591513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                447512,,                227538,                 24738,                  7521,,                 23862,              1910425,,,,                493694,,                284992,,                 68976,                 80903,                  4064,                 26021,,                183784,              1073458,,,                 29694,                 29694,              1103152,,,,                441720,                561000,,                 43155,,                136829,,                 49937,                186766,,                 16352,                807273,                807273,                 11927,                119280,,,,,,,,,,
4545,2012年12月31日,,,,                502235,,                427594,,                 73179,,                104033,,                241610,,                 17169,              1365820,,,                127259,,                433115,,                 12833,                573207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                241610,                 17169,                  4987,,                  7846,              1939027,,,,                552312,,                272092,,                 55803,                106783,                 15419,                 13010,,                174858,              1134474,,,                 44203,                 44203,              1178677,,,,                441720,                441720,,                 81159,,                125401,,                105093,                230494,,                  6977,                760350,                760350,,,                 50980,,                              0,                              0,,,,,,
4545,2012年06月30日,,,,                563722,,                303829,,                150578,,                213069,,                276539,,                 34255,              1541992,,,                138409,,                452847,,                 11917,                603173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                276539,                 34255,                  2967,,                  8950,              2145165,,,,                263592,,                285488,,,                160057,                 91132,,,                298200,              1098469,,,                 33491,                 72683,              1171152,,,,                409000,                409000,,                  6000,,                125401,,                 29562,                154963,,                    112,                570075,                974013,,                              0,                160057,,                 39192,                403938,,                  6000,                  6000,                              0,,                    112
4545,2012年01月01日,,,,                657300,,                225771,,                119662,,                 82206,,                267958,,                  3971,              1356868,,,                125366,,                430382,,                 15759,                571507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,                267958,                  3971,                  2529,,                 13230,              1928375,,,,                 40942,,                249172,,                 87680,                248852,                 27413,                 13048,,                141064,                720491,,,                 36767,                 82342,                802833,,,,                409000,                409000,,                  6000,,                104738,,                198328,                303066,,                              0,                718066,              1125542,,,                161172,,                 45575,                407476,,,,,,
