證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 應付租賃款－流動,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他應收款－其他,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 其他流動資產－其他,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 庫存現金,　　　　　 其他非流動資產－其他,　　　　 其他應付款－其他,　　　　 資本公積－其他
2608,2015年09月30日,,,,                586050,,                492020,,              1005613,,                  6730,,                 48175,,                 70019,,                 22323,              2230930,,,                184799,,                114003,,              8909771,,                 85042,                 85042,                198318,,                166223,,                291665,                457888,              9949821,             12180751,,,,,                523000,,                  4631,,                454379,,                995231,                 86521,,,                  6380,                  6380,                              0,                 83139,                 89519,              2153281,,,                328992,,                614411,,,                              0,                              0,              1088019,                 11766,                    252,              1100037,              2043440,              4196721,,,,              4835825,              4835825,,                447518,                    938,                  1370,                449826,,                472265,                346398,,              1850780,              2669443,,                 24550,                              0,              7979644,                              0,                  4386,              7984030,             12180751,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,2015年06月30日,,,,                918416,,                397691,,                930129,,                  5227,,                 46416,,                 75529,,                 20758,              2394166,,,                184799,,                114704,,              8743183,,                 85042,                 85042,                202683,,                169222,,                290289,                459511,              9789922,             12184088,,,,,                265000,,                  5867,,                324996,,              1700844,                125794,,,                  6380,                  6380,                              0,                152463,                158843,              2581344,,,                200587,,                614411,,,                              0,                              0,              1113129,                 11766,                    252,              1125147,              1940145,              4521489,,,,              4835825,              4835825,,                447518,                    938,                  1370,                449826,,                472265,                346398,,              1529655,              2348318,,                 24550,                              0,              7658519,                              0,                  4080,              7662599,             12184088,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,2015年03月31日,,,,                704468,,                355547,,                852889,,                  6717,,                 38043,,                 86860,,                 11175,              2055699,,,                184799,,                114643,,              8805264,,                 13667,                 13667,                206301,,                172220,,                261711,                433931,              9758605,             11814304,,,,,                210000,,                  5058,,                310324,,                747728,                176757,,,                  6380,                  6380,                              0,                130960,                137340,              1587207,,,                372182,,                614411,,,                              0,                              0,              1136239,                 11266,                    252,              1147757,              2134350,              3721557,,,,              4835825,              4835825,,                447518,                    938,                  1370,                449826,,                373253,                346398,,              2059178,              2778829,,                 24550,                              0,              8089030,                              0,                  3717,              8092747,             11814304,              0,              0,              0,                  6717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,2014年12月31日,,,,                767452,,                409976,,                943919,,                 18432,,                 36669,,                 24192,,                 10159,              2210799,,,                179799,,                114784,,              8873653,,                 85042,                 85042,                209582,,                175218,,                283229,                458447,              9921307,             12132106,,,,,                141000,,                    879,,                479576,,              1047310,                124330,,,                  5601,                  5601,                 15376,                105805,                126782,              1919877,,,                160531,,                614411,,,                354684,                354684,              1153349,                 17836,                    252,              1526121,              2301063,              4220940,,,,              4835825,              4835825,,                447518,                    938,                  1370,                449826,,                373253,                346398,,              1793297,              2512948,,                 24550,                              0,              7823149,                 77735,                 10282,              7911166,             12132106,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,2014年09月30日,,,,                677231,,                411369,,                917748,,                 22148,,                 45432,,                 47222,,                 11920,              2133070,,,                179799,,                 99902,,              8755418,,                 85042,                 85042,                211455,,                178216,,                303939,                482155,              9813771,             11946841,,,,,                353000,,                  4007,,                460959,,                892138,                 75317,,,                  4873,                  4873,                 15317,                174095,                194285,              1979706,,,                158899,,                626933,,,                358550,                358550,              1161645,                 11636,                    252,              1532083,              2317915,              4297621,,,,              4835825,              4835825,,                447518,                    938,                  1370,                449826,,                373253,                353458,,              1532976,              2259687,,                 18421,                              0,              7563759,                 76640,                  8821,              7649220,             11946841,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,2014年06月30日,,,,                847855,,                391868,,                865699,,                 14737,,                 40476,,                 60200,,                 13359,              2234194,,,                179799,,                 99241,,              8620211,,                 85042,                 85042,                214290,,                181214,,                282059,                463273,              9661856,             11896050,,,,,                 49000,,                  2742,,                371886,,              1575381,                102058,,,                              0,                              0,                 15258,                150278,                165536,              2266603,,,                              0,,                626933,,,                362402,                362402,              1178468,                 11386,                    252,              1552508,              2179441,              4446044,,,,              4835825,              4835825,,                447518,                              0,                  1370,                448888,,                373253,                353458,,              1247136,              1973847,,                 17525,                              0,              7276085,                 76524,                 97397,              7450006,             11896050,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,2014年03月31日,,,,                932063,,                346494,,                770305,,                 19760,,                 41835,,                 58557,,                 10509,              2179523,,,                179799,,                 98729,,              8528390,,                 13667,                 13667,                214326,,                184212,,                263293,                447505,              9482416,             11661939,,,,,                126000,,                  2542,,                463634,,                685887,                166980,,,                              0,                              0,                 15199,                 99279,                114478,              1559521,,,                 90000,,                626933,,,                366239,                366239,              1197292,                 11086,                    251,              1574868,              2291801,              3851322,,,,              4835825,              4835825,,                447518,                              0,                  1370,                448888,,                284959,                353458,,              1777350,              2415767,,                 17525,                              0,              7718005,                              0,                 92612,              7810617,             11661939,              0,              0,              0,                 19760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2608,2013年12月31日,,,,,,                400560,,                841897,,                 27679,,                 38025,,                 20972,,                 14792,              2309810,,,                179799,,                 98887,,              8423851,,                 18639,                 18639,                217520,,                152750,,                369355,                522105,              9460801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                965885,             11770611,,,,                149000,,                              0,,                398985,,                966684,                127036,,,                              0,                 15140,                116927,                132067,              1773772,,,                170000,,                626933,,,                370060,                370060,              1214127,                 11352,                    253,              1595792,              2392725,              4166497,,,,              4835825,              4835825,,                448888,,              2206911,,                 17525,                              0,              7509149,                              0,                 94965,              7604114,                447518,                              0,                  1370,                284959,                353458,,              1568494,,,,,,,,,
2608,2013年09月30日,,,,,,                400195,,                830900,,                 27633,,                 37239,,                 38394,,                  7875,              2167321,,,                188759,,                 99319,,              8387023,,                 18639,                 18639,                229970,,                154402,,                246417,                400819,              9324529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                825085,             11491850,,,,                177000,,                  5440,,                328954,,                807746,                 76230,,,                              0,                 15082,                 94542,                109624,              1504994,,,                380000,,                626933,,,                373868,                373868,              1226835,                 11482,                    259,              1612444,              2619377,              4124371,,,,              4835825,              4835825,,                448888,,              2006600,,                -23496,                              0,              7267817,                              0,                 99662,              7367479,                447518,                              0,                  1370,                284959,                353458,,              1368183,,,,,,,,,
2608,2013年06月30日,,,,,,                490350,,                762419,,                162553,,                 40266,,                 74126,,                  7115,              2207392,,,                188759,,                 96991,,              8351840,,                 18639,                 18639,                235330,,                119489,,                274003,                393492,              9285051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                162553,                670563,             11492443,,,,                 34000,,                  8837,,                336002,,              1358572,                 95607,,,,                 15024,                 67021,                 82045,              1915063,,,                200000,,                626933,,,                377660,                377660,              1258251,                 11626,                    251,              1647788,              2474721,              4389784,,,,              4835825,              4835825,,                448888,,              1742996,,                -21264,                              0,              7006445,                              0,                 96214,              7102659,                447518,,                  1370,                284959,                353458,,              1104579,                  7115,,,,,,,,
