證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付員工紅利,　　　　　 應付董監事酬勞,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－認列對子公司所有權權益變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付員工紅利,　　　　 應付董監事酬勞,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　　　 一年或一營業週期內到期長期借款,　　　　 其他流動負債－其他,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付股利,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　　 遞延所得稅負債－所得稅
2345,2015年09月30日,,,,              5836368,,                              0,,                234728,,                130461,,              3406038,,                              0,,                165192,,              3652765,,                277862,,                 14411,             13717825,,,                155320,,                 57221,,                              0,,              1111447,,                  7435,,                147695,                155130,                 43026,,                  1650,                 28989,,                 57586,                 88225,              1610369,             15328194,,,,,                              0,,                  6918,,              6031067,,                196449,                 19758,                 44608,                700690,                961505,                105808,,                189966,,,                213363,,                              0,                213363,              7508627,,,                              0,,                 15144,                    877,                  2003,                 18024,                 18024,              7526651,,,,              5349329,              5349329,,,                547912,                 10951,                  5509,                 78735,                643107,,                493476,                269316,,                714949,              1477741,,,                327399,,                 47258,                374657,                 50999,              7793835,                  7708,              7801543,             15328194,              0,      2209867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,2015年06月30日,,,,              5362901,,,,                220529,,                 39379,,              3338687,,                              0,,                221685,,              2956766,,                256073,,                 22663,             12418683,,,                170548,,                 76020,,                              0,,              1131609,,                  7435,,                156209,                163644,                 87282,,                  5894,                 28804,,                 57586,                 92284,              1721387,             14140070,,,,,                              0,,                 10997,,              4971545,,                165262,                 21122,                 10984,                707335,              1477463,                 32490,,                200282,,,                169282,,                              0,                169282,              6862059,,,                              0,,                 16217,                    877,                  2003,                 19097,                 19097,              6881156,,,,              5349329,              5349329,,,                547912,                 10951,                 17396,                 69384,                645643,,                493476,                269316,,                334934,              1097726,,,                179102,,                 30897,                209999,                 50999,              7251698,                  7216,              7258914,             14140070,              0,      2209867,                572760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,2015年03月31日,,,,              4490318,,                  3477,,                213586,,                 16444,,              2984721,,                              0,,                165823,,              3166905,,                244385,,                 39686,             11325345,,,                177034,,                 47908,,                              0,,              1185409,,                  7435,,                164280,                171715,                147446,,                  8245,                 32662,,                 64585,                105492,              1835004,             13160349,,,,,                              0,,                              0,,              4193060,,                183960,                 16175,                  7933,                644663,                852731,                 17407,,                299129,,,                149478,,                              0,                149478,              5511805,,,                              0,,                 18446,                    877,                  2003,                 21326,                 21326,              5533131,,,,              5342879,              5342879,,,                543111,                  8575,,                 63731,                620926,,                429122,                253675,,                764706,              1447503,,,                225915,,                 33711,                259626,                 50999,              7619935,                  7283,              7627218,             13160349,              0,      2209867,,,                              0,                  5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,2014年12月31日,,,,              4485059,,                              0,,                103014,,                 16441,,              3818393,,                              0,,                263446,,              3286543,,                225122,,                 13425,             12211443,,,                164346,,                 59856,,                              0,,              1251948,,                  7435,,                176203,                183638,                147575,,                 18108,                 33901,,                 74582,                126591,              1933954,             14145397,,,,,                 94950,,                              0,,              5019939,,                166579,                 13859,                 44101,                783298,              1007837,                 54602,,                274537,,,                111359,,                              0,                111359,              6563224,,,                              0,,                 19424,                    877,                  2003,                 22304,                 22304,              6585528,,,,              5340804,              5340804,,,                542031,                  8575,                  5509,                 55253,                611368,,                429122,                253675,,                655131,              1337928,,,                288013,,                 25337,                313350,                 50999,              7552451,                  7418,              7559869,             14145397,              0,      2209867,                              0,,                              0,                  5509,              4485059,                 16441,,                              0,,                              0,                 59856,             14145397,,,,                 94950,,              5019939,,                              0,,                166579,                 13859,                 44101,                783298,              1007837,                              0,                 54602,,                274537,,,                111359,,                              0,                111359,              6563224,,,                              0,,                              0,,                 19424,                    877,                  2003,                 22304,                 22304,              6585528,,,,              5340804,              5340804,,,                542031,                  8575,                  5509,                 55253,                611368,,                429122,                253675,,                655131,              1337928,,,                288013,,                 25337,                313350,                 50999,              7552451,                  7418,              7559869,              0,,,,,,,,,,,
2345,2014年09月30日,,,,              4430442,,                     78,,                 43462,,                 22286,,              3129040,,                 12943,,                236825,,              3239025,,                244265,,                 34465,             11392831,,,                166500,,                 58872,,                 48897,,              1270622,,                  7435,,                 75168,                 82603,                142449,,                 13388,                 34037,,                 74576,                122001,              1891944,             13284775,,,,,                              0,,                              0,,              4864138,,                129002,                  8841,                 44875,                802756,                985474,                 13376,,                 61289,,,                121630,,                 48841,                170471,              6094748,,,                 48841,,                 33053,                  2609,                  2003,                 37665,                 86506,              6181254,,,,              5333604,              5333604,,,                530845,                  8575,                  5509,                 56466,                601395,,                429122,                253675,,                407645,              1090442,,,                100685,,                 16425,                117110,                 50999,              7091552,                 11969,              7103521,             13284775,              0,      2209867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,2014年06月30日,,,,              4611894,,,,                 51240,,                 22217,,              3689993,,                 15439,,                 93466,,              2761317,,                236136,,                 53534,             11535236,,,                166519,,                 37371,,                 47672,,              1293545,,                  7435,,                 85089,                 92524,                142310,,                 29715,                 36563,,                 74575,                140853,              1920794,             13456030,,,,,                              0,,                              0,,              4720282,,                162073,                 19025,                 54291,                597112,              1317906,                 27222,,                 57707,,,                 95922,,                 79495,                175417,              6298534,,,                166560,,                 33275,                    929,                  2003,                 36207,                202767,              6501301,,,,              5318499,              5318499,,,                521273,                  6559,                  5509,                 61158,                594499,,                429122,                253675,,                343078,              1025875,,,                 26139,,                 24202,                 50341,                 50999,              6938215,                 16514,              6954729,             13456030,              0,      2209867,                485405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,2014年03月31日,,,,              4702872,,                              0,,                 70103,,                 22374,,              3144409,,                 21693,,                163547,,              2918181,,                246168,,                 42196,             11331543,,,                167283,,                 36398,,                 45860,,              1341824,,                  7435,,                 89436,                 96871,                142464,,                 19235,                 34645,,                 74575,                128455,              1959155,             13290698,,,,,                              0,,                    337,,              4632169,,                179220,                 15687,                 32500,                563606,                791013,                 59237,,                 46507,,,                120265,,                 81105,                201370,              5732888,,,                169934,,                 33760,                  1353,                  2003,                 37116,                207050,              5939938,,,,              5310079,              5310079,,,                515709,                  6559,,                 65512,                593289,,                375188,                253675,,                728534,              1357397,,,                106792,,                 18369,                125161,                 50999,              7334927,                 15833,              7350760,             13290698,              0,      2209867,,,                  2255,                  5509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2345,2013年12月31日,,,,,,                  1997,,                 53386,,,,              2932771,,                 14843,,                294221,,              3035431,,                248534,,                 10173,             11552669,,,                179766,,,,                 44507,,              1382698,,                  7435,,                 99680,                107115,                159045,,                  9664,                 35960,,                 74571,                120195,              1993326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2209867,,,,,              4271163,                 22125,,                     25,,                668000,                              0,             13545995,,,,                              0,,              4895290,,                  1793,,                149890,                 11696,                 23191,                828213,              1012990,                     14,                 62684,,                 46473,,,                 98884,,                 47854,                146738,              6165982,,,                221633,,                 16752,,                 34178,                 16971,                  2003,                 53152,                291537,              6457519,,,,              5300619,              5300619,,,                509297,                  6559,                  5509,                 70374,                591739,,                375188,                253675,,                539339,              1168202,,,                 46727,,                 17784,                 64511,                 50999,              7074072,                 14404,              7088476,              0,,,,,,,,,,,
2345,2013年09月30日,,,,,,                     68,,                 89396,,,,              3432732,,                 24438,,                130624,,              2902943,,                289405,,                 24830,              9995044,,,                122065,,,,                 56840,,              1472948,,                  7435,,                104321,                111756,                157275,,                 11081,                 32856,,                 73366,                117303,              2662962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2209867,,,,,              3078460,                 22013,,                    135,,                              0,                              0,             12658006,,,,,,              4465150,,                  1768,,                128304,                  8691,                 23191,                574138,                734324,                 12421,                 63894,,                 48173,,,                123197,,                 47476,                170673,              5496403,,,                219886,,                 16788,,                 41610,                 17213,                  2003,                 60826,                297500,              5793903,,,,              5292009,              5292009,,,                504156,                  6560,                  2105,                 74150,                586971,,                375188,                253675,,                375120,              1003983,,,                 -5607,,                 27333,                 21726,                 50999,              6853690,                 10413,              6864103,              0,,                624775,                 47476,                              0,,,,,,,
2345,2013年06月30日,,,,,,                     38,,                230969,,,,              3944485,,                 19329,,                193078,,              2957220,,                288689,,                 25516,             11032126,,,                130217,,,,                 54930,,              1525724,,                  7435,,                111944,                119379,                157471,,                  1536,                 36905,,                 73366,                111807,              2728678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      2209867,,,,,              3349711,                 22977,,                    114,,                              0,                              0,             13760804,,,,,,              4722774,,                  1405,,                160017,                 24692,                 12232,                636432,              1619432,                 13204,                 23103,,                 47003,,,                116239,,                 48167,                164406,              6591327,,,                247167,,                 16897,,                 41739,                 17309,                  2593,                 61641,                325705,              6917032,,,,              5262904,              5262904,,,                474756,                  3258,                  2105,                 98548,                578667,,                375188,                253675,,                239535,                868398,,,                 93390,,                 81103,                174493,                 50999,              6833463,                 10309,              6843772,              0,,                629150,                 48167,                              0,,                              0,                786059,,,,
