證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 本期所得稅負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 其他應付款－其他,　　　　 存入保證金,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
6235,2015年09月30日,,,,                469722,,                 13801,,                 13496,,                541281,,                 23681,,                  6401,,                    120,,                166174,,                  1760,                 32442,                 34202,,                 33012,              1301890,,,                              0,,                              0,,                385519,,                612198,,,                    762,                    762,                              0,,                 60197,,                 38452,                 98649,              1097128,              2399018,,,,,                332605,,                  7843,,                301201,,                  8566,,                252534,                252534,                 34875,,                 18031,,                 16954,                 16954,                972609,,,                115146,,                 35325,                 35325,                150471,              1123080,,,,              1614526,              1614526,,                 19822,,,               -606844,               -606844,,                248434,              1275938,              1275938,              2399018,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,2015年06月30日,,,,                481789,,                  1016,,                 16066,,                447704,,                 29449,,                 13575,,                    721,,                124764,,                  1717,,                  1717,,                 34751,              1151552,,,                              0,,                 12451,,                402457,,                614220,,,                    327,                    327,                              0,,                 59174,,                 42723,                101897,              1131352,              2282904,,,,,                388375,,                  4269,,                223903,,                  5092,,                214502,                214502,                 34955,,                 17451,,                 24187,                 24187,                912734,,,                106686,,                 15638,                 15638,                122324,              1035058,,,,              1614526,              1614526,,                 19001,,,               -592811,               -592811,,                207130,              1247846,              1247846,              2282904,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,2015年03月31日,,,,                423325,,                  1022,,                 20516,,                491868,,                 21608,,                 11607,,                    960,,                101476,,                  1727,,                  1727,,                 25462,              1099571,,,                              0,,                 12525,,                458253,,                625189,,,                    493,                    493,                              0,,                 59958,,                 45445,                105403,              1201863,              2301434,,,,,                420145,,                  3019,,                220922,,                  2937,,                239566,                239566,                 22062,,                 17900,,                 15365,                 15365,                941916,,,                108176,,                 16204,                 16204,                124380,              1066296,,,,              1614526,              1614526,,                 17962,,,               -611738,               -611738,,                214388,              1235138,              1235138,              2301434,              0,              0,                              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,2014年12月31日,,,,                404311,,                  2281,,                 16060,,                482655,,                 13390,,                 16364,,                    646,,                133056,,                  1752,                              0,                  1752,,                 26634,              1097149,,,                  4213,,                 12700,,                506805,,                638737,,,                  1041,                  1041,                              0,,                 61231,,                 41100,                102331,              1265827,              2362976,,,,,                393938,,                  6252,,                216654,,                  1435,,                283222,                283222,                 41580,,                 18264,,                 18903,                 18903,                980248,,,                109956,,                 18182,                 18182,                128138,              1108386,,,,              1614526,              1614526,,                 15669,,,               -598689,               -598689,,                223084,              1254590,              1254590,              2362976,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,2014年09月30日,,,,                442413,,                  3661,,                 21173,,                338483,,                 14373,,                  6289,,                 75445,,                 98498,,                  1672,                              0,                  1672,,                 36899,              1038906,,,                  4213,,                 13109,,                526527,,                635598,,,                  1589,                  1589,                    627,,                 58854,,                 41686,                100540,              1282203,              2321109,,,,,                440409,,                  4141,,                161305,,                  1279,,                296588,                296588,                 32716,,                 17883,,                 23444,                 23444,                977765,,,                102986,,                 17552,                 17552,                120538,              1098303,,,,              1614526,              1614526,,                 13376,,,               -594143,               -594143,,                189047,              1222806,              1222806,              2321109,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,2014年06月30日,,,,                406149,,                  4133,,                 21176,,                382183,,                 12987,,                 33379,,                 60456,,                 93192,,                  1643,,                  1643,,                 50705,              1066003,,,                  4213,,                 12884,,                559628,,                638528,,,                    934,                    934,                    627,,                 58255,,                 37463,                 95718,              1312532,              2378535,,,,,                490008,,                  4929,,                142335,,                  2018,,                274359,                274359,                 34763,,                 17920,,                 27244,                 27244,                993593,,,                100296,,                  6540,                  6540,                106836,              1100429,,,,              1614526,              1614526,,                 11083,,,               -523444,               -523444,,                175941,              1278106,              1278106,              2378535,              0,              0,                     17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,2014年03月31日,,,,                426907,,                 11952,,                 15870,,                581243,,                 21352,,                  7406,,                    792,,                 74328,,                  1676,,                  1676,,                 57085,              1198611,,,                  4213,,                  2182,,                687919,,                653580,,,                    689,                    689,                    627,,                 59839,,                 35424,                 95263,              1444473,              2643084,,,,,                550706,,                  5318,,                230488,,                  4232,,                275345,                275345,                 53382,,                 18502,,                 24059,                 24059,              1164936,,,                103686,,                  6540,                  6540,                110226,              1275162,,,,              1614526,              1614526,,                  8790,,,               -447843,               -447843,,                192449,              1367922,              1367922,              2643084,              0,              0,                    747,,                  2157,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6235,2013年12月31日,,,,,,,,                 13701,,                722290,,                 23142,,                  8249,,                  1286,,                104931,,                  1660,,                  1660,,                117398,              1361149,,,                  4213,,,,                721426,,                658840,,,                  1046,                  1046,                    627,,                 59687,,                 45805,                105492,              1493805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,                356653,                 11839,                  2161,              2854954,,,,                604990,,                  7605,,                278440,,                  5476,,                336727,                 59364,                  7380,,                 18867,,                 26102,                 26102,              1344951,,,                100906,,                  6540,                107446,              1452397,,,,              1614526,              1614526,,                  6497,,,               -397377,               -397377,,                178911,              1402557,              1402557,,,,
6235,2013年09月30日,,,,,,,,                 12357,,                528305,,                 23819,,                  6973,,                  1225,,                130980,,,,,,                 97802,              1150962,,,                  4213,,,,                758801,,                663602,,,                  1403,                  1403,                    627,,                 59332,,                 12339,                 71671,              1503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,                340239,                  9262,                  3589,              2654868,,,,                431995,,                  4747,,                243220,,                  9130,,                351659,                 93917,                  2053,,                 19612,,                 24962,                 24962,              1181295,,,                 98879,,                  6540,                105419,              1286714,,,,              1614526,              1614526,,                  4204,,,               -419576,               -419576,,                169000,              1368154,              1368154,                351659,                  6540,,
6235,2013年06月30日,,,,,,,,                 15740,,                593156,,                 61492,,                  1794,,                  1590,,                171537,,,,,,                 67213,              1335285,,,                  5000,,,,                826980,,                674467,,,                  1529,                  1529,                    627,,                 60483,,                 15553,                 76036,              1588812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,              0,                413926,                  8837,                  4173,              2924097,,,,                580111,,                  2950,,                282936,,                 10043,,                328274,                 66265,                  5220,,                 22648,,                 29310,                 29310,              1327757,,,                101796,,                  6540,                108336,              1436093,,,,              1614526,              1614526,,                  2166,,,               -311926,               -311926,,                183238,              1488004,              1488004,                328274,                  6540,,
