證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 存入保證金,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 當期所得稅資產合計,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　 庫藏股票,　　 共同控制下前手權益,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 待分配股票股利,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計
6226,2015年09月30日,,,,                236421,,                              0,,                 24200,,                 10594,,                449973,,                  5096,,                532871,,                 41021,,                160349,              1460525,,,                              0,,                              0,,                 40324,,                685312,,                 37132,                 52454,,                149736,                964958,              2425483,,,,,                391841,,                  6750,,                184882,                108588,                  2426,,                190425,                884912,,,                196250,,                178866,,                 15356,,                 11149,,                    419,                402040,              1286952,,,,                937814,                937814,,,                 36491,                 19767,                 56258,,                  5264,,                 14902,                 20166,,                 48902,                  9877,              1053263,                 85268,              1138531,              2425483,              0,              0,      1334000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,2015年06月30日,,,,                194837,,                              0,,                 31230,,                 10355,,                449305,,                  4464,,                479437,,                 30570,,                158178,              1358376,,,                     20,,                              0,,                 44459,,                667555,,                 41482,                 48226,,                169226,                970968,              2329344,,,,,                404381,,                  7032,,                194005,                 91841,                  2426,,                133404,                833089,,,                195817,,                162161,,                 15304,,                  4046,,                    408,                377736,              1210825,,,,                921393,                937814,,,                 36491,                 19767,                 56258,,                  5264,,                 11201,                 16465,,                 26359,                  1459,              1035437,                 83082,              1118519,              2329344,              0,              0,        184000,                 16421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,2015年03月31日,,,,                236445,,                              0,,                 40184,,                 13916,,                416182,,                  4468,,                460544,,                 31462,,                167797,              1370998,,,                     39,,                              0,,                 40952,,                508460,,                 41108,                 44590,,                168826,                803975,              2174973,,,,,                363751,,                  5429,,                148464,,                  2426,,                235649,                755719,,,                195385,,                 35387,,                 15251,,                  4096,,                    412,                250531,              1006250,,,,                921393,                921393,,,                 36988,                 19767,                 56755,,,,,                 70591,,                 35616,,              1084355,                 84368,              1168723,              2174973,              0,              0,              0,,                    412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,2014年12月31日,,,,                286266,,                              0,,                  5636,,                  6440,,                439220,,                    143,,                456130,,                 30531,,                176788,              1401154,,,                    117,,                              0,,                 42378,,                528324,,                 41766,                 44820,,                139494,                796899,              2198053,,,,,                348328,,                 10293,,                157987,                117631,                  2426,,                133483,                770148,,,                194952,,                 17375,,                 15200,,                  8028,,                    409,                235964,              1006112,,,,                921393,                921393,,,                 36988,                 19767,                 56755,,                  2343,,                 87802,                 90145,,                 37886,                              0,              1106179,                 85762,              1191941,              2198053,              0,              0,              0,                              0,,                286266,,                              0,                    143,                166018,                 10770,              2198053,,,,                348328,,                 10293,,                157987,                  2426,,,                 11699,,                 36916,                 36916,                202499,                251114,                770148,,,                194952,,                 17375,,                 21704,,                  8028,,                    409,                    409,                242468,              1012616,,,,                921393,                921393,,,                 36988,                 19767,                 56755,,                  2343,,                 81298,                 83641,,,                 37865,,                     21,                 37886,              1099675,                 85762,              1185437,,,,,,,,,,,,,,,,
6226,2014年09月30日,,,,                201078,,                              0,,                  1941,,                  7335,,                432374,,                    540,,                434293,,                 31890,,                135442,              1244893,,,                              0,,                              0,,                 41793,,                531112,,                 39930,                 34045,,                155457,                802337,              2047230,,,,,                313864,,                  6861,,                161578,                111393,                  3956,,                151345,                748997,,,                              0,,                111224,,                 16528,,                  3686,,                    426,                131864,                880861,,,,                921393,                921393,,,                 36988,                 19592,                 56580,,                  2343,,                 82156,                 84499,,                 16633,                              0,              1079105,                 87264,              1166369,              2047230,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,2014年06月30日,,,,                217734,,                              0,,                  1770,,                  9684,,                416789,,                  1883,,                413168,,                 22812,,                122570,              1206410,,,                              0,,                              0,,                 41298,,                516632,,                 38792,                 35513,,                179440,                811675,              2018085,,,,,                298115,,                  5731,,                188732,                124257,                  4758,,                152731,                774324,,,                              0,,                113929,,                 16475,,                  2875,,                    412,                133691,                908015,,,,                910652,                921393,,,                 36988,                 19592,                 56580,,                  2343,,                 67421,                 69764,,                 -2184,                              0,              1045553,                 64517,              1110070,              2018085,              0,              0,              0,                 10741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,2014年03月31日,,,,                156738,,                              0,,                              0,,                  7579,,                324332,,                  3247,,                413913,,                 19285,,                 94994,              1020088,,,                              0,,                  6168,,                 41750,,                539909,,                 39881,                 40002,,                186307,                854017,              1874105,,,,,                434466,,                  5119,,                152994,,                              0,,                272127,                864706,,,                              0,,                103874,,                 16425,,                  4435,,                    473,                125207,                989913,,,,                710652,                710652,,,                 12803,                 19592,                 32395,,,,,                 68614,,                 10732,,                822393,                 61799,                884192,              1874105,              0,              0,              0,,                    473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6226,2013年12月31日,,,,,,,,                  3712,,                  9780,,                347757,,,,                413531,,                 23314,,                 81121,              1044709,,,                              0,,                  6168,,                 42333,,                554169,,                 40974,                 43609,,                208322,                895575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                164608,,                    743,                    143,                 70027,                 11094,              1940284,,,,                447175,,                  8092,,                152098,                              0,,,                  9619,,                 68394,                 68394,                219484,                297497,                904862,,,                              0,,                113110,,                 21627,,                  9069,,                    471,                    471,                144277,              1049139,,,,                710652,                710652,,,                 12803,                 19592,                 32395,,                              0,,                 72910,                 72910,,,                 12530,,                    535,                 13065,                829022,                 62123,                891145,,                              0,,                              0,                              0,                              0,                              0,,                144549,                 36607,,                 27166,                              0,,                              0,                              0
6226,2013年09月30日,,,,,,,,                  4024,,                  7893,,                390057,,,,                728766,,                 64894,,                 98504,              1412767,,,,,                  6168,,                 42970,,                557874,,                 40624,                 44118,,                161265,                853019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        504000,,,                118005,,                    624,                              0,,,              2265786,,,,                417320,,                 11415,,                150340,                  3895,,,                397202,,                 81199,                 81199,                212645,                691046,              1274016,,,,,                124190,,                 21634,,                 15337,,                    428,                    428,                161589,              1435605,,,,                710652,                710652,,,,,                 31946,,                              0,,                 53518,                 53518,,,,,,                  1060,                792756,                 37425,                830181,,                              0,,                              0,                              0,                  4420,                              0,,,,,,,,,
6226,2013年06月30日,,,,,,,,                  4198,,                  8865,,                412570,,,,                812905,,                 74869,,                 99020,              1565005,,,,,                  6168,,                 43805,,                568188,,                 42230,                 38742,,                159003,                858136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        504000,,,                151934,,                    644,                              0,                 93222,                  5798,              2423141,,,,                415954,,                 12135,,                165884,                  4967,,,                525602,,                 99031,                222431,                154476,                902509,              1502115,,,,,                 51317,,                 21647,,                 18304,,                    441,                    441,                 91709,              1593824,,,,                909926,                909926,,,,,                 31946,,                              0,,               -148486,               -148486,,,                  7692,,                  1021,                  8713,                797679,                 31638,                829317,,                              0,,                    666,                123400,                  4420,                              0,,                 89791,                 37016,,                 32196,                              0,,                              0,                              0
