證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 應收所得稅退稅款,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他應付款項－關係人,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 無活絡市場之債券投資－流動淨額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 待分配股票股利,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　 應付票據,　　　　 應付票據合計
6152,2015年09月30日,,,,              1417543,,                              0,,                 39882,,              1801736,,                     83,,                 43158,,                 30875,,                     97,                     97,,              1192891,,                217761,,                 45081,              4789107,,,                 16128,,                 40672,,              1535616,,                  9719,                    598,,                113716,              1716449,              6505556,,,,,              1221628,,              1700701,,                              0,,                347053,                 10772,,                375838,              3655992,,,                210075,,                 81818,,                 31664,                323557,              3979549,,,,              1724005,              1724005,,                613292,,                249864,,               -275250,                -25386,,                251666,                 58448,              2505129,                 20878,              2526007,              6505556,              0,      5317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,2015年06月30日,,,,              1197751,,,,                131354,,              1949543,,                    107,,                 30833,,                 29296,,                     97,                     97,,              1149527,,                171565,,                 39820,              4699893,,,                 16128,,                 39847,,              1531642,,                  9985,                 10053,,                 99917,              1707572,              6407465,,,,,              1033807,,              1761784,,                  2294,,                274674,                  9667,,                388039,              3470265,,,                231502,,                 93344,,                 30207,                355053,              3825318,,,,              1724005,              1724005,,                613292,,                249864,,               -206354,                 43510,,                222503,                 40484,              2562826,                 19321,              2582147,              6407465,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,2015年03月31日,,,,              1162259,,,,                308257,,              1628876,,                     18,,                 41953,,                 35018,,,,,              1359287,,                259205,,                 33697,              4828570,,,                 16128,,                 43767,,              1553930,,                 11153,                  8131,,                112091,              1745200,              6573770,,,,,                778895,,              2064407,,                              0,,                267239,                  8754,,                430867,              3550162,,,                232781,,                 91895,,                 30594,                355270,              3905432,,,,              1724005,              1724005,,                613292,,                249864,,               -104390,                145474,,                206780,                 40484,              2649067,                 19271,              2668338,              6573770,              0,      3000000,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,2014年12月31日,,,,              1099674,,                              0,,                143765,,              2188702,,                    620,,                  6231,,                 35368,,                     83,                     83,,              1219274,,                196710,,                 26215,              4916642,,,                 16128,,                 47233,,              1609505,,                 11395,                  8784,,                121039,              1814084,              6730726,,,,,                751114,,              2031498,,                              0,,                323072,                 19292,,                402727,              3527703,,,                244707,,                118719,,                 30594,                394020,              3921723,,,,              1724005,              1724005,,                613292,,                249864,,                 12618,                262482,,                217983,                 28903,              2788859,                 20144,              2809003,              6730726,              0,      2179000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,2014年09月30日,,,,              1367866,,                  9915,,                 53782,,              1374992,,                  8719,,                    874,,                 58383,,                              0,                              0,,              1085550,,                181997,,                 79304,              4221382,,,                 16128,,                 54683,,              1493712,,                 12171,                 25957,,                128356,              1731007,              5952389,,,,,                535810,,              1366525,,                  1811,,                287865,                 25642,,                394038,              2611691,,,                293499,,                132601,,                 64342,                490442,              3102133,,,,              1724005,              1724005,,                613292,,                249864,,                 55847,                305711,,                186918,                              0,              2829926,                 20330,              2850256,              5952389,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,2014年06月30日,,,,              1470024,,,,                165346,,              1348365,,                  1053,,                  5693,,                 64889,,                              0,                              0,,                925676,,                180794,,                 17292,              4179132,,,                 16128,,                 63312,,              1470864,,                 12664,                 17462,,                106887,              1687317,              5866449,,,,,                341272,,              1101980,,                  2709,,                592472,                 26734,,                435853,              2501020,,,                257169,,                135926,,                 64342,                457437,              2958457,,,,              1724005,              1724005,,                613292,,                249864,,                158321,                408185,,                142242,                              0,              2887724,                 20268,              2907992,              5866449,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,2014年03月31日,,,,              1477270,,,,                198234,,              1596284,,                    620,,                  2408,,                 66114,,,,,              1192691,,                133764,,                 17589,              4684974,,,                 16128,,                 67827,,              1483274,,                 13227,                 13359,,                106100,              1699915,              6384889,,,,,                417938,,              1353260,,                 14385,,                343683,                 60792,,                522236,              2712615,,,                217871,,                138405,,                 64342,                420618,              3133233,,,,              1724005,              1724005,,                613292,,                214977,,                514237,                729214,,                164792,                              0,              3231303,                 20353,              3251656,              6384889,              0,              0,                    321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6152,2013年12月31日,,,,,,,,                218293,,              2387766,,                    506,,                  2056,,                 68260,,,,,              1465530,,                155386,,                 15342,              5897048,,,                 16128,,                 73902,,              1483602,,                 15161,                 16201,,                115149,              1720143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1583909,              7617191,,,,                574421,,              2148431,,                 10865,,                460481,                    321,                 76970,,                533117,              3804606,,,                268805,,                163555,,                 64342,                496702,              4301308,,,,              1724005,              1724005,,                613292,,                214977,,                549105,                764082,,                194242,                              0,              3295621,                 20262,              3315883,              0,                              0,,                              0,                              0,,,,,,,,,,,,,
6152,2013年09月30日,,,,,,,,                127835,,              2259417,,                    767,,                  2352,,                 69489,,,,,              1632554,,                149000,,                 50068,              5749778,,,                 16646,,                 53015,,              1393876,,                 16443,                 14687,,                109444,              1604111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1458296,              7353889,,,,                617330,,              1906203,,                  9663,,                385664,                    321,                 88437,,                573312,              3610891,,,                324833,,                140279,,                 68609,                533721,              4144612,,,,              1724005,              1724005,,                613292,,                214977,,                478235,                693212,,                157612,,              3188121,                 21156,              3209277,              0,                              0,,                 29961,,,,,,,,,,,,,,
6152,2013年06月30日,,,,,,,,                381647,,              2966590,,                    483,,                 19690,,                 70193,,,,,              1744112,,                166668,,                  9221,              6796339,,,                 22526,,                 51412,,              1403857,,                 17936,                 12689,,                 72611,              1581031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              1427920,              8377370,,,,                578566,,              2643723,,                 15463,,                745439,                    321,                111563,,                529206,              4644266,,,                322055,,                147790,,                 69099,                538944,              5183210,,,,              1641909,              1724005,,                613292,,                214977,,                447356,                662333,,                174256,,              3173886,                 20274,              3194160,              0,                  9815,,                 19985,                 82096,,,,,,,,,,,,,
