證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 其他應收款,　　　　 其他應收款淨額,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 長期應付款－關係人,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　 應付公司債,　　　　 應付公司債合計,　　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞
1459,2015年09月30日,,,,                584753,,                              0,,              1193231,,                155569,,                215806,,                405990,,                 37535,,                174564,                  2027,                176591,              2769475,,,                 96846,,                249543,,                 10000,,              3089043,,                567830,                  3910,,                 40146,,                112772,                152918,              4170090,              6939565,,,,,              1038584,,                694790,,                  8821,,                 25000,,                118282,                 31418,,,                323752,                 33866,                357618,              2274513,,,                832778,,                 47349,,,                262469,                  3474,                 19236,                285179,              1165306,              3439819,,,,              3586289,              3586289,,,                161411,                153093,                314504,,                103576,                369876,,                333664,                807116,,               -846963,                514925,              3346021,                153725,              3499746,              6939565,              0,              0,     41344531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2015年06月30日,,,,                870721,,                    349,,              1443487,,                157478,,                196250,,                405118,,                 48686,,                 32473,                  8466,                 40939,              3163030,,,                106337,,                253863,,,,              3076723,,                568498,                  6406,,                 40145,,                108666,                148811,              4160638,              7323668,,,,,              1149257,,                625633,,                  9368,,                 29697,,                432873,                 34743,,,                 89039,                 31175,                120214,              2401785,,,                958181,,                 39125,,,                252089,                  3433,                 19242,                274764,              1272070,              3673855,,,,              3586289,              3586289,,,                161411,                126584,                287995,,                103576,                369876,,                294366,                767818,,               -609782,                526664,              3505656,                144157,              3649813,              7323668,              0,              0,     43081531,,                      2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2015年03月31日,,,,                764425,,                              0,,              1584183,,                137501,,                215253,,                360318,,                 38526,,                 36276,                  5766,                 42042,              3145315,,,                113819,,                270243,,,,              3147057,,                570011,                  6258,,                 40146,,                111531,                151677,              4259065,              7404380,,,,,              1167148,,                424846,,                  7906,,                 53625,,                116733,                 44759,,,                139933,                 55950,                195883,              2010900,,,              1012446,,                 41612,,,                254504,                  3391,                 19242,                277137,              1331195,              3342095,,,,              3586289,              3586289,,,                161411,                126584,                287995,,                 85984,                459521,,                302683,                848188,,               -279531,                526664,              3916277,                146008,              4062285,              7404380,              0,              0,     43081531,,                  3067,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2014年12月31日,,,,              1145004,,                    105,,              1587342,,                176113,,                204422,,                337003,,                 31761,,                 27119,                 31985,                 59104,              3540854,,,                111810,,                270243,,                              0,,              3221263,,                571509,                  4129,,                 40146,,                112909,                153055,              4332009,              7872863,,,,,              1253955,,                674744,,                  8698,,                 21924,,                128115,                 31940,,,                              0,                 41141,                 41141,              2160517,,,              1256480,,                 41844,,,                256658,                  3349,                 19243,                279250,              1577574,              3738091,,,,              3586289,              3586289,,,                161411,                126584,                287995,,                 85984,                459521,,                214174,                759679,,               -118475,                526664,              3988824,                145948,              4134772,              7872863,              0,              0,     43081531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2014年09月30日,,,,                569015,,                    215,,              1486526,,                191093,,                200698,,                436719,,                 49424,,                482000,                 25466,                507466,              3441156,,,                109254,,                300663,,                              0,,              3222720,,                572312,                  3967,,                 40145,,                110003,                150148,              4359064,              7800220,,,,,              1478410,,                649820,,                  8551,,                 48750,,                127508,                 24305,,,                              0,                 20186,                 20186,              2357530,,,              1252539,,                 33775,,,                249826,                  1841,                 19326,                270993,              1557307,              3914837,,,,              3586289,              3586289,,,                161411,                126584,                287995,,                 85984,                459521,,                182070,                727575,,               -335633,                526664,              3739562,                145821,              3885383,              7800220,              0,              0,     43081531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2014年06月30日,,,,                442038,,                              0,,              1553909,,                219509,,                154907,,                390024,,                 20798,,                555863,                164126,                719989,              3501228,,,                124644,,                300663,,,,              3216820,,                556612,                  4614,,                 40145,,                108889,                149034,              4352387,              7853615,,,,,              1393907,,                449782,,                  8346,,                 54376,,                357820,                 12747,,,                              0,                 40800,                 40800,              2317778,,,              1247005,,                 27057,,,                240523,                  1799,                 19253,                261575,              1535637,              3853415,,,,              3586289,              3586289,,,                161411,                112250,                273661,,                 85984,                459521,,                 76608,                622113,,               -100175,                526664,              3855224,                144976,              4000200,              7853615,              0,              0,     43081531,,                     54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2014年03月31日,,,,                410137,,                              0,,                651659,,                298769,,                211387,,                380200,,                 40023,,                562612,                  6216,                568828,              2563437,,,                 94913,,                305462,,,,              3302640,,                557807,                  4268,,                 40147,,                111096,                151243,              4416333,              6979770,,,,,              1165747,,                 99978,,                  7819,,                 38065,,                 94433,                 20326,,,                              0,                 33657,                 33657,              1460465,,,              1249617,,                 31548,,,                244494,                  1756,                 19197,                265447,              1546612,              3007077,,,,              3586289,              3586289,,,                161411,                112250,                273661,,                 68367,                454354,,                200198,                722919,,               -228881,                526664,              3827324,                145369,              3972693,              6979770,              0,              0,     43081531,,                  2434,,                    440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1459,2013年12月31日,,,,,,                              0,,                643139,,                336206,,                231992,,                390403,,                 39456,,                292591,                 22813,                315404,              2669232,,,                 85185,,                305462,,,,              3369901,,                559001,                  3913,,                 40140,,                106512,                146652,              4470114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     43081531,,,,,                712518,                    114,              7139346,,,,                951283,,                449843,,                     28,,                  7871,,                 31787,,                114282,                185341,                 17094,,                 21068,                 21068,              1778597,,,              1250824,,                 33059,,,                 60822,                  1718,                 19131,                 81671,              1365554,              3144151,,,,              3586289,              3586289,,,                161411,                112250,                273661,,                 68367,                454354,,                187700,                710421,,               -193787,                526664,              3849920,                145275,              3995195,,,,,,,,,,,,,
1459,2013年09月30日,,,,,,                              0,,              1145567,,                256811,,                207747,,                498082,,                 54764,,                163947,                     15,                163962,              2851821,,,                 83280,,                311468,,,,              3382665,,                560196,                  5790,,                 40140,,                106391,                146531,              4489930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     43081531,,,,,                503090,                  3723,              7341751,,,,              1028783,,                614908,,                     45,,                  6280,,                 41843,,                105411,                333319,                  1849,,                 20735,                 20735,              2153173,,,              1249034,,                 29638,,,                 60170,                    656,                 19106,                 79932,              1358604,              3511777,,,,              3586289,              3586289,,,                161411,                112250,                273661,,                 68367,                454354,,                 42776,                565497,,               -214158,                526664,              3684625,                145349,              3829974,,                 18075,,,,,,,,,,,
1459,2013年06月30日,,,,,,,,              1225865,,                302304,,                155804,,                548767,,                 24613,,                277631,                  6824,                284455,              2953859,,,                102298,,                311468,,,,              3457877,,                561390,                  5526,,                 40142,,                105736,                145878,              4584437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     43081531,,,,,                401112,                    255,              7538296,,,,              1116096,,                660785,,                     41,,                              0,,                 24941,,                131792,                406042,                  3964,,                 24427,                178666,              2522327,,,              1100000,,                 32511,,,                 62044,                    614,                 19160,                 81818,              1214329,              3736656,,,,              3586289,              3586289,,,                161411,                108155,                269566,,                 68367,                454354,,                 -8034,                514687,,               -193835,                526664,              3650043,                151597,              3801640,,                 10684,,                154239,,,,,,,,,
