證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　　 預付投資款,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 現金及約當現金合計,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計
3050,2015年09月30日,,,,                660686,,                 67739,,                 15552,,                176823,,                              0,,                 47671,,                 10500,,                 28822,              1007793,,,                306300,,                293288,,                180701,,                991666,,                161203,,                    567,                 24143,,                 13419,              1971287,              2979080,,,,,                148864,,                  2985,,                              0,,                 33058,,                  8784,,                 85220,                 11866,,,                129000,                129000,                 16535,                145535,                436312,,,                217500,,                              0,,                 44561,                 14139,                 58700,                276200,                712512,,,,              1680671,              1680671,,                461165,,                              0,                              0,,                 91868,                 91868,,,                 17100,,                 67077,                 84177,                 51313,              2266568,                              0,              2266568,              2979080,      7000000,              0,      7000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,2015年06月30日,,,,                690137,,                 71630,,                 15857,,                168389,,                              0,,                 47180,,                 13800,,                 27705,              1034698,,,                336608,,                293288,,                155953,,              1004887,,                161721,,                    697,                 27342,,                 13994,              1994490,              3029188,,,,,                108008,,                  1503,,                              0,,                 46731,,                  1209,,                 82260,                  4400,,,                156500,                156500,                 14082,                170582,                414693,,,                231000,,                              0,,                 44708,                 13574,                 58282,                289282,                703975,,,,              1780671,              1780671,,                433911,,,,,                 68272,                 68272,,,                 15249,,                 99586,                114835,                 72476,              2325213,                              0,              2325213,              3029188,              0,              0,     10000000,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,2015年03月31日,,,,                474108,,                 60171,,                 20216,,                182999,,                    143,,                 42991,,                 13800,,                 42329,                836757,,,                453308,,                310073,,                168407,,              1022639,,,,                    827,                 27901,,                161739,              2144894,              2981651,,,,,                128764,,                              0,,                  1522,,                 38087,,                 14185,,                 72963,,,,                208000,                208000,                 13629,                221629,                477150,,,                145000,,                    105,,                 44837,                 13363,                 58200,                203305,                680455,,,,              1780671,              1780671,,                493671,,                              0,                              0,,                -43270,                -43270,,,                 21155,,                 48969,                 70124,                              0,              2301196,                              0,              2301196,              2981651,              0,              0,              0,,,                147089,,                 14650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,2014年12月31日,,,,                446913,,                 53234,,                  8690,,                140786,,                              0,,                 46316,,                              0,,                 16372,                712311,,,                418216,,                310073,,                179144,,              1055227,,                              0,,                    840,                 29336,,                 15310,              2008146,              2720457,,,,,                100053,,                              0,,                  5797,,                 35546,,                  3031,,                 79510,                              0,,,                191000,                191000,                  5878,                196878,                420815,,,                 47500,,                    929,,                 45011,                 12623,                 57634,                106063,                526878,,,,              1780671,              1780671,,                493671,,                              0,                              0,,                -59760,                -59760,,,                 27753,,                -48756,                -21003,                              0,              2193579,                              0,              2193579,              2720457,              0,              0,              0,,                              0,                              0,,                 15310,                446913,,                              0,              2720457,,,,                100053,,                  5797,,                 35546,,                  3031,,                 79510,,,                191000,                191000,                  5878,                196878,                420815,,,                 47500,,                    929,,                 45011,                 12623,                 57634,                106063,                526878,,,,              1780671,              1780671,,                493671,,                              0,                              0,,                -59760,                -59760,,,                 27753,,                -48756,                -21003,                              0,              2193579,                              0,              2193579,,
3050,2014年09月30日,,,,                455532,,                 29027,,                 11801,,                152328,,                  1788,,                 46467,,                              0,,                 27410,                724353,,,                437369,,                203357,,                196989,,              1110064,,                              0,,                    945,                 38485,,                 10718,              1997927,              2722280,,,,,                 89624,,                              0,,                 10072,,                 42953,,                    260,,                 77310,                              0,,,                120300,                120300,                  4957,                125257,                345476,,,                 45000,,                    852,,                 51402,                 13788,                 65190,                111042,                456518,,,,              1862401,              1862401,,                463942,,                              0,                 41926,,                -46873,                 -4947,,,                 25970,,                -29603,                 -3633,                 52001,              2265762,                              0,              2265762,              2722280,      8173000,              0,      8173000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,2014年06月30日,,,,                468898,,                 52294,,                  8734,,                153138,,                  2286,,                 45377,,                              0,,                 49196,                779926,,,                469336,,                197495,,                204893,,              1134068,,                              0,,                  1050,                 47702,,                 10803,              2065347,              2845273,,,,,                 93977,,                     29,,                 14336,,                 38804,,                      9,,                 73497,                              0,,,                184200,                184200,                  5059,                189259,                409911,,,                 62500,,                    436,,                 50838,                 13033,                 63871,                126807,                536718,,,,              1862401,              1862401,,                463942,,,,,                  1858,                  1858,,,                 30465,,                  1890,                 32355,                 52001,              2308555,                              0,              2308555,              2845273,              0,              0,      8173000,,                      3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,2014年03月31日,,,,                493779,,                 30504,,                  7416,,                183976,,                  2631,,                 45217,,                              0,,                 65543,                829066,,,                595807,,                197495,,                219172,,              1150569,,,,                  1155,                 50132,,                 10681,              2225011,              3054077,,,,,                210121,,                    104,,                 18589,,                 40528,,                    236,,                 83083,,,,                169150,                169150,                  2749,                171899,                524560,,,                 33000,,                    765,,                 49355,                  6655,                 56010,                 89775,                614335,,,,              1896551,              1896551,,                522359,,                 17258,                 41926,,               -107274,                -48090,,,                 23244,,                128171,                151415,                 82493,              2439742,                              0,              2439742,              3054077,              0,              0,     11588000,,,                              0,,                 10681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,2013年12月31日,,,,,,                 98636,,                  9814,,                164403,,                  2967,,                 46949,,,,                 52250,              1048357,,,                 51033,,                197495,,                230135,,              1171090,,,,                  1260,                 50867,,                 15403,              1717283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     19252000,,                    318,,,,                673020,,                              0,              2765640,,,,                 75000,,                 22832,,                 39709,,                  2042,,                105308,,,                 82400,                 82400,                  3641,                 86041,                330932,,,                 45600,,                    532,,                 49493,                 12858,                 62351,                108483,                439415,,,,              1976551,              1976551,,                496509,,                 17258,                 41926,,               -121259,                -62075,,,                 20774,,                 28764,                 49538,                134298,              2326225,                              0,              2326225,,
3050,2013年09月30日,,,,,,                 85151,,                  7158,,                206640,,                  1557,,                 51475,,,,                 86861,              1118569,,,                 47580,,                174249,,                252543,,              1153453,,,,                              0,                 53169,,                 16247,              1699241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     11588000,              0,     11588000,,                              0,,,,                679727,,                  2000,              2817810,,,,                 17006,,                              0,,                 57559,,                    134,,                 88834,,,                149200,                149200,                  5484,                154684,                318319,,,                 34650,,                    761,,                 57062,                 12169,                 69231,                104642,                422961,,,,              1976551,              1976551,,                496238,,                 17258,                 41926,,                -91528,                -32344,,,                 12232,,                 24665,                 36897,                 82493,              2394849,                              0,              2394849,,                    102
3050,2013年06月30日,,,,,,                120883,,                 11473,,                169481,,                    402,,                 50550,,,,                 24538,              1072318,,,                 48091,,                235394,,                264125,,              1170499,,,,                              0,                 56190,,                 13638,              1792437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     20588000,,                              0,,,,                694991,,                  4500,              2864755,,,,                  5931,,                    562,,                 60879,,                  1411,,                 90773,,,                192700,                192700,                  6800,                199500,                359939,,,                 38700,,                    957,,                 57113,                 12010,                 69123,                108780,                468719,,,,              2066551,              2066551,,                458672,,                 17258,                 41926,,                -79763,                -20579,,,                  1141,,                 25177,                 26318,                134926,              2396036,                              0,              2396036,,                    883
