證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　　 長期應收票據,　　　　　 長期應收款,　　　　　 長期應收分期帳款,　　　　　 未實現利息收入－長期應收分期帳款,　　　　　 融資租賃之未賺得融資收益,　　　　　 催收款項,　　　　　 備抵呆帳－長期應收款項,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 待分配股票股利
9917,2015年09月30日,,,,              3841278,,                  2597,,                147320,,                 10000,,                              0,,                222943,,              1020459,,                139185,,                559634,,                422974,,                178929,              6545319,,,                224581,,                              0,,                171908,,              4187557,,              6061582,,                 32938,,                356793,                287461,,                826042,                261234,,                 72192,                 72192,                 15066,,                107416,              1281950,             12604770,             19150089,,,,,              3179995,,                119985,,                185368,,                440739,,                 21830,,                              0,                971791,                971791,                149060,,,              1130871,,                 41729,                141844,              1314444,              6383212,,,                 42674,,                  9750,,,                 32889,                 32889,              1423834,                610389,                 16500,              2083612,              2136036,              8519248,,,,              4511971,              4511971,,                706806,,              2834499,                              0,,              2482862,              5317361,,                -38266,                288389,             10209483,                421358,             10630841,             19150089,              0,              0,     10273805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,2015年06月30日,,,,              4730890,,                  2438,,                170100,,                 10000,,                              0,,                244687,,                963985,,                134544,,                559056,,                527991,,                135585,              7479276,,,                249559,,                              0,,                171908,,              4192409,,              5425649,,                468661,,                334263,                283015,,                796782,                252214,,                 63965,                 63965,                 18890,,                203115,              1334966,             12460430,             19939706,,,,,              2520538,,                 99975,,                228167,,                363737,,                 19354,,              1804788,              1008949,              2813737,                237546,,,              1142890,,                 41614,                155280,              1339784,              7622838,,,                 61835,,                 10347,,,                 35463,                 35463,              1433191,                599197,,              2067851,              2140033,              9762871,,,,              4511971,              4511971,,                706806,,              2834499,                              0,,              1945172,              4779671,,                -12358,                288389,              9697701,                479134,             10176835,             19939706,              0,              0,     10273805,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,2015年03月31日,,,,              4086528,,                430204,,                670666,,                              0,,                              0,,                267450,,                851224,,                184008,,                652681,,                428670,,                146022,              7717453,,,                240870,,                 10000,,                189268,,              4065421,,              5419208,,                470498,,                334628,                281918,,                781383,                246906,,                 70199,                 70199,                 25685,,                251884,              1376057,             12387868,             20105321,,,,,              2887435,,                 69980,,                287927,,                397467,,                 11448,,,,                967769,                389957,,,              1170678,,                 40000,                155409,              1366087,              6378070,,,                 63030,,                 10493,,,                 32315,                 32315,              1431390,                588603,,              2052308,              2125831,              8503901,,,,              4511971,              4511971,,                702372,,              2631105,                              0,,              3437857,              6068962,,                143763,                295782,             11131286,                470134,             11601420,             20105321,              0,              0,     10573805,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,2014年12月31日,,,,              3942981,,                430274,,                733147,,                              0,,                              0,,                259514,,                881366,,                167640,,                706660,,                288515,,                178968,              7589065,,,                221707,,                 10000,,                189268,,              4056488,,              5382038,,                472719,,                326041,                281467,,                790934,                254286,,                 74807,                 74807,                 15113,,                235119,              1370259,             12309987,             19899052,,,,,              2159577,,                 74949,,                317103,,                497922,,                 15400,,                              0,              2080809,              2080809,                283818,,,              1051672,,                 40000,                167650,              1259322,              6688900,,,                 86779,,                 10489,,,                 35694,                 35694,              1427250,                578928,                              0,              2041872,              2139140,              8828040,,,,              4511971,              4511971,,                702372,,              2631105,                              0,,              2918957,              5550062,,                142693,                295782,             10611316,                459696,             11071012,             19899052,              0,              0,     10573805,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,              3942981,                              0,             19899052,,,,              2159577,,                 74949,,                317103,,                497922,,                 15400,,              2080809,                283818,,,              1051672,,                 40000,                167650,              1259322,              6688900,,,                 86779,,                 10489,,,                 35694,                 35694,              1427250,                578928,              2041872,              2139140,              8828040,,,,              4511971,              4511971,,                702372,,              2631105,                              0,,              2918957,              5550062,,                142693,                295782,             10611316,                459696,             11071012,,,
9917,2014年09月30日,,,,              3792116,,                458748,,                718254,,                              0,,                              0,,                266047,,                952469,,                155019,,                725115,,                326142,,                133123,              7527033,,,                262020,,                 10000,,                189268,,              4015594,,              5142950,,                474940,,                326286,                286902,,                812789,                200366,,                 81927,                 81927,                 38535,,                214812,              1348429,             12056389,             19583422,,,,,              2174795,,                 69970,,                260574,,                424055,,                 21000,,              1555852,                964304,              2520156,                 89939,,,              1139509,,                 40000,                146745,              1326254,              6886743,,,                 60000,,                 10631,,,                 31647,                 31647,              1447219,                579739,                              0,              2058605,              2129236,              9015979,,,,              4511971,              4511971,,                668104,,              2631105,                              0,,              2447880,              5078985,,                160598,                295782,             10123876,                443567,             10567443,             19583422,              0,              0,     10573805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,2014年06月30日,,,,              3759276,,                478179,,                853854,,                              0,,                              0,,                256825,,                878623,,                156471,,                772888,,                255787,,                174273,              7586176,,,                291947,,                 10000,,                189268,,              3965502,,              5039834,,                468879,,                333622,                286807,,                793224,                215462,,                 89125,                 89125,                 44753,,                163820,              1306384,             11892243,             19478419,,,,,              2499989,,                 69953,,                215757,,                359880,,                 18966,,              1555852,              1200514,              2756366,                208700,,,              1105481,,                 20000,                152842,              1278323,              7407934,,,                 80000,,                 11223,,,                 28993,                 28993,              1434192,                567901,,              2031086,              2122309,              9530243,,,,              4445292,              4511971,,                668104,,              2631105,                              0,,              1888784,              4519889,,                117914,                295782,              9522096,                426080,              9948176,             19478419,              0,              0,     10417545,                 66679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,2014年03月31日,,,,              3562508,,                478346,,                774606,,                              0,,                              0,,                271070,,                799827,,                108631,,                729772,,                260398,,                171057,              7156215,,,                299654,,                 10000,,                189268,,              3866762,,              5002482,,                470910,,                335222,                284605,,                789524,                211958,,                 64770,                 64770,                 51600,,                211201,              1329053,             11787956,             18944171,,,,,              2514921,,                 99968,,                224729,,                386415,,                 12576,,,,                945219,                323890,,,              1109830,,                              0,                146665,              1256495,              5764213,,,                100000,,                 11358,,,                 31543,                 31543,              1426038,                555925,,              2013506,              2124864,              7889077,,,,              4445292,              4445292,,                668104,,              2436549,                670280,,              2518766,              5625595,,                175231,                295782,             10618440,                436654,             11055094,             18944171,              0,              0,     10417545,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9917,2013年12月31日,,,,,,                422768,,                748514,,                              0,,,,                276182,,                817276,,                103534,,                636288,,                254437,,                853562,              7014197,,,                354728,,                 10000,,                190042,,              3781749,,              4940768,,                472391,,                335000,                282779,,                799850,                228665,,                 68144,                 68144,                 58242,,                225874,              1380775,             11748232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10417545,,,,,,,,,              2901636,                              0,             18762429,,,,              2642729,,                 69958,,                171320,,                382741,,                 27033,,              1400633,                227659,,,              1026442,,                              0,                154891,              1181333,              6103406,,,                100000,,                 11329,,,                 29513,                 29513,              1413169,                550476,              1993158,              2104487,              8207893,,,,              4445292,              4445292,,                668104,,              2436549,                670280,,              2027453,              5134282,,                184138,                295782,             10136034,                418502,             10554536,,,
9917,2013年09月30日,,,,,,                510007,,                650206,,                              0,,,,                254640,,                794157,,                105515,,                655351,,                236994,,                240894,              6257730,,,                323554,,                 10000,,                179496,,              3673988,,              4581912,,                757169,,                427286,                288484,,                 29623,                209533,,                 50592,                 50592,                 14803,,                142787,                447338,             10689227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10417545,,,,,,,,,              2806966,                  3000,             16946957,,,,              2116523,,                 99983,,                198228,,                307784,,                 16674,,                900576,                121190,,,              1047035,,                              0,                137720,              1184755,              4945713,,,                100000,,                 11299,,,                 19286,                 19286,              1462897,                552363,              2034546,              2145845,              7091558,,,,              4445292,              4445292,,                628588,,              2436549,                670280,,              1479531,              4586360,,                 97041,                295782,              9461499,                393900,              9855399,                              0,                900576,
9917,2013年06月30日,,,,,,                369571,,                591075,,                              0,,,,                251547,,                840825,,                101137,,                696068,,                238519,,                130249,              6371395,,,                295606,,                 10000,,                189496,,              3679844,,              4466505,,                476316,,                431206,                286860,,                 96533,                213725,,                 28745,                 28745,                 15066,,                219634,                573703,             10409536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,     10417545,,,,,,,,,              3149404,                  3000,             16780931,,,,                597557,,                109944,,                272058,,                377789,,                 11509,,              2629087,                215034,,,              1028680,,                              0,                137910,              1166590,              5379568,,,                100000,,                 11561,,,                 20388,                 20388,              1447543,                542660,              2010591,              2122152,              7501720,,,,              4445292,              4445292,,                628588,,              2436549,                670280,,                968122,              4074951,,                 39413,                295782,              8892462,                386749,              9279211,              1511399,              1117688,                              0
