證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－合併溢額,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－合併溢額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應付短期票券,　　　　 應付短期票券合計,　　　　 其他流動負債－其他,　　　　 應付股利,　　　　 其他應付款－其他,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　 其他應付款項－關係人
2483,2015年09月30日,,,,                779559,,                197791,,                 20637,,                 29230,,                              0,,                303017,,                  2733,,                  4533,,                              0,,                              0,,,                275383,                275383,,                              0,,                 29542,              1642425,,,                105183,,                 73021,,                 97125,,                699470,,                 18514,,                 40324,                 22007,,                 31198,              1086842,              2729267,,,,,                              0,,                              0,,                    435,,                157722,,                 17796,,                101532,                 19930,,                 20122,                 20122,                317537,,,                  5493,,                 14627,                    660,                 15287,                 20780,                338317,,,,              1133338,              1133338,,,                414600,                414600,                    554,                225655,                640809,,                202407,                 33550,,                275420,                511377,,,                 44831,,                 80398,                125229,                 32541,              2378212,                 12738,              2390950,              2729267,              0,              0,      2677000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2015年06月30日,,,,                760908,,                200709,,                 20162,,                 35124,,,,                289384,,                  1578,,                 60913,,,,                  5778,,,                292248,                292248,,,,                 22047,              1688851,,,                122903,,                 80849,,                 98511,,                705964,,                 18579,,                 40561,                 23306,,                 29820,              1120493,              2809344,,,,,                              0,,,,                  1253,,                159275,,                 21380,,                248558,                 14713,,                 22791,                 22791,                467970,,,                  2456,,                 15244,                    647,                 15891,                 18347,                486317,,,,              1133338,              1133338,,,                414600,                414600,                    554,                225655,                640809,,                202407,                 33550,,                207238,                443195,,,                 17963,,                 98118,                116081,                 23888,              2309535,                 13492,              2323027,              2809344,              0,              0,      2153000,                144535,                104023,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2015年03月31日,,,,                713669,,                206713,,                 10175,,                 39885,,,,                273139,,                  1127,,                 10735,,,,                  5778,,,                311728,                311728,,,,                 18484,              1591433,,,                132920,,                 92089,,                 95898,,                700428,,                 19024,,                 40086,                 23398,,                 28159,              1132002,              2723435,,,,,                              0,,                 20000,,                  1358,,                140646,,                 18404,,                 91300,                  5760,,                 21475,                 21475,                298943,,,                  2558,,                 15862,                    652,                 16514,                 19072,                318015,,,,              1133338,              1133338,,,                481309,                481309,                    554,                225655,                707518,,                184275,                 33550,,                224131,                441956,,,                 24967,,                107326,                132293,                 23888,              2391217,                 14203,              2405420,              2723435,              0,              0,      2153000,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2014年12月31日,,,,                631208,,                206135,,                 41927,,                 32894,,                              0,,                288799,,                  1261,,                  7313,,                              0,,                  5778,,,                329324,                329324,,                              0,,                 17524,              1562163,,,                 49533,,                106864,,                 93772,,                720347,,                 19144,,                 40514,                 24748,,                 28723,              1083645,              2645808,,,,,                              0,,                              0,,                    987,,                146437,,                 17379,,                113021,                  3747,,                 22839,                 22839,                304410,,,                  4734,,                 15947,                    660,                 16607,                 21341,                325751,,,,              1133338,              1133338,,,                481309,                481309,                    554,                225655,                707518,,                184275,                 33550,,                201394,                419219,,,                 32457,,                 37500,                 69957,                 23888,              2306144,                 13913,              2320057,              2645808,              0,              0,      2153000,                              0,                113021,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2014年09月30日,,,,                642403,,                196174,,                              0,,                 40731,,                              0,,                353679,,                  2667,,                  9458,,                              0,,                  5778,,,                322980,                322980,,                              0,,                 33048,              1606918,,,                 43658,,                109124,,                 91235,,                727129,,                 19265,,                 39922,                 23036,,                 35824,              1089193,              2696111,,,,,                              0,,                 70000,,                  2213,,                192375,,                 21152,,                102253,                 16117,,                 19248,                 19248,                423358,,,                  3753,,                 12540,                    636,                 13176,                 16929,                440287,,,,              1133338,              1133338,,,                481309,                481309,                    543,                225655,                707507,,                184275,                 33550,,                168089,                385914,,,                  7934,,                 31624,                 39558,                 23888,              2242429,                 13395,              2255824,              2696111,              0,              0,      2153000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2014年06月30日,,,,                781558,,                201922,,                              0,,                 22522,,,,                341990,,                  2058,,                  6811,,,,                  5778,,,                321714,                321714,,,,                 31688,              1716041,,,                 48541,,                109620,,                 94307,,                644567,,                 19385,,                 38535,                 25049,,                 34543,              1014547,              2730588,,,,,                              0,,,,                  1626,,                184876,,                 20405,,                269206,                 18970,,                 22026,                 22026,                517109,,,                  2871,,                 13136,                    627,                 13763,                 16634,                533743,,,,              1133338,              1133338,,,                481309,                481309,                    543,                225655,                707507,,                184275,                 33550,,                112288,                330113,,,                 -1750,,                 36346,                 34596,                 23888,              2181666,                 15179,              2196845,              2730588,              0,              0,      2153000,                166771,                102435,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2014年03月31日,,,,                721578,,                198688,,                              0,,                 25885,,,,                303734,,                  2206,,                  6514,,,,                  5778,,,                325840,                325840,,,,                 29922,              1620145,,,                 47637,,                109620,,                 90752,,                659968,,                 34847,,                 38045,                 25074,,                 36581,              1042524,              2662669,,,,,                              0,,                              0,,                  1798,,                162257,,                 15173,,                 92701,                 27469,,                 17213,                 17213,                316611,,,                  5480,,                 13724,                    637,                 14361,                 19841,                336452,,,,              1133338,              1133338,,,                481309,                481309,                    543,                225655,                707507,,                172047,                 46017,,                227901,                445965,,,                 12931,,                 35442,                 48373,                 23888,              2311295,                 14922,              2326217,              2662669,              0,              0,      2153000,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2013年12月31日,,,,,,                194474,,,,                 23595,,                              0,,                305896,,                  3367,,                 32598,,,,,,,                349282,                349282,,,,                 28967,              1632687,,,                 47357,,                109620,,                 86657,,                673198,,                 34991,,                 38350,                 40290,,                 29080,              1059543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2153000,,,,,                688730,                              0,                  5778,              2692230,,,,                              0,,                  2282,,                187660,,                 23886,,                132207,                 25285,,                 12511,                383831,,,                 17459,,                 13837,                    631,                 14468,                 31927,                415758,,,,              1133338,              1133338,,,                481309,                481309,                    543,                225655,                707507,,                172047,                 46017,,                190266,                408330,,,                  3285,,                 33867,                 37152,                 23888,              2262439,                 14033,              2276472,,,,,,,,
2483,2013年09月30日,,,,,,                185685,,,,                 31342,,                              0,,                340857,,                  3555,,                    735,,                              0,,,,,                356391,                356391,,                              0,,                 37477,              1513929,,,                 39611,,                108119,,                 80953,,                707506,,                 35135,,                 32740,                 43470,,                 32401,              1079935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2153000,,,,,                551461,,                  6426,              2593864,,,,                              0,,                  1343,,                185024,,                 22173,,                 96499,                 18018,,                 22076,                345133,,,                 17438,,                 17105,                    230,                 17335,                 34773,                379906,,,,              1133338,              1133338,,,                481309,                481309,                    543,                225655,                707507,,                172047,                 43675,,                144761,                360483,,,                 -1103,,                 24827,                 23724,                 23888,              2201164,                 12794,              2213958,,                              0,                 22076,,,,,
2483,2013年06月30日,,,,,,                134378,,,,                 35413,,,,                347435,,                  3904,,                  3385,,,,,,,                380778,                380778,,                              0,,                 43259,              1561836,,,                 35910,,                108119,,                 84374,,                715288,,                 35279,,                 28725,                 40368,,                 30912,              1078975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      2153000,,,,,                607487,,                  5797,              2640811,,,,                  3931,,                  5334,,                223632,,                 23247,,                129449,                 13550,,                 24694,                423837,,,                 16628,,                 17053,                    230,                 17283,                 33911,                457748,,,,              1133338,              1133338,,,                481309,                481309,                    723,                225655,                707687,,                172047,                 43675,,                115957,                331679,,,                    490,,                 21126,                 21616,                 23888,              2170432,                 12631,              2183063,,,                 24694,                              0,                129449,,                              0,
