證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 庫藏股票
2904,2015年09月30日,,,,                494284,,                 18559,,                 42591,,                     92,,                 44674,,                  1824,,                              0,,                 11127,,                 80768,                693919,,,                 40142,,                              0,,                249540,,                  3271,                  2206,,                 29915,,                    179,                 30094,                325253,              1019172,,,,,                 37925,                 21015,,                     12,                 58952,,,                 10929,                  6409,                 17338,                 17338,                 76290,,,,                690344,                690344,,                  3494,                  3494,,                110290,                              0,,                132031,                242321,,,                  1664,,                              0,                  1664,                937823,                  5059,                942882,              1019172,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,2015年06月30日,,,,                602182,,                 11002,,                 45169,,                    156,,                 39544,,                  1378,,                              0,,                 12066,,,                711497,,,                 40142,,                 69447,,                252640,,                  5532,                  2332,,                 29895,,                    245,                 30140,                400233,              1111730,,,,,                175428,                 15491,,                     23,                190942,,,                 11102,                  6412,                 17514,                 17514,                208456,,,,                690344,                690344,,                  3494,                  3494,,                110290,                              0,,                 92432,                202722,,,                  1664,,,                  1664,                898224,                  5050,                903274,              1111730,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,2015年03月31日,,,,                547029,,                 13028,,                 46130,,                              0,,                 35509,,                    983,,                  2505,,                 14374,,,                659558,,,                 40142,,                 65326,,                260690,,                  8801,                  2239,,                 29895,,                    228,                 30123,                407321,              1066879,,,,,                 34330,                 18813,,                     38,                 53181,,,                 11118,                  6412,                 17530,                 17530,                 70711,,,,                690344,                690344,,                  3494,                  3494,,                 94961,                              0,,                200657,                295618,,,                  1664,,,                  1664,                991120,                  5048,                996168,              1066879,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,2014年12月31日,,,,                504160,,                  8916,,                 44367,,                              0,,                 45906,,                    930,,                  2567,,                 14646,,                              0,                621492,,,                 41924,,                 60518,,                269514,,                 12071,                  2219,,                 30261,,                    144,                 30405,                416651,              1038143,,,,,                 53732,                 11364,,                     41,                 65137,,,                 11004,                  6412,                 17416,                 17416,                 82553,,,,                690344,                690344,,                  3494,                  3494,,                 94961,                              0,,                158311,                253272,,,                  3446,,                              0,                  3446,                950556,                  5034,                955590,              1038143,              0,              0,              0,                504160,                 44367,                  2567,              1038143,,,,                 53732,                 11364,,                     41,                 65137,,,                 11004,                  6412,                 17416,                 17416,                 82553,,,,                690344,                690344,,                  3494,                  3494,,                 94961,                              0,,                158311,                253272,,,                  3446,                  3446,                950556,                  5034,                955590,
2904,2014年09月30日,,,,                523629,,                 11785,,                 12370,,                    390,,                 35380,,                  1474,,                  2505,,                 11141,,                              0,                598674,,,                 11354,,                 55640,,                265196,,                 15340,                  2194,,                  8242,,                 30182,                 38424,                388148,                986822,,,,,                 37271,                  6428,,                      8,                 43707,,,                 10854,                  6409,                 17263,                 17263,                 60970,,,,                690344,                690344,,                  3494,                  3494,,                 94961,                              0,,                129119,                224080,,,                  2876,,                              0,                  2876,                920794,                  5058,                925852,                986822,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,2014年06月30日,,,,                697649,,                 27071,,                  9886,,                    390,,                 34054,,                  9298,,                  2554,,                  9661,,,                790563,,,                 11354,,                 52209,,                260512,,                 18609,                  2208,,                  7883,,                    203,                  8086,                352978,              1143541,,,,,                233647,                  9175,,                     20,                242842,,,                 10875,                  7641,                 18516,                 18516,                261358,,,,                690344,                690344,,                  3494,                  3494,,                 94961,                              0,,                 85461,                180422,,,                  2876,,,                  2876,                877136,                  5047,                882183,              1143541,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,2014年03月31日,,,,                628046,,                 24318,,                 40620,,                    519,,                 30570,,                 11792,,                    314,,                 12627,,,                748806,,,                 11354,,                 49619,,                267622,,                 21879,                  2211,,                  9174,,                    251,                  9425,                362110,              1110916,,,,,                 52300,                  4539,,                    107,                 56946,,,                 10895,                  7710,                 18605,                 18605,                 75551,,,,                690344,                690344,,                  3494,                  3494,,                 79786,                  3607,,                250221,                333614,,,                  2876,,,                  2876,              1030328,                  5037,              1035365,              1110916,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2904,2013年12月31日,,,,,,                 23160,,,,                    862,,                 30396,,                 14358,,,,                 14381,,,                695230,,,                 10071,,                 48751,,                276832,,                 25148,                  2422,,                  9182,,                    346,                  9528,                372752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                573845,                 37842,                    386,              1067982,,,,                 55570,                              0,,                    373,                 55943,,,                 10918,                  7511,                 18429,                 18429,                 74372,,,,                690344,                690344,,                  3494,                  3494,,                 79786,                  3607,,                209755,                293148,,,                  1593,                  1593,                988579,                  5031,                993610,
2904,2013年09月30日,,,,,,                 20794,,,,                    786,,                 39797,,                 16240,,,,                 13322,,,                627335,,,                 10071,,                 48704,,                295291,,                 28418,                  3163,,                  8102,,                    517,                  8619,                394266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                516637,                 14487,                  5272,              1021601,,,,                 35161,                              0,,                    854,                 36015,,,                 13473,                  7110,                 20583,                 20583,                 56598,,,,                690344,                690344,,                  3494,                  3494,,                 79786,                  3607,,                181133,                264526,,,                  1594,                  1594,                959958,                  5045,                965003,
2904,2013年06月30日,,,,,,                 22435,,,,                  1033,,                 36605,,                 16781,,,,                 10681,,,                765692,,,                 10071,,                 46773,,                323670,,                 31687,                  3348,,                  7802,,                    688,                  8490,                424039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                668550,                  9607,                              0,              1189731,,,,                231993,                 10235,,                    766,                242994,,,                 13499,                  6110,                 19609,                 19609,                262603,,,,                690344,                690344,,                  3494,                  3494,,                 79786,                  3607,,                142772,                226165,,,                  2090,                  2090,                922093,                  5035,                927128,
