證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付股利,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 待分配股票股利,　　　 庫藏股票
9927,2015年09月30日,,,,              1089899,,                583641,,                  8148,,                 11463,,              1196076,,                  3867,,              2339972,,                 19169,,                 31596,                 14074,                 45670,              5297905,,,                366547,,                620607,,                177860,,,                  1007,                  1007,                 27860,,                  4078,                  3307,                              0,,                 12500,                 12031,,                              0,                 31916,              1225797,              6523702,,,,,              1476761,,                              0,,                236368,,                    794,                 86175,                 86969,                 41858,,,                  9383,                    558,                  9941,              1851897,,,                  2038,,                119596,,                104600,                    800,                105400,                227034,              2078931,,,,              2091482,              2091482,,                975330,,                619880,                177768,,                754365,              1552013,,               -198302,              4420523,                 24248,              4444771,              6523702,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927,2015年06月30日,,,,              1087134,,                635922,,                  8116,,                 18371,,              1255726,,                  1270,,              2447604,,                 22757,,                 30510,                 11883,                 42393,              5519293,,,                408066,,                619184,,                177970,,,                  1363,                  1363,                 27867,,                  3600,                  3402,,,                 12500,                 11716,,                     86,                 31304,              1265754,              6785047,,,,,              1363187,,                              0,,                143608,,,                605578,                605578,                 84094,,,                    860,                    569,                  1429,              2197896,,,                  1991,,                118313,,                107682,                    800,                108482,                228786,              2426682,,,,              2091482,              2091482,,                975330,,                619880,                177768,,                664497,              1462145,,               -194174,              4334783,                 23582,              4358365,              6785047,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927,2015年03月31日,,,,                961518,,                612335,,                  8206,,                 13159,,              1301875,,                    205,,              2222857,,                179791,,                 31083,                 15500,                 46583,              5346529,,,                365206,,                634902,,                178080,,,                  1720,                  1720,                 29370,,                  3750,                  1760,,,                 12500,                 12111,,                    346,                 30467,              1239745,              6586274,,,,,              1350075,,                    129,,                123259,,,                 69239,                 69239,                110182,,,                 10398,                    565,                 10963,              1663847,,,                  1944,,                113859,,                110060,                    800,                110860,                226663,              1890510,,,,              2091482,              2091482,,                975330,,                545448,                254178,,              1019221,              1818847,,               -215061,              4670598,                 25166,              4695764,              6586274,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927,2014年12月31日,,,,              1082818,,                599184,,                  7753,,                 12083,,              1221185,,                  1269,,              2451731,,                 60286,,                  9369,                  4837,                 14206,              5450515,,,                382355,,                638608,,                178190,,,                  2077,                  2077,                 26536,,                    150,                  1672,                              0,,                 10000,                 12406,,                    607,                 24835,              1252601,              6703116,,,,,              1461125,,                    150,,                166752,,                    794,                 81046,                 81840,                 87621,,,                 13828,                    584,                 14412,              1811900,,,                  1897,,                126983,,                109478,                    800,                110278,                239158,              2051058,,,,              2091482,              2091482,,                975330,,                545448,                254178,,                938968,              1738594,,               -177768,              4627638,                 24420,              4652058,              6703116,              0,              0,              1082818,              6703116,,,,              1461125,,                    150,,                166752,,                 81840,                 81840,                 87621,,,                 13828,                    584,                 14412,              1811900,,,                  1897,,                126983,,                109478,                    800,                110278,                239158,              2051058,,,,              2091482,              2091482,,                975330,,                545448,                254178,,                938968,              1738594,,               -177768,              4627638,                 24420,              4652058,              0,,
9927,2014年09月30日,,,,                649996,,                605179,,                  7563,,                 26934,,              1258530,,                  2678,,              2812912,,                 39259,,                 17992,                  3150,                 21142,              5424193,,,                324733,,                647044,,                178300,,,                  1241,                  1241,                 18688,,                              0,                  1657,                 50000,,                 10000,                 12098,,                    866,                 74621,              1244627,              6668820,,,,,              1327264,,                    112,,                115919,,                419090,                 91339,                510429,                 57167,,,                    526,                    585,                  1111,              2012002,,,                  2176,,                121261,,                103755,                    800,                104555,                227992,              2239994,,,,              2091482,              2091482,,                975330,,                545448,                254178,,                765612,              1565238,,               -226992,              4405058,                 23768,              4428826,              6668820,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927,2014年06月30日,,,,                686153,,                661642,,                  7934,,                 14943,,              1349493,,                  6442,,              2756038,,                 37716,,                 22355,                  6694,                 29049,              5549410,,,                376865,,                648281,,                178410,,,                  1504,                  1504,                 20224,,                              0,                  1857,,,                 10000,                 11886,,                  1126,                 24869,              1250153,              6799563,,,,,              1661254,,                     70,,                116055,,,                495612,                495612,                 77807,,,                 28639,                  1124,                 29763,              2380561,,,                  2123,,                109584,,                103227,                    800,                104027,                215734,              2596295,,,,              2091482,              2091482,,                975330,,                545448,                254178,,                514505,              1314131,,               -200814,              4180129,                 23139,              4203268,              6799563,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927,2014年03月31日,,,,                664810,,                605851,,                  7728,,                 12496,,              1140577,,                    672,,              3191046,,                 54355,,                  4935,                 10935,                 15870,              5693405,,,                421380,,                664591,,                178520,,,                  1766,                  1766,                 18771,,                              0,                  1857,,,                 10000,                 12336,,                  1386,                 25579,              1310607,              7004012,,,,,              1873913,,                              0,,                177884,,,                 61598,                 61598,                118458,,,                    278,                    569,                    847,              2232700,,,                  2071,,                104989,,                102689,                    800,                103489,                210549,              2443249,,,,              2091482,              2091482,,                975330,,                474358,                231452,,                887248,              1593058,,               -123484,              4536386,                 24377,              4560763,              7004012,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927,2013年12月31日,,,,,,                553874,,                  7679,,                 21958,,              1205560,,                 14025,,              2905874,,                166511,,                              0,                  8942,                  8942,              5532963,,,                263742,,                670900,,                178630,,,                  2028,                  2028,                 18501,,                              0,                  2397,,,                 10000,                 12135,,                  1646,                 26178,              1159979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                648540,              6692942,,,,              1956092,,                              0,,                100407,,                 78935,                 78935,                 90726,,,                  7212,                    607,                  7819,              2233979,,,                  2017,,                100578,,                102168,                    800,                102968,                205563,              2439542,,,,              2091482,              2091482,,                975330,,                474358,                231452,,                711060,              1416870,,               -254178,              4229504,                 23896,              4253400,              0,                              0,
9927,2013年09月30日,,,,                940543,,                631592,,                 13277,,                 18938,,              1046175,,                    518,,              2710360,,                 14947,,                              0,                 51195,                 51195,              5427545,,,                285266,,                679295,,                174154,,,                  2291,                  2291,                 18763,,,                  2834,,,                 10000,                 12108,,                  1906,                 26848,              1186617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              6614162,,,,              1496591,,,,                133052,,                539729,                539729,                 65884,,,                 87619,                    574,                 88193,              2323449,,,                  2363,,                 92620,,                102284,                    296,                102580,                197563,              2521012,,,,              2091482,              2091482,,                975330,,                474358,                231452,,                538465,              1244275,,               -240634,              4070453,                 22697,              4093150,,,
9927,2013年06月30日,,,,,,                621864,,                 13833,,                 14859,,              1110937,,                    964,,              2895795,,                 19966,,                              0,                 34276,                 34276,              5535659,,,                291879,,                693103,,                174264,,,                  2465,                  2465,                 21372,,,                  3178,,,                 16100,                 12321,,                  2376,                 33975,              1217058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                823165,              6752717,,,,              1882941,,                              0,,                 84107,,                524606,                524606,                 71844,,,                 72067,                    570,                 72637,              2636135,,,                  2307,,                 86549,,                101825,                    800,                102625,                191481,              2827616,,,,              2040470,              2091482,,                975330,,                474358,                231452,,                352695,              1058505,,               -222584,              3902733,                 22368,              3925101,              0,                 51012,
9927,2013年03月31日,,,,,,                603974,,                 13100,,                 10721,,              1210086,,                  2687,,              3364240,,                 34512,,                              0,                 58003,                 58003,              5816921,,,                321710,,                707688,,                174373,,,                  2720,                  2720,                 20512,,,                  2707,,,                 12100,                 12461,,                  2847,                 30115,              1257118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                519598,              7074039,,,,              2178556,,,,                209220,,                 55556,                 55556,                 88049,,,                 19451,                 13240,                 32691,              2564072,,,                  2251,,                 84921,,                101398,                    800,                102198,                189370,              2753442,,,,              2040470,              2040470,,                975330,,                418437,                230337,,                820368,              1469142,,               -188488,              4296454,                 24143,              4320597,              0,,
9927,2012年12月31日,,,,                769811,,                350642,,                 12953,,                 27795,,              1395074,,                  2127,,              2402682,,                 20323,,                 13941,                 37357,                 51298,              5032705,,,                284044,,                714247,,                174484,,,                  2975,                  2975,                 19042,,,                  2717,,,                 12100,                 12272,,                  3318,                 30407,              1225199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,              6257904,,,,              1781143,,,,                151230,,                 73680,                 73680,                 37190,,,                 29955,                  1732,                 31687,              2074930,,,                  2196,,                 79474,,                100942,                    800,                101742,                183412,              2258342,,,,              2040470,              2040470,,                975330,,                418437,                230337,,                556634,              1205408,,               -245397,              3975811,                 23751,              3999562,,,
