證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－認股權,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　　 待分配股票股利,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 應付租賃款－流動,　　　　 資本公積－認股權
1789,2015年09月30日,,,,              1846093,,                              0,,                648279,,                215316,,              2288617,,                185986,,                531575,                531575,              5715866,,,                338907,,                              0,,              5142912,,                 20255,                374101,,                266461,,                 24734,                 94161,,                 17175,                402531,              6278706,             11994572,,,,,              1679231,,                  1147,,                  8043,,                125235,,                310606,                 60945,,,                 13479,                     57,                 13536,              2198743,,,                  3343,,                 69432,                 22540,                 91972,                 95315,              2294058,,,,              7310829,              7310829,,,              1233286,                              0,                 31127,                              0,              1264413,,                396699,                 22829,,                591111,              1010639,,,                114633,                114633,              9700514,              9700514,             11994572,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,2015年06月30日,,,,              2409774,,                  8971,,                559553,,                203092,,              2315406,,                188232,,                              0,                              0,              5685028,,,                338907,,                              0,,              5142475,,                 17590,                318577,,                239607,,                 24734,                 90974,,                 16530,                371845,              6189394,             11874422,,,,,              1489744,,                    523,,                    121,,                191471,,                559919,                 83732,,,                  7213,,                  7213,              2332723,,,                    624,,                 69185,                 21656,                 90841,                 91465,              2424188,,,,              7029643,              7310829,,,              1233286,                              0,                 28722,                              0,              1262008,,                396699,                 22829,,                396358,                815886,,,                 61511,                 61511,              9450234,              9450234,             11874422,              0,              0,              0,,                              0,                281186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,2015年03月31日,,,,              2007522,,                              0,,                653049,,                196226,,              2402446,,                182647,,                              0,                              0,              5443736,,,                243526,,                              0,,              5109213,,                 20684,                372506,,                245842,,                 24734,                 92787,,                 18066,                381429,              6127358,             11571094,,,,,              1363175,,                              0,,                 33107,,                163104,,                362100,                 55873,,,                 26254,,                 26254,              2003613,,,                    351,,                 68942,                 21656,                 90598,                 90949,              2094562,,,,              7029643,              7029643,,,              1233286,                    848,                 25495,,              1259629,,                348285,                 22829,,                734354,              1105468,,,                 81792,                 81792,              9476532,              9476532,             11571094,              0,              0,              0,,                  1846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,2014年12月31日,,,,              1927603,,                     27,,                522990,,                199174,,              2449296,,                150465,,                              0,                              0,              5249555,,,                167673,,                 79923,,              5065025,,                 23554,                364381,,                285167,,                 24734,                 94189,,                 17619,                421709,              6122265,             11371820,,,,,              1277476,,                  3669,,                  1153,,                 53813,,                516228,                 27738,,,                 37956,                              0,                 37956,              1918033,,,                  3156,,                 68704,                  1656,                 70360,                 73516,              1991549,,,,              7029643,              7029643,,,              1233286,                              0,                 23991,                              0,              1257277,,                348285,                 22829,,                621563,                992677,,,                100674,                100674,              9380271,              9380271,             11371820,              0,              0,              0,,                              0,                              0,              1927603,             11371820,,,,              1277476,,                  3669,,                  1153,,                 53813,,                516228,                 27738,,,                 37956,                 37956,              1918033,,,                  3156,,                 68704,                  1656,                 70360,                 73516,              1991549,,,,              7029643,              7029643,,,              1233286,                    639,                 23352,              1257277,,                348285,                 22829,,                621563,                992677,,,                100674,                100674,              9380271,                              0,              9380271,,,,,,
1789,2014年09月30日,,,,              1303052,,                              0,,                865939,,                275180,,              2668505,,                159205,,                              0,                              0,              5271881,,,                167673,,                 83265,,              4884454,,                 22419,                399005,,                278347,,                 24734,                 91769,,                 17802,                412652,              5969468,             11241349,,,,,              1123188,,                  5449,,                  1476,,                195013,,                493970,                    112,,,                 29719,                    109,                 29828,              1849036,,,                  1365,,                 65704,                              0,                 65704,                 67069,              1916105,,,,              7029643,              7029643,,,              1233286,                              0,                 22221,                              0,              1255507,,                348285,                 22829,,                618531,                989645,,,                 50449,                 50449,              9325244,              9325244,             11241349,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,2014年06月30日,,,,              2184375,,                 11736,,                780931,,                182461,,              2675569,,                160189,,                              0,                              0,              5997057,,,                167673,,                 86886,,              4658019,,                 24032,                365429,,                365772,,                 24734,                 89972,,                 15164,                495642,              5797681,             11794738,,,,,              1006438,,                              0,,                    246,,                220409,,              1213146,                102004,,,                 26948,,                 26948,              2569191,,,                    305,,                 65633,                              0,                 65633,                 65938,              2635129,,,,              6759272,              7029643,,,              1233286,                              0,                 19623,                              0,              1252909,,                348285,                 22829,,                497134,                868248,,,                  8809,                  8809,              9159609,              9159609,             11794738,              0,              0,              0,,                  1796,                270371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,2014年03月31日,,,,              2792770,,                  1608,,                628052,,                175443,,              2636997,,                156087,,                 15552,                 15552,              6406509,,,                167673,,                 92193,,              4433590,,                 26430,                329340,,                439755,,                 24734,                 92135,,                 16885,                573509,              5622735,             12029244,,,,,              1070158,,                  1104,,                    773,,                225020,,                565529,                192183,,,                100788,,                100788,              2155555,,,                    568,,                 65579,                              0,                 65579,                 66147,              2221702,,,,              6759272,              6759272,,,              1233286,                    208,                 16844,,              1250338,,                220944,                 22829,,              1513403,              1757176,,,                 40756,                 40756,              9807542,              9807542,             12029244,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1789,2013年12月31日,,,,,,                    230,,                970641,,                161496,,              2512318,,                193763,,                 15552,                 15552,              6143428,,,                167673,,                 90455,,              4213982,,                 28709,                305089,,                399306,,                 24667,                 92994,,                 17925,                534892,              5340800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,              2289428,             11484228,,,,                689785,,                  1138,,                  1080,,                264437,,                594800,                147735,,,                 75812,                 75812,              1774787,,,                    639,,                 65548,                              0,                 65548,                 66187,              1840974,,,,              6759272,              6759272,,,              1233286,                     51,                 14459,              1247796,,                220944,                 22829,,              1348058,              1591831,,,                 44355,                 44355,              9643254,                              0,              9643254,,,,,,
1789,2013年09月30日,,,,,,                  2646,,                686633,,                154874,,              2358797,,                160754,,                 15552,                 15552,              6114919,,,                167673,,                 95972,,              4019624,,                 23612,                270488,,                293660,,                 24667,                 91860,,                 17655,                427842,              5005211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                  1584,,              2734079,             11120130,,,,                742832,,                              0,,                    766,,                298529,,                477739,                110868,,,                 75412,                 75533,              1706267,,,                              0,,                 65911,,                 65911,                 65911,              1772178,,,,              6759272,              6759272,,,              1233286,                              0,                 13691,              1246977,,                220944,                 22829,,              1082943,              1326716,,,                 14987,                 14987,              9347952,                              0,              9347952,                    121,,,,,
1789,2013年06月30日,,,,,,                      5,,                870450,,                122507,,              2287864,,                265455,,                              0,                              0,              6925278,,,                167673,,                105013,,              3897211,,                 25507,                218369,,                212296,,                 40219,                 93404,,                 17502,                363421,              4777194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,              3378997,             11702472,,,,                755037,,                  1331,,                    332,,                279096,,              1239069,                174537,,,                 77830,                 77830,              2527232,,,                              0,,                 65768,,                 65768,                 65768,              2593000,,,,              6499300,              6759272,,,              1233286,                    188,                 13691,              1247165,,                220944,                 22829,,                830439,              1074212,,,                 28823,                 28823,              9109472,                              0,              9109472,,                259972,,,,
