證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產評價調整－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 按攤銷後成本衡量之金融資產－流動,　　　　 按攤銷後成本衡量之金融資產－流動淨額,　　　 以成本衡量之金融資產－流動,　　　　 以成本衡量之金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 備抵呆帳－應收關係人帳款、分期帳款及租賃款,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 應收收益,　　　　 其他應收款－其他,　　　　 備抵呆帳－其他應收款項,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人－其他,　　　　 備抵呆帳－其他應收關係人款項,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 應收所得稅退稅款,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－買賣業,　　　　　 商品存貨,　　　　　 存貨－買賣業淨額,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 備抵存貨跌價,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付費用,　　　　 預付貨款,　　　　 進項稅額,　　　　 留抵稅額,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 暫付款,　　　　 代付款,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 累計減損－機器設備,　　　　　 機器設備淨額,　　　　 試驗設備淨額,　　　　　 試驗設備成本,　　　　　 累計折舊－試驗設備,　　　　　 累計減損－試驗設備,　　　　　 試驗設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 累計減損－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 累計減損－辦公設備,　　　　　 辦公設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 累計減損－其他設備,　　　　　 其他設備淨額,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產－建築物,　　　　 累計折舊－投資性不動產－建築物,　　　　 累計減損－投資性不動產－建築物,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收款,　　　　　 備抵呆帳－長期應收款項,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行透支,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 應付租金,　　　　　 其他應付費用,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 員工福利負債準備－流動,　　　　　 負債準備－流動合計,　　　　 工程進度請款金額,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 暫收款,　　　　　 代收款,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 有待法律程序決定之長期負債準備,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 庫存現金,　　　　 持有供交易之金融資產－流動,　　　　 持有供交易之金融資產評價調整－流動,　　　　 專利權淨額,　　　　　 專利權,　　　　　 累計減損－專利權,　　　　　 專利權淨額,　　　　　 應付利息,　　　　　 其他流動負債－其他,　　　　　 資本公積－其他,　　　　　 法定盈餘公積,　　　　 在建工程（營造業適用）,　　　　　 在建工程－工程損益,　　　　　 在建工程（營造業適用）合計,　　　　　　 其他預收款,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　　 半成品,　　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 其他短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 員工福利負債準備－流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 其他預收款,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 累積盈虧,　　　　　 本期損益,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 其他應收票據,　　　　 備抵呆帳－應收票據,　　　　 應收票據－關係人,　　　　　 土地－重估增（減）值,　　　　　 房屋及建築－重估增（減）值,　　　　　 機器設備－重估增（減）值,　　　　　 運輸設備－重估增（減）值,　　　　　 辦公設備－重估增（減）值,　　　　　 其他設備－重估增（減）值,　　　　 投資性不動產－土地－重估增值,　　　　 投資性不動產－建築物－重估增值,　　　　 商譽,　　　　 預付投資款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－其他－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　 其他應付款項－關係人,　　　　　 預收貨款,　　　 負債準備-非流動,　　　　 有待法律程序決定之長期負債準備,　　　　 負債準備－非流動合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　 共同控制下前手權益,　　 非控制權益,　　　 工程進度請款金額,　　　　 資本公積－其他,　　　　 法定盈餘公積,　　　　　 長期應收票據,　　　　　 追溯適用及追溯重編之影響數,　　　　 累計減損－採用權益法之投資
1529,2015年09月30日,,,,                     89,                 21285,                 21374,,                 43426,                -15231,                 28195,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                    309,                    309,,                              0,,                 23400,                 10565,                 12835,,                  1285,                     23,                  1262,,                    361,                    136,                    136,                    361,,                  5004,                  4985,                     19,,                     35,                     35,,,                    113,                    113,,                 18870,                 10792,                 24143,                    342,                 25865,                 28282,                 28395,,                  2029,                  6694,                    373,                  6153,                    570,                 15819,,                     40,                     57,                              0,                     97,                108701,,,                163432,                 19574,                143858,,                  9211,                  9211,,                    219,                    219,,,                 32003,                 32003,,                 63032,                 22093,                 40939,,                 43327,                 18799,                 22835,                  1693,,                 21251,                 18970,                  1498,                    783,,                    476,                    450,                     26,                              0,,                  3866,                  3195,                    366,                    305,,                 48166,                 44384,                  3782,                              0,                 75723,,                 14916,                 29812,                 10181,                              0,                 34547,,                              0,                              0,,                 23918,                  1223,,                274714,                 80463,                194251,                219392,                482950,                591651,,,,,                              0,                 75320,                 75320,,                              0,,                              0,,                  3804,                  3804,,                              0,,                 33098,                 33098,,                  6880,                  6880,,                  1175,                     19,                  2735,                              0,                  3929,                     13,,                    453,                    453,                              0,,,                              0,                              0,,                  4713,                  4713,                     50,                    190,                  4953,                128450,,,                              0,,                  6470,                  6470,,                              0,                              0,,                              0,,,                              0,,                              0,                    435,                    435,                  6905,                135355,,,,              2997089,              2997089,,,                              0,                              0,,                              0,                              0,,,             -2495937,                -49539,             -2545476,             -2545476,,,                              0,                              0,                              0,                451613,                              0,                  4683,                456296,                591651,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2015年06月30日,,,,,                 13493,                 13581,,,,                 35489,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                  3372,                  3372,,                              0,,                 30874,                 12061,                 18813,,                  7645,                              0,                  7645,,,                    395,,                    395,,                  5004,                  4986,                     18,,                     17,                     17,,,                    113,                    113,,                  3012,                  5472,                 22681,                    350,                 25691,                  5824,                  5937,,                  1750,                    349,                      2,                  5732,                    570,                  8403,,                    199,                     53,                              0,                    252,                 93922,,,                161500,                 16163,                145337,,                 16602,                 16602,,                  3523,                  3523,,,                 32003,                 32003,,                 63032,                 21656,                 41376,,                 42450,                 18756,                 22835,                    859,,,,,,,,,,,,                  3866,                  3178,                    366,                    322,,                 69794,                 63747,                  5307,                    740,                 75300,,                 14916,                 29812,                  9980,,                 34748,,                              0,                              0,,                 24031,                  1281,,                274714,                 80463,                194251,                219563,                495073,                588995,,,,,,                 75320,                 75320,,                              0,,                              0,,                  1766,                  1766,,                              0,,                 25865,                 25865,,                  1835,                  1835,,                  1345,,                  2442,                              0,                  3818,                     13,,                    471,                    471,                              0,,,                              0,                              0,,                  4684,                  4684,,,                  5078,                114166,,,                              0,,                  7659,                  7659,,                              0,                              0,,                              0,,,                              0,,                              0,                    435,                    435,                  8094,                122260,,,,              2997089,              2997089,,,                              0,                              0,,                              0,                              0,,,             -2495937,                -34417,             -2530354,             -2530354,,,,                              0,                              0,                466735,                              0,                              0,                466735,                588995,              0,              0,              0,                     88,                 35489,                              0,,                              0,                              0,                              0,                     31,                    394,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2015年03月31日,,,,,                 12981,                 13072,,                 47572,,                 47572,,,,,,,,,,,,,,                  2210,                  2210,,,,                 30512,                 12011,                 18501,,                  9856,                              0,                  9856,,,                    387,,                    387,,                  5003,                  4986,                     17,,                    317,                    317,,,                    113,                    113,,                  6444,                  6355,                 23495,                    376,                 25526,                 11144,                 11257,,                  2235,                  2544,                    391,                  6637,                    570,                 12377,,                     74,                     48,                              0,                    122,                115688,,,                161500,                    163,                161337,,                 17101,                 17101,,                  2678,                  2678,,,                 32003,                 32003,,                 63032,                 21219,                 41813,,                 42450,                 41553,,                    897,,,,,,,,,,,,                  3904,                  3557,,                    347,,                 69794,                 69003,,                    791,                 75851,,                 14916,                 20033,,,                 34949,,,                              0,,                 17771,                  2316,,                274714,                 80463,                194251,                214338,                506254,                621942,,,,,,                 75320,                 75320,,,,,,                  2322,                  2322,,,,                 30187,                 30187,,                    343,                    343,,,,,                  4531,                  4531,                    315,,                    477,                    477,,,,,                              0,,                  4654,                  4654,,,                  4868,                118363,,,,,                  8841,                  8841,,,,,,,,,,,                    632,                    632,                  9473,                127836,,,,              2997089,              2997089,,,,                  2320,,,                  2320,,,             -2498257,                 -7046,             -2505303,             -2505303,,,,,,                494106,,,                494106,                621942,,              0,              0,                     91,,,,,,,,                    214,,,,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年12月31日,,,,                     88,                 52963,                 53051,,                 40148,                    835,                 40983,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                  1392,                  1392,,                              0,,                 22403,                 11314,                 11089,,                  1788,                      1,                  1787,,                    387,                    136,                    136,                    387,,                 10050,                  5005,                  5045,,                    316,                    316,,,                    113,                    113,,                 10123,                  5321,                 23386,                    329,                 25485,                 13674,                 13787,,                  2234,                     54,                      2,                  6597,                              0,                  8887,,                              0,                              0,                     41,                     41,                136765,,,                161500,                    163,                161337,,                 17134,                 17134,,                  3399,                  3399,,,                 32003,                 32003,,                 63032,                 20781,                 42251,,                 42450,                 41839,                   -336,                    947,,                 48166,                 44384,                  3782,                              0,,                    476,                    450,                     26,                              0,,                  3904,                  3173,                    366,                    365,,                 21072,                 18813,                  1498,                    761,                 76327,,                 14916,                 29812,                  9840,                   -262,                 35150,,                              0,                              0,,                              0,                  3596,,                274714,                 80463,                194251,                197847,                491194,                627959,,,,,                              0,                 76320,                 76320,,                              0,,                              0,,                  1368,                  1368,,                              0,,                 26929,                 26929,,                    343,                    343,,                              0,                              0,                              0,                  5165,                  5165,                    315,,                    424,                    424,                              0,,,                              0,                              0,,                  4625,                  4625,                      2,                    275,                  4902,                115766,,,                              0,,                 10015,                 10015,,                              0,                              0,,                              0,,,                              0,,                              0,                  1026,                  1026,                 11041,                126807,,,,              2997089,              2997089,,,                              0,                  2320,,                              0,                  2320,,,             -2432257,                -66000,             -2498257,             -2498257,,,                              0,                              0,                              0,                501152,                              0,                              0,                501152,                627959,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年09月30日,,,,                     88,                140554,                140642,,                 26139,                 -2863,                 23276,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                    472,                    472,,                              0,,                 46202,                 11872,                 34330,,                  2931,                              0,                  2931,,                    373,                    805,                    136,                  1042,,                 10972,                 10951,                     21,,                    334,                    334,,,                    141,                    141,,                 28069,                  9121,                113977,                    359,                134247,                 17279,                 17420,,                    732,                  2654,                              0,                  6924,                              0,                 10310,,                              0,                              0,                    328,                    328,                231106,,,                 51500,                    163,                 51337,,                 17703,                 17703,,                  2534,                  2534,,,                 32003,                 32003,,                 63031,                 20343,                 42688,,                 42450,                 41721,                   -336,                  1065,,                 48166,                 44384,                  3782,                              0,,                    476,                    450,                     26,                              0,,                  3921,                  3482,                    423,                     16,,                 21079,                 18772,                  1498,                    809,                 76581,,                 14916,                 29813,                  9639,                   -262,                 35352,,                              0,                 27288,,                              0,                 27582,,                274714,                 80463,                194251,                221833,                432628,                663734,,,,,                              0,                 76320,                 76320,,                              0,,                              0,,                     83,                     83,,                              0,,                 30981,                 30981,,                  4200,                  4200,,                              0,                              0,                              0,                  5727,                  5727,                              0,,                    538,                    538,                              0,,,                              0,                              0,,                  4597,                  4597,                     68,                    280,                  4945,                122794,,,                              0,,                 11183,                 11183,,                  3883,                  3883,,                              0,,,                              0,,                              0,                  1026,                  1026,                 16092,                138886,,,,              2997089,              2997089,,,                              0,                  2320,,                              0,                  2320,,,             -2432257,                -42304,             -2474561,             -2474561,,,                              0,                              0,                              0,                524848,                              0,                              0,                524848,                663734,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年06月30日,,,,,                 36416,                 36504,,,,                  5002,,                              0,,                              0,,                              0,,                              0,,                              0,,                              0,,                  2116,                  2116,,                              0,,                 49869,                 11872,                 37997,,                  1582,                              0,                  1582,,,                    387,,                    387,,                  7566,                              0,                  7566,,                    332,                    332,,,                    141,                    141,,                 24820,                 18255,                115860,                    382,                134247,                 25070,                 25211,,                              0,                 14107,                              0,                              0,                              0,                 14107,,                              0,                              0,                    268,                    268,                131072,,,                  1337,                              0,                  1337,,                 24189,                 24189,,                  2413,                  2413,,,                 45719,                 45719,,                 63031,                 19906,                 43125,,                 42450,                 18556,                 22772,                  1122,,,,,,,,,,,,                  3921,                  3478,                    423,                     20,,                 69759,                 63589,                  5313,                    857,                 90843,,                 39108,                 56017,                 25747,,                 69378,,                              0,                 27462,,                              0,                 21965,,                274714,                 80463,                194251,                216216,                431838,                562910,,,,,,                108320,                108320,,                              0,,                              0,,                  3099,                  3099,,                              0,,                 27685,                 27685,,                  6126,                  6126,,                              0,,                              0,                  4429,                  4429,                              0,,                    610,                    610,                    493,,,                    135,                    135,,                  4547,                  4547,,,                  4962,                155724,,,                              0,,                 12357,                 12357,,                  3884,                  3884,,                              0,,,                              0,,                              0,                  1370,                  1370,                 17611,                173335,,,,              2497089,              2497089,,,                              0,                  2320,,                              0,                  2320,,,             -2065757,                -44077,             -2109834,             -2109834,,,,                              0,                              0,                389575,                              0,                              0,                389575,                562910,              0,              0,              0,                     88,                  4281,                    721,,                              0,                              0,                              0,                              0,                    280,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2014年03月31日,,,,,                 41043,                 41131,,                  9849,,                  9849,,,,,,,,,,,,,,                    638,                    638,,,,                 26757,                 11872,                 14885,,                    854,                              0,                    854,,,                    359,,                    359,,                 11123,                              0,                 11123,,                    357,                    357,,,                    141,                    141,,                 22077,                106665,                116471,                    365,                214005,                 31573,                 33900,,                  1652,                 19113,                    343,                  8687,                              0,                 29795,,                              0,                              0,                     58,                     58,                142949,,,                  1500,                    163,                  1337,,                 24603,                 24603,,                  2713,                  2713,,,                 45719,                 45719,,                 90044,                 27812,                 62232,,                 42450,                 41276,,                  1174,,,,,,,,,,,,                  4995,                  4955,,                     40,,                 71559,                 70654,,                    905,                110070,,                 39108,                 11955,,,                 51063,,,                 37069,,                              0,                 24214,,                274714,                 80463,                194251,                218465,                445320,                588269,,,,,,                108320,                108320,,,,,,                  1691,                  1691,,,,                 23340,                 23340,,                    507,                    507,,,,,                  5307,                  5307,                              0,,                    601,                    601,,,,,                  1095,,                  4501,                  4501,,,                  5911,                145677,,,,,                 13518,                 13518,,,,,,,,,,,                  1374,                  1374,                 14892,                160569,,,,              2497089,              2497089,,,,                  2320,,,                  2320,,,             -2071709,                              0,             -2071709,             -2071709,,,,,,                427700,,,                427700,                588269,,              0,              0,                     88,,,,,,,,                    315,,,,                  2186,                  2186,                  1095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2013年12月31日,,,,,                 72151,,,,,                  6424,,,,,,,,,,,,,,                    527,                    527,,,,                 28171,                 12263,                 15908,,                  1717,                              0,                  1717,,,                    466,,                    466,,                 11171,                              0,                 11171,,                    323,,,,                    141,                    141,,                 21882,,                114768,                    332,                213943,                 27743,                 30004,,                  1073,                  2654,                              0,                  8962,,                 12689,,,,                     82,                     82,                151550,,,                  1500,                    163,                  1337,,,,,                  3664,                  3664,,,                 45719,                 45719,,                 90044,                 27187,                 62857,,                 42450,                 19318,                 22246,                    886,,,,,,,,,,,,                  5125,                  5086,,                     39,,                 71469,                 70656,                              0,                    813,                110314,,                 39108,                 29004,                 16881,                              0,                 51231,,,                 37130,,,                 25209,,                274714,                 80463,                194251,                219460,                446317,,,,,,,,,,,,,                  1669,,,,,                 23032,,,                  1315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                     88,                  6424,,,,,,,,,,,                  2120,                  2120,,                 72239,                    323,                104704,                 23181,                 23181,                597867,,,,                109320,                     20,                109340,,                  1669,,                 23032,,                  1315,,                  5872,                  5872,                              0,,                    532,                    532,,,                  1800,                  1800,,                  4468,                  4468,                    157,                  6425,                148185,,,                 14656,                 14656,,                  1374,                  1374,                 16030,                164215,,,,              2497089,              2497089,,                  2320,                  2320,,,             -1982515,                -83242,             -2065757,             -2065757,                433652,                433652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1529,2013年09月30日,,,,,                 53274,,,,,                    538,,,,,,,,,,,,,,                  2402,                  2402,,                              0,,                 61500,                 11717,                 49783,,                  1900,                      8,                  1892,,,                    275,,                    275,,                 10319,,                 10319,,                    315,,,,,,,                 44564,                100293,                115337,                    425,                236885,                 23734,                 25395,,                    911,                  5003,                              0,                 10300,,                 16214,,,,                  4975,                  4975,                165470,,,                  1500,                    163,                  1337,,,,,                  4268,                  4268,,,                 47419,                 45719,,                 90044,                 26561,                 63483,,                  2113,                    825,                              0,                  1288,,,,,,,                              0,                              0,,                              0,,                     61,                     13,,                     48,,                    730,                    267,                     56,                    922,                111460,,                 39108,                 25075,                 12784,                              0,                 51399,,                              0,                 40096,,,                 33889,,                274453,                 80202,                194251,                228140,                449732,,,,,,,,,,,,,                  6083,,,,,                 23057,,,                    647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                     88,                    378,                    160,,                 11714,                 11714,                              0,,,,,,                  1661,                  1661,,                 53362,                    315,,                 13032,                 13032,                615202,,,,                109320,                     20,                109340,,                  6083,,                 23057,,                    647,,                  3991,                  3991,,,                    694,                    694,,,                              0,                  1440,,                  4434,                  4434,                    197,                  6071,                149927,,,                 15785,                 15785,,                  1420,                  1420,                 17205,                167132,,,,              2497089,              2497089,,                  2320,                  2320,,,             -2051339,,             -2051339,             -2051339,                448070,                448070,                              0,                              0,                              0,                 -1700,                              0,                              0,                              0,                              0,                    515,                              0,                              0,                              0,                              0,,                              0,                              0,,                              0,                     44,                  1440,,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,
1529,2013年06月30日,,,,,                 58513,,,,,                    417,,,,,,,,,,,,,,                  5164,                  5164,,,,                 51983,                 14882,                 37101,,                  2950,,                  2950,,,                 12866,,                 12866,,                 11394,,                 11394,,                    293,,,,                    145,                    145,,                 46452,                109484,                115378,                    324,                216627,                 55011,                 55156,,,                 14781,,,,                 14781,,,,                  1879,                  1879,                200602,,,                  1337,,                  1337,,,,,                  4261,                  4261,,,                 45719,                 45719,,                 90044,                 25936,                 64108,,                 41391,                 40379,,                  1012,,,,,,,,,,,,                  5323,                  5270,,                     53,,                 84949,                 83850,,                  1099,                111991,,                 39108,                 29004,                 16546,,                 51566,,                              0,                 40237,,,                 28256,,                223931,,                223931,                252187,                483924,,,,,,,,,,,,,                  1017,,,,,                 26805,,,                  6506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                     88,                    378,                     39,,                 11714,                 11714,                              0,,,,,,,,,                 58601,                    293,,                 22345,                 22345,                684526,,,,                109320,                     20,                109340,,                  1017,,                 26805,,                  6506,,                  3600,                  3600,,,                    679,                    679,,,,                  1901,,                  4400,                  4400,                    319,                  6620,                154567,,,                 16906,                 16906,,                  4624,                  4624,                 21530,                176097,,,,              2497089,              2497089,,,                  2320,,,,             -1990980,             -1990980,             -1990980,                508429,                508429,,,,,,,,,,,,,,,,,,,,                  1901,,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                  2320,                              0,,,
