證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 預付款項,　　　　 預付款項合計,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利
6192,2015年09月30日,,,,              1292243,,                770468,,                237328,,                963604,,                126114,,              1836780,,                 69467,              5296004,,,                 22662,,                910149,,                 57993,,                  8605,                 29493,,                 54445,,                 67061,                121506,              1150408,              6446412,,,,,                 73958,,                 23501,,                333036,,                170471,                 39942,,,              1115237,              1115237,,                 19592,                  9562,              1144391,              1785299,,,                155733,,                355498,,,                  1816,                114187,                    651,                116654,                627885,              2413184,,,,              1187109,              1187109,,,                110891,                110891,,                650570,                 31819,,              1880535,              2562924,,                172304,                              0,              4033228,                              0,              4033228,              6446412,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,2015年06月30日,,,,              1396042,,                897924,,                187235,,                913697,,                 56639,,              1757460,,                 83596,              5292593,,,                 22662,,                913407,,                 58321,,                  9345,                 31418,,                 49504,,                 14851,                 64355,              1099508,              6392101,,,,,                 69416,,                 31720,,                340803,,                511433,                 61106,,,                947888,                947888,,                 19464,                  7594,                974946,              1989424,,,                160717,,                343203,,,                  1593,                116832,                    621,                119046,                622966,              2612390,,,,              1187109,              1187109,,,                110891,                110891,,                650570,                 31819,,              1742913,              2425302,,                 56409,,              3779711,                              0,              3779711,              6392101,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,2015年03月31日,,,,              1394276,,                922899,,                211336,,                993702,,                 62348,,              1561140,,                  1300,              5239015,,,                 22662,,                918203,,                 58645,,                 10150,                 31076,,                 49360,,                  8462,                 57822,              1098558,              6337573,,,,,                 70425,,                 26654,,                438878,,                151294,                 77922,,,                864305,                864305,,                 19436,                 11218,                894959,              1660270,,,                165579,,                341699,,,,                119459,                    621,                120080,                627358,              2287628,,,,              1187109,              1187109,,,                110891,                110891,,                587150,                 31819,,              2045656,              2664625,,                 87320,                              0,              4049945,                              0,              4049945,              6337573,,              0,              0,,                 92014,,                    138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,2014年12月31日,,,,              1461862,,                820616,,                202031,,                971712,,                119685,,              1518458,,                 88034,              5182398,,,                 22662,,                920780,,                 58965,,                  7173,                 32689,,                 67204,,                 11263,                 78467,              1120736,              6303134,,,,,                134011,,                 19798,,                445179,,                222402,                 70016,,,                766813,                766813,,                 19195,                  6459,                792467,              1683873,,,                170631,,                340871,,,                              0,                122026,                    622,                122648,                634150,              2318023,,,,              1187109,              1187109,,,                110891,                110891,,                587150,                 31819,,              1953581,              2572550,,                114561,                              0,              3985111,                              0,              3985111,              6303134,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,2014年09月30日,,,,              1232770,,                684781,,                256642,,              1122785,,                121978,,              1467433,,                121119,              5007508,,,                 22662,,                906490,,                 59292,,                  6367,                 31782,,                 72908,,                 14270,                 87178,              1113771,              6121279,,,,,                129823,,                 16520,,                474569,,                176785,                 47038,,,                871981,                871981,,                 19153,                 29352,                920486,              1765221,,,                175463,,                332731,,,                              0,                105204,                    622,                105826,                614020,              2379241,,,,              1187109,              1187109,,,                110891,                110891,,                587150,                 31819,,              1786688,              2405657,,                 38381,                              0,              3742038,                              0,              3742038,              6121279,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,2014年06月30日,,,,              1642633,,                648808,,                193343,,              1057703,,                 66581,,              1321370,,                 96604,              5027042,,,                 22662,,                837666,,                 59637,,                  6921,                 31747,,                 72600,,                 10028,                 82628,              1041261,              6068303,,,,,                126927,,                 17647,,                350007,,                502648,                 71937,,,                820596,                820596,,                 19114,                  8769,                848479,              1917645,,,                180270,,                318795,,,                              0,                107851,                    636,                108487,                607552,              2525197,,,,              1187109,              1187109,,,                110891,                110891,,                587150,                 31819,,              1632639,              2251608,,                 -6502,,              3543106,                              0,              3543106,              6068303,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,2014年03月31日,,,,              1554032,,                616261,,                230400,,              1045359,,                 72249,,              1389770,,                 15460,              5115219,,,                 12662,,                840654,,                 59977,,                  7455,                 31184,,                 50563,,                  9288,                 59851,              1011783,              6127002,,,,,                144733,,                 23249,,                355253,,                141043,                103666,,,                893220,                893220,,                 19114,                  9138,                921472,              1689416,,,                185015,,                311433,,,,                110468,                 15298,                125766,                622214,              2311630,,,,              1187109,              1187109,,,                110891,                110891,,                523238,                 35015,,              1931347,              2489600,,                 27772,                              0,              3815372,                              0,              3815372,              6127002,,              0,              0,,                191688,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6192,2013年12月31日,,,,,,,,                255056,,              1324931,,                 74136,,              1406136,,                  2078,              5112673,,,                 12662,,                843497,,                 60314,,                  8052,                 29149,,                 67429,,                  9122,                 76551,              1030225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                134397,,,              1315555,                600384,              6142898,,,,                142410,,                 29102,,                574446,,                197109,                 85634,,                              0,,,                847514,                847514,,                 18823,                 10106,                876443,              1905144,,,                190030,,                299225,,                113034,                 14093,                127127,                616382,              2521526,,,,              1187109,              1187109,,,                110891,                110891,,                523238,                 35015,,              1752377,              2310630,,                 12742,                              0,              3621372,                              0,              3621372,
6192,2013年09月30日,,,,,,,,                213285,,              1197718,,                 78220,,              1531496,,                  2124,              4910221,,,                 12662,,                843263,,                 60650,,                  6466,                 23400,,                 47772,,                  9409,                 57181,              1003622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 94788,,,              1230406,                562184,              5913843,,,,                140451,,                 25978,,                517173,,                184589,                 62704,,                              0,,,                953428,                953428,,                 18787,                 13608,                985823,              1916718,,,                194768,,                290405,,                 60078,                 14092,                 74170,                559343,              2476061,,,,              1187109,              1187109,,,                110891,                110891,,                523238,                 35015,,              1595311,              2153564,,                -13782,                              0,              3437782,                              0,              3437782,
6192,2013年06月30日,,,,,,,,                239287,,              1077723,,                 45878,,              1539252,,                  2395,              5000580,,,                 12662,,                844576,,                 60987,,                  6687,                 18873,,                 77423,,                  9773,                 87196,              1030981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 94851,,,              1615661,                385533,              6031561,,,,                 59946,,                 22231,,                488234,,                573180,                 83726,,,,,                931295,                931295,,                 18755,                  7405,                957455,              2184772,,,                199481,,                273244,,                 60768,                 14080,                 74848,                547573,              2732345,,,,              1187109,              1187109,,,                110891,                110891,,                523238,                 35015,,              1432076,              1990329,,                 10887,,              3299216,                              0,              3299216,
