證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 預付設備款,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款項－關係人,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 長期應付票據及款項合計,　　　　　 長期應付票據及款項－關係人,　　　　　　 長期應付票據及款項－關係人合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款項－關係人,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期應付票據及款項－非關係人,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 長期應付票據及款項合計,　　　　 長期應付票據及款項－關係人,　　　　　 長期應付票據及款項－關係人合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　　　 資本公積－普通股股票溢價,　　　 庫藏股票,　　 非控制權益
1538,2015年09月30日,,,,                 81109,,                 63516,,                 17702,,                 13444,,                 94970,,                              0,,                 53210,                323951,,,              1297901,,                  1323,,                  1132,,                 18408,                 16956,,                  6824,                 43320,              1342544,              1666495,,,,,                 73167,,                213458,,                              0,                 55383,,,                 86000,                 33379,                119379,                 52589,                171968,                513976,,,                277135,,,                              0,,                 48000,                 17247,                              0,                 65247,                342382,                856358,,,,                831358,                831358,,                -67078,,                 45857,                810137,                810137,              1666495,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2015年06月30日,,,,                122717,,                 92585,,                 12441,,                 16032,,                 86171,,                444086,,                130197,                904229,,,                867861,,                  1742,,                 64844,,                  5005,                 16393,,                  7393,                 93635,                963238,              1867467,,,,,                 77764,,                240313,,                              0,                 53211,,,                 86000,                 44743,                130743,                361992,                492735,                864023,,,                296605,,,                  3525,,                 48000,                 17238,                    890,                 69653,                366258,              1230281,,,,                831358,                831358,,               -214115,,                 19943,                637186,                637186,              1867467,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2015年03月31日,,,,                109615,,                 85270,,                 20389,,                  8780,,                 93940,,                505633,,                123727,                947354,,,                864884,,                  2173,,                 76503,,                  5143,                 16731,,                 11079,                109456,                976513,              1923867,,,,,                 81559,,                206120,,                              0,                 53971,,,                 76625,                 37227,                113852,                355680,                469532,                811182,,,                318815,,,                  7360,,                 48000,                 17220,                    984,                 73564,                392379,              1203561,,,,                831358,                831358,,               -139578,,                 28526,                720306,                720306,              1923867,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2014年12月31日,,,,                174868,,                 73095,,                 25893,,                  9021,,                 92562,,                577181,,                115605,              1068225,,,                876791,,                  2604,,                 61273,,                  5150,                 17384,,                 10872,                 94679,                974074,              2042299,,,,,                 76697,,                233903,,                     16,                 54627,,,                 56625,                 32376,                 89001,                363214,                452215,                817458,,,                340715,,,                  5725,,                 48000,                 17212,                  1034,                 71971,                412686,              1230144,,,,                831358,                831358,,                -52607,,                 33404,                812155,                812155,              2042299,              0,              0,              0,                174868,,                              0,              2042299,,,,                 76697,,                233903,,                     16,                 54627,,,                 56625,                 32376,                 89001,                363214,                452215,                817458,,,                340715,,                              0,,,                  5725,,                 48000,                 17808,                  1034,                 72567,                413282,              1230740,,,,                831358,                831358,,,                -53203,                -53203,,                 33404,                811559,                811559,,,,,,,
1538,2014年09月30日,,,,                199578,,                 74133,,                 28779,,                 11510,,                 81124,,                577181,,                117945,              1090250,,,                883513,,                  2738,,                 59169,,                 43840,                 16205,,                  6913,                126127,              1012378,              2102628,,,,,                 79178,,                237347,,                              0,                 52929,,,                 36625,                 21106,                 57731,                369794,                427525,                796979,,,                404967,,,                  2679,,                 48000,                 18564,                  1029,                 70272,                475239,              1272218,,,,                831358,                831358,,                -15220,,                 14272,                830410,                830410,              2102628,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2014年06月30日,,,,                127385,,                 75909,,                 33414,,                 13853,,                 84330,,                576218,,                 82935,                994044,,,                887968,,                  3168,,                 57697,,                 42747,                 15881,,                  1119,                117444,              1008580,              2002624,,,,,                 70000,,                243657,,                     17,                 59053,,,                 25792,                 19410,                 45202,                294057,                339259,                711986,,,                315382,,,                  3378,,                102192,                 18556,                    936,                125062,                440444,              1152430,,,,              1638845,              1638845,,               -788457,,                   -194,                850194,                850194,              2002624,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2014年03月31日,,,,                100599,,                 76774,,                 22732,,                 12836,,                 84128,,                576218,,                 55210,                928497,,,                864232,,                  3600,,                 91762,,                 23970,                 16164,,                    698,                132594,              1000426,              1928923,,,,,                100000,,                268014,,                  2895,                114477,,,                  9167,                 14825,                 23992,                122654,                146646,                632032,,,                308780,,,                              0,,                103442,                 18549,                    936,                122927,                431707,              1063739,,,,              1638845,              1638845,,               -784097,,                 10436,                865184,                865184,              1928923,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1538,2013年12月31日,,,,,,                 57786,,                 10192,,                 12125,,                104690,,                322205,,                 43457,                667599,,,              1457592,,                  4033,,                 94083,,                 10804,                 16519,,                  8494,                129900,              1604317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                117144,,                 12792,              2271916,,,,                188819,,                306007,,                  4213,                 68231,,,                 21856,                 37215,                 59071,                172390,                231461,                798731,,,                389137,,                 24689,,,                              0,,                190371,                 17786,                    560,                208717,                622543,              1421274,,,,              1638845,              1638845,,,               -807487,               -807487,,                 19284,                850642,                850642,,,                              0,                              0,,,
1538,2013年09月30日,,,,,,                 86641,,                 20797,,                  9231,,                 91711,,                              0,,                 55061,                320799,,,              1990061,,                  4465,,                 93779,,                              0,                 16197,,                 10018,                119994,              2158944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 57358,,                 44424,              2479743,,,,                202468,,                295748,,                              0,                130109,,,,,                180139,                 70262,                250401,                878726,,,                301737,,                 24689,,,                  6278,,                131900,                 17788,                    560,                156526,                482952,              1361678,,,,              1638845,              1638845,,,,               -529830,,                  9050,              1118065,              1118065,,,                              0,                              0,,,
1538,2013年06月30日,,,,,,                 72584,,                 14369,,                 13982,,                 96164,,                              0,,                 60866,                342970,,,              2029866,,                  4824,,                 93273,,                              0,                 16367,,                  9369,                119009,              2191274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 85005,,                 37575,              2534244,,,,                204171,,                286327,,                  9897,                113354,,,,,                198779,                 71466,                270245,                883994,,,                303057,,                 24689,,,                 13132,,                116000,                 17794,                    560,                147486,                475232,              1359226,,,,              1638845,              1638845,,,,               -478380,,                 14553,              1175018,              1175018,,,                              0,                              0,,,
