證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 淨確定福利資產-非流動,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　　 一年或一營業週期內到期長期借款,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　　　 預付退休金－非流動,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－認股權,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 應付公司債,　　　　 應付公司債合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 其他非流動負債－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 預付投資款,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產,　　　　 待出售非流動資產（淨額）,　　　　 其他流動資產－其他,　　　 庫藏股票
6145,2015年09月30日,,,,                989667,,                  1863,,                163507,,                  1961,,                  8656,,                  6799,,                  2348,,                198664,,                 40333,,                930842,                930842,              2344640,,,                              0,,                500000,,                433010,,                 38465,,                106595,,              2899163,                116976,,                  1221,                 44559,                 30642,,                  2500,                 78922,              4173131,              6517771,,,,,                412870,,                  2699,,                262907,,                 95860,,                104534,                  2374,                 64661,,,                 26489,,                 44167,                    271,                 70927,              1016832,,,                455833,,                 82352,,                  1238,                  1238,                539423,              1556255,,,,              3255333,              3255333,,,                855890,                855890,                     64,                              0,                 65491,                921445,,                270040,,                514698,              4961516,                              0,              4961516,              6517771,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2015年06月30日,,,,                878572,,                  6465,,                160776,,                    831,,                 15376,,,,                  2495,,                225685,,                 40499,,                889626,                889626,              2220325,,,                              0,,                500000,,                402666,,                 33886,,                106840,,              2721997,                116949,,                    939,                 45495,                 30491,,                  2500,                 79425,              3961763,              6182088,,,,,                680000,,                              0,,                228888,,                 65257,,                183232,                  2384,                 59417,,,                 20031,,                  4167,                    262,                 24460,              1243638,,,                195833,,                 78921,,                  1238,                  1238,                275992,              1519630,,,,              3255333,              3255333,,,                855890,                855890,                    655,                              0,                 65491,                922036,,                236136,,                248953,              4662458,                              0,              4662458,              6182088,              0,              0,                              0,                  4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2015年03月31日,,,,              1148447,,,,                129265,,                  1537,,                 13132,,,,                  2670,,                135031,,                 35028,,                903747,                903747,              2368857,,,                              0,,                500000,,                390076,,                 34515,,                107085,,              2761018,                117011,,                  2185,                 49712,                 30340,,                  2500,                 84737,              3994442,              6363299,,,,,                780000,,                              0,,                473579,,                 54589,,                112071,                  1146,                 58025,,,                 20423,,                              0,                    478,                 20901,              1500311,,,,,                 74762,,                  1238,                  1238,                 76000,              1576311,,,,              3255333,              3255333,,,                855890,                855890,                    655,                              0,                 65491,                922036,,                299966,,                309653,              4786988,                              0,              4786988,              6363299,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2014年12月31日,,,,              1240316,,                              0,,                112709,,                  2180,,                 12354,,                      1,,                  2691,,                162042,,                 52490,,                910064,                910064,              2494847,,,                              0,,                500000,,                371620,,                 35112,,                107330,,              2792103,                116890,,                    462,                 45065,                 32372,,                  2500,                 80399,              4003454,              6498301,,,,,                828422,,                  1719,,                650722,,                 47106,,                121476,                  1140,                 39595,,,                 26569,,                              0,                    264,                 26833,              1717013,,,                              0,,                 52380,,                  1238,                  1238,                 53618,              1770631,,,,              3255333,              3255333,,,                855890,                855890,                    655,                              0,                 65491,                922036,,                192052,,                358249,              4727670,                              0,              4727670,              6498301,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2014年09月30日,,,,                697480,,                              0,,                170237,,                  1477,,                 12810,,                              0,,                 13266,,                242253,,                 51450,,                879768,                879768,              2068741,,,                    338,,                500000,,                317220,,                 39900,,                107575,,              2683833,                172020,,                    372,                 43649,                 31912,,                  2500,                 78433,              3899319,              5968060,,,,,                350874,,                              0,,                491091,,                 18904,,                106078,                  1010,                    944,,,                 89214,,                473357,                    975,                563546,              1532447,,,                              0,,                  9559,,                  1238,                  1238,                 10797,              1543244,,,,              3255333,              3255333,,,                855890,                855890,                     81,                 65491,                              0,                921462,,                 64345,,                183676,              4424816,                              0,              4424816,              5968060,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2014年06月30日,,,,                474283,,                              0,,                105514,,                    771,,                 26643,,,,                 54454,,                244561,,                 42594,,                860740,                860740,              1809560,,,                    506,,                500000,,                291651,,                 43518,,                107820,,              2635096,                174666,,                    426,                 45409,                 31912,,                  2500,                 80247,              3833504,              5643064,,,,,                300000,,                    431,,                428269,,                  6795,,                104510,                  1410,                    944,,,                 16518,,                469775,                    523,                486816,              1329175,,,                              0,,                  9559,,                  1238,                  1238,                 10797,              1339972,,,,              3255333,              3255333,,,                855890,                855890,                    280,                 65491,                              0,                921661,,                 22041,,                104057,              4303092,                              0,              4303092,              5643064,              0,              0,                469775,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2014年03月31日,,,,                506358,,,,                236388,,                  4125,,                 23152,,,,                 53914,,                259771,,                 52660,,                876643,                876643,              2013011,,,                    803,,                500000,,                303460,,                 50094,,                108065,,              2688800,                178333,,                    372,                 46501,                 31912,,                  2500,                 81285,              3910840,              5923851,,,,,                300000,,                     37,,                576484,,                  6529,,                113889,                    944,                              0,,,                 21738,,                466229,                    467,                488434,              1486317,,,,,                  9559,,                  1238,                  1238,                 10797,              1497114,,,,              3255333,              3255333,,,                855890,                855890,                    280,                 65491,                              0,                921661,,                 66947,,                182796,              4426737,                              0,              4426737,              5923851,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6145,2013年12月31日,,,,,,,,                206105,,                  4079,,                 23375,,,,,,                282816,,                 48094,,                872275,                872275,              2308434,,,                  1466,,                              0,,                332578,,                 54438,,                108310,,              2630574,                180746,,                    372,                 46254,,,                  2500,                 81038,              3389150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                868977,                  2713,                 31912,              5697584,,,,                106085,,                              0,,                585511,,                  8655,,                127608,                  1347,                 15099,,,                 18779,,                462718,                    241,                481738,              1326043,,,                  9559,,                  1238,                  1238,                 10797,              1336840,,,,              3255333,              3255333,,,                855890,                855890,                    280,                 65491,                              0,                921661,,                 79072,,                112331,              4368397,                 -7653,              4360744,              0,,,,,,,,,,,,,,,,,,,,,,,,
6145,2013年09月30日,,,,,,                    260,,                188067,,                  4115,,                 21769,,                     24,,,,                424043,,                 54439,,              1061554,              1061554,              2425630,,,                  1729,,                              0,,                297583,,                 54678,,                108555,,              2610283,                185973,,                    216,                 47671,,,                  2500,                 79832,              3338633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                667083,                  4276,                 29445,              5764263,,,,                 32417,,                     88,,                773267,,                 30278,,                126698,                  2021,                              0,,,                 21886,,                              0,                    433,                 22319,                987088,,,                 10037,,                  1238,                  1238,                470518,              1457606,,,,              3255333,              3255333,,,                855890,                855890,                    280,                 65491,,                921661,,                 62169,,                 73678,              4312841,                 -6184,              4306657,              0,,                459243,,,,,,,,,,,,,,,,,,,,,,
6145,2013年06月30日,,,,,,                    483,,                225459,,                    712,,                 15430,,                     24,,,,                378603,,                 46227,,              1121653,              1121653,              2311010,,,                  1909,,                              0,,                305007,,                 52705,,                108799,,              2648643,                186415,,                    540,                 44795,,,                  2500,                 77270,              3380748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                514605,                  7814,                 29435,              5691758,,,,                130862,,                    249,,                518747,,                 34026,,                137797,                  3769,                    171,,,                 18812,,                    738,                    425,                 19975,                845596,,,                 10036,,                  1238,                  1238,                467077,              1312673,,,,              3255333,              3255333,,,                855890,                855890,                    223,                 65491,,                921604,,                 79914,,                127073,              4383924,                 -4839,              4379085,              0,,                455803,,,,,,,,,,,,,,,,,,,,,,
