證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
3015,2015年09月30日,,,,              3476595,,                110331,                110331,,                 88046,,              3387205,,                766609,                766609,,                101507,,                  5820,,,              1589480,              1589480,,                107492,,                 37151,              9670236,,,              2742498,,                 32350,,                 69404,,              1250374,,                219390,                 38873,,                 79617,              4432506,             14102742,,,,,                165128,,                 12110,,              3953277,,                 39084,,              1250665,                 38955,,                 67847,              5527066,,,                  1025,,                 44995,                    907,                 45902,                 46927,              5573993,,,,              1922620,              1922620,,              1333069,,                793995,,              1277589,              2071584,,,                238253,,              2707411,              2945664,                              0,              8272937,                255812,              8528749,             14102742,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,2015年06月30日,,,,              3488787,,                110256,                110256,,                101241,,              2996956,,                754018,                754018,,                 29401,,                  6350,,,              1702857,              1702857,,                110454,,                 32279,              9332599,,,              2379414,,,,                 68569,,              1193655,,                219464,                 37946,,                 75986,              3975034,             13307633,,,,,                167248,,                 12481,,              3730973,,                 32696,,                838718,                 69509,,                 57558,              4909183,,,                    969,,                 47080,                  1021,                 48101,                 49070,              4958253,,,,              2344658,              2344658,,              1333069,,                793995,,              1130201,              1924196,,,                152415,,              2344327,              2496742,,              8098665,                250715,              8349380,             13307633,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,2015年03月31日,,,,              3742419,,                 94380,                 94380,,                 98507,,              3060424,,                732959,                732959,,                 53084,,                  5565,,,              1905035,              1905035,,                145282,,                 31012,              9868667,,,              1899250,,,,                 26324,,              1233131,,                218672,                 38201,,                 69389,              3484967,             13353634,,,,,                220809,,                 10411,,              4000107,,                 52535,,                761945,                 72716,,                118184,              5236707,,,                    982,,                 49286,                    632,                 49918,                 50900,              5287607,,,,              2344658,              2344658,,              1333069,,                753869,,              1247278,              2001147,,,                182840,,              1864163,              2047003,                              0,              7725877,                340150,              8066027,             13353634,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,2014年12月31日,,,,              4256691,,                 94091,                 94091,,                101895,,              3364719,,                781015,                781015,,                 50303,,                  5491,,,              2125568,              2125568,,                148987,,                 31304,             10960064,,,              1835189,,                              0,,                 27173,,              1261966,,                218672,                 38648,,                 81828,              3463476,             14423540,,,,,                217029,,                 12951,,              4908537,,                 65121,,                930684,                 94842,,                134335,              6363499,,,                  1329,,                 51227,                     20,                 51247,                 52576,              6416075,,,,              2344658,              2344658,,              1333069,,                753869,,              1224456,              1978325,,,                204179,,              1798382,              2002561,                              0,              7658613,                348852,              8007465,             14423540,              0,              0,              0,              4256691,                  5491,             14423540,,,,                217029,,                 12951,,              4908537,,                 65121,,                930684,                 94842,,                134335,              6363499,,,                  1329,,                 51227,                     20,                 51247,                 52576,              6416075,,,,              2344658,              2344658,,              1333069,,                753869,,              1224456,              1978325,,,                204179,,              1798382,              2002561,                              0,              7658613,                348852,              8007465
3015,2014年09月30日,,,,              3718008,,                 90090,                 90090,,                 80963,,              3786758,,              1019390,              1019390,,                 86909,,                  6790,,,              1946821,              1946821,,                139317,,                 35980,             10911026,,,              1533602,,                              0,,                 25651,,              1255206,,                218672,                 37771,,                 77232,              3148134,             14059160,,,,,                191368,,                 12984,,              5119829,,                 59172,,                872172,                 79837,,                126710,              6462072,,,                    852,,                 55539,                    414,                 55953,                 56805,              6518877,,,,              2344658,              2344658,,              1333069,,                753869,,              1156595,              1910464,,,                134717,,              1496795,              1631512,                              0,              7219703,                320580,              7540283,             14059160,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,2014年06月30日,,,,              3918928,,                302673,                302673,,                 89085,,              3295159,,                773821,                773821,,                 42419,,                  7099,,,              1856912,              1856912,,                115287,,                 32456,             10433839,,,              1411684,,,,                 25279,,              1257046,,                218672,                 37588,,                 71555,              3021824,             13455663,,,,,                162706,,                 12771,,              4473199,,                 41041,,              1255674,                124361,,                126304,              6196056,,,                    836,,                 57590,                    385,                 57975,                 58811,              6254867,,,,              2344658,              2344658,,              1333069,,                753869,,                991541,              1745410,,,                 82238,,              1374877,              1457115,,              6880252,                320544,              7200796,             13455663,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,2014年03月31日,,,,              4027922,,                301782,                301782,,                 54324,,              3025840,,                737601,                737601,,                 77650,,                  6378,,,              1717699,              1717699,,                119302,,                 41141,             10109639,,,              1127514,,,,                 25396,,              1264337,,                218672,                 37787,,                 64029,              2737735,             12847374,,,,,                150578,,                 11228,,              4265227,,                 51959,,                738883,                135337,,                112335,              5465547,,,                    853,,                 59331,                    392,                 59723,                 60576,              5526123,,,,              2344658,              2344658,,              1333069,,                704414,,              1395615,              2100029,,,                120685,,              1090707,              1211392,                              0,              6989148,                332103,              7321251,             12847374,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,2013年12月31日,,,,,,                271564,                271564,,                 60070,,              3219075,,                642607,                642607,,                 36356,,,,,              1830021,              1830021,,                123059,,                 37085,             10340082,,,                731866,,,,                 24674,,              1287410,,                219074,                 37568,,                 73600,              2374192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              4114055,                  6190,             12714274,,,,                135154,,                 13844,,              4597343,,                 47854,,                802136,                106991,,                108197,              5811519,,,                    834,,                 61211,                    246,                 61457,                 62291,              5873810,,,,              2344658,              2344658,,              1333069,,                704414,,              1292953,              1997367,,,                125785,,                693866,                819651,                              0,              6494745,                345719,              6840464
3015,2013年09月30日,,,,,,                270593,                270593,,                 93266,,              3339407,,                713740,                713740,,                 38835,,,,,              1546570,              1546570,,                 99520,,                 34262,             10031843,,,                429866,,,,                 25337,,              1240211,,                219676,                 41133,,                 77227,              2033450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              3895006,                    644,             12065293,,,,                148153,,                 10917,,              4443227,,                 41197,,                765216,                125930,,                113562,              5648202,,,                    357,,                 72638,                    241,                 72879,                 73236,              5721438,,,,              2317228,              2317228,,              1307834,,                704414,,              1187364,              1891778,,,                 91903,,                391866,                483769,                              0,              6000609,                343246,              6343855
3015,2013年06月30日,,,,,,                320282,                320282,,                 47477,,              3570077,,                640309,                640309,,                 31345,,,,,              1540999,              1540999,,                118371,,                 37578,             10301810,,,                406312,,,,                 25428,,              1253561,,                220278,                 39470,,                 96385,              2041434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              3993219,                  2153,             12343244,,,,                150971,,                 12120,,              4450754,,                 26649,,              1171580,                148458,,                 80967,              6041499,,,                    362,,                 74710,                    245,                 74955,                 75317,              6116816,,,,              2309398,              2309398,,              1300630,,                704414,,              1075144,              1779558,,,                116252,,                368312,                484564,                              0,              5874150,                352278,              6226428
