證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　　　 其他流動負債－其他,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　 非控制權益,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
3013,2015年09月30日,,,,                516207,,                758840,,                417103,,                  3570,                 62418,                 65988,              1758138,,,                171582,,              1031864,,                202896,,                  2472,                 13565,,,                  1065,                171239,,                 63275,                235579,              1657958,              3416096,,,,,                140000,,                447537,,                  2887,,                163381,                 25314,,                  2684,,                              0,                  2684,                781803,,,                380500,,                 10336,,                  8812,                  8812,                399648,              1181451,,,,              1779350,              1779350,,                 15415,,                432602,,,                              0,,                  7278,                  7278,                              0,              2234645,              2234645,              3416096,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,2015年06月30日,,,,                323281,,                820446,,                309919,,                    637,                 20595,                 21232,              1474878,,,                169228,,              1097589,,                203205,,                  2410,                 13565,,,                  1065,                172754,,                 47500,                221319,              1707316,              3182194,,,,,                170000,,                305552,,                              0,,                148060,,,                  1232,,                              0,                  1232,                624844,,,                370000,,                 10336,,                  8812,                  8812,                389148,              1013992,,,,              1800000,              1800000,,                 15594,,                383703,,,                              0,,                  4924,                  4924,                 36019,              2168202,              2168202,              3182194,              0,              0,      1736000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,2015年03月31日,,,,                230120,,                770032,,                476418,,                 23139,                 45828,                 68967,              1545537,,,                169642,,              1079201,,                203515,,                  3169,                 16110,,,                  1179,                174270,,                 97822,                273271,              1744908,              3290445,,,,,                250000,,                392105,,                  3218,,                132769,,,,,                 69946,                 72187,                850279,,,                229500,,                 10336,,                  8812,                  8812,                248648,              1098927,,,,              1800000,              1800000,,                 15594,,                370586,,,                              0,,                  5338,                  5338,                              0,              2191518,              2191518,              3290445,,              0,              0,,                              0,,                476418,,                              0,                  2241,,                 15594,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,2014年12月31日,,,,                305207,,                909640,,                401475,,                 25589,                 50410,                 75999,              1692321,,,                169561,,              1127442,,                203824,,                  4101,                 13565,,,                  1179,                175785,,                 46613,                223577,              1742070,              3434391,,,,,                250000,,                478635,,                  6467,,                162249,                              0,,                  5242,,                 69784,                 75026,                972377,,,                239000,,                 10336,,                  8812,                  8812,                258148,              1230525,,,,              1800000,              1800000,,                 15594,,                383015,,,                              0,,                  5257,                  5257,                              0,              2203866,              2203866,              3434391,              0,              0,              0,,                              0,,                401475,,                              0,                  5242,,                 15594,                              0,                305207,              3434391,,,,                250000,,                478635,,                  6467,,                162249,,                  5242,,                 69784,                 75026,                972377,,,                239000,,                 10336,,                  8812,                  8812,                258148,              1230525,,,,              1800000,              1800000,,                 15594,,                383015,,,                              0,,                  5257,                  5257,                              0,              2203866,                              0,                              0,              2203866,,,,,,,,,,,,,
3013,2014年09月30日,,,,                235848,,                824536,,                387241,,                 84180,                 53762,                137942,              1585567,,,                167073,,              1245388,,                204133,,                  4190,                 11690,,,                  1179,                177300,,                 50483,                228962,              1861436,              3447003,,,,,                320000,,                432950,,                  3088,,                154833,                              0,,                  4361,,                259622,                263983,              1174854,,,                216000,,                  8093,,                  8809,                  8809,                232902,              1407756,,,,              1821710,              1821710,,                 23966,,                258330,,,                -10283,,                  2769,                 -7514,                 57245,              2039247,              2039247,              3447003,              0,              0,      2171000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,2014年06月30日,,,,                205704,,                852334,,                332634,,                 97990,                 43066,                141056,              1531728,,,                167262,,              1253882,,                204443,,                  3345,                 11855,,,                  7863,                178816,,                 44459,                231138,              1871925,              3403653,,,,,                330000,,                359694,,                  5165,,                153736,,,                    597,,                309460,                310057,              1158652,,,                193000,,                  8093,,                 12109,                 12109,                213202,              1371854,,,,              1821710,              1821710,,                 15782,,                281545,,,                -11090,,                  2958,                 -8132,                 79106,              2031799,              2031799,              3403653,              0,              0,      3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,2014年03月31日,,,,                225265,,                862922,,                376585,,                 20412,                 30240,                 50652,              1515424,,,                165498,,              1244871,,                204752,,                  4573,                 11666,,,                100135,                180331,,                 51410,                331876,              1963236,              3478660,,,,,                330000,,                357687,,                 22102,,                153431,,,,,                              0,                  4055,                867275,,,                529298,,                  8093,,                 11859,                 11859,                549250,              1416525,,,,              1821710,              1821710,,                 15782,,                312721,,,                -10166,,                  1194,                 -8972,                 79106,              2062135,              2062135,              3478660,,              0,      3000000,,                              0,,                376585,,                              0,                  4055,,                 15782,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,2013年12月31日,,,,,,                892535,,                381215,,                 22585,                 44971,                 67556,              1606275,,,                164304,,              1276719,,                205062,,                  4505,                 11577,,,                100135,                181847,,                 36592,                318574,              1980741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,,,,,,,,,,,                264969,              3587016,,,,                280863,,                505413,,                 39247,,                176994,,                  2733,,                              0,                  2733,              1005250,,,                536136,,                  8093,,                  8551,                  8551,                552780,              1558030,,,,              1821710,              1821710,,                 15782,,                280330,,,                 -9730,,                              0,                 -9730,                 79106,              2028986,                              0,                              0,              2028986,,,,,,,,,,,,,
3013,2013年09月30日,,,,,,                766871,,                282179,,                 23211,                 67909,                 91120,              1432299,,,                185332,,              1347178,,                205371,,                  5920,                 18603,,,                 99000,                183237,,                 35643,                317880,              2080284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,,,,,,,,,,,                292129,              3512583,,,,                320619,,                389913,,                 45671,,                204213,,                  7072,,                              0,                  7072,                967488,,,                542974,,                  6156,,                  8635,                  8635,                557765,              1525253,,,,              1821710,              1821710,,                 15782,,                239056,,,                -10112,,                              0,                -10112,                 79106,              1987330,,,              1987330,,,,,,,,,,,,,
3013,2013年06月30日,,,,,,                595818,,                248218,,                 26598,                 32828,                 59426,              1268209,,,                206182,,              1374804,,                205681,,                  5523,                 18455,,,                102000,                184628,,                 32884,                319512,              2130157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3000000,,                  7500,,,,,,,,,                357247,              3398366,,,,                359500,,                308681,,                 47126,,                161580,,                  1627,,                              0,                  1627,                878514,,,                559812,,                  6156,,                  8988,                  8988,                574956,              1453470,,,,              1821710,              1821710,,                 15782,,                193554,,,                 -9391,,                  2347,                 -7044,                 79106,              1944896,,,              1944896,,,,,,,,,,,,,
