證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 債券換股權利證書,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 預收股本,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 債券換股權利證書,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 預收股本,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付建造合約款,　　　　 應計退休金負債（應付退休金費用）,　　　　　 資本公積－普通股股票溢價,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積－員工認股權,　　　　 資本公積－其他
8011,2015年09月30日,,,,              1192891,,                              0,,                  8000,,                  4849,,                319045,                    385,,                 13842,,                  4803,,                422849,,                297071,,                  5571,                 11213,                 16784,              2280519,,,                              0,,                 29452,,              1231906,,                 22804,,,              1238455,              1238455,                 54623,,                140400,                 23435,,                339958,                  1676,,                 57369,                562838,              3140078,              5420597,,,,,                 35800,,                              0,,                  1286,,                261548,,                 58957,                  1512,,                 40109,,,                390528,                390528,                 30345,                420873,                820085,,,                              0,,              1090718,,                  3962,,                 33524,                 33524,              1128204,              1948289,,,,              1018772,                              0,              1018772,,,              1014945,              1014945,,                113681,                 10581,,                195997,                320259,,,                  5256,,                              0,                  5256,                              0,              2359232,              1113076,              3472308,              5420597,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,2015年06月30日,,,,              1543692,,                              0,,                 35500,,                  6097,,                300799,,,                 18558,,,,                378849,,                202397,,                 23391,                  2655,                 26046,              2513845,,,                              0,,                 29452,,              1233665,,                 22941,,,              1172718,              1172718,                 47662,,                131609,                 15577,,                299956,                  1741,,                 53169,                502052,              3008490,              5522335,,,,,                116746,,                 49044,,                    896,,                190766,,                179303,                 27494,,,,,                309968,                309968,                 22175,                332143,                896392,,,                              0,,              1032230,,                  3621,,                 34391,                 34391,              1070242,              1966634,,,,              1038772,                              0,              1038772,,,              1034642,              1034642,,                113681,                 10581,,                274977,                399239,,,                  2441,,                    -57,                  2384,                 49357,              2425680,              1130021,              3555701,              5522335,              0,      1700000,,                  1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,2015年03月31日,,,,              1964649,,                              0,,,,                  4494,,                277414,,,                 23095,,,,                399447,,                166577,,                 36035,                  4656,                 40691,              2876367,,,                              0,,                 30552,,              1244894,,                 23078,,,              1001629,              1001629,                 49232,,                107863,                 14419,,                322025,                  1903,,                 44213,                490423,              2839808,              5716175,,,,,                150000,,                179294,,                  6721,,                220340,,                 74029,                 60760,,,,,                282988,                297314,                  5009,                302323,                993532,,,                              0,,              1095515,,                  3615,,                 34460,                 34460,              1133590,              2127122,,,,              1036943,                  1803,              1038746,,,              1034574,              1034574,,                101576,                 10581,,                437740,                549897,,,                  3466,,                              0,                  3466,,              2626683,                962370,              3589053,              5716175,              0,              0,,,,                     65,                 14326,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,2014年12月31日,,,,              1820751,,                    139,,                              0,,                  2423,,                264789,                              0,,                 36540,,                              0,,                360152,,                153307,,                 31039,                  3085,                 34124,              2672225,,,                              0,,                 30552,,              1231029,,                 23215,,,                814210,                814210,                 40304,,                114584,                 14936,,                293450,                  2064,,                 45281,                470315,              2609625,              5281850,,,,,                150000,,                149519,,                  3429,,                250240,,                 99953,                 46341,,                              0,,,                266682,                266682,                  4362,                271044,                970526,,,                 20582,,              1073830,,                  3418,,                 32018,                 32018,              1129848,              2100374,,,,                936024,                    919,                936943,,,                745400,                745400,,                101576,                 10581,,                400638,                512795,,,                  2614,,                              0,                  2614,                              0,              2197752,                983724,              3181476,              5281850,              0,              0,,                              0,,                              0,                              0,                              0,              1820751,              5281850,,,,                150000,,                149519,,                  3429,,                250240,,                 99953,                 46341,,,                266682,                266682,                  4362,                271044,                970526,,,                 20582,,              1073830,,                  3418,,                 32018,                 32018,              1129848,              2100374,,,,                936024,                    919,                936943,,,                745400,                745400,,                101576,                 10581,,                400638,                512795,,,                  2614,,                              0,                  2614,              2197752,                983724,              3181476,              0,,,,,,,,,
8011,2014年09月30日,,,,              1658011,,                    244,,                              0,,                  2226,,                369725,                              0,,                  7521,,                              0,,                361530,,                143749,,                 19036,                  4044,                 23080,              2566086,,,                 17700,,                 30552,,              1125453,,                 23352,,,                679490,                679490,                 34922,,                122484,                 12980,,                253001,                  2129,,                 45427,                436021,              2347490,              4913576,,,,,                200000,,                              0,,                  6506,,                271607,,                 82774,                 33256,,                              0,,,                203962,                203962,                  4000,                207962,                802105,,,                 23680,,                959838,,                  3097,,                 29503,                 29503,              1016118,              1818223,,,,                923684,                 12340,                936024,,,                743048,                743048,,                101576,                 10581,,                441024,                553181,,,                    126,,                 17700,                 17826,                              0,              2250079,                845274,              3095353,              4913576,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,2014年06月30日,,,,              1709625,,                  2076,,                              0,,                  1969,,                501813,,,                 18197,,,,                380789,,                127496,,                 13819,                 22455,                 36274,              2778239,,,                 17950,,                 30552,,                941663,,                 23489,,,                576969,                576969,                 21466,,                193751,                 15398,,                191000,                  2208,,                 46609,                448966,              2061055,              4839294,,,,,                160253,,                              0,,                  3816,,                307996,,                243683,                 38012,,,,,                134560,                134560,                  7406,                141966,                895726,,,                 67751,,                760689,,                  2504,,                 27322,                 27322,                858266,              1753992,,,,                870600,                 53084,                923684,,,                710992,                710992,,                101576,                 10581,,                449952,                562109,,,                 -1773,,                 17950,                 16177,                              0,              2212962,                872340,              3085302,              4839294,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,2014年03月31日,,,,              1175050,,                  3007,,,,                 10914,,                516886,,,                  1498,,,,                507707,,                156986,,                 58132,                 40522,                 98654,              2470702,,,                 14300,,                 30552,,                812148,,                 23626,,,                483673,                483673,                 19413,,                110938,                 12185,,                217992,                  2378,,                 33047,                376540,              1760252,              4230954,,,,,                126119,,                              0,,                  6741,,                415144,,                 77818,                 50704,,,,,                120685,                120685,                  2338,                123023,                799549,,,                256193,,                629799,,                  3222,,                 25061,                 25061,                914275,              1713824,,,,                790600,                              0,                838697,,,                403306,                403306,,                 85012,                 10581,,                552083,                647676,,,                    -21,,                 14300,                 14279,,              1903958,                613172,              2517130,              4230954,         48097,              0,,,,                              0,                              0,                 48097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8011,2013年12月31日,,,,,,                              0,,,,                  5952,,                568922,                 14929,,                  2999,,,,                424868,,                108757,,                100965,                 26691,                127656,              2246076,,,                 15450,,                 30552,,                720625,,                 31462,,,                425565,                425565,                 21345,,                 79870,                 13819,,                117000,                  2520,,                 31592,                244801,              1489800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,                991993,              3735876,,,,                188769,,                              0,,                 16334,,                397562,,                106738,                 36122,,,                102060,                102060,                  3701,                105761,                851286,,,                              0,,                491958,,                  2983,,                 23486,                 23486,                518427,              1369713,,,,                790600,                              0,                790600,,,                379119,                379119,,                 85012,                 10581,,                456054,                551647,,,                   -347,,                 15450,                 15103,              1736469,                629694,              2366163,              0,                              0,,,,,,,,
8011,2013年09月30日,,,,,,                              0,,,,                 23678,,                402665,                  4625,,                  8449,,,,                435688,,                 97300,,                              0,                  7566,                  7566,              2081806,,,                 17550,,                 30552,,                649658,,                 31641,,,                258642,                258642,                 21926,,                  3350,                 12803,,                215596,                  2602,,                 30030,                264381,              1274350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,              1101835,              3356156,,,,                382694,,,,                 15571,,                135755,,                 90695,                 23295,,,                 86344,                 86344,                 10877,                 97221,                745231,,,                              0,,                520441,,                  2517,,                 14846,                 14846,                537804,              1283035,,,,                790600,                              0,                790600,,,                383009,                383009,,                 85012,                 10581,,                411454,                507047,,,                 -1569,,                 17550,                 15981,              1696637,                376484,              2073121,              0,,,,,,,,,
8011,2013年06月30日,,,,,,                              0,,,,                 14388,,                387617,                  4469,,                  2372,,,,                496128,,                 38614,,                              0,                 32041,                 32041,              2136020,,,                 13710,,                 30552,,                581862,,                 31820,,,                193916,                193916,                 26196,,                  3040,                 12121,,                215396,                  2770,,                 29254,                262581,              1140637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,,              1160391,              3276657,,,,                291471,,,,                  5960,,                222642,,                173262,                 37339,,,                 45571,                 45571,                 16515,                 62086,                792760,,,                              0,,                422107,,                  3021,,                 14014,                 14014,                439142,              1231902,,,,                790600,                              0,                790600,,,                383009,                383009,,                 85012,                 10581,,                369151,                464744,,,                    890,,                 13710,                 14600,              1652953,                391802,              2044755,              0,,,,,,,,,
