證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　　 庫藏股票,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他流動負債－其他,　　　　 待分配股票股利,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　 長期借款,　　　　 長期借款合計,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　　 銀行長期借款
5007,2015年09月30日,,,,                625997,,                              0,,                 33068,,                 15848,,                  6863,,              1249840,,                 17974,,                 30603,,                              0,,              1491695,,                 29693,,                    290,              3501871,,,                  2138,,              3561962,,                186766,                 81741,,                 52484,              3885091,              7386962,,,,,                713575,,                159943,,                 33271,,                247934,,                150826,,                  3296,,                308865,                    185,                 16898,,                 42026,                 42026,              1676819,,,                218195,,                271982,                 35479,                307461,                525656,              2202475,,,,              2949401,              2949401,,                478182,,                708175,                259309,,                662365,              1629849,,                -33146,              5024286,                160201,              5184487,              7386962,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,2015年06月30日,,,,                905378,,                              0,,                 36219,,                 15559,,                  5105,,              1209519,,                 15280,,                 37416,,,,              1488244,,                 27073,,                    187,              3739980,,,                  2234,,              3503642,,                189467,                 72373,,                 74658,              3842374,              7582354,,,,,                497853,,                 79948,,                  6170,,                264108,,                151671,,                  4947,,                966145,                  3398,                 76516,,                 38906,                 38906,              2089662,,,                212675,,                282762,                 33887,                316649,                529324,              2618986,,,,              2681274,              2949401,,                478182,,                708175,                259309,,                431441,              1398925,,                -20094,              4806414,                156954,              4963368,              7582354,              0,              0,              0,                268127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,2015年03月31日,,,,                643558,,                 30970,,                 37291,,                 11758,,                  6947,,              1291108,,                 41944,,                 31886,,                     44,,              1506852,,                 23195,,                    837,              3626390,,,                  2266,,              3404587,,                192620,                 74670,,                 41637,              3715780,              7342170,,,,,                488001,,                 80000,,                    174,,                199381,,                156770,,                  5746,,                252081,                     90,                167204,,                 40846,                 40846,              1390293,,,                207135,,                282868,                 31264,                314132,                521267,              1911560,,,,              2681274,              2681274,,                478182,,                603979,                259309,,              1269275,              2132563,,                -15986,              5276033,                154577,              5430610,              7342170,              0,              0,              0,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,2014年12月31日,,,,                797390,,                              0,,                 54428,,                 16028,,                  6685,,              1277606,,                 21159,,                 32829,,                              0,,              1493936,,                 24584,,                     29,              3724674,,,                  2345,,              3309558,,                194870,                 71071,,                 33335,              3611179,              7335853,,,,,                525872,,                 74984,,                  9934,,                281415,,                133758,,                  2634,,                405851,                              0,                123098,,                 38742,                 38742,              1596288,,,                204051,,                285582,                 30211,                315793,                519844,              2116132,,,,              2681274,              2681274,,                478183,,                603979,                259309,,              1044037,              1907325,,                 -6920,              5059862,                159859,              5219721,              7335853,              0,              0,              0,                              0,,                              0,                              0,                797390,                 54428,                  2345,              7335853,,,,                525872,,                 74984,,                  9934,,                281415,,                133758,,                  2634,,                405851,                              0,                123098,,                 38742,              1596288,,,                204051,,                285582,                 30211,                315793,                519844,              2116132,,,,              2681274,              2681274,,                478183,,                603979,                259309,,              1044037,              1907325,,                 -6920,                              0,              5059862,                159859,              5219721,,,,,,,,,,
5007,2014年09月30日,,,,                681041,,                  9599,,                 55837,,                 17003,,                  6237,,              1208732,,                 19815,,                 34821,,                    246,,              1515743,,                 24634,,                    190,              3573898,,,                  2327,,              3164216,,                197052,                 70828,,                 25918,              3460341,              7034239,,,,,                524217,,                149996,,                    363,,                253956,,                134658,,                  2567,,                320918,                    171,                 85337,,                 49849,                 49849,              1522032,,,                202131,,                290762,                 28205,                318967,                521098,              2043130,,,,              2681274,              2681274,,                477997,,                603979,                259309,,                809145,              1672433,,                 -3396,              4828308,                162801,              4991109,              7034239,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,2014年06月30日,,,,              1059402,,                 10844,,                              0,,                 13899,,                 10879,,              1240170,,                 10819,,                 40553,,,,              1473795,,                 22263,,                    152,              3882776,,,                  2329,,              3079767,,                199532,                 70955,,                 28284,              3380867,              7263643,,,,,                516246,,                149956,,                              0,,                258453,,                159863,,                  3750,,                755576,                              0,                114047,,                 44296,                 44296,              2002187,,,                202277,,                292881,                 26886,                319767,                522044,              2524231,,,,              2331543,              2681274,,                477997,,                603979,                259309,,                559340,              1422628,,                 -3161,              4578738,                160674,              4739412,              7263643,              0,              0,              0,                349731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,2014年03月31日,,,,                979613,,                 10603,,                              0,,                 13916,,                  5540,,              1296116,,                 19136,,                 39797,,                              0,,              1428333,,                 21423,,                    295,              3814772,,,                  2332,,              3020347,,                201863,                 69975,,                 11446,              3306042,              7120814,,,,,                576324,,                149925,,                  5789,,                236982,,                217162,,                  2890,,                251588,                              0,                178819,,                 45570,                 45570,              1665049,,,                203823,,                292592,                 27141,                319733,                523556,              2188605,,,,              2331543,              2331543,,                477997,,                513129,                259779,,              1195130,              1968038,,                 -2911,              4774667,                157542,              4932209,              7120814,              0,              0,              0,,,                     79,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,2013年12月31日,,,,,,                 10000,,,,                 11519,,                              0,,              1211015,,                 20084,,                 35332,,                    168,,              1458050,,                 22859,,                    676,              3672624,,,,,              2954489,,                202250,                 72065,,                 23664,              3254853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                     79,,                902921,                              0,                  2306,              6927477,,,,                682622,,                209988,,                 16171,,                204443,,                126025,,                  3639,,                349212,                  2538,                122997,,                 39278,              1756913,,,                203340,,                298515,                 25704,                324219,                527559,              2284472,,,,              2331543,              2331543,,                477997,,                513129,                259779,,                908501,              1681409,,                 -5811,                              0,              4485138,                157867,              4643005,                 39278,                              0,,,,,,,,
5007,2013年09月30日,,,,,,                 13924,,,,                 15657,,                  7635,,              1274257,,                 26666,,                 31346,,                              0,,              1359385,,                 19735,,                    821,              3349975,,,,,              2934064,,                204860,                 72623,,                 19710,              3232447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                     79,,                600549,                              0,                  1111,              6582422,,,,                658319,,                209957,,                  8703,,                199488,,                188046,,                  2854,,                256975,                              0,                 79907,,                 34012,              1638261,,,                201026,,                308015,                 23623,                331638,                532664,              2170925,,,,              2331543,              2331543,,                477678,,                513129,                259779,,                682671,              1455579,,                 -6529,                              0,              4258271,                153226,              4411497,                 34012,,,,,,,,,
5007,2013年06月30日,,,,,,                 13924,,,,                 11093,,                  2271,,              1240613,,                 25337,,                 29860,,                              0,,              1286643,,                 20302,,                    914,              3471201,,,,,              2935813,,                207691,                 71167,,                 19138,              3234999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                     79,,                840244,,                  1111,              6706200,,,,                580155,,                209850,,                  6826,,                274622,,                131788,,                 11071,,                657749,                              0,                 80001,,                 50961,              2003023,,,                200139,,                310341,                 22895,                333236,                533375,              2536398,,,,              2199569,              2331543,,                477683,,                513129,                259779,,                439408,              1212316,,                   -636,                              0,              4020906,                148896,              4169802,                 50961,                131974,,,,,,,,
