證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付建造合約款,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 本期所得稅負債,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 庫藏股票,　　 非控制權益,　　　　 存貨－買賣業,　　　　　 存貨－買賣業淨額
1618,2015年09月30日,,,,                597616,,                117018,,                103584,,                 28189,,                380453,                  3739,,                  7568,,                  1142,,,                803848,                803848,,                 51953,              2095110,,,                409282,,                 10000,,                 23563,,              1260823,,                385033,,                    342,                 61428,,                  6825,              2157296,              4252406,,,,,                              0,,                267692,                 11811,,                 68769,,                 21251,                369523,,,                 11960,                 11960,                381483,,,,              2408647,              2408647,,                648415,,                276715,                110540,,                683534,              1070789,,,                  8236,,               -265164,               -256928,                              0,              3870923,                              0,              3870923,              4252406,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2015年06月30日,,,,                829160,,                114741,,                103584,,                 32491,,                211727,                  4088,,                 11092,,                  1007,,,                660293,                660293,,                 24268,              2002782,,,                437894,,                 10000,,                 22163,,              1267202,,                387217,,                    424,                 70171,,                 12852,              2207923,              4210705,,,,,                  5326,,                124277,                 11072,,                113776,,                 55975,                336942,,,                 11969,                 11969,                348911,,,,              2408647,              2408647,,                648415,,                276715,                110540,,                649805,              1037060,,,                  6501,,               -238829,               -232328,                              0,              3861794,                              0,              3861794,              4210705,              0,              0,              0,,                              0,,                 10331,,                              0,,                 26516,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2015年03月31日,,,,                758981,,                116919,,                108584,,                 29224,,                267519,                     92,,                  3376,,                    821,,,                654004,                654004,,                 19106,              1962671,,,                512862,,                 10000,,                 21763,,              1284917,,                389439,,                    506,                 67157,,                 11815,              2298459,              4261130,,,,,                 37082,,                118433,                 17136,,                 44726,,                 28285,                245662,,,                 11956,                 11956,                257618,,,,              2408647,              2408647,,                648415,,                276715,,,                824518,              1101233,,,                  6900,,               -161683,               -154783,                              0,              4003512,                              0,              4003512,              4261130,              0,              0,              0,,                              0,,                  4045,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2014年12月31日,,,,                781581,,                119790,,                127701,,                 23393,,                138081,                    684,,                  6998,,                    634,,,                735713,                735713,,                 20127,              1954702,,,                553966,,                 10000,,                 21665,,              1168101,,                526267,,                    587,                 57759,,                 13707,              2352052,              4306754,,,,,                 35610,,                 25971,                 65971,,                 45556,,                 28505,                201613,,,                 12955,                 12955,                214568,,,,              2408647,              2408647,,                648415,,                276715,                              0,,                868950,              1145665,,,                  7167,,               -117708,               -110541,                              0,              4092186,                              0,              4092186,              4306754,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2014年09月30日,,,,                754610,,                117216,,                113314,,                 27355,,                220347,                  1964,,                  7981,,                    444,,,                757480,                757480,,                 19772,              2020483,,,                559719,,                              0,,                 19761,,              1188372,,                529283,,                    995,                 44096,,                 13065,              2355291,              4375774,,,,,                 49541,,                 61904,                 66713,,                 46262,,                 33619,                258039,,,                 12224,                 12224,                270263,,,,              2408647,              2408647,,                648415,,                276715,                              0,,                880133,              1156848,,,                  6130,,               -114529,               -108399,                              0,              4105511,                              0,              4105511,              4375774,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2014年06月30日,,,,                544408,,                124146,,                111858,,                 31789,,                411239,                              0,,                 10726,,                              0,,,                629245,                629245,,                 18685,              1882296,,,                641476,,                  1087,,                 19314,,              1204670,,                682218,,                    919,                 43929,,                  5805,              2599418,              4481714,,,,,                 45931,,                 85550,                102753,,                 45132,,                 38072,                317438,,,                 12229,                 12229,                329667,,,,              2408647,              2408647,,                648415,,                276715,                              0,,                841458,              1118173,,,                  5694,,                -28882,                -23188,                              0,              4152047,                              0,              4152047,              4481714,              0,              0,              0,,                      3,,                    197,,                              0,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2014年03月31日,,,,                583221,,                124542,,                163625,,                 23407,,                300058,                              0,,                  9793,,                              0,,,                721131,                721131,,                 14467,              1940468,,,                662931,,                  1087,,                 19526,,              1226180,,                685808,,                  1127,                 44103,,                  6052,              2646814,              4587282,,,,,                 48661,,                126594,                 93580,,                 52298,,                 39976,                372501,,,                 12228,                 12228,                384729,,,,              2408647,              2408647,,                648415,,                276715,,,                869633,              1146348,,,                  6174,,                 -7031,                   -857,                              0,              4202553,                              0,              4202553,              4587282,              0,              0,              0,,                     11,,                    213,,                  5684,,                              0,                  5708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1618,2013年12月31日,,,,,,                113355,,,,                 32774,,                206440,                              0,,                    486,,,,,,                644126,,                 19465,              1976877,,,                681610,,,,                 19587,,              1249720,,                689403,,                  1334,                 42655,,                  5329,              2690725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                    206,,,,,,                811025,                149000,                              0,                  1087,              4667602,,,,                 47999,,                 45059,,                147316,                105091,,                 52040,                  5708,,                 29107,                432320,,,                 12229,                 12229,                444549,,,,              2408647,              2408647,,                648415,,                276715,,                883177,              1159892,,,                  5638,,                    461,                  6099,              4223053,              4223053,,,,,,
1618,2013年09月30日,,,,                741463,,                125532,,,,                 28020,,                396297,                     43,,                  1051,,,,,,                641087,,                 17233,              1978434,,,                755192,,,,                 17464,,              1319951,,                692909,,                    739,                 41961,,                  3571,              2832874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                    208,,,,,,,                 27500,,                  1087,              4811308,,,,                 59225,,,,                154600,                149660,,                 54111,                  9714,,                 33386,                460696,,,                  9740,                  9740,                470436,,,,              2408647,              2408647,,                648415,,                276715,,                915420,              1192135,,,                  5455,,                 86220,                 91675,              4340872,              4340872,,                              0,,,,
1618,2013年06月30日,,,,,,                114345,,,,                 33187,,                370758,                  4072,,                 11634,,,,,,                815645,,                 16089,              2158107,,,                904865,,,,                 17634,,              1353019,,                696314,,                    790,                 43230,,                  4517,              3021456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                    280,,,,,,                764597,                 27500,,                  1087,              5179563,,,,                 60619,,                  3656,,                282494,                119085,,                175865,                 14158,,                 26923,                682800,,,                  9975,                  9975,                692775,,,,              2408647,              2408647,,                648415,,                276715,,                920777,              1197492,,,                  5774,,                226460,                232234,              4486788,              4486788,,,,,,
1618,2013年03月31日,,,,,,                132066,,,,                 23553,,                372316,                  4526,,                  5029,,,,,                825276,                825276,,                 14783,              2149895,,,              1002446,,,,                 17818,,              1394300,,                687687,,                    929,                 38778,,                  8195,              3151240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,                  5816,,,,,,                730030,                 36500,,                  1087,              5301135,,,,                 64297,,                    736,,                190352,                135466,,                 54405,                 38630,,                 31955,                515841,,,                  9971,                  9971,                525812,,,,              2408647,              2408647,,                648415,,                248080,,              1104579,              1352659,,,                  5647,,                359955,                365602,              4775323,              4775323,,                              0,                              0,                              0,,
1618,2012年12月31日,,,,                813489,,                 97209,,,,                 22008,,                226717,                  5603,,                  1940,,,,,,                958731,,                 19777,              2193469,,,              1020806,,,,                 17349,,              1428558,,                687499,,                  1067,                 36338,,                  6643,              3199347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                 11495,,,,,,,                 36500,,                  1087,              5392816,,,,                 96521,,                     26,,                134182,                178017,,                 76465,                 35472,,                 26693,                592202,,,                  9740,                  9740,                601942,,,,              2408647,              2408647,,                648415,,                248080,,              1100537,              1348617,,,                  5065,,                380130,                385195,              4790874,              4790874,,                 44826,,,,
1618,2012年09月30日,,,,                396305,,                              0,,,,                 49033,,                293596,                    198,,                 10918,,,,,,              1359078,,                 22403,              2176552,,,              1142128,,,,                 15079,,              1469240,,                690619,,                  1052,                 37191,,                 26047,              3382443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                  8521,,,,,,,                 36500,,                  1087,              5558995,,,,                130182,,,,                227538,                170510,,                 76100,                 35036,,                 25481,                664847,,,                  7588,                  7588,                672435,,,,              2408647,              2408647,,                648415,,                248080,,              1051735,              1299815,,,                  5259,,                524424,                529683,              4886560,              4886560,,                              0,,,,
1618,2012年06月30日,,,,                344889,,                              0,,,,                 46320,,                375147,                    153,,                 23059,,,,,,              1432387,,                 47218,              2344837,,,              1100083,,,,                 15380,,              1518024,,                675472,,                  1178,                 37385,,                 15330,              3363939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                 34164,,,,,,,                 41500,,                  1087,              5708776,,,,                198397,,,,                426934,                128997,,                196327,                 16868,,                 39346,              1006869,,,                  7344,                  7344,              1014213,,,,              2408647,              2408647,,                648415,,                248080,,                901376,              1149456,,,                  5666,,                482379,                488045,              4694563,              4694563,,                              0,,,,
1618,2012年03月31日,,,,                 90662,,                              0,,,,                 40950,,                214439,                    248,,                147916,,,,,,              1315743,,                 28102,              1883932,,,              1163246,,,,                 15164,,              1560598,,                678815,,                  1305,                 45517,,                  6466,              3472198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                 14372,,,,,,,                 31500,,                  1087,              5356130,,,,                 78634,,,,                148172,                 73537,,                116660,                 50085,,                 99340,                571814,,,                  7329,                  7329,                579143,,,,              2408647,              2408647,,                648415,,                229907,,                946367,              1176274,,,                 -1891,,                545542,                543651,              4776987,              4776987,,                  5386,                              0,                              0,,              1315743
1618,2012年01月01日,,,,                151127,,                              0,,,,                 33047,,                228441,                  1172,,                152085,,,,,,              1180732,,                 40262,              1818385,,,              1031609,,,,                 15558,,              1586054,,                681847,,                  1431,                 44657,,                  6316,              3368559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                     19,,,,,,,                 31500,,                  1087,              5186944,,,,                 95700,,                 18978,,                 95055,                 68625,,                100517,                 46586,,                 93810,                524790,,,                  7686,                  7686,                532476,,,,              2408647,              2408647,,                648415,,                229907,,                954131,              1184038,,,                              0,,                413368,                413368,              4654468,              4654468,,                  5519,,,,
