證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　　　 待分配股票股利,　　　　 應付建造合約款,　　　　 本期所得稅負債,　　　　 現金及約當現金合計,　　　 遞延所得稅資產,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 其他應付款項－關係人,　　　　 當期所得稅資產合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　　 待分配股票股利,　　　 應付建造合約款,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動,　　　　 透過其他綜合損益按公允價值衡量之金融資產－非流動合計
6177,2015年09月30日,,,,                359232,,                 13790,,                 20630,,                  1668,,                    394,,              9968095,,                693666,,                230482,             11287957,,,                  2513,,                  1000,,                141083,,                 12738,,                990004,              1147338,             12435295,,,,,              3227238,,                320000,,                  4268,,                445817,,                  5991,,                995854,,              1672306,              6671474,,,              2485114,,                  2650,              2487764,              9159238,,,,              1972984,                              0,              1972984,,                289230,,                324948,                    707,,                688249,              1013904,,                    -61,              3276057,              3276057,             12435295,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,2015年06月30日,,,,                917614,,                  3978,,                 12960,,                  2249,,                    380,,              9549634,,                660565,,                168082,             11315462,,,                    245,,,,                142196,,                 12959,,                665191,                820591,             12136053,,,,,              3587958,,                940000,,                      7,,                480506,,                  2533,,                991330,,              1360985,              7363319,,,              1499769,,                  2651,              1502420,              8865739,,,,              1711197,                 43540,              1983305,,                266488,,                324948,                    707,,                695485,              1021140,,                   -619,              3270314,              3270314,             12136053,              0,      1953507,              0,,                              0,                228568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,2015年03月31日,,,,                182234,,                 13430,,                 10080,,                 46063,,                  1006,,              9684760,,                655199,,                145892,             10738664,,,                    198,,,,                142126,,                 12547,,                779183,                934054,             11672718,,,,,              3469388,,                400000,,                  3483,,                583192,,                  2633,,                352050,,              1447805,              6258551,,,              1586882,,                  2650,              1589532,              7848083,,,,              1711197,                  3308,              1714505,,                218782,,                172606,                  2203,,              1717380,              1892189,,                   -841,              3824635,              3824635,             11672718,              0,              1,              0,,,,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,2014年12月31日,,,,                141774,,                 13565,,                 20860,,                  3159,,                  3899,,             10266814,,                691482,,                230615,             11372168,,,                    221,,                              0,,                143208,,                 12832,,                495325,                651586,             12023754,,,,,              3584133,,                300000,,                    113,,                673170,,                  2020,,                426111,,              1817944,              6803491,,,              1630450,,                  2651,              1633101,              8436592,,,,              1690812,                  3263,              1694075,,                194634,,                172606,                  2203,,              1524351,              1699160,,                   -707,              3587162,              3587162,             12023754,              0,         27194,              0,,                              0,                              0,                              0,                              0,                141774,                              0,             12023754,,,,              3584133,,                300000,,                    113,,                673170,,                  2020,,                426111,                              0,,              1817944,              6803491,,,              1630450,,                  2651,              1633101,              8436592,,,,              1690812,                  3263,              1694075,,                194634,,                172606,                  2203,,              1524351,              1699160,,                   -707,              3587162,              3587162,,,,,,,,,,
6177,2014年09月30日,,,,                173242,,                  9897,,                 34040,,                  2892,,                    414,,             10104174,,                612908,,                433629,             11371196,,,                    718,,                              0,,                141773,,                 10576,,                495844,                648911,             12020107,,,,,              3838066,,                200000,,                  4225,,                500516,,                     16,,                416062,,              1940624,              6899509,,,              1636493,,                  2649,              1639142,              8538651,,,,              1688500,                  2313,              1690813,,                190794,,                172606,                  2203,,              1423034,              1597843,,                  2006,              3481456,              3481456,             12020107,              0,         48911,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,2014年06月30日,,,,                303301,,                 19555,,                 18330,,                 13873,,                    269,,             10116129,,                586575,,                202107,             11260141,,,                  1006,,,,                141091,,                 10662,,                498161,                650920,             11911061,,,,,              3749564,,                439900,,                  4729,,                617519,,                              0,,                318779,,              2244736,              7375227,,,              1643674,,                  2650,              1646324,              9021551,,,,              1643261,                    871,              1687727,,                185649,,                172606,                  2203,,                840442,              1015251,,                    883,              2889510,              2889510,             11911061,              0,              1,              0,,                      2,                 43595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,2014年03月31日,,,,                408870,,                 17353,,                 83008,,                 17380,,                    281,,              9387003,,                677572,,                190897,             10782364,,,                  1332,,,,                141740,,                 10749,,                168738,                322559,             11104923,,,,,              4853702,,                571900,,                  5173,,                178938,,                              0,,                325105,,              2659836,              8650148,,,                444529,,                  2650,                447179,              9097327,,,,              1643261,                              0,              1643261,,                184586,,                168772,                  4392,,                  7904,                181068,,                 -1319,              2007596,              2007596,             11104923,              0,              0,              0,,,,                  1645,                 53849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6177,2013年12月31日,,,,,,                 16468,,                 20571,,                 20714,,                    211,,              7959439,,                549113,,                170485,              8881633,,,                  1477,,,,                135850,,                 10258,,                168571,                316156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         19971,              0,,,,,,                144632,                              0,              9197789,,,,              3318073,,                545900,,                  1021,,                179192,,                              0,,                429620,                 53849,,              2179187,              6706842,,,                445862,,                  3382,                449244,              7156086,,,,              1641954,                    218,              1642172,,                183267,,                168772,                  4392,,                 45303,                218467,,                 -2203,              2041703,              2041703,,,,,,,,,,
6177,2013年09月30日,,,,,,                 15727,,                 17548,,                  2873,,                     36,,              6440109,,                325957,,                475600,              7329396,,,                  1265,,,,                136228,,                 10298,,                166652,                314443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                 51546,,              7643839,,,,              2542182,,                546500,,                  5808,,                187556,,                              0,,                227279,                 53919,,              1578213,              5141457,,,                451522,,                  2651,                454173,              5595630,,,,              1639122,                              0,              1639122,,                179644,,                168772,                  4392,,                 59223,                232387,,                 -2944,              2048209,              2048209,                              0,,,,,,,,,
6177,2013年06月30日,,,,,,                 14320,,                 44673,,                 21282,,                     36,,              6067134,,                308258,,                485409,              7087181,,,                    755,,,,                137035,,                 10337,,                112023,                260150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,                146069,,              7347331,,,,              2442352,,                606500,,                  9641,,                206377,,                      3,,                215930,                 54398,,              1298340,              4833541,,,                453306,,                  2650,                455956,              5289497,,,,              1352572,                              0,              1644824,,                171055,,                168772,                  4392,,                 73143,                246307,,                 -4352,              2057834,              2057834,                              0,                              0,,                              0,                292252,,,,,
