證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　　 預付設備款,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　 短期借款,　　　　 短期借款合計,　　　　 待分配股票股利,　　　　 特別盈餘公積,　　　 資本公積,　　　　 資本公積合計,　　　 庫藏股票,　　 非控制權益
9926,2015年09月30日,,,,                833394,,                402845,,                  7318,,                362482,,                150071,,                 36785,,                320618,                    802,                321420,              2114315,,,                395611,,                 50674,,                 83216,,              2135206,,                    973,                 40369,,                  3145,,                 38442,                 41587,              2747636,              4861951,,,,,                  5787,,                181379,,                197421,                 18983,,,                676917,                  1977,                678894,              1082464,,,              1000479,                 83090,                 66673,              1150242,              1150242,              2232706,,,,              1734339,              1734339,,                418974,,                298956,                717930,,                176976,              2629245,              2629245,              4861951,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926,2015年06月30日,,,,              1033097,,                396716,,                  6877,,                336667,,                152572,,                 43385,,                320691,                    714,                321405,              2290719,,,                421639,,                 50674,,                 82738,,              2044451,,                  1016,                 40369,,                  3145,,                 38442,                 41587,              2682474,              4973193,,,,,                  5838,,                153366,,                400006,                 30929,,,                772049,                  1472,                773521,              1363660,,,                875645,                 85836,                 64937,              1026418,              1026418,              2390078,,,,              1667634,              1734339,,                418974,,                214660,                633634,,                215142,              2583115,              2583115,              4973193,              0,              0,                 66705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926,2015年03月31日,,,,              1231812,,                405353,,                  6172,,                432546,,                164723,,                 49687,,                 33586,                    186,                 33772,              2324065,,,                430327,,                 50674,,                 82795,,              1967715,,                  1038,                 40369,,                  3145,,                 35769,                 38914,              2611832,              4935897,,,,,                  7489,,                233718,,                192091,                 47735,,,                822877,                  1612,                824489,              1305522,,,                769600,                 85880,                 63515,                918995,                918995,              2224517,,,,              1667634,              1667634,,                392348,,                427780,                820128,,                223618,              2711380,              2711380,              4935897,              0,              0,,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926,2014年12月31日,,,,              1209058,,                449986,,                    286,,                446945,,                159948,,                 40301,,                 23071,                              0,                 23071,              2329595,,,                414539,,                 50674,,                 82537,,              1876988,,                  1070,                 40369,,                  3138,,                 35769,                 38907,              2505084,              4834679,,,,,                 16960,,                269674,,                216352,                 32560,,,                827953,                  1677,                829630,              1365176,,,                716056,                 85924,                 62839,                864819,                864819,              2229995,,,,              1667634,              1667634,,                392348,,                341426,                733774,,                203276,              2604684,              2604684,              4834679,              0,              0,                              0,                              0,              0,              1209058,              4834679,,,,                 16960,,                269674,,                216352,                 32560,,,                827953,                  1677,                829630,              1365176,,,                716056,                 85924,                 62839,                864819,                864819,              2229995,,,,              1667634,              1667634,,                392348,,                341426,                733774,,                203276,              2604684,              2604684,,,,,,,,,,
9926,2014年09月30日,,,,                931552,,                441412,,                    177,,                311828,,                159648,,                 24811,,                 31280,                    779,                 32059,              1901487,,,                444497,,                 51319,,                 81384,,              1799954,,                  1102,                 44323,,                  3118,,                 35753,                 38871,              2461450,              4362937,,,,,                 13390,,                183646,,                189952,                 24469,,,                592995,                  2181,                595176,              1006633,,,                625724,                 95105,                 62326,                783155,                783155,              1789788,,,,              1667634,              1667634,,                392348,,                289550,                681898,,                223617,              2573149,              2573149,              4362937,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926,2014年06月30日,,,,              1057370,,                439355,,                    423,,                362312,,                147860,,                 11324,,                 40862,                    230,                 41092,              2059736,,,                402783,,                 51319,,                 81366,,              1714521,,                  1134,                 44323,,                  3118,,                 35753,                 38871,              2334317,              4394053,,,,,                  5702,,                191519,,                399552,                 31277,,,                557292,                  1860,                559152,              1187202,,,                541574,                100483,                 60490,                702547,                702547,              1889749,,,,              1603494,              1667634,,                392348,,                229763,                622111,,                214559,              2504304,              2504304,              4394053,              0,              0,                 64140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926,2014年03月31日,,,,                887293,,                440062,,                  1396,,                492349,,                148110,,                 11288,,                 29712,                    432,                 30144,              2010642,,,                382738,,                 62315,,                 81111,,              1613726,,                  1166,                 44323,,                  3118,,                 35737,                 40955,              2226334,              4236976,,,,,                  5814,,                278304,,                192130,                 20161,,,                513411,                  1601,                515012,              1011421,,,                467400,                100486,                 55620,                623506,                623506,              1634927,,,,              1603494,              1603494,,                370843,,                425956,                796799,,                201756,              2602049,              2602049,              4236976,              0,              0,,                  2100,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926,2013年12月31日,,,,,,                439298,,                     22,,                413424,,                127658,,                 12439,,                 29649,                  1162,                 30811,              1946412,,,                386948,,                 62315,,                 81811,,              1549332,,                  1198,                 44323,,                  3118,,                 35737,                 38855,              2164782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                922760,              4111194,,,,                 13961,,                268878,,                223814,                  4982,,,                520505,                  1560,                522065,              1033700,,,                378987,                104786,                 54849,                538622,                538622,              1572322,,,,              1603494,              1603494,,                370843,,                350330,                721173,,                214205,              2538872,              2538872,,                              0,,                              0,                              0,,,,,
9926,2013年09月30日,,,,,,                466857,,                  4171,,                262362,,                127330,,                 12296,,                 30327,                    808,                 31135,              1724081,,,                393130,,                 62315,,                 82825,,              1418808,,                  1231,                 45312,,                  2999,,                 20723,                 23722,              2027343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                812737,              3751424,,,,                  6706,,                178790,,                186156,                              0,,,                457509,                  1990,                459499,                832151,,,                279897,                109997,                 54662,                444556,                444556,              1276707,,,,              1603494,              1603494,,                370843,,                283476,                654319,,                216904,              2474717,              2474717,,                  7193,,                  1000,,,,,,
9926,2013年06月30日,,,,,,                433004,,                    105,,                314707,,                116081,,                  8063,,                 25770,                     45,                 25815,              1898229,,,                393467,,                 62315,,                 84068,,              1357305,,                  1262,                 46087,,                  2999,,                 20723,                 23722,              1968226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,         90764,              1000454,              3866455,,,,                  4395,,                161601,,                422032,                 17849,,,                441560,                  1592,                443152,              1049029,,,                224298,                114650,                 53374,                392322,                392322,              1441351,,,,              1512730,              1603494,,                370843,,                231742,                602585,,                219025,              2425104,              2425104,,,,,                 90764,,,,,
