證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 採用權益法之投資貸餘,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 長期借款,　　　　　 長期借款合計,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 採用權益法之投資貸餘,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 當期所得稅資產合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　 應付票據,　　　　 應付票據合計,　　　 庫藏股票,　　 非控制權益
2227,2015年09月30日,,,,              9307690,,              1289433,,                              0,,                  2562,,                 65707,,                451252,,              1036648,,                              0,,                286377,,                602160,,                906528,             13948357,,,             15619185,,              1859092,,                 11205,                166782,,,                395045,                395045,             18051309,             31999666,,,,,              3630000,,                185000,,                128588,,              1449592,,                833685,                833685,                297600,,                187441,,,                              0,                              0,                736492,                736492,              7448398,,,                159828,,              2394348,,                533847,                 19796,                553643,              3107819,             10556217,,,,              3000000,              3000000,,              6129405,,              3640263,                788877,,              6221100,             10650240,,              1663804,             21443449,             21443449,             31999666,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,2015年06月30日,,,,             13775327,,                734384,,                              0,,                  1396,,                 70871,,                672258,,              5265695,,,,                235404,,                560053,,              1136865,             22452253,,,             14339691,,              1900731,,                 10782,                168364,,,                346829,                346829,             16766397,             39218650,,,,,              3630000,,                  2736,,                156365,,              1652371,,             10080518,             10080518,                108072,,                178071,,,,,                 29079,                 29079,             15837212,,,                152125,,              2920837,,                538744,                 20589,                559333,              3632295,             19469507,,,,              3000000,              3000000,,              6129405,,              3640263,                788877,,              5366344,              9795484,,                824254,             19749143,             19749143,             39218650,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,2015年03月31日,,,,             12491929,,              1496446,,                              0,,                  7273,,                 67200,,                513575,,                112123,,,,                180054,,                597453,,              1657000,             17123053,,,             18367096,,              1995811,,                 11666,                159906,,,                519603,                519603,             21054082,             38177135,,,,,              3630000,,,,                209846,,              1265848,,                874227,                874227,              1034470,,                169866,,,,,                 16563,                 16563,              7200820,,,                 93281,,              2695080,,                546920,                 21110,                568030,              3356391,             10557211,,,,              3000000,              3000000,,              6129405,,              2987887,                788877,,             13632610,             17409374,,              1081145,             27619924,             27619924,             38177135,              0,              0,,                              0,,                              0,                              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,2014年12月31日,,,,             12831865,,                331032,,                  2000,,                    905,,                 70218,,                220133,,                 96152,,                              0,,                  2739,,                509050,,              2198866,             16262960,,,             17734336,,              1758753,,                 12346,                164709,,,                573443,                573443,             20243587,             36506547,,,,,              3630000,,                              0,,                122244,,                565471,,                882601,                882601,                977135,,                172054,,,                              0,                              0,                 19698,                 19698,              6369203,,,                 86282,,              2552082,,                546327,                 22141,                568468,              3206832,              9576035,,,,              3000000,              3000000,,              6129405,,              2987887,                788877,,             12607444,             16384208,,              1416899,             26930512,             26930512,             36506547,              0,              0,,                              0,,                              0,                              0,              0,             12831865,             36506547,,,,              3630000,,                              0,,                122244,,                565471,,                882601,                882601,                977135,,                172054,,,                              0,                              0,                 19698,                 19698,              6369203,,,                              0,,                 86282,,              2552082,,                546327,                 22141,                568468,              3206832,              9576035,,,,              3000000,              3000000,,              6129405,,              2987887,                788877,,             12607444,             16384208,,              1416899,             26930512,             26930512,,,,,,,,
2227,2014年09月30日,,,,             10455700,,                605621,,                     22,,                  2109,,                 74632,,                563030,,              1968456,,                  2725,,                 96174,,                300364,,              1607446,             15676279,,,             14462901,,              1750848,,                  9849,                176229,,,                636320,                636320,             17036147,             32712426,,,,,              2630000,,                              0,,                 71862,,                929537,,                835421,                835421,                983065,,                155560,,,              1000000,              1000000,                 22910,              1022910,              6628355,,,                 82509,,              2081889,,                546317,                              0,                546317,              2710715,              9339070,,,,              3000000,              3000000,,              6129405,,              2987887,                788877,,             10002005,             13778769,,                465182,             23373356,             23373356,             32712426,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,2014年06月30日,,,,             11002744,,                231234,,                              0,,                  4279,,                 55816,,                762524,,              5149686,,,,                  4347,,                333235,,              4073707,             21617572,,,             12905436,,              1843227,,                  5577,                196729,,,                627349,                627349,             15578318,             37195890,,,,,              2630000,,                              0,,                 72536,,                951607,,              6608424,              6608424,                533202,,                156796,,,,,                 25561,                 25561,             10978126,,,                 81356,,              3022495,,                543315,                              0,                543315,              4647166,             15625292,,,,              3000000,              3000000,,              6129405,,              2987887,                788877,,              8558413,             12335177,,                106016,             21570598,             21570598,             37195890,              0,              0,,              1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,2014年03月31日,,,,              9392589,,                183080,,                  1456,,                  4074,,                 55287,,                854663,,              2810292,,,,                  5014,,                347577,,              6141092,             19795124,,,             14129164,,              1834146,,                  6564,                178758,,,                362651,                362651,             16511283,             36306407,,,,,              2630000,,,,                 65460,,              1040327,,                493724,                493724,                868652,,                157061,,,,,                 27598,                 29238,              5284462,,,                 78153,,              2770960,,                543507,                              0,                543507,              4392620,              9677082,,,,              3000000,              3000000,,              6129405,,              2257887,              1228789,,             13409557,             16896233,,                603687,             26629325,             26629325,             36306407,              0,              0,,              1000000,,                  1640,                  1640,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2227,2013年12月31日,,,,,,                434741,,                     27,,                  2312,,                 41706,,                286196,,                351164,,,,                  2047,,                877335,,              7572375,             18135802,,,             14989267,,              1748604,,                  7887,                188363,,,                249042,                249042,             17183163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,              8567899,             35318965,,,,              2630000,,                  1536,,                127494,,              1073092,,                657680,                657680,                490530,,                169129,,,                  1643,                  1643,                 21419,                 23062,              5172523,,,              1000000,,                 74808,,              3476068,,                555089,                              0,                555089,              5105965,             10278488,,,,              3000000,              3000000,,              6129405,,              2257887,              1228789,,             12213958,             15700634,,                210438,             25040477,             25040477,                              0,,                              0,                              0,,,,
2227,2013年09月30日,,,,,,                261806,,                      6,,                  2382,,                 49601,,                622057,,              2645733,,,,                310209,,                652512,,              6475061,             17693674,,,             12654231,,              1672561,,                  9494,                203057,,,                110834,                110834,             14650177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,              6674307,             32343851,,,,              2630000,,                              0,,                 69855,,              1372737,,                505071,                505071,                427532,,                158883,,,                  1937,                  1937,                 17710,                 19647,              5183725,,,              1000000,,                 76441,,              3083432,,                557536,,                557536,              4717409,              9901134,,,,              3000000,              3000000,,              6129405,,              2257887,              1228789,,              9950437,             13437113,,               -123801,             22442717,             22442717,                              0,,                              0,                              0,,,,
2227,2013年06月30日,,,,,,                323181,,                    416,,                  1200,,                 70347,,                440416,,              3247820,,,,                  1869,,                742229,,              5162935,             15385822,,,             13537467,,              1627118,,                 11180,                204260,,,                116964,                116964,             15496989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,,,              0,              5395409,             30882811,,,,                              0,,                              0,,                 85144,,              1251164,,              4470457,              4470457,                111128,,                156558,,,                              0,                              0,                 19140,                 19140,              6093591,,,                              0,,                 75606,,              3428488,,                557838,,                557838,              4061932,             10155523,,,,              3000000,              3000000,,              6129405,,              2257887,              1228789,,              7973077,             11459753,,                138130,             20727288,             20727288,,,,,,,,
