證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 電腦軟體淨額,　　　　　 電腦軟體淨額,　　　　 商譽,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期應收票據及款項,　　　　　 長期應收租賃款,　　　　　 長期應收票據及款項淨額,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 應付公司債,　　　　　 待分配股票股利,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 預付投資款,　　　　 待分配股票股利,　　　 庫藏股票
8114,2015年09月30日,,,,                649870,,                303077,,                    161,                    161,,                550872,                 41204,                592076,,                 26212,,                    140,,                627783,,                 39858,,                  6018,              2245195,,,                    255,,                 80891,,              1180432,,                  8098,,,                 14834,                 14065,                 28899,                 52560,,                    348,                  5732,,                 48892,                 48892,                 54972,              1406107,              3651302,,,,,                500102,,                  2381,,                248161,,                159416,                 48288,,                 93967,,,                    375,                 29840,                 30215,              1082530,,,                820523,,                  1345,,                 24148,,                 12107,                 23009,                 35116,                881132,              1963662,,,,                676322,                676322,,                 55687,,                421596,                  1792,,                496442,                919830,,                   -777,              1651062,                 36578,              1687640,              3651302,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8114,2015年06月30日,,,,                727441,,                310302,,                     23,                     23,,                502545,                 48602,                551147,,                 16180,,                    132,,                551457,,                 31330,,                  7200,              2195212,,,                    170,,                 30891,,              1160274,,                  8124,,,                 15510,                 14065,                 29575,                 47881,,                  1148,                  5473,,                 55908,                 55908,                 62529,              1339444,              3534656,,,,,                114325,,                  1544,,                207289,,                690832,                 60608,,                 63938,,,                    412,                 45970,                 46382,              1184918,,,                816552,,                  1578,,                 17300,,                 12673,                 21602,                 34275,                869705,              2054623,,,,                653451,                676322,,                 55687,,                421596,                  1792,,                292593,                715981,,                 -4188,              1443802,                 36231,              1480033,              3534656,              0,              0,                816552,                 22871,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8114,2015年03月31日,,,,                644240,,                274024,,                    166,                    166,,                494649,                 55877,                550526,,                 19118,,                    144,,                526751,,                 32487,,                 11478,              2058934,,,                    255,,                 30891,,              1123110,,                  8150,,,                 16318,                 14065,                 30383,                 41313,,                    143,                  5421,,                 64295,                 64295,                 69859,              1303961,              3362895,,,,,                111438,,                  1645,,                236080,,                160700,                 78730,,                 59365,,,                              0,                 35099,                 35099,                683057,,,                812634,,,,                 18020,,                 13239,                 21910,                 35149,                865803,              1548860,,,,                653451,                653451,,                 55687,,                363584,                  3108,,                705383,              1072075,,                 -1976,              1779237,                 34798,              1814035,              3362895,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8114,2014年12月31日,,,,                491040,,                480755,,                     86,                     86,,                434943,                 60193,                495136,,                 13451,,                    147,,                511441,,                 27469,,                  9564,              2029089,,,                    170,,                 30891,,              1030902,,                  8175,,,                 15761,                 14065,                 29826,                 30612,,                  3645,                  5390,,                 61319,                 61319,                 70354,              1200930,              3230019,,,,,                115306,,                    823,,                216552,,                181287,                 50536,,                 59533,,,                     91,                 27864,                 27955,                651992,,,                808716,,                              0,,                 21260,,                 13842,                 31650,                 45492,                875468,              1527460,,,,                653451,                653451,,                 55687,,                363584,                  3108,,                595773,                962465,,                 -1792,              1669811,                 32748,              1702559,              3230019,              0,              0,                808716,                              0,              0,                491040,                480755,                    147,              3230019,,,,                115306,,                    823,,                216552,,                181287,                 50536,,                 59533,,,                     91,                 27864,                 27955,                651992,,,                808716,,                              0,,                 21260,,                 13842,                 31650,                 45492,                875468,              1527460,,,,                653451,                653451,,                 55687,,                363584,                  3108,,                595773,                962465,,                 -1792,              1669811,                 32748,              1702559,,,
8114,2014年09月30日,,,,                648705,,                479521,,                    151,                    151,,                435001,                 61730,                496731,,                 14494,,                    144,,                543276,,                 27225,,                  3589,              2213836,,,                    425,,                 39841,,                945610,,                  8201,,,                 16302,                 14065,                 30367,                 31000,,                  2210,                  5021,,                 72988,                 72988,                 80219,              1135663,              3349499,,,,,                405444,,                    601,,                201683,,                155952,                 35657,,                 86705,,,                    234,                 32535,                 32769,                918811,,,                804798,,                              0,,                 19207,,                 13453,                 30420,                 43873,                867878,              1786689,,,,                653451,                653451,,                 55687,,                363584,                  3108,,                459734,                826426,,                 -3428,              1532136,                 30674,              1562810,              3349499,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8114,2014年06月30日,,,,                427319,,                 32865,,                     79,                     79,,                413163,                 60463,                473626,,                 12914,,                    515,,                525259,,                 25121,,                  2931,              1500629,,,                              0,,                 35341,,                883098,,                  8226,,,                 16706,                 14065,                 30771,                 35878,,                  1110,                  5044,,                 85304,                 85304,                 91458,              1084772,              2585401,,,,,                 72241,,                  1906,,                216677,,                648576,                 69897,,                 98977,,,                    375,                 33989,                 34364,              1142638,,,                              0,,                              0,,                 17294,,                 13970,                 29865,                 43835,                 61129,              1203767,,,,                650200,                653451,,                 12269,,                363584,                  3108,,                328529,                695221,,                 -5281,              1355660,                 25974,              1381634,              2585401,              0,              0,                              0,                  3251,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8114,2014年03月31日,,,,                381224,,                 34041,,                     20,                     20,,                441920,                 59712,                501632,,                 14354,,                    145,,                536656,,                 27294,,                  2791,              1498157,,,                              0,,                 35341,,                874287,,                  8252,,,                 16413,                 14065,                 30478,                 34245,,                    252,                  4707,,                 99590,                 99590,                104549,              1087152,              2585309,,,,,                150125,,                  2381,,                258313,,                183992,                102197,,                114448,,,                    517,                 41121,                 41638,                853094,,,                              0,,,,                 19370,,                 14512,                 30470,                 44982,                 64352,                917446,,,,                650200,                650200,,                 12269,,                312836,                              0,,                670696,                983532,,                 -4579,              1641422,                 26441,              1667863,              2585309,              0,              0,,,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8114,2013年12月31日,,,,,,,,,                     27,,                376623,                 56253,                432876,,                 12239,,,,                475775,,                 20669,,                  8061,              1410723,,,                              0,,                 35341,,                851939,,                  8278,,,                 15258,                  8000,                 23258,                 35511,,                    264,                  4781,,                101298,                101298,                106343,              1060670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                423435,                 37451,                    190,              2471393,,,,                260391,,                  1280,,                227615,,                209445,                 71163,,                110477,,,                    550,                 26763,                 27313,                907684,,,                              0,,                     92,,                 18784,,                 15159,                 29805,                 44964,                 63840,                971524,,,,                650200,                650200,,                 12269,,                312836,                              0,,                517458,                830294,,                 -3108,              1489655,                 10214,              1499869,,,
8114,2013年09月30日,,,,,,,,                    178,                    178,,                389876,                 54028,                443904,,                 16359,,,,                499642,,                 29247,,                  3419,              1394698,,,                              0,,                 49531,,                819438,,                  8304,,,                 14810,                  8000,                 22810,                 40168,,                    298,                  4251,,                108294,                108294,                112843,              1053094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                358830,                 42459,                    660,              2447792,,,,                433524,,                  1687,,                233807,,                153153,                 36173,,                136961,,,                  7248,                 13360,                 20608,              1015913,,,                              0,,                 19895,,                 17293,,                 15912,                 29570,                 45482,                 82670,              1098583,,,,                650200,                650200,,                 12269,,                312836,                              0,,                366386,                679222,,                 -3760,              1337931,                 11278,              1349209,                              0,                              0,
8114,2013年06月30日,,,,,,,,                     36,                     36,,                358737,                 52289,                411026,,                 17576,,,,                437353,,                 26327,,                  5473,              1471593,,,,,                 26550,,                809769,,                  8329,,,                 15377,                  8000,                 23377,                 33084,,                  2002,                  4224,,                117227,                117227,                126434,              1027543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,              0,                532641,                 40981,                    180,              2499136,,,,                218026,,                  1506,,                297257,,                490788,                 47457,,                109243,,,                  7271,                 25124,                 32395,              1196672,,,,,                 21722,,                 18890,,                 16541,                 30749,                 47290,                 87902,              1284574,,,,                628213,                650200,,                 12269,,                312836,                              0,,                229365,                542201,,                 -2030,              1202640,                 11922,              1214562,                  2981,                 21987,
