證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積－合併溢額,　　　　 資本公積－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計
2607,2015年09月30日,,,,              3005489,,              1016976,,                 12616,,                188942,,                423209,,                  6002,,                 35014,,                 37984,,                  1433,              4727665,,,              1172089,,                  5357,,              1104048,,             26186959,,                724035,,                  4126,                200009,,                173620,             29570243,             34297908,,,,,                    177,,                324953,,                 27617,,                240855,                 75969,                 58107,,,              1117345,                 58976,              1176321,              1903999,,,              7300803,,              2031052,,              1617744,             10949599,             12853598,,,,             10671411,             10671411,,              4264046,,              1867463,,              3128392,              4995855,,              1368182,             21299494,                144816,             21444310,             34297908,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,2015年06月30日,,,,              3187789,,              1287446,,                 11278,,                218385,,                528758,,                 68104,,                 40553,,                 49185,,                 27168,              5418666,,,              1202925,,                  5357,,              1073256,,             24824474,,                724835,,                  2868,                202703,,                146423,             28182841,             33601507,,,,,                    385,,                357410,,                 26971,,                610797,                334020,                 79324,,,                950488,                 41653,                992141,              2401048,,,              6735658,,              2003323,,              1650732,             10389713,             12790761,,,,             10671411,             10671411,,              4263860,,              1867463,,              2906247,              4773710,,                930721,             20639702,                171044,             20810746,             33601507,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,2015年03月31日,,,,              3651757,,              1380784,,                  7649,,                197259,,                433511,,                  5805,,                 41265,,                 46415,,                  1805,              5766250,,,              1301018,,                  5357,,              1101366,,             24681597,,                725635,,                  2798,                203884,,                146295,             28167950,             33934200,,,,,                    149,,                299466,,                 27309,,              1170926,                361063,                126187,,,                723030,                 73095,                796125,              2781225,,,              6132475,,              1992127,,              1654071,              9778673,             12559898,,,,             10671411,             10671411,,              4263685,,              1800628,,              3116017,              4916645,,              1346379,             21198120,                176182,             21374302,             33934200,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,2014年12月31日,,,,              3106834,,              1401835,,                 14759,,                202690,,                380183,,                 15605,,                 40605,,                 40975,,                    997,              5204483,,,              1232256,,                  5357,,              1097400,,             23465908,,                726435,,                  3258,                204197,,                163223,             26898034,             32102517,,,,,                    191,,                306380,,                 27202,,                185016,                 20084,                103502,,,                463040,                 70619,                533659,              1176034,,,              6119731,,              1973008,,              1657918,              9750657,             10926691,,,,             10671411,             10671411,,              4263504,,              1800628,,              2919711,              4720339,,              1345165,             21000419,                175407,             21175826,             32102517,              0,              0,              0,                              0,              3106834,             32102517,,,,                    191,,                306380,,                 27202,,                205100,                103502,,,                463040,                 70619,                533659,              1176034,,,              6119731,,              1973008,,              1657918,              9750657,             10926691,,,,             10671411,             10671411,,              4263504,,              1800628,                              0,,              2919711,              4720339,,              1345165,             21000419,                175407,             21175826,,,,,,,,,,,,,,
2607,2014年09月30日,,,,              3475890,,              1213930,,                 18607,,                196487,,                352630,,                  7301,,                 40809,,                 36419,,                  2436,              5344509,,,              1194333,,                  5357,,              1080293,,             22963629,,                727235,,                  3717,                213823,,                173801,             26362188,             31706697,,,,,                    500,,                329335,,                 28575,,              3090679,                 17838,                 89640,,,                149058,                 44193,                193251,              3749818,,,              4077714,,              1935871,,              1763162,              7776747,             11526565,,,,             10671411,             10671411,,              4262917,,              1800628,,              2626504,              4427132,,                648388,             20009848,                170284,             20180132,             31706697,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,2014年06月30日,,,,              4434722,,              1162427,,                 18864,,                207329,,                265750,,                 15022,,                 42146,,                 42165,,                  1660,              6190085,,,              1190671,,                  5357,,              1065913,,             18146426,,                728035,,                  4200,                215993,,                138968,             21495563,             27685648,,,,,                    633,,                314940,,                 29354,,              3227964,                 12362,                101765,,,                              0,                 66327,                 66327,              3753345,,,                534818,,              1920234,,              1771415,              4226467,              7979812,,,,             10671411,             10671411,,              4262917,,              1800628,,              2406292,              4206920,,                396185,             19537433,                168403,             19705836,             27685648,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,2014年03月31日,,,,              4105037,,              1252214,,                 16494,,                185754,,                223980,,                 12536,,                 42182,,                 75360,,                  1122,              5914679,,,              1130572,,                  5357,,              1084334,,             15208063,,                728841,,                  3786,                216876,,                153184,             18531013,             24445692,,,,,                  1304,,                291290,,                 25173,,                233121,                 12139,                 27723,,,                              0,                 64169,                 64169,                654919,,,                              0,,              1903294,,              1784331,              3687625,              4342544,,,,             10671411,             10671411,,              4262917,,              1742563,,              1894299,              4422188,,                575395,             19931911,                171237,             20103148,             24445692,              0,              0,              0,                785326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2607,2013年12月31日,,,,,,              1142750,,                 15506,,                197079,,                214766,,                 28427,,                 43195,,                 38683,,                    835,              5569837,,,              1074262,,                  5357,,              1082988,,             15197647,,                729650,,                  1966,                217766,,                158257,             18467893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              3888596,             24037730,,,,                  2410,,                301730,,                 25871,,                189967,                 13441,,,                              0,                 31948,                 31948,                565367,,,                              0,,              1893908,,              1781974,              3675882,              4241249,,,,             10671411,             10671411,,              4262917,,              1742563,                785326,,              1776913,              4304802,,                386639,             19625769,                170712,             19796481,,                              0,,,,,,,,,,,,
2607,2013年09月30日,,,,,,                971350,,                 16192,,                203527,,                240621,,                 13794,,                 35901,,                 41100,,                  1821,              5545069,,,                952499,,                  5357,,              1081891,,             15069765,,                730459,,                  2334,                178805,,                167352,             18188462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              4020763,             23733531,,,,                  3860,,                295280,,                 24959,,                267835,                  2223,,,                              0,                 42601,                 42601,                636758,,,                              0,,              1894017,,              1455018,              3349035,              3985793,,,,             10671411,             10671411,,              4262917,,              1742563,                785326,,              1916499,              4444388,,                198268,             19576984,                170754,             19747738,,,,,,,,,,,,,,
2607,2013年06月30日,,,,,,              1287249,,                 22531,,                192719,,                229606,,                 31591,,                 37279,,                 47367,,                  1635,              5843395,,,                892768,,                  5357,,              1083020,,             15271337,,                731268,,                  2159,                180220,,                142915,             18309044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              3993418,             24152439,,,,                    913,,                321586,,                 39174,,                552297,                 34819,,,,,                 24080,              1172869,,,                              0,,              1871326,,              1468938,              3340264,              4513133,,,,             10671411,             10671411,,              4262917,,              1742563,                785326,,              1740967,              4268856,,                265633,             19468817,                170489,             19639306,,                200000,,,,,,,,,,,,
