證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 待分配股票股利,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額
1455,2015年09月30日,,,,                 78636,,                496419,,                397252,,                              0,,              1308972,,                 53031,,                 47677,,                      2,,,              2718431,              2718431,,                 29274,,                  1089,                  1089,              5130783,,,                175034,,                              0,,              6400947,,                468732,,                  3628,                134308,,                  3023,                  2732,,                 43735,                 49490,              7232139,             12362922,,,,,              1217000,,                 99956,,                147121,,                              0,,                650319,,                    501,,                280685,                  6674,,                 20290,,,                106944,,                491911,                    780,                599635,              3022181,,,              1481911,,                142143,,                240838,                 19164,                260002,              1884056,              4906237,,,,              6117634,              6117634,,                360356,,                170298,                321614,,                486022,                977934,,,                    761,                    761,              7456685,              7456685,             12362922,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2015年06月30日,,,,                109526,,                514187,,                304328,,                              0,,              1392352,,                 43774,,                 18893,,                      2,,,              2998235,              2998235,,                 35519,,                  1706,                  1706,              5418522,,,                175034,,                              0,,              6441921,,                475705,,                  3971,                116187,,                  3045,                  2328,,                 44553,                 49926,              7262744,             12681266,,,,,                420000,,                 99978,,                113077,,                              0,,              1273956,,                  1513,,                379764,                    681,,                 19248,,,                104875,,                491870,                  2534,                599279,              2913824,,,              1814838,,                144414,,                240686,                 19164,                259850,              2219102,              5132926,,,,              6117634,              6117634,,                360356,,                170298,                321614,,                578173,              1070085,,,                    265,                    265,              7548340,              7548340,             12681266,              0,              0,,                  6328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2015年03月31日,,,,                 61229,,                410878,,                370883,,                              0,,              1232199,,                 34851,,                 38841,,                      1,,,              2894779,              2894779,,                 12741,,                    241,                    241,              5056643,,,                175034,,                              0,,              6555127,,                482679,,                  4564,                139841,,                  2040,                  2424,,                 41815,                 46279,              7403524,             12460167,,,,,                525000,,                399505,,                122378,,                    378,,              1239366,,                  1445,,                250687,                 26795,,                 17866,,,                140465,,                491832,                  1102,                633399,              3217933,,,              1437748,,                144113,,                240742,                 19064,                259806,              1841667,              5059600,,,,              6117634,              6117634,,                360356,,                164566,                326220,,                431417,                922203,,,                    374,                    374,              7400567,              7400567,             12460167,              0,              0,,                  1114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2014年12月31日,,,,                194720,,                330672,,                300137,,                  4424,,              1329353,,                 78190,,                 15516,,                     17,,,              2658965,              2658965,,                 12557,,                    387,                    387,              4924938,,,                165034,,                              0,,              6707603,,                489653,,                  5346,                129332,,                  2758,                  2015,,                 40401,                 45174,              7542142,             12467080,,,,,                510000,,                399574,,                140144,,                    171,,              1461272,,                  2582,,                303372,                 26516,,                 16521,,,                 81407,,                491793,                  1002,                574202,              3434354,,,              1160638,,                144460,,                240729,                 19385,                260114,              1565212,              4999566,,,,              6117634,              6117634,,                360356,,                164566,                326220,,                498302,                989088,,,                    436,                    436,              7467514,              7467514,             12467080,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2014年09月30日,,,,                 56172,,                313823,,                364292,,                  2194,,              1137059,,                 55333,,                 16379,,                     15,,,              2767721,              2767721,,                 16611,,                      1,                      1,              4729600,,,                165622,,                              0,,              6852137,,                496627,,                  2125,                130112,,                  3653,                  1783,,                 41360,                 46796,              7693419,             12423019,,,,,                520000,,                899664,,                122784,,                    174,,              1085380,,                  2037,,                274560,                 26047,,                 19010,,,                153036,,                491846,                    757,                645639,              3595295,,,                983693,,                143858,,                248063,                 19385,                267448,              1394999,              4990294,,,,              6117634,              6117634,,                360356,,                164566,                326220,,                463741,                954527,,,                    208,                    208,              7432725,              7432725,             12423019,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2014年06月30日,,,,                133536,,                338872,,                267243,,                  2349,,              1600179,,                 55009,,                 39761,,                              0,,,              3221815,              3221815,,                 30129,,                              0,                              0,              5688893,,,                165622,,                              0,,              6945911,,                503600,,                  2456,                135538,,                 28241,                  2333,,                 43023,                 73597,              7826724,             13515617,,,,,                863000,,              1498773,,                151072,,                              0,,              1044921,,                  1388,,                373768,                 26044,,                 18415,,,                119871,,                492824,                  1167,                613862,              4591754,,,              1106605,,                142349,,                248086,                 19385,                267471,              1516425,              6108179,,,,              6117634,              6117634,,                360356,,                164566,                326220,,                438641,                929427,,,                     21,                     21,              7407438,              7407438,             13515617,              0,              0,,                    511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2014年03月31日,,,,                214514,,                366012,,                252994,,                  3549,,              1243636,,                 62953,,                 12490,,                     15,,,              4125695,              4125695,,                 13660,,                    281,                    281,              6295799,,,                165622,,                              0,,              6982344,,                510574,,                  2903,                116236,,                  4887,                  2336,,                 44804,                 52027,              7829706,             14125505,,,,,              1459145,,                949031,,                128493,,                              0,,              1104392,,                  2219,,                260186,                 14985,,                 17418,,,                123752,,                819834,                  1130,                944716,              4880585,,,              1229449,,                142786,,                248290,                 19385,                267675,              1639910,              6520495,,,,              6117634,              6117634,,                360356,,                127833,                326220,,                672813,              1126866,,,                    154,                    154,              7605010,              7605010,             14125505,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2014年01月01日,,,,                140281,,                427069,,                331881,,                  1277,,              1044502,,                104815,,                 42285,,                     15,,,              3697170,              3697170,,                 12576,,                    125,                    125,              5801996,,,                165622,,                              0,,              7095044,,                517548,,                  3117,                129334,,                 10646,                  2747,,                 44716,                 58109,              7968774,             13770770,,,,,                677141,,              1248752,,                109054,,                              0,,                853946,,                    387,,                340780,                  9734,,                 16049,,,                 79784,,              1146880,                    751,              1227415,              4483258,,,              1352344,,                142810,,                248335,                 19035,                267370,              1762524,              6245782,,,,              6117634,              6117634,,                360356,,                127833,                326220,,                592763,              1046816,,,                    182,                    182,              7524988,              7524988,             13770770,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2013年12月31日,,,,,,                427069,,                331881,,                  1277,,              1044502,,                104815,,                 42285,,,,,              3651992,              3651992,,                 12576,,                    125,                    125,              5756818,,,                165622,,                              0,,              7095044,,                517548,,                  3117,                129334,,                 55824,                  2747,,                 44716,                103287,              8013952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                140281,                     15,             13770770,,,,                677141,,              1248752,,                109054,,                              0,,                853946,,                    387,,                340780,                  9734,,                 16049,,,                 79784,,              1146880,                    751,              1227415,              4483258,,,              1352344,,                142810,,                248335,                 19035,                267370,              1762524,              6245782,,,,              6117634,              6117634,,                360356,,                127833,                326220,,                592763,              1046816,,,                    182,                    182,              7524988,              7524988,              0,,                              0,                              0,,
1455,2013年09月30日,,,,,,                344277,,                283711,,                  7980,,              1372549,,                 65524,,                 64841,,,,,              3625995,              3625995,,                 34536,,                              0,                              0,              5888410,,,                165622,,                              0,,              7187091,,                523844,,                  3318,                134958,,                 63453,                  2942,,                 46332,                112727,              8127560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                 88981,                     16,             14015970,,,,                645876,,                599629,,                135571,,                              0,,                943917,,                    402,,                326044,                  6814,,                 18681,,,                 96412,,                 62000,                    937,                159349,              2841668,,,              3337113,,                142055,,                253898,                 19035,                272933,              3752101,              6593769,,,,              6117634,              6117634,,                360356,,                127833,                326220,,                490158,                944211,,,                              0,                              0,              7422201,              7422201,              0,,                  5385,,,
