證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 物料,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地成本,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築成本,　　　　　 累計折舊－房屋及建築,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 其他設備淨額,　　　　　 其他設備成本,　　　　　 累計折舊－其他設備,　　　　　 其他設備淨額,　　　　 未完工程及待驗設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 備抵存貨跌價,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 投資性不動產淨額,　　　　 投資性不動產－土地,　　　　 投資性不動產淨額,　　　 短期借款,　　　　 短期借款合計
1324,2015年09月30日,,,,                    782,                263033,                263815,,                209438,                209438,,                 38835,                 38835,,                185802,                  3907,                181895,,                  6562,                  6562,,                  2397,,,                 44826,                 37378,                 96309,                  5128,                183641,                183641,,                 23408,,                  1578,                911569,,,                 24387,                 24387,,,                 56074,                 56074,,                399231,                187137,                212094,,                558593,                497735,                 60858,,                 28540,                 25308,                  3232,,                  7832,                  7501,                    331,,                 44891,                 40726,                  4165,                 32225,                368979,,                    605,                  8826,,                 15269,                418066,              1329635,,,,,                    150,,                106626,,                 67461,,                 67658,                  9615,,                 10573,                262083,,,                 83107,                    450,                              0,                 83557,                 83557,                345640,,,,                751219,                751219,,                              0,,                140297,                 18915,,                 49778,                208990,,                 23786,                              0,                983995,                              0,                983995,              1329635,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2015年06月30日,,,,                    489,                291465,                291954,,                209160,                209160,,                 30654,                 30654,,                173492,                  3901,                169591,,                  3289,                  3289,,                  3597,,,                 41140,                 45169,                 94411,                  4996,                185716,                185716,,                 21721,,                    734,                916416,,,                 24372,                 24372,,,                 56074,                 56074,,                389472,                180020,                209452,,                553873,                489902,                 63971,,                 28354,                 24703,                  3651,,                  7706,                  7235,                    471,,                 44588,                 40291,                  4297,                 31224,                369140,,                    709,                 10063,,                 15319,                419603,              1336019,,,,,                     59,,                119021,,                 71119,,                 84307,                 10575,,                 10386,                295467,,,                 88844,                    450,                              0,                 89294,                 89294,                384761,,,,                751219,                751219,,                              0,,                140297,                 18915,,                 28596,                187808,,                 12231,                              0,                951258,                              0,                951258,              1336019,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2015年03月31日,,,,                    577,                322006,                322583,,                173936,                173936,,                 28982,                 28982,,                164366,                  7518,                156848,,                    192,                    192,,                  2313,,,                 50572,                 52425,                 93255,                  6338,                186998,                186998,,                 24439,,                  1257,                897548,,,                 24617,                 24617,,,                 56074,                 56074,,                392163,                177606,                214557,,                552747,                486460,                 66287,,                 28421,                 24261,                  4160,,                  8603,                  8264,                    339,,                 45673,                 41066,                  4607,                 28639,                374663,,                    822,                 10083,,                    888,                411073,              1308621,,,,,                              0,,                104783,,                 85257,,                 49066,                 10591,,                  7374,                257071,,,                 88053,                    450,                              0,                 88503,                 88503,                345574,,,,                751219,                751219,,                              0,,                135992,                 18915,,                 40546,                195453,,                 16375,                              0,                963047,                              0,                963047,              1308621,              0,              0,              0,                 15592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2014年12月31日,,,,                    671,                322012,                322683,,                149684,                149684,,                 26897,                 26897,,                183141,                  7567,                175574,,                              0,                              0,,                  3194,,,                 50951,                 40847,                103495,                  4375,                199668,                199668,,                 19619,,                  1033,                898352,,,                 24624,                 24624,,,                 56074,                 56074,,                392296,                174757,                217539,,                550959,                481923,                 69036,,                 28467,                 23761,                  4706,,                  8798,                  8409,                    389,,                 45248,                 40687,                  4561,                 30829,                383134,,                    370,                  9935,,                    713,                418776,              1317128,,,,,                     44,,                121629,,                 74746,,                 57775,                  6524,,                  9058,                269776,,,                 87076,                    450,                    172,                 87698,                 87698,                357474,,,,                751219,                751219,,                              0,,                135992,                 18915,,                 33644,                188551,,                 19884,                              0,                959654,                              0,                959654,              1317128,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2014年09月30日,,,,                    817,                290966,                291783,,                159669,                159669,,                 37351,                 37351,,                168963,                  7056,                161907,,                  4470,                  4470,,                  2604,,,                 53880,                 45505,                108403,                  5263,                213051,                213051,,                 29826,,                  1321,                901982,,,                 24702,                 24702,,,                 56074,                 56074,,                385712,                168688,                217024,,                548497,                475724,                 72773,,                 28183,                 23109,                  5074,,                  8673,                  8268,                    405,,                 43931,                 40031,                  3900,                 25095,                380345,,                    428,                  6728,,                    583,                412786,              1314768,,,,,                      9,,                129748,,                 86267,,                 58584,                  4095,,                  7559,                286262,,,                 69904,                    450,                              0,                 70354,                 70354,                356616,,,,                751219,                751219,,                              0,,                135992,                 18915,,                 41281,                196188,,                 10745,                              0,                958152,                              0,                958152,              1314768,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2014年06月30日,,,,                    495,                287295,                287790,,                192659,                192659,,                 37842,                 37842,,                181383,                  8452,                172931,,                  5805,                  5805,,                  4398,,,                 51417,                 51041,                120468,                  4804,                227730,                227730,,                 23305,,                  1601,                954061,,,                 24684,                 24684,,,                 56074,                 56074,,                380584,                163323,                217261,,                550155,                472181,                 77974,,                 28072,                 22492,                  5580,,                  8474,                  8172,                    302,,                 44850,                 41366,                  3484,                 24554,                385229,,                    487,                  7071,,                    583,                418054,              1372115,,,,,                     25,,                112257,,                 92622,,                143576,                  7344,,                  6597,                362421,,,                 69250,                    450,                              0,                 69700,                 69700,                432121,,,,                751219,                751219,,                              0,,                135992,                 18915,,                 30147,                185054,,                  3721,                              0,                939994,                              0,                939994,              1372115,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2014年03月31日,,,,                    832,                266755,                267587,,                232621,                232621,,                 37197,                 37197,,                169490,                  8163,                161327,,                  5856,                  5856,,                  3876,,,                 50230,                 52226,                109247,                  5904,                200346,                200346,,                 37219,,                  1591,                947620,,,                 24697,                 24697,,,                 56074,                 56074,,                384067,                161094,                222973,,                552128,                469561,                 82567,,                 29053,                 23438,                  5615,,                  8530,                  8177,                    353,,                 44854,                 41118,                  3736,                 25161,                396479,,                    556,                  6963,,                    583,                429278,              1376898,,,,,                              0,,                111238,,                103828,,                 41969,                 10518,,                  7891,                275444,,,                 67947,                    630,                              0,                 68577,                 68577,                344021,,,,                751219,                751219,,                              0,,                131642,                 18915,,                122279,                272836,,                  8822,                              0,              1032877,                              0,              1032877,              1376898,              0,              0,              0,                 17261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324,2013年12月31日,,,,                    577,                255278,,,                214639,                214639,,                 36740,                 36740,,                198290,                  8218,                190072,,                  8611,                  8611,,                  4281,,,                 46393,                 58017,                112342,                  5545,                205020,                205020,,                 31713,,                  9662,                956593,,,,,,,                 56074,                 56074,,                384802,                157809,                226993,,                549175,                464160,                 85015,,                 27581,                 23504,                  4077,,                  8519,                  8139,                    380,,                 45184,                 40865,                  4319,                  7365,                384223,,                    622,                  6913,,                    583,                417147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 17277,                255855,                 24806,                 24806,              1373740,,,,                              0,,                131484,,                 85371,,                 48979,                  7158,,                 13434,                286426,,,                 67886,                    630,                              0,                 68516,                 68516,                354942,,,,                751219,                751219,,                              0,,                131642,                 18915,,                107129,                257686,,                  9893,                              0,              1018798,                              0,              1018798,,,,,
1324,2013年09月30日,,,,                    866,                285482,,,                186583,                186583,,                 42367,                 42367,,                170787,                  8533,                162254,,                  8164,                  8164,,                  3095,,,                 57065,                 59992,                108128,                  6655,                213887,                213887,,                 45640,,                  1370,                949708,,,,,,,                 56074,                 56074,,                381384,                153521,                227863,,                556032,                465366,                 90666,,                 27583,                 22957,                  4626,,                  8458,                  8001,                    457,,                 44821,                 40537,                  4284,                  1508,                385478,,                    321,                  6997,,                    583,                398188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 17953,                286348,                  4809,                  4809,              1347896,,,,                     34,,                117624,,                 90123,,                 52733,                  5238,,                  9340,                275092,,,                 70184,                    630,,                 70814,                 70814,                345906,,,,                751219,                751219,,                              0,,                131642,                 18915,,                 94980,                245537,,                  5234,                              0,              1001990,                              0,              1001990,,,,,
1324,2013年06月30日,,,,                    682,                255360,,,                240303,                240303,,                 38672,                 38672,,                177862,                  8542,                169320,,                  2352,                  2352,,                  3093,,,                 51785,                 56634,                117834,                  7504,                217562,                217562,,                 33954,,                    732,                962030,,,,,,,                 56074,                 56074,,                383280,                150581,                232699,,                556712,                459275,                 97437,,                 27430,                 22438,                  4992,,                  8466,                  7935,                    531,,                 44919,                 40060,                  4859,                    702,                397294,,                    262,                  6483,,                    583,                409781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 16195,                256042,                  5159,                  5159,              1371811,,,,                              0,,                122780,,                 77676,,                 85952,                  6615,,                 10306,                303329,,,                 70404,                    830,,                 71234,                 71234,                374563,,,,                751219,                751219,,                              0,,                131642,                 18915,,                 87384,                237941,,                  8088,                              0,                997248,                              0,                997248,,,,,
