證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付費用,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 商譽,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　　 製成品,　　　　 其他流動資產－其他,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 長期借款,　　　　 長期借款合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）
1531,2015年09月30日,,,,                775500,,                 35009,,                486398,,                134801,,              1250355,,                              0,,                785230,,                 60456,                 60456,,                 11374,              3539123,,,                 58717,,              1507156,,                 38208,,                157885,,                  6312,                164197,                 72391,,                 58252,,                 30634,                 88886,              1929555,              5468678,,,,,                428700,,                 36856,,                352770,,                128577,                 47584,,                 32013,                 32013,              1026500,,,                240480,,                 78504,                    535,                 79039,                319519,              1346019,,,,              1931511,              1931511,,                338901,,                661067,                188788,,              1051499,              1901354,,                144736,                193843,              4122659,                              0,              4122659,              5468678,              0,              0,      8143000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2015年06月30日,,,,                862979,,                 20034,,                293437,,                251524,,              1100536,,                              0,,                846933,,                 70683,                 70683,,                 11868,              3457994,,,                 70004,,              1513867,,                 37969,,                157885,,                  5780,                163665,                 71476,,                 57281,,                 16900,                 74181,              1931162,              5389156,,,,,                254300,,                 50294,,                389529,,                283764,                 59905,,                 24881,                 24881,              1062673,,,                224518,,                 78254,                    535,                 78789,                303307,              1365980,,,,              1931511,              1931511,,                338901,,                661067,                188788,,                987506,              1837361,,                109246,                193843,              4023176,,              4023176,              5389156,              0,              0,      8143000,,                              0,,                846933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2015年03月31日,,,,                956527,,                 30009,,                392384,,                151228,,              1161352,,                              0,,                807141,,                 60249,                 60249,,                 10359,              3569249,,,                 86168,,              1478898,,                 38981,,                157885,,                  6344,                164229,                 69187,,                 58205,,                  9683,                 67888,              1905351,              5474600,,,,,                256500,,                 65820,,                418418,,                122174,                 22489,,                 36219,                 36219,                921620,,,                308422,,                 78011,                    535,                 78546,                386968,              1308588,,,,              1931511,              1931511,,                338901,,                640862,                188788,,              1111282,              1940932,,                148511,                193843,              4166012,                              0,              4166012,              5474600,              0,              0,      8143000,,                              0,,                807141,                807141,                 10359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2014年12月31日,,,,              1078234,,                 15004,,                507037,,                 97462,,              1043389,,                    954,,                768398,,                 46025,                 46025,,                 21463,              3577966,,,                 96469,,              1473141,,                 40225,,                157885,,                  7366,                165251,                 67829,,                 59463,,                 10243,                 69706,              1912621,              5490587,,,,,                268250,,                 54875,,                363206,,                148272,                 13543,,                 26571,                 26571,                874717,,,                316921,,                 77769,                    535,                 78304,                395225,              1269942,,,,              1931511,              1931511,,                338901,,                640862,                188788,,              1090785,              1920435,,                189066,                159268,              4220645,                              0,              4220645,              5490587,              0,              0,      6749000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2014年09月30日,,,,              1191272,,                110142,,                337992,,                197855,,                970999,,                              0,,                776165,,                 52528,                 52528,,                 11729,              3648682,,,                 90587,,              1413951,,                 39082,,                157885,,                  7312,                165197,                 68656,,                 57208,,                 14175,                 71383,              1848856,              5497538,,,,,                364200,,                 53145,,                323421,,                120994,                 15398,,                 29428,                 29428,                906586,,,                292163,,                 73462,                    535,                 73997,                366160,              1272746,,,,              1931511,              1931511,,                338901,,                640862,                188788,,              1035728,              1865378,,                 89002,                              0,              4224792,                              0,              4224792,              5497538,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2014年06月30日,,,,              1180700,,                204402,,                145617,,                241726,,                967754,,                              0,,                867246,,                 35336,                 35336,,                  6384,              3670253,,,                 56804,,              1414415,,                 38986,,                157885,,                  7807,                165692,                 68270,,                 56522,,                  9811,                 66333,              1810500,              5480753,,,,,                358650,,                 57388,,                225074,,                308149,                 19625,,                 28106,                 28106,                996992,,,                284505,,                 73233,                    535,                 73768,                358273,              1355265,,,,              1931511,              1931511,,                338901,,                640862,                188788,,              1003411,              1833061,,                 22015,                              0,              4125488,,              4125488,              5480753,              0,              0,              0,,                 21088,,                867246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2014年03月31日,,,,                996485,,                182209,,                434045,,                267957,,                925493,,                              0,,              1139157,,                 52949,                 52949,,                 10128,              4030842,,,                 51840,,              1465682,,                 40412,,                157885,,                  7687,                165572,                 69484,,                 58041,,                  3725,                 61766,              1854756,              5885598,,,,,                517050,,                 55759,,                397807,,                100301,                 93900,,                 29596,                 29596,              1194413,,,                297966,,                 73008,                    535,                 73543,                371509,              1565922,,,,              1931511,              1931511,,                338901,,                612518,                188788,,              1189589,              1990895,,                 58369,                              0,              4319676,                              0,              4319676,              5885598,              0,              0,              0,,                 22419,,              1139157,              1139157,                 10128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1531,2013年12月31日,,,,,,                110166,,,,                176919,,                764667,,,,              1162735,,                 57256,                 57256,,                 15479,              3884334,,,                 54741,,              1489415,,                 40511,,                157885,,                  8151,                166036,                 65733,,                 57651,,                  3577,                 61228,              1877664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 22976,,,,,              1165275,                408861,                              0,              5761998,,,,                447075,,                 62619,,                430062,,                120839,                 84283,,,                 11922,                 29910,                 41832,              1186710,,,                287730,,                 72785,                    535,                 73320,                361050,              1547760,,,,              1931511,              1931511,,                338901,,                612518,                188788,,              1113614,              1914920,,                 28906,                              0,              4214238,                              0,              4214238,,,,,,
1531,2013年09月30日,,,,,,                 45031,,,,                212450,,                893542,,,,              1059772,,                 68618,                 68618,,                 21939,              4199648,,,                 47567,,              1512977,,                 40470,,                157885,,                  6015,                163900,                 44788,,                 57078,,                  2402,                 59480,              1869182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                 18578,,,,,              1860479,                 19239,,              6068830,,,,                295700,,                 60980,,                505071,,                111296,                 92580,,,                 11828,                 26068,                 37896,              1103523,,,                274697,,                 72982,                    535,                 73517,                348214,              1451737,,,,              1931511,              1931511,,                338901,,                612518,                188788,,              1213174,              2014480,,                 -9223,,              4275669,                341424,              4617093,,,,,,
1531,2013年06月30日,,,,,,                347559,,,,                341822,,                935773,,,,                935831,,                 93359,                 93359,,                 28948,              4378037,,,                 37066,,              1560132,,                 41474,,                157885,,                  6424,                164309,                 48316,,                 57981,,                  7629,                 65610,              1936139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,                              0,,                935831,,,              1675323,                 19422,,              6314176,,,,                300000,,                 67864,,                508049,,                353943,                109454,,,                 30000,                 23722,                 53722,              1393032,,,                276465,,                 72785,                    535,                 73320,                349785,              1742817,,,,              1931511,              1931511,,                338901,,                612518,                188788,,              1155040,              1956346,,                  2112,,              4228870,                342489,              4571359,,                 19232,,,,
