證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－處分資產增益,　　　　　 資本公積－受贈資產,　　　　　　 資本公積－受贈資產合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－處分資產增益,　　　　 資本公積－受贈資產,　　　　　 資本公積－受贈資產合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 短期借款,　　　　 短期借款合計
1410,2015年09月30日,,,,                373314,,                163972,,                 23206,,                 91542,,                     65,,                 30715,,                  7447,                690261,,,                 28751,,                              0,,                296490,,                496058,                  3387,,                  1163,                825849,              1516110,,,,,                  6158,,                 25206,,                 60641,                  9708,,                  1940,                103653,,,                145501,,                 50447,                195948,                299601,,,,                720000,                720000,,                  2258,,                 19526,                 21784,,                 42874,                290464,,                106310,                439648,,,                -13802,                -13802,              1167630,                 48879,              1216509,              1516110,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,2015年06月30日,,,,                394730,,                179847,,                 32276,,                108597,,                    216,,                 32624,,                  8866,                757156,,,                 31832,,                              0,,                300488,,                496093,                  3361,,                  1163,                832937,              1590093,,,,,                  8500,,                 35152,,                152331,                 14145,,                    867,                210995,,,                145501,,                 49986,                195487,                406482,,,,                720000,                720000,,                  2258,,                 19526,                 21784,,                 42874,                290464,,                 72431,                405769,,,                -10721,                -10721,              1136832,                 46779,              1183611,              1590093,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,2015年03月31日,,,,                418823,,                127800,,                 10892,,                100959,,                     67,,                 27656,,                  6093,                692290,,,                 35481,,                  4411,,                301551,,                496129,                  3320,,                  1163,                842055,              1534345,,,,,                  6850,,                 22995,,                 47965,                 21699,,                  1561,                101070,,,                145501,,                 49354,                194855,                295925,,,,                720000,                720000,,                  2258,,                 19526,                 21784,,                 32462,                290554,,                131870,                454886,,,                 -9078,                 -9078,              1187592,                 50828,              1238420,              1534345,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,2014年12月31日,,,,                327989,,                180003,,                 20416,,                 98685,,                    508,,                 29171,,                  6587,                663359,,,                 36403,,                  4460,,                299945,,                496165,                  3293,,                  1163,                841429,              1504788,,,,,                  6137,,                 17340,,                 54000,                 16655,,                    845,                 94977,,,                145501,,                 48891,                194392,                289369,,,,                720000,                720000,,                  2258,,                 19526,                 21784,,                 32462,                290554,,                110254,                433270,,,                 -8156,                 -8156,              1166898,                 48521,              1215419,              1504788,              0,              0,              0,                327989,                180003,              1504788,,,,                  6137,,                 17340,,                 54000,                 16655,,                    845,                 94977,,,                145501,,                 48891,                194392,                289369,,,,                720000,                720000,,                  2258,,                 19526,                 21784,,                 32462,                290554,,                110254,                433270,,,                 -8156,                 -8156,              1166898,                 48521,              1215419,,,,
1410,2014年09月30日,,,,                429553,,                191883,,                 31308,,                110430,,                    149,,                 36574,,                  6797,                806694,,,                 35045,,                  4287,,                315967,,                496201,                  4017,,                  1163,                856680,              1663374,,,,,                  9212,,                 23351,,                235745,                 10773,,                  2276,                281357,,,                145501,,                 52149,                197650,                479007,,,,                720000,                720000,,                  2258,,                 19526,                 21784,,                 32462,                290554,,                 82626,                405642,,,                 -9514,                 -9514,              1137912,                 46455,              1184367,              1663374,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,2014年06月30日,,,,                429302,,                242110,,                 25412,,                109847,,                    364,,                 38485,,                  6349,                851869,,,                 35916,,                  4209,,                333731,,                496560,                  3988,,                  1160,                875564,              1727433,,,,,                 11547,,                 37784,,                146085,                  8960,,                  1181,                205557,,,                145501,,                 51618,                197119,                402676,,,,                900000,                900000,,                  2258,,                 19526,                 21784,,                 32462,                290554,,                 45068,                368084,,,                 -8643,                 -8643,              1281225,                 43532,              1324757,              1727433,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,2014年03月31日,,,,                423937,,                238500,,                 19318,,                 90487,,                    582,,                 28966,,                  6813,                808603,,,                 37683,,                  4294,,                341779,,                496605,                  4224,,                  1160,                885745,              1694348,,,,,                  8090,,                 25687,,                 65881,                  9395,,                  1844,                110897,,,                145501,,                 54139,                199640,                310537,,,,                900000,                900000,,                  2258,,                 19526,                 21784,,                 22763,                282308,,                118904,                423975,,,                 -8387,                 -8387,              1337372,                 46439,              1383811,              1694348,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,2013年12月31日,,,,,,,,                 14800,,                 99343,,                    609,,                 25015,,                  6399,                787932,,,                 37824,,                  4200,,                334956,,                496650,                  4281,,                  1160,                879071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                429076,                212690,              1667003,,,,                  7718,,                 25392,,                 56611,                  6307,,                  3299,                 99327,,,                145501,,                 54398,                199899,                299226,,,,                900000,                900000,,                  2258,,                 19526,                 21784,,                 22763,                282308,,                103931,                409002,,,                 -8246,                 -8246,              1322540,                 45237,              1367777,,,,
1410,2013年09月30日,,,,,,,,                 19638,,                 91766,,                  2351,,                 26247,,                  6724,                755502,,,                 37828,,                  4242,,                350450,,                496831,                  4391,,                  1160,                894902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                387306,                221470,              1650404,,,,                  7701,,                 21922,,                 70573,                  3354,,                  1976,                105526,,,                145501,,                 55473,                200974,                306500,,,,                900000,                900000,,                  2258,,                 19526,                 21784,,                 22763,                282308,,                 82519,                387590,,,                 -8241,                 -8241,              1301133,                 42771,              1343904,,,,
1410,2013年06月30日,,,,,,,,                 25018,,                 90413,,                    158,,                 25937,,                  8405,                831989,,,                 36028,,                              0,,                356571,,                497363,                  4363,,                  1160,                895485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                243458,                438600,              1727474,,,,                  8627,,                 27306,,                175792,                  2418,,                    578,                214721,,,                145501,,                 54843,                200344,                415065,,,,                900000,                900000,,                  2258,,                 19526,                 21784,,                 22763,                282308,,                 53371,                358442,,,                -10313,                -10313,              1269913,                 42496,              1312409,,,,
1410,2013年03月31日,,,,,,,,                 15215,,                 87405,,                    929,,                 22690,,                  6626,                779848,,,                 36939,,                              0,,                363101,,                497643,                  4607,,                  1160,                903450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                513383,                133600,              1683298,,,,                  5860,,                 24324,,                 45943,                  5535,,                  1837,                 83499,,,                145501,,                 55546,                201047,                284546,,,,                900000,                900000,,                  2258,,                 19526,                 21784,,                 11267,                282308,,                144531,                438106,,,                 -9402,                 -9402,              1350488,                 48264,              1398752,,,,
