證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 預付款項,　　　　 預付租金,　　　　 預付款項合計,　　　　 長期預付租金,　　　　 預收股本
2369,2015年09月30日,,,,              1090461,,                 25393,,              1228576,,                419444,,                     40,,,                378277,                378277,,                298488,              3440679,,,                213055,,                 37668,,                              0,,              5743959,                 53993,,                 11274,,                200600,                211874,              6260549,              9701228,,,,,                399556,,                              0,,                239330,,                598879,                  4245,,                 32980,,,                281951,                 26037,                307988,              1582978,,,              1660309,,                  1080,,                235719,                    994,                236713,              1898102,              3481080,,,,              3801023,              3801023,,              1619202,,                322673,                 93795,,                413846,                830314,,                -17030,                176415,              6057094,                163054,              6220148,              9701228,              0,      5658911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,2015年06月30日,,,,              1336695,,                 40185,,              1209733,,                423050,,                     35,,,                383466,                383466,,                232966,              3626130,,,                267299,,                 37668,,                              0,,              5876665,                 52367,,                 11266,,                170958,                182224,              6416223,             10042353,,,,,                360766,,,,                253765,,                849363,                 16638,,                 36673,,,                244203,                 35594,                279797,              1797002,,,              1734338,,                  1634,,                234646,                    977,                235623,              1971595,              3768597,,,,              3801023,              3801023,,              1616225,,                322673,                 93795,,                424654,                841122,,                 24121,                176415,              6106076,                167680,              6273756,             10042353,              0,      5658911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,2015年03月31日,,,,              1134298,,                 33353,,              1216368,,                418864,,                     43,,,                388426,                388426,,                221118,              3412470,,,                347740,,                 37668,,                              0,,              5834071,                 52336,,                 12269,,                312014,                324283,              6596098,             10008568,,,,,                240889,,,,                268804,,                660555,                 35506,,                 36506,,,                206455,                 34754,                241209,              1483469,,,              1688368,,                  1325,,                233554,                    977,                234531,              1924224,              3407693,,,,              3801023,              3801023,,              1616225,,                303979,                 14203,,                762723,              1080905,,                109578,                176415,              6431316,                169559,              6600875,             10008568,              0,      5658911,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,2014年12月31日,,,,              1018028,,                 34715,,              1263401,,                327139,,                    166,,,                386854,                386854,,                188555,              3218858,,,                325200,,                 23388,,                              0,,              5717705,                 51773,,                 12959,,                439665,                452624,              6570690,              9789548,,,,,                251382,,                              0,,                264420,,                890523,                 24554,,                 34016,,,                145206,                 30491,                175697,              1640592,,,              1317647,,                  1369,,                233735,                    977,                234712,              1553728,              3194320,,,,              3801023,              3801023,,              1616225,,                303979,                 14203,,                770624,              1088806,,                 94483,                176415,              6424122,                171106,              6595228,              9789548,              0,      5658911,              0,              1018028,,                              0,                    166,              9789548,,,,                251382,,                              0,,                264420,,                890523,                 24554,,                 34016,,,                145206,                 30491,                175697,              1640592,,,              1317647,,                  1369,,                233735,                    977,                234712,              1553728,              3194320,,,,              3801023,              3801023,,              1616225,,                303979,                 14203,,                770624,              1088806,,                 94483,                176415,              6424122,                171106,              6595228,,,,,
2369,2014年09月30日,,,,                885133,,                 38368,,              1311589,,                308026,,                     30,,,                387114,                387114,,                183472,              3113732,,,                305427,,                 23388,,                              0,,              5386644,                 58410,,                 12933,,                496141,                509074,              6282943,              9396675,,,,,                368837,,                      1,,                271755,,                784584,                  8286,,                 26335,,,                124126,                 21218,                145344,              1605142,,,              1006759,,                  1700,,                275723,                    976,                276699,              1285158,              2890300,,,,              3801023,              3801023,,              1616225,,                303979,                 14203,,                726356,              1044538,,                 51162,                176415,              6336533,                169842,              6506375,              9396675,              0,      5658911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,2014年06月30日,,,,              1003076,,                 42394,,              1341943,,                301086,,                  9172,,,                400734,                400734,,                180258,              3278663,,,                279139,,                 23388,,                              0,,              5214201,                 58876,,                 14270,,                594719,                608989,              6184593,              9463256,,,,,                159573,,,,                288705,,              1066768,                 60295,,                 36753,,,                124126,                 25089,                149215,              1761309,,,              1037791,,                  1459,,                270368,                    840,                271208,              1310458,              3071767,,,,              3801023,              3801023,,              1612132,,                303979,                 14203,,                655202,                973384,,                 14238,                176415,              6224362,                167127,              6391489,              9463256,              0,      5658911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,2014年03月31日,,,,              1523724,,                 28702,,              1218580,,                139705,,                  9168,,,                395997,                395997,,                180110,              3495986,,,                220236,,                 23388,,                              0,,              5010855,                 57109,,                 13306,,                736892,                750198,              6061786,              9557772,,,,,                292432,,,,                264279,,                851605,                 42397,,                 33817,,,                112361,                 19357,                131718,              1616248,,,              1068822,,                  1721,,                270609,                    840,                271449,              1341992,              2958240,,,,              3801023,              3801023,,              1612132,,                267840,                 65602,,                846225,              1179667,,                 16763,                176415,              6433170,                166362,              6599532,              9557772,              0,      5658911,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2369,2013年12月31日,,,,,,                 33530,,              1287356,,                 92677,,,,,                365631,                365631,,                225085,              3118159,,,                196886,,                 23388,,                              0,,              5000308,                 57495,,                 40305,,                262708,                303013,              5581090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5658911,              0,              1103712,,                    910,                  9258,              8699249,,,,                295835,,                  2115,,                284956,,                874450,                 22592,,                 39006,,,                 97846,                 16033,                113879,              1632833,,,                258104,,                  1625,,                270730,                    840,                271570,                531299,              2164132,,,,              3801023,              3801023,,              1612132,,                267840,                 65602,,                808235,              1141677,,                -14203,                176415,              6364214,                170903,              6535117,,,,,
2369,2013年09月30日,,,,,,                 25581,,              1293400,,                 87515,,,,,                381052,                381052,,                212390,              3625665,,,                199874,,                 23388,,,,              4522997,                 66023,,                 14228,,                249751,                263979,              5076261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5658911,              0,              1615324,,                    864,                  9539,              8701926,,,,                481891,,                  1249,,                300982,,                799801,                  2680,,                 44093,,,                 81832,                 18257,                100089,              1730785,,,                236635,,                  1988,,                310280,                    840,                311120,                549743,              2280528,,,,              3801023,              3801023,,              1612132,,                267840,                 65602,,                695205,              1028647,,                -19429,                176415,              6245958,                175440,              6421398,,,,,
2369,2013年06月30日,,,,,,                 27091,,              1411799,,                245745,,,,,                391888,                391888,,                203314,              3685863,,,                204273,,                 23388,,,,              4211221,                 56408,,                 14232,,                243507,                257739,              4753029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5658911,              0,              1395810,,                  1026,                  9190,              8438892,,,,                292782,,                    133,,                315046,,                966717,                 26623,,                 18801,,,                 70067,                 19043,                 89110,              1709212,,,                 65917,,                  1631,,                307475,                    840,                308315,                375863,              2085075,,,,              3801023,              3801023,,              1608112,,                267840,                 65602,,                619587,                953029,,                 -9476,                176415,              6176273,                177544,              6353817,,,,,
