證券代號,年季,　 資產,　　 現金及約當現金,　　 存放央行及拆借金融同業,　　 透過損益按公允價值衡量之金融資產,　　 備供出售金融資產－淨額,　　 附賣回票券及債券投資,　　 應收款項－淨額,　　　 應收款項－淨額,　　 當期所得稅資產,　　　 本期所得稅資產合計,　　 待出售資產－淨額,　　　 待出售資產－淨額,　　 貼現及放款－淨額,　　 再保險合約資產－淨額,　　 持有至到期日金融資產－淨額,　　 採用權益法之投資－淨額,　　 受限制資產－淨額,　　 其他金融資產－淨額,　　　 其他金融資產－淨額,　　 投資性不動產－淨額,　　　 投資性不動產－淨額,　　 不動產及設備－淨額,　　 無形資產－淨額,　　 遞延所得稅資產,　　 其他資產－淨額,　　　 其他資產－淨額,　　 資產總計,　 負債及權益 ,　　 負債,　　　 央行及金融同業存款,　　　 透過損益按公允價值衡量之金融負債,　　　 附買回票券及債券負債,　　　 應付商業本票－淨額,　　　 應付款項,　　　　 應付款項合計,　　　 本期所得稅負債,　　　 存款及匯款,　　　 應付債券,　　　 其他借款,　　　　 其他借款合計,　　　 負債準備,　　　　 負債準備合計,　　　 其他金融負債,　　　　 其他金融負債合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他負債,　　　　 其他負債合計,　　　 負債總計,　　 權益 ,　　　 歸屬於母公司業主之權益 ,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 備供出售金融資產未實現評價損益,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總計,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（股東權益項下）之約當發行股數（單位：股）,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待分配股票股利,　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 央行及金融同業存款,　　 透過損益按公允價值衡量之金融負債,　　 附買回票券及債券負債,　　 應付商業本票－淨額,　　 應付款項,　　　 應付款項合計,　　 當期所得稅負債,　　 存款及匯款,　　 應付債券,　　 其他借款,　　　 其他借款合計,　　 負債準備,　　　 負債準備合計,　　 其他金融負債,　　　 其他金融負債合計,　　 遞延所得稅負債,　　　 遞延所得稅負債合計,　　 其他負債,　　　 其他負債合計,　　 負債總額,　 權益 ,　　 歸屬於母公司業主之權益 ,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　 備供出售金融資產未實現評價利益（損失）,　　　　 其他權益合計,　　　 庫藏股,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　 與待出售資產直接相關之負債
2885,2015年09月30日,,             44592451,             87761500,            334491438,            132435200,             23789351,,            115396655,,              1915888,,                              0,            484677549,                334558,             79429997,              1802320,              2725811,,            110465082,,              6561258,             16290645,             26360155,              4157254,,             20060266,          1493247378,,,             15682934,            102423001,            139101732,              1067561,,            147649039,              3510650,            617435237,             56097080,,             25977054,,            118193707,,             53460373,,              2790757,,             13924026,          1297313151,,,,            107129605,            107129605,             35599459,,              6677902,              6549234,             18094128,             31321264,,               -754495,              7309933,                              0,                 70042,              6625480,            180675808,             15258419,            195934227,          1493247378,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2015年06月30日,,             36729476,             79641610,            323450682,            127089122,             20245571,,            167552808,,              1624732,,                              0,            475409993,                281303,             68129450,              1747184,              2183175,,             98085005,,              6738650,             16300872,             26512686,              3475319,,             18661257,          1473858895,,,             26592272,             92041694,            122527861,             17946185,,            182214562,              3409110,            599507774,             45829216,,             20725440,,            110054704,,             48090463,,              1994671,,             11450966,          1282384918,,,,            104391517,            107129605,             35564830,,              6677902,              6549234,             15274864,             28502000,,             -1773435,              6864516,                              0,                  4677,              5095758,            176292193,             15181784,            191473977,          1473858895,              0,              0,              0,              2738088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2015年03月31日,,             42442407,             84052767,            307481774,            120263553,             25965212,,            156057359,,              1755954,,                              0,            458146816,                358068,             59292280,              2140778,              2359367,,             84192884,,              7424073,             13665408,             26677037,              3599005,,             15261862,          1411136604,,,              4921545,             88692616,            117873065,             36031777,,            144634181,              3660762,            587536953,             54209030,,             17456283,,            105747990,,             43073894,,              1889976,,             15808040,          1221536112,,,,            101410666,            101410666,             33668209,,              5030700,                909427,             28256208,             34196335,,             -1388119,              6790326,                              0,                 11099,              5413306,            174688516,             14911976,            189600492,          1411136604,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2014年12月31日,,             47061183,             79450468,            260202179,            114343183,             17643207,,            120659190,,              1613255,,                 33096,            451629582,                368588,             51295128,              1927479,              1837531,,             75024970,,              7976225,             13379104,             27042475,              3745413,,             16532454,          1291764710,,,              5681005,             85309269,             89313850,             14825780,,            129540019,              3146491,            555769170,             54683089,,              9250609,,            104220508,,             40635589,,              1838354,,             12512579,          1106726312,,,,            101410666,            101410666,             33648021,,              5030700,                909427,             24180163,             30120290,,               -887599,              5409615,                              0,                              0,              4522016,            169700993,             15337405,            185038398,          1291764710,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2014年09月30日,,             36993504,             99157601,            255266998,            103530969,              9746065,,            131519057,,              2192650,,              1312507,            432509867,                352624,             35696543,              2035691,              2251875,,             70700540,,             10911022,             13717048,             27372515,              3353881,,             13710139,          1252331096,,,              9928156,             65657570,             67067919,             23386647,,            137187638,              3557859,            535988869,             47744837,,             16648845,,            102539487,,             42605383,,              1562494,,             17913150,          1071788854,,,,            101410666,            101410666,             33634947,,              5030700,                909427,             21723428,             27663555,,             -1634687,              4398084,                              0,                              0,              2763397,            165472565,             15069677,            180542242,          1252331096,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2014年06月30日,,             32447610,            105813429,            227571493,            103442339,             11801796,,            123237236,,              1719947,,              1305934,            421991298,                477597,             33460911,              2049060,              2131466,,             69555562,,             11227325,             13927374,             27758797,              3379699,,             13212797,          1206511670,,,             16575228,             58988947,             54682111,             22789242,,             69343194,              4606747,            586586780,             41817277,,             23270872,,             99716078,,             38578412,,              1410296,,              8594545,          1026959729,,,,             98937235,            101410666,             33634947,,              5030700,                909427,             19548829,             25488956,,             -1555617,              4979130,                              0,                              0,              3423513,            163958082,             15593859,            179551941,          1206511670,              0,              0,              0,              2473431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2014年03月31日,,             26702618,             95977734,            108540464,             97959482,                202883,,            105492575,,              1454503,,              1282960,            407171270,                474358,             34125031,                794325,                153183,,             70661634,,              4435779,             12178828,             25377551,              1907097,,              9473620,          1004365895,,,             13189992,             32824212,             32089897,             17846526,,             58225401,              4517068,            500432571,             31032463,,              1950252,,             92830928,,             41925962,,              1340516,,             10390292,            838596080,,,,             98937235,             98937235,             33634947,,              4259700,              2772158,             19244432,             26276290,,             -1172049,              4743707,                              0,                              0,              3571658,            162420130,              3349685,            165769815,          1004365895,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2014年01月01日,,             27229111,             85619265,             91573183,             43612700,                250724,,             98302239,,              1239819,,              1309054,            397268743,                              0,              7204646,                805483,                152682,,             60446473,,              4222882,             12417996,             25497006,              1068001,,              6877941,            865097948,,,             13072480,             29582483,             23440116,              8509446,,             63540151,              4593107,            470505829,             31002148,,              1106179,,              2178935,,             41772374,,              1021013,,             13159292,            703483553,,,,             98937235,             98937235,             33634947,,              4259700,              2772158,             15636786,             22668644,,             -1537258,              4691129,                              0,                              0,              3153871,            158394697,              3219698,            161614395,            865097948,              0,              0,              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2885,2013年12月31日,,             27229111,             85619265,             91573183,             43612700,                250724,,             98302239,,,,              1309054,            397268743,                              0,              7204646,                805483,                152682,,             60446473,,              4222882,             12417996,             25497006,              1064109,,              6877941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1239819,            865094056,,             13072480,             29582483,             23440116,              8509446,,             63540151,              4593107,            470505829,             31002148,,              1106179,,              2157166,,             41772374,,              1020822,,             13159292,            703461593,,,,             98937235,             98937235,             33634947,,              4259700,              2772158,             15653335,             22685193,,             -1537258,              4691129,              3153871,                              0,            158411246,              3221217,            161632463,                              0,
2885,2013年09月30日,,             20826472,             87963966,             95532261,             43798799,              3338743,,             97986451,,,,              1309054,            387542987,                              0,              7243154,                876997,                142459,,             60553036,,              3990003,             12664998,             25702521,                979079,,              7754764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,              1238777,            859444521,,              8653408,             29572777,             22663457,              9727874,,             61663245,              4497307,            466627862,             30972023,,                876354,,              1516126,,             43478597,,                906428,,             18948658,            700104116,,,,             98937235,             98937235,             33634947,,              4259700,              2772158,             13711324,             20743182,,             -1731656,              4641172,              2909516,                              0,            156224880,              3115525,            159340405,,
