證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 待分配股票股利,　　　 庫藏股票
2379,2015年09月30日,,,,             23289146,,              1198415,,                186039,,              2810556,,                791931,,                300447,,                 16306,,              4100863,,                189890,,              4365296,             37248889,,,                584571,,                740057,,                882128,,                320261,,              3381738,,                 78917,,              2577938,                133823,,                 84599,              8784032,             46032921,,,,,             11071457,,                  5957,,              2921660,,                208336,,              8339800,                 27839,                200305,,                100640,             22875994,,,              1173975,,                 19837,,                375931,              1569743,             24445737,,,,              5049513,              5049513,,,              4405168,                              0,              4405168,,              3581096,                              0,,              6644783,             10225879,,,              1861845,,                 35159,              1897004,             21577564,                  9620,             21587184,             46032921,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,2015年06月30日,,,,             22806346,,              1218190,,                398734,,              2322596,,                814038,,                247235,,,,              5106509,,                110842,,              4341575,             37366065,,,                646196,,                691359,,                837437,,                346733,,              3350926,,                 76990,,              2631999,                126369,,                 81440,              8789449,             46155514,,,,,             12289493,,                  7258,,              4168401,,                233746,,              8243465,                 26567,                234695,,                 73456,             25277081,,,              1062616,,                  9613,,                 88886,              1161115,             26438196,,,,              5049513,              5049513,,,              4405169,                              0,              4405169,,              3581096,                              0,,              6044858,              9625954,,,                519891,,                107150,                627041,             19707677,                  9641,             19717318,             46155514,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,2015年03月31日,,,,             25544721,,                774022,,                706973,,              2282022,,                787492,,                385042,,,,              4280571,,                 93958,,              2945568,             37800369,,,              1112012,,                405450,,                845868,,                152835,,              3264965,,                 78953,,              1578832,                119612,,                 96831,              7655358,             45455727,,,,,             12818217,,                  5256,,              3717194,,                256820,,              4380239,                 31954,                425566,,                 69797,             21705043,,,              1042535,,                  3582,,                 99870,              1145987,             22851030,,,,              5049513,              5049513,,,              4405169,                              0,              4405169,,              3191846,                124338,,              8974582,             12290766,,,                767330,,                 82253,                849583,             22595031,                  9666,             22604697,             45455727,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,2014年12月31日,,,,             21608816,,                708358,,                739166,,              2682182,,                984894,,                269816,,                              0,,              3882455,,                 78053,,              2443411,             33397151,,,              1097794,,                409205,,                853943,,                159803,,              3368689,,                 80828,,              1470394,                150085,,                 86686,              7677427,             41074578,,,,,              7457525,,                  4654,,              4568045,,                320415,,              4983596,                 41657,                380926,,                 44217,             17801035,,,              1021342,,                 27450,,                118595,              1167387,             18968422,,,,              5049513,              5049513,,,              4405168,                              0,              4405168,,              3191846,                124338,,              8233388,             11549572,,,              1025339,,                 66813,              1092152,             22096405,                  9751,             22106156,             41074578,              0,              0,              0,             21608816,                739166,             41074578,,,,              7457525,,                  4654,,              4568045,,                320415,,              4983596,                 41657,                380926,,                 44217,             17801035,,,              1021342,,                 27450,,                118595,              1167387,             18968422,,,,              5049513,              5049513,,,              4405169,                              0,              4405169,,              3191846,                124338,,              8233387,             11549571,,,              1025339,,                 66813,              1092152,             22096405,                  9751,             22106156,,
2379,2014年09月30日,,,,             21951551,,                844688,,              1444427,,              3511671,,              1066594,,                322586,,                 11647,,              2979351,,                 86960,,              2364547,             34584022,,,              1314953,,                346919,,                855967,,                168370,,              3426008,,                 79477,,              1310835,                140960,,                 79823,              7723312,             42307334,,,,,              8217785,,                  6379,,              3967448,,                355054,,              7457521,                 43118,                390361,,                 73857,             20511523,,,                949625,,                 18246,,                127856,              1095727,             21607250,,,,              5049513,              5049513,,,              4405168,                              0,              4405168,,              3191846,                124338,,              7678541,             10994725,,,                148680,,                 92222,                240902,             20690308,                  9776,             20700084,             42307334,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,2014年06月30日,,,,             17644299,,                569266,,              1712218,,              3126295,,              1112102,,                237592,,,,              2868857,,                 95552,,              3248043,             30614224,,,                883703,,                312939,,                977393,,                328555,,              3495667,,                 78362,,              1138184,                 80906,,                 78612,              7374321,             37988545,,,,,              7003080,,                  6982,,              3452187,,                379108,,              6889685,                 43373,                194775,,                 44509,             18013699,,,                915420,,                  7365,,                129001,              1051786,             19065485,,,,              5049513,              5049513,,,              4441956,                              0,              4441956,,              3191846,                124338,,              6174557,              9490741,,,               -220846,,                151897,                -68949,             18913261,                  9799,             18923060,             37988545,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,2014年03月31日,,,,             19364665,,                645571,,                992483,,              2570216,,                914304,,                200494,,,,              2945223,,                198749,,              1137757,             28969462,,,                804212,,                318496,,                995228,,                288176,,              3608768,,                 80326,,              1180423,                 36372,,                 80008,              7392009,             36361471,,,,,              7049190,,                  4962,,              3377904,,                344343,,              3608928,                 33522,                160024,,                 70736,             14649609,,,                903117,,                  8871,,                138580,              1050568,             15700177,,,,              5049513,              5049513,,,              4406855,                              0,              4406855,,              2888304,                533055,,              7580490,             11001849,,,                123336,,                 69848,                193184,             20651401,                  9893,             20661294,             36361471,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2379,2013年12月31日,,,,,,                144773,,,,              3124085,,                932354,,                164938,,,,              2790862,,                120241,,              2147472,             27221719,,,                747116,,                399796,,                978442,,                322834,,              3035281,,                 82146,,              1257062,                 31632,,                 53154,              6907463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             16515621,              1281373,             34129182,,,,              6288505,,                  4282,,              2903789,,                345399,,              3903730,                 36306,                 82742,,                 29927,             13594680,,,                856557,,                  5770,,                148416,              1010743,             14605423,,,,              5049513,              5049513,,,              4406855,                              0,              4406855,,              2888304,                533055,,              6760468,             10181827,,,               -137358,,                 13020,               -124338,             19513857,                  9902,             19523759,,
2379,2013年09月30日,,,,,,                239695,,,,              3019568,,                734727,,                187486,,                  9318,,              3262612,,                165373,,              2296924,             27127404,,,                737193,,                391653,,              1019807,,                336714,,              2974291,,                 80879,,                977078,                 69845,,                 40247,              6627707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             15863835,              1347866,             33755111,,,,              5399062,,                  5060,,              2988714,,                350479,,              5264613,                 29962,                 93294,,                 39029,             14170213,,,                768206,,                              0,,                158014,                926220,             15096433,,,,              5049513,              5049513,,,              4408868,                              0,              4408868,,              2888304,                533055,,              6061428,              9482787,,,               -295443,,                  2979,               -292464,             18648704,                  9974,             18658678,,
2379,2013年06月30日,,,,,,                217758,,,,              2892419,,                771958,,                129973,,                 32323,,              3327545,,                106017,,              1436368,             26170380,,,                820336,,                397111,,              1069940,,                327091,,              3064046,,                 83033,,              1090002,                152453,,                 35934,              7039946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,             16665961,                590058,             33210326,,,,              5533344,,                  6684,,              3307186,,                297421,,              4860303,                 29701,                165603,,                 25866,             14226108,,,                749738,,                              0,,                166409,                916147,             15142255,,,,              4987795,              5115394,,,              4342955,                              0,              4342955,,              2888304,                533055,,              5234221,              8655580,,,               -108060,,                 52227,                -55833,             18058096,                  9975,             18068071,                127599,
