證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　　 特別股股本,　　　　 債券換股權利證書,　　　　 待分配股票股利,　　　　 特別股轉換普通股權利證書
4984,2015年09月30日,,,,              1284724,,                216415,,                235985,,                 11800,,                  4156,              1753080,,,                 43856,,                 69127,                 23275,,                  3249,                  2638,,                              0,                  5887,                142145,              1895225,,,,,                 94690,,                 63976,                  9986,,                  3116,,,                              0,                              0,                  2877,                  2877,                174645,,,                 34916,,                              0,                 34916,                209561,,,,                453827,                              0,                              0,                453827,,                752175,,                 61628,                 21385,,                273300,                356313,,                123349,                              0,              1685664,                              0,              1685664,              1895225,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4984,2015年06月30日,,,,              1247722,,                191559,,                215178,,                 16606,,                 24659,              1695724,,,                 49609,,                 67001,                 21571,,                  1262,                  2576,,                              0,                  3838,                142019,              1837743,,,,,                 97311,,                158989,                  6153,,                  2629,,,                  3294,                  3294,                    558,                  3852,                268934,,,                 45083,,                              0,                 45083,                314017,,,,                453708,,                              0,                453708,,                749208,,                 61628,                 21385,,                205722,                288735,,                 32075,                              0,              1523726,                              0,              1523726,              1837743,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4984,2015年03月31日,,,,              1326022,,                151589,,                181989,,                 10214,,                 15396,              1685210,,,                 57858,,                 70051,                 22052,,                  1485,                  3437,,                              0,                  4922,                154883,              1840093,,,,,                 79882,,                 67516,                  5378,,                  2622,,,                  5892,                  5892,                  1473,                  7365,                162763,,,                 45192,,,                 45192,                207955,,,,                453214,,                              0,                453214,,                746192,,                 50386,                 21385,,                306791,                378562,,                 54170,                              0,              1632138,                              0,              1632138,              1840093,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4984,2014年12月31日,,,,              1267680,,                248948,,                141459,,                 12132,,                 21430,              1691649,,,                 61708,,                 74254,                 18872,,                  2655,                  2777,,                              0,                  5432,                160266,              1851915,,,,,                 91912,,                 66003,                  2478,,                  2238,,,                  8507,                  8507,                  1960,                 10467,                173098,,,                 45157,,                              0,                 45157,                218255,,,,                453214,                              0,                              0,                453214,,                741427,,                 50386,                 21385,,                295982,                367753,,                 71266,                              0,              1633660,                              0,              1633660,              1851915,              0,              0,              0,              1267680,              1851915,,,,                 91912,,                 66003,                  2478,,                  2238,,,                  8507,                  8507,                  1960,                 10467,                173098,,,                 45157,                 45157,                218255,,,,                453214,                              0,                453214,,                741427,,                 50386,                 21385,,                295982,                367753,,                 71266,                              0,              1633660,                              0,              1633660,,,,,,
4984,2014年09月30日,,,,              1251073,,                173484,,                122751,,                 11779,,                 66289,              1625376,,,                 68130,,                 74032,                 14137,,                  1079,                  3330,,                      7,                  4416,                160715,              1786091,,,,,                 62865,,                113006,                 22043,,                  3478,,,                  3213,                  3213,                    424,                  3637,                205029,,,                 41170,,                  3895,                 45065,                250094,,,,                453059,                              0,                              0,                453059,,                737639,,                 50386,                 21385,,                265911,                337682,,                  7617,                              0,              1535997,                              0,              1535997,              1786091,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4984,2014年06月30日,,,,              1110782,,                217466,,                133454,,                 10976,,                 16303,              1488981,,,                 75937,,                 70937,                 35488,,                    673,                  3268,,                     12,                  3953,                186315,              1675296,,,,,                 63677,,                 90681,                  6954,,                  3564,,,                  4852,                  4852,                    411,                  5263,                170139,,,                 51863,,                              0,                 51863,                222002,,,,                451626,,                              0,                451626,,                734043,,                 50386,                 21385,,                215951,                287722,,                -20097,                              0,              1453294,                              0,              1453294,              1675296,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4984,2014年03月31日,,,,              1129177,,                203112,,                132483,,                  9011,,                 18112,              1491895,,,                 87969,,                 68844,                 47758,,                     22,                  3332,,                     20,                  3374,                207945,              1699840,,,,,                 78862,,                 31049,                  9045,,                  3598,,,                  4945,                  4945,                    355,                  5300,                127854,,,                 52381,,,                 52381,                180235,,,,                451601,,                              0,                451601,,                731307,,                 50183,                  8054,,                268711,                326948,,                  9749,                              0,              1519605,                              0,              1519605,              1699840,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4984,2013年12月31日,,,,,,                172661,,                127087,,                  9342,,                 17978,              1390468,,,                 97331,,                 64313,                 50912,,                  1127,                  3454,,                     28,                  4609,                217165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,          1665,              0,              1063400,              1607633,,,,                 43907,,                 25575,                  7016,,                  3946,,,                  4877,                  4877,                  1158,                  6035,                 86479,,,                 50717,                 50717,                137196,,,,                451584,                     17,                451601,,                728434,,                 50183,                  8054,,                253550,                311787,,                -21385,                              0,              1470437,                              0,              1470437,,                              0,                              0,,,
4984,2013年09月30日,,,,,,                212353,,                164990,,                 15948,,                 17385,              1369485,,,                107067,,                 59678,                 64356,,                  1674,                  3271,,                     33,                  4978,                236079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                958809,              1605564,,,,                 63412,,                 36696,                  5540,,                  3975,,,                              0,                              0,                    461,                    461,                110084,,,                 46913,                 49018,                159102,,,,                451584,                              0,                451584,,                725619,,                 50183,                  8054,,                244583,                302820,,                -33561,                              0,              1446462,                              0,              1446462,,                  2105,                              0,,,
4984,2013年06月30日,,,,,,                154373,,                217869,,                 13318,,                 70872,              1469284,,,                117870,,                 55456,                  8993,,                  3542,                  3318,,                     47,                  6907,                189226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,              1012852,              1658510,,,,                 54015,,                 97337,                  5383,,                  3610,,,                              0,                              0,                  1061,                  1061,                161406,,,                 47595,                 54884,                216290,,,,                451440,                              0,                451440,,                723947,,                 50183,                  8054,,                220698,                278935,,                -12102,                              0,              1442220,                              0,              1442220,,                  7289,,,,
