證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　 待註銷股本股數,　　　 當期所得稅資產,　　　　 當期所得稅資產合計,　　　　 待分配股票股利,　　　 其他流動資產,　　　　 其他流動資產合計
6409,2015年09月30日,,,,              3956369,,                              0,,                 36875,,              1348110,,                104200,,                 57191,,                332180,,                 77075,              5912000,,,                905082,,,                  6824,                  6824,                 17096,,,                 20448,                 20448,                949450,              6861450,,,,,                     54,,              1674809,,                  8992,,              1215587,                121259,,                 44844,                 44844,              3065545,,,                 36322,,                    258,                 36580,              3102125,,,,                743557,                743557,,              1385450,,                264952,,              1288285,              1553237,,                 77081,              3759325,              3759325,              6861450,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,2015年06月30日,,,,              3473156,,                              0,,                  6440,,              1204825,,                 87033,,                 57743,,                390285,,                 74438,              5293920,,,                887498,,,                  7571,                  7571,                 16320,,,                 17854,                 17854,                929243,              6223163,,,,,                  2968,,              1634367,,                 10938,,              1152386,                109602,,                 43457,                 43457,              2953718,,,                 15635,,                    249,                 15884,              2969602,,,,                708135,                743557,,              1385450,,                264952,,                838505,              1103457,,                 21097,              3253561,              3253561,              6223163,              0,              0,,                              0,                 35422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,2015年03月31日,,,,              3111228,,                              0,,                 27501,,              1107158,,                 86775,,                 83981,,                375056,,                 60750,              4852449,,,                884560,,,                  8120,                  8120,                 18294,,,                 15476,                 15476,                926450,              5778899,,,,,                  5462,,              1524210,,                 12693,,                315034,                152079,,                 56371,                 56371,              2065849,,,                 18975,,                    252,                 19227,              2085076,,,,                708435,                708435,,              1387138,,                165412,,              1402889,              1568301,,                 29949,              3693823,              3693823,              5778899,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,2014年12月31日,,,,              2796380,,                              0,,                 15901,,              1096219,,                150215,,                 50076,,                351980,,                 61051,              4521822,,,                893157,,,                  7160,                  7160,                 16041,,,                 15499,                 15499,                931857,              5453679,,,,,                  5477,,              1505300,,                  6161,,                348382,                104307,,                 53246,                 53246,              2022873,,,                 25451,,                    254,                 25705,              2048578,,,,                708435,                708435,,              1387138,,                165412,,              1112728,              1278140,,                 31388,              3405101,              3405101,              5453679,              0,              0,,                              0,                              0,              2796380,              5453679,,,,                  5477,,              1505300,,                  6161,,                348382,                104307,,                 53246,                 53246,              2022873,,,                 25451,,                    254,                 25705,              2048578,,,,                708435,                708435,,              1387138,,                165412,,              1112728,              1278140,,                 31388,              3405101,              3405101,              0,,,,,
6409,2014年09月30日,,,,              2902071,,                 14974,,                 15755,,              1158945,,                119192,,                 37874,,                335995,,                 63393,              4648199,,,                891258,,,                  7028,                  7028,                  6457,,,                 12659,                 12659,                917402,              5565601,,,,,                  6005,,              1562254,,                 15519,,                765863,                 78351,,                 34900,                 34900,              2462892,,,                 14491,,                    247,                 14738,              2477630,,,,                708435,                708435,,              1387138,,                165412,,                833879,                999291,,                 -6893,              3087971,              3087971,              5565601,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,2014年06月30日,,,,              3191974,,                 14456,,                 14016,,                967445,,                 86973,,                 42936,,                315436,,                 52576,              4961625,,,                154045,,,                  7017,                  7017,                  6254,,,                 11706,                 11706,                179022,              5140647,,,,,                  4212,,              1470030,,                  8195,,                776506,                 65004,,                 35625,                 35625,              2359572,,,                  5291,,                    241,                  5532,              2365104,,,,                674700,                708435,,              1387138,,                165412,,                552770,                718182,,                -38212,              2775543,              2775543,              5140647,              0,              0,,                275813,                 33735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,2014年03月31日,,,,              2933697,,                 14677,,                  9836,,                836528,,                 91612,,                 77880,,                275167,,                 53743,              4628445,,,                148760,,,                  5908,                  5908,                  6633,,,                 11269,                 11269,                172570,              4801015,,,,,                  4987,,              1359785,,                  8497,,                241445,                100297,,                 37456,                 37456,              1752467,,,                  8298,,                    245,                  8543,              1761010,,,,                674700,                674700,,              1387138,,                104358,,                908292,              1012650,,                -34483,              3040005,              3040005,              4801015,              0,              0,,                335305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6409,2013年12月31日,,,,,,,,                  6342,,                822403,,                 93466,,                 63621,,                238767,,                 47476,              3436793,,,                143869,,,                  6315,                  6315,                  6310,,,                 10306,                 10306,                166800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                334812,,              1829906,              3603593,,,,                  6615,,              1244627,,                  8847,,                265540,                 64341,,                 26888,                 26888,              1616858,,,                  8575,,                    245,                  8820,              1625678,,,,                616400,                616400,,                600258,,                104358,,                704652,                809010,,                -47753,              1977915,              1977915,              0,,,,,
6409,2013年09月30日,,,,,,                              0,,                  6157,,                780017,,                107887,,                 74615,,                219815,,                 49551,              3151149,,,                144354,,,                  6254,                  6254,                  4892,,,                  9142,                  9142,                164642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                194504,,              1718603,              3315791,,,,                  6056,,              1226781,,                  7113,,                203222,                 50052,,                 29835,                 29835,              1523059,,,                  2609,,                    240,                  2849,              1525908,,,,                616400,                616400,,                600258,,                104358,,                541940,                646298,,                -73073,              1789883,              1789883,              0,,,,,
6409,2013年06月30日,,,,,,                              0,,                  3932,,                704905,,                 67107,,                 98587,,                240339,,                 58867,              3140078,,,                142547,,,                  7059,                  7059,                  4826,,,                  9705,                  9705,                164137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                381021,,              1584959,              3304215,,,,                  4505,,              1182429,,                  6839,,                622045,                 43164,,                 60084,                 60084,              1919066,,,                  6944,,                    243,                  7187,              1926253,,,,                558476,                586400,,                378828,,                104358,,                391638,                495996,,                -83262,              1377962,              1377962,              0,,                    361,                 27924,,
