證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 採用權益法之投資,　　　　　 應付股利,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 待分配股票股利,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 存出保證金,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　　 應付股利,　　　　 待分配股票股利,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　 庫藏股票
9910,2015年09月30日,,,,              2418733,,              3602338,,                208500,,                607061,,                185497,,,              5096376,              5096376,,                832920,             12951425,,,                 63000,                 63000,,                589915,,             12858281,,                207229,,                401807,                325527,,,                  4897,                262610,,                 32658,                 32658,                300165,             14745924,             27697349,,,,,              1754879,,                340175,,              3372612,,              2629157,              2629157,                351320,,                 53646,                 53646,              8501789,,,              1625860,,              1308766,,              2424354,                 28924,              2453278,              5387904,             13889693,,,,              5963751,              5963751,,                 65966,,              2306399,                              0,,              3084367,              5390766,,,                690032,                690032,             12110515,              1697141,             13807656,             27697349,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9910,2015年06月30日,,,,              2173214,,              2695417,,                136954,,                538437,,                195171,,,              4870314,              4870314,,                822733,             11432240,,,                 60423,                 60423,,                400232,,             11888210,,                208534,,                374862,                311139,,,                  4661,                258593,,                 33744,                 33744,                296998,             13540398,             24972638,,,,,                966501,,,,              3102253,,              2171214,              4316552,                415218,,                 60512,                 60512,              8861036,,,                906954,,              1007481,,              2358691,                 25763,              2384454,              4298889,             13159925,,,,              5790049,              5963751,,                 70486,,              2306399,                              0,,              1830263,              4136662,,,                127989,                127989,             10298888,              1513825,             11812713,             24972638,              0,              0,              0,                400232,              2145338,,                              0,                173702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9910,2015年03月31日,,,,              2353639,,              3120320,,                133139,,                462051,,                128718,,,              5559838,              5559838,,                782768,             12540473,,,                 60988,                 60988,,                383403,,             11559568,,                217384,,                364553,                421797,,,                  4968,                263874,,                 39402,                 39402,                308244,             13315937,             25856410,,,,,              2144601,,,,              3237635,,              1900235,              2202648,                431412,,                 82647,                 82647,              8098943,,,              1561730,,                921735,,              2335950,                 23584,              2359534,              4842999,             12941942,,,,              5790049,              5790049,,                 39287,,              2066912,                176916,,              3232809,              5476637,,,                275447,                275447,             11581420,              1333048,             12914468,             25856410,              0,              0,              0,                383403,                302413,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9910,2014年12月31日,,,,              1891230,,              3387792,,                335797,,                414594,,                148055,,,              5232683,              5232683,,                696304,             12106455,,,                 61436,                 61436,,                366197,,             11480185,,                227402,,                361084,                463308,,,                 20485,                272032,,                 38154,                 38154,                330671,             13290283,             25396738,,,,,              1978088,,                743053,,              2357820,,              2773900,              2773900,                282379,,                 87787,                 87787,              8223027,,,              1359520,,              1044338,,              2312764,                 33494,              2346258,              4750116,             12973143,,,,              5790049,              5790049,,                 39287,,              2066912,                176916,,              2394868,              4638696,,,                384965,                384965,             10852997,              1570598,             12423595,             25396738,              0,              0,              0,,,,,,              1891230,                148055,             25396738,,,,              1978088,,              3100873,,              2773900,              2773900,                282379,,,                              0,                 87787,                 87787,              8223027,,,              1359520,,              1044338,,              2312764,                 33494,              2346258,              4750116,             12973143,,,,              5790049,              5790049,,                 39287,,              2066912,                176916,,              2394868,              4638696,,,                384965,                384965,             10852997,              1570598,             12423595,,,,,,,,
9910,2014年09月30日,,,,              1828755,,              2878470,,                312433,,                414226,,                117333,,,              4757027,              4757027,,                669747,             10977991,,,                 59859,                 59859,,                339695,,             10811901,,                224397,,                356807,                421724,,,                 43614,                262874,,                 41381,                 41381,                347869,             12562252,             23540243,,,,,              2459431,,                337120,,              2643766,,              2278990,              2278990,                242533,,                 69684,                 69684,              8031524,,,              1455137,,                812675,,              2158686,                  4646,              2163332,              4431144,             12462668,,,,              5790049,              5790049,,                 39287,,              2066912,                176916,,              1559532,              3803360,,,                 -3994,                 -3994,              9628702,              1448873,             11077575,             23540243,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9910,2014年06月30日,,,,              1598175,,              2730452,,                251053,,                401714,,                 70315,,,              4382418,              4382418,,                618796,             10052923,,,                 59148,                 59148,,                314505,,             10478256,,                226916,,                355165,                396180,,,                 40448,                260734,,                 99808,                 99808,                400990,             12231160,             22284083,,,,,              2375686,,,,              2696273,,              1950225,              3787452,                660199,,                 66843,                 67586,              9587196,,,                              0,,                650084,,              2106866,                  4585,              2111451,              2761535,             12348731,,,,              5567355,              5790049,,                 39287,,              2066912,                176916,,                685543,              2929371,,,               -151499,               -151499,              8607208,              1328144,              9935352,             22284083,              0,              0,              0,                314505,              1837227,,                    743,                222694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9910,2014年03月31日,,,,              1506126,,              2703289,,                154278,,                400021,,                 37359,,,              4753631,              4753631,,                605117,             10159821,,,                 59924,                 59924,,                364141,,             10435567,,                238041,,                354929,                373278,,,                 36483,                268497,,                 97491,                 97491,                402471,             12228351,             22388172,,,,,              2031417,,,,              2648183,,              1767157,              1971898,                381964,,                101957,                516390,              7549852,,,                 43327,,                686521,,              2101696,                  6559,              2108255,              2838103,             10387955,,,,              5567355,              5567355,,                 39287,,              1934626,              1058055,,              1978658,              4971339,,,                 22846,                 22846,             10600827,              1399390,             12000217,             22388172,              0,              0,              0,                364141,                204741,,                414433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9910,2013年12月31日,,,,,,              2695723,,                104553,,                338719,,,,,              4044507,              4044507,,                646960,              9431866,,,                 59071,                 59071,,                374137,,             10254360,,                241405,,                353556,                398126,,,                 35821,                265598,,                 82570,                 82570,                383989,             12064644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              1582742,                 18662,             21496510,,,,              2234390,,              2302181,,              2020888,              2020888,                382096,,,                417830,                 87473,                505303,              7444858,,,                 88500,,                637813,,              2047350,                  7080,              2054430,              2780743,             10225601,,,,              5567355,              5567355,,                 39287,,              1934626,              1058055,,              1322859,              4315540,,,               -176916,               -176916,              9745266,              1525643,             11270909,                 35821,,,,,,,
9910,2013年09月30日,,,,,,              2439862,,                 97728,,                255719,,,,,              3785025,              3785025,,                489861,              8675986,,,                 66711,                 66711,,                358444,,             10221419,,                244227,,                351607,                316496,,,,                263686,,                 80634,                 80634,                377957,             11936861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,,              1574198,                 33593,             20612847,,,,              2742078,,              2054139,,              1700895,              1700895,                474362,,,                469365,                 54535,                523900,              7495374,,,                105487,,                403939,,              1878929,                  7029,              1885958,              2395384,              9890758,,,,              5567355,              5567355,,                 39287,,              1934626,              1058055,,                853378,              3846059,,,               -275823,               -275823,              9176878,              1545211,             10722089,                 33637,,,,,,,
9910,2013年06月30日,,,,,,              2304006,,                116265,,                322644,,,,,              3807133,              3807133,,                498814,              8191113,,,                 67618,                 67618,,                337379,,             10675698,,                253093,,                354060,                321908,,,,                269257,,                 86835,                 86835,                392639,             12402395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                337379,,,,,              1124010,                 18241,             20593508,,,,              1725381,,              2018241,,              1588039,              2765749,                387746,,,                 18689,                 63042,                 81731,              6978848,,,              1168421,,                432166,,              1903984,                  7159,              1911143,              3511730,             10490578,,,,              5353226,              5567355,,                 39287,,              1934626,              1058055,,                201287,              3193968,,,               -133569,               -133569,              8667041,              1435889,             10102930,                 36547,,                              0,              1177710,                214129,,,
