證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 無活絡市場之債券投資－非流動,　　　　 無活絡市場之債務工具投資－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 重估增值,　　　　　　 重估增值合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－非流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 重估增值,　　　　　 重估增值合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券投資－流動淨額,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 庫藏股票
2376,2015年09月30日,,,,             11524775,,              1207108,,                 52112,,                156540,,                  8381,,              6620132,,                485695,,              8842583,,                578454,             29475780,,,                343407,,                              0,,                              0,,                272229,,              4073844,,                189737,,                 42169,                317137,,                309825,              5548348,             35024128,,,,,                 71045,,                 43955,,              6288141,,              4054974,                239510,,                575160,,                773393,             12046178,,,                 24508,,                451179,                475687,             12521865,,,,              6290629,              6290629,,,              4592497,                  8923,              4601420,,              3425311,                426354,,              7290240,             11141905,,,                457988,,                 -5343,,                              0,                452645,             22486599,                 15664,             22502263,             35024128,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,2015年06月30日,,,,             11493338,,              1322092,,                 64623,,                150300,,                  8718,,              5419561,,                427088,,              7851788,,              1985640,             28723148,,,                351228,,                              0,,,,                280275,,              4052537,,                189071,,                 55193,                279690,,                319014,              5527008,             34250156,,,,,                 86163,,                 50321,,              5404402,,              3567051,                296999,,                570126,,              2360604,             12335666,,,                 10261,,                432277,                442538,             12778204,,,,              6290629,              6290629,,,              4592497,                  8923,              4601420,,              3425311,                426354,,              6472562,             10324227,,,                209169,,                 30780,,,                239949,             21456225,                 15727,             21471952,             34250156,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,2015年03月31日,,,,              8336355,,              1311414,,                 84001,,,,                  6609,,              6151553,,                437452,,              9322364,,              1520576,             27170324,,,                323553,,                151950,,                              0,,                296821,,              4153100,,                190404,,                 43540,                280316,,              1026127,              6465811,             33636135,,,,,                 86128,,                 65854,,              5020160,,              3474508,                395414,,                575230,,                644377,             10261671,,,                  8016,,                441750,                449766,             10711437,,,,              6290129,              6290129,,,              4592402,                  8923,              4601325,,              3185601,                426354,,              8055045,             11667000,,,                275458,,                 72371,,,                347829,             22906283,                 18415,             22924698,             33636135,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,2014年12月31日,,,,              9336355,,              1191594,,                 87763,,                              0,,                  7238,,              6093288,,                439128,,              8866121,,                820425,             26841912,,,                345828,,                153480,,                              0,,                298306,,              4231520,,                191719,,                 49730,                266817,,              1313314,              6850714,             33692626,,,,,                 71326,,                 50204,,              5487917,,              3376700,                281914,,                535056,,                850512,             10653629,,,                 24526,,                436357,                460883,             11114512,,,,              6288829,              6288829,,,              4592155,                              0,              4592155,,              3185601,                426354,,              7631177,             11243132,,,                348045,,                 87941,,                              0,                435986,             22560102,                 18012,             22578114,             33692626,              0,              0,              0,,                              0,              9336355,                              0,             33692626,,,,                 71326,,                 50204,,              5487917,,              3376700,                281914,,                535056,,                850512,             10653629,,,                 24526,,                436357,                460883,             11114512,,,,              6288829,              6288829,,,              4592155,              4592155,,              3185601,                426354,,              7631177,             11243132,,,                348045,,                 87941,                435986,             22560102,                 18012,             22578114,,,,,,,,,,
2376,2014年09月30日,,,,              7173267,,              1460010,,                 83154,,                              0,,                  8769,,              6854291,,                463693,,              9220977,,              1282929,             26547090,,,                357560,,                148650,,                              0,,                305784,,              4215332,,                188497,,                 34656,                280209,,              1351317,              6882005,             33429095,,,,,                 91459,,                 59010,,              5652777,,              3968028,                218389,,                489766,,                686875,             11166304,,,                 12832,,                398761,                411593,             11577897,,,,              6268329,              6268329,,,              4588260,                              0,              4588260,,              3185601,                426354,,              7127758,             10739713,,,                151406,,                 87029,,                              0,                238435,             21834737,                 16461,             21851198,             33429095,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,2014年06月30日,,,,              8936596,,              1328233,,                 93125,,                              0,,                  5718,,              5752017,,                454844,,              8533090,,              2276656,             27380279,,,                433403,,                144690,,,,                297274,,              4224754,,                188311,,                 43481,                288123,,              1254663,              6874699,             34254978,,,,,                558323,,                131438,,              5130125,,              3576175,                295812,,                516747,,              2577704,             12787329,,,                  6856,,                397063,                403919,             13191248,,,,              6268229,              6268229,,,              4588241,                              0,              4588241,,              3185601,                426354,,              6443851,             10055806,,,                 11571,,                131565,,,                143136,             21055412,                  8318,             21063730,             34254978,              0,              0,              0,,                  1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,2014年03月31日,,,,              9145026,,              1473173,,                 74970,,,,                  6508,,              6440929,,                407925,,              8657802,,              3176496,             29382829,,,                525396,,                147360,,                 20030,,                301066,,              4357203,,                189926,,                 58244,                307481,,              1561841,              7468547,             36851376,,,,,              2391867,,                 46564,,              6106737,,              3518908,                436611,,                559454,,                807062,             13867203,,,                 12082,,                440727,                452809,             14320012,,,,              6268229,              6268229,,,              4588241,                              0,              4588241,,              2950047,                426354,,              8066727,             11443128,,,                111458,,                108861,,,                220319,             22519917,                 11447,             22531364,             36851376,,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2376,2013年12月31日,,,,,,              1518811,,                 83610,,,,                 10991,,              5435125,,                476788,,              8365361,,              3161356,             27198448,,,                509384,,                148410,,,,                306284,,              4212396,,                142029,,                 45002,                274939,,              2140848,              7798954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              8146406,                 19662,             34997402,,,,              2605649,,                 37511,,              5423326,,              2884329,                342925,,                562578,,                824553,             12680871,,,                 15734,,                451095,                466829,             13147700,,,,              6265714,              6265714,,,              4587562,              4587562,,              2950047,                426354,,              7341889,             10718290,,,                141108,,                126011,                267119,             21838685,                 11017,             21849702,                              0,,                              0,,                              0,,                              0,,                              0,
2376,2013年09月30日,,,,,,              1224406,,                 58227,,,,                 11709,,              5932958,,                366557,,              8278396,,              3555349,             27747331,,,                374593,,                145440,,,,                321169,,              4277034,,                117921,,                 65514,                271234,,              2097457,              7712624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              8319729,                 42262,             35459955,,,,              2845359,,                 30949,,              6087964,,              3289325,                272147,,                570067,,                718187,             13813998,,,                  7710,,                419677,                427387,             14241385,,,,              6263234,              6263234,,,              4586893,              4586893,,              2950047,                426354,,              6931414,             10307815,,,                 30416,,                 21021,                 51437,             21209379,                  9191,             21218570,                              0,,                              0,,,,,,,
2376,2013年06月30日,,,,,,                871391,,                 63024,,,,                 11390,,              5125440,,                343384,,              7498790,,              2632612,             27726358,,,                421585,,                147120,,,,                197817,,              4371116,,                108419,,                 75436,                299709,,              2103109,              7791467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,             11180327,                 67156,             35517825,,,,              2427997,,                 32701,,              6789087,,              2902246,                233916,,                555533,,              1746602,             14688082,,,                 13438,,                428109,                441547,             15129629,,,,              6262534,              6262534,,,              4586704,              4586704,,              2950047,                426354,,              6035639,              9412040,,,                 86989,,                 29480,                116469,             20377747,                 10449,             20388196,                              0,,                              0,,                              0,,,,,
