證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收票據－關係人淨額,　　　　 應收票據－關係人淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付票據－關係人,　　　　　 應付票據－關係人合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 特別股股本,　　　　　 債券換股權利證書,　　　　　 預收股本,　　　　　 待分配股票股利,　　　　　 特別股轉換普通股權利證書,　　　　　 待註銷股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付票據－關係人,　　　　 應付票據－關係人合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 特別股股本,　　　　 債券換股權利證書,　　　　 預收股本,　　　　 待分配股票股利,　　　　 特別股轉換普通股權利證書,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）,　　　　　 透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）,　　　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益（損失）合計,　　　　 重估增值,　　　　　 重估增值合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　 共同控制下前手權益
1220,2015年09月30日,,,,                320465,,                160235,,                 28223,,                252507,,                 16563,,                378639,,                 16313,,                 39413,,                              0,,                    713,,                596317,,                115382,,                    619,              1925389,,,                 81313,,                900983,,                 36494,,                    147,                 34463,,                 35172,              1088572,              3013961,,,,,                209526,,                    294,,                  3289,,                              0,,                 84857,,                    948,,                 80258,                 24509,                  7779,,                  1900,,                 20160,                433520,,,                 29175,,                160609,,                111135,                300919,                734439,,,,              1770779,                              0,                              0,                              0,                              0,                              0,                              0,              1770779,,                    631,,                 22871,                271398,,                126901,                421170,,                -73030,                              0,              2119550,                159972,              2279522,              3013961,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2015年06月30日,,,,                451568,,                152165,,                 27610,,                225873,,                 17271,,                311329,,                 17224,,                 32871,,                              0,,                    169,,                494140,,                189042,,                  2008,              1921270,,,                 89725,,                896543,,                 36936,,                    139,                 40384,,                 35186,              1098913,              3020183,,,,,                223220,,                  2026,,                  5348,,                              0,,                 85932,,                  4532,,                150998,                 59509,                  8814,,                  2558,,                 19382,                562319,,,                 12349,,                160929,,                111308,                284586,                846905,,,,              1770779,                              0,                              0,                              0,                              0,                              0,                              0,              1770779,,                    537,,                 22871,                271398,,                 69803,                364072,,                -64699,                              0,              2070689,                102589,              2173278,              3020183,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2015年03月31日,,,,                417231,,                156254,,                 43450,,                229134,,                 15167,,                281430,,                 21586,,                 48970,,                              0,,                    166,,                603956,,                 77820,,                 19554,              1914718,,,                 84948,,                896314,,                 28565,,                    167,                 39052,,                 51602,              1100648,              3015366,,,,,                238042,,                  2962,,                  1345,,                  3597,,                 83535,,                    614,,                 50126,                 59509,                 12673,,                  3019,,                 48395,                503817,,,                 13051,,                160856,,                116449,                290356,                794173,,,,              1770779,,,,,,,              1770779,,                    537,,                 17524,                271398,,                 97476,                386398,,                -53809,                              0,              2103905,                117288,              2221193,              3015366,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2014年12月31日,,,,                411893,,                157158,,                 48570,,                327398,,                 33178,,                406221,,                 20432,,                 44055,,                              0,,                     84,,                554808,,                175399,,                 10887,              2190083,,,                 70928,,                896445,,                 28809,,                    194,                 36346,,                 42186,              1074908,              3264991,,,,,                444488,,                              0,,                  2395,,                              0,,                109751,,                 17194,,                 61581,                 60054,                 11039,,                  3668,,                 47838,                758008,,,                 13750,,                160870,,                116186,                290806,              1048814,,,,              1770779,                              0,                              0,                              0,                              0,                              0,                              0,              1770779,,                    537,,                 17524,                271398,,                 99049,                387971,,                -62686,                              0,              2096601,                119576,              2216177,              3264991,              0,              0,                411893,                     84,              3264991,,,,                444488,,                              0,,                  2395,,                              0,,                109751,,                 17194,,                 61581,                 60054,                 11039,,                  3668,,                 47838,                758008,,,                 13750,,                160870,,                116186,                290806,              1048814,,,,              1770779,                              0,                              0,                              0,                              0,                              0,                              0,              1770779,,                    537,,                 17524,                271398,,                 99049,                387971,,                -62686,                              0,              2096601,                119576,              2216177,              0,,,,,,,,,,,,,,,,,
1220,2014年09月30日,,,,                323501,,                164028,,                 45069,,                275621,,                 18551,,                405494,,                 16224,,                 54303,,                      1,,                     79,,                550290,,                106619,,                  2549,              1962329,,,                 71240,,                905067,,                 29085,,                    211,                 35963,,                 37216,              1078782,              3041111,,,,,                248166,,                     93,,                  2737,,                  3972,,                 99150,,                  2918,,                 49485,                 59509,                 10690,,                  2224,,                 48530,                527474,,,                 14445,,                161909,,                112099,                288453,                815927,,,,              1770779,                              0,                              0,                              0,                              0,                              0,                              0,              1770779,,                    537,,                 17524,                271398,,                106970,                395892,,                -65452,                              0,              2101756,                123428,              2225184,              3041111,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2014年06月30日,,,,                242146,,                210074,,                 59071,,                239589,,                 17169,,                360317,,                 30809,,                 51710,,                      1,,                     55,,                617648,,                 75855,,                 17029,              1921473,,,                 66255,,                912558,,                 29062,,                    235,                 34159,,                 44487,              1086756,              3008229,,,,,                171719,,                    393,,                  7166,,                  3142,,                 73623,,                  1740,,                120439,                 59509,                  7246,,                  2721,,                 47891,                495589,,,                 15137,,                161654,,                112377,                289168,                784757,,,,              1770779,                              0,                              0,                              0,                              0,                              0,                              0,              1770779,,                    537,,                 17524,                271398,,                 89832,                378754,,                -56394,                              0,              2093676,                129796,              2223472,              3008229,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2014年03月31日,,,,                495389,,                203063,,                 65854,,                194207,,                 15567,,                279458,,                 27290,,                 97781,,                              0,,                     16,,                543003,,                 95530,,                 20277,              2037435,,,                 66774,,                895757,,                 29293,,                    263,                 32183,,                 53904,              1078174,              3115609,,,,,                333320,,                              0,,                  3976,,                  2481,,                 46004,,                    530,,                 37780,                 59509,                  4606,,                  3428,,                 54340,                545974,,,                 15826,,                161346,,                112394,                289566,                835540,,,,              1770779,,,,,,,              1770779,,                    537,,                 11797,                271398,,                138389,                421584,,                -49178,                              0,              2143722,                136347,              2280069,              3115609,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,2013年12月31日,,,,,,                    200,,                 66291,,                272924,,                 21217,,                411809,,                 23027,,                 96309,,                      1,,,,                521420,,                125922,,                    578,              2011132,,,                 64697,,                910998,,                 29541,,                    283,                 34415,,                 38786,              1078720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                471418,                     16,              3089852,,,,                290304,,                    532,,                  4484,,                              0,,                 77104,,                  1075,,                 52852,                 55045,                  2694,,                  4070,,                 52375,                540535,,,                 16512,,                161261,,                116732,                294505,                835040,,,,              1770779,                              0,                              0,                              0,                              0,                              0,                              0,              1770779,,                    537,,                 11797,                271398,,                117236,                400431,,                -50744,                              0,              2121003,                133809,              2254812,              0,,,,,,,,,,,,,,,,,
1220,2013年09月30日,,,,,,                    156,,                 46732,,                277049,,                 20692,,                410900,,                 23071,,                 72522,,                              0,,,,                511469,,                 92790,,                    824,              1790317,,,                 67709,,                919732,,                 29979,,                    307,                 32437,,                 36915,              1087079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                334103,                      9,              2877396,,,,                106985,,                    907,,                  3065,,                              0,,                 94820,,                  3439,,                 53535,                 40045,                  4072,,                  1748,,                 16036,                324652,,,                  8427,,                161243,,                121871,                291541,                616193,,,,              1770779,,,,,,,              1770779,,                    537,,                 11797,                271398,,                120838,                404033,,                -67651,                              0,              2107698,                153505,              2261203,              0,,,,,,,,,,,,,,,,,
1220,2013年06月30日,,,,,,                    336,,                 34603,,                296393,,                 26176,,                375054,,                 15511,,                 71752,,                              0,,,,                624897,,                259366,,                  1219,              1833877,,,                 62101,,                915746,,                 30225,,                    336,                 36017,,                 34096,              1078521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,                128565,                      5,              2912398,,,,                 98922,,                              0,,                  3885,,                  2929,,                109846,,                    237,,                127514,                 40045,                  1894,,                  2826,,                 40774,                428872,,,                  1061,,                161086,,                121399,                283546,                712418,,,,              1770779,,,,,,,              1770779,,                    537,,                 11797,                271398,,                 87253,                370448,,                -85355,                              0,              2056409,                143571,              2199980,              0,,,,,,,,,,,,,,,,,
