證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 庫存現金,　　　　 銀行存款,　　　　 約當現金,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 應收退稅款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨－製造業,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 在途原物料,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 機器設備淨額,　　　　　 機器設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 專利權淨額,　　　　　 專利權,　　　　　 專利權淨額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 銀行借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 應付設備款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 銷貨退回及折讓之短期負債準備,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他金融負債－流動,　　　　　 預收款項,　　　　　　 預收貨款,　　　　　　 預收收入／遞延收入,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期遞延收入,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－普通股股票溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 原始認列時指定為透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　　 其他流動負債－其他,　　　　　 其他非流動負債－其他,　　　　　 待分配股票股利,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 應付租賃款－流動,　　　　　 特別盈餘公積,　　　　 現金及約當現金合計,　　　　 租賃資產淨額,　　　　　 租賃資產淨額,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 銀行借款,　　　　 短期借款合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 應付設備款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 銷貨退回及折讓之短期負債準備,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他金融負債－流動,　　　　 預收款項,　　　　　 預收貨款,　　　　　 預收收入／遞延收入,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 應付租賃款－流動,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期遞延收入,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－實際取得或處分子公司股權價格與帳面價值差額,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　 待註銷股本股數,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他流動負債－其他,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 其他非流動負債－其他,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　　 土地成本,　　　　　 其他非流動資產－其他,　　　　 遞延所得稅負債－所得稅,　　　　 資本公積－取得或處分子公司股權價格與帳面價值差額,　　　　 其他應收款－關係人－其他,　　　 應付票據,　　　　 應付票據,　　　　 應付票據合計,　　　 其他應付款項－關係人,　　　 庫藏股票
3450,2015年09月30日,,,,                    794,              1471415,                112500,              1584709,,                 98610,,                              0,                              0,,              1248701,                  8351,              1240350,,                  7711,                  7711,,                 53031,                139890,                192921,,                              0,,                     34,,,                 58469,                163914,                189003,                              0,                411386,                411386,,                 39688,                 39688,,                 52075,              3627484,,,                 49283,                 49283,,,                283212,,                396854,,              1152425,,                    876,,                 11204,,                 28370,,                 29006,              1901947,,,                     14,                     14,,                  4557,                  4557,                  4571,                 12078,,                310107,                  7989,                 56165,,                 24435,                398696,              2366575,              5994059,,,,,                              0,                              0,,                806195,                806195,,                 81434,                613431,                694865,                171523,,                  8229,                  8229,,                 11023,,                 77478,                 62031,                139509,,                 21133,                 21133,                171665,              1852477,,,                 15850,                 15850,,                129595,,                 94062,                 20125,                  2172,                116359,                261804,              2114281,,,,                919706,                919706,,,                322130,                322130,                  6420,                328550,,                320572,,              1231286,              1551858,,,                 60027,                 60027,              2860141,              1019637,              3879778,              5994059,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,2015年06月30日,,,,                    697,              1443555,                293360,              1737612,,,,                              0,                              0,,              1228855,                  6239,              1222616,,                  8067,                  8067,,                 28533,                 12397,                 40930,,,,,,,                 62787,                136381,                244712,                              0,                443880,                443880,,                 32659,                 32659,,                 39605,              3525369,,,                 46010,                 46010,,,                283212,,                399757,,              1214576,,                  1000,,                 12248,,                 28735,,                 28977,              1968505,,,                    206,                    206,,                  6353,                  6353,                  6559,                  6892,,,,                 55202,,                227201,                282403,              2310369,              5835738,,,,,,                              0,,                951721,                951721,,,                916263,                916263,                145850,,,                  7860,,,,,,,,,                 20168,                108094,              2129788,,,                 20168,                 20168,,                110131,,                109570,                 19873,,                131598,                261897,              2391685,,,,                766422,                919706,,,,,,                328550,,                320572,,                903165,              1223737,,,,                 41014,              2513007,                931046,              3444053,              5835738,              0,              0,,                              0,                              0,                 38943,                    662,                 87926,                  2155,                153284,,                 41014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,2015年03月31日,,,,,,,              1391379,,,,,                    194,,,,              1107508,,,                  8399,,,,                 38960,,,,,,,,,,,,                392801,,,                 25851,,                 32297,              2997389,,,,                 48616,,,,,,,,,,,,,,,,              2028663,,,,,,,,                  7848,                  7095,,,,                 56067,,                192358,                248425,              2340647,              5338036,,,,,,                              0,,,                777253,,,,                532560,                198249,,,                  7453,,,,,,,,,                 20379,                104611,              1620126,,,,                 25474,,                100513,,                125078,                 19455,,                146695,                272682,              1892808,,,,                766422,                766422,,,,,,                328550,,                245657,,              1213715,              1459372,,,,                 47600,              2601944,                843284,              3445228,              5338036,              0,              0,,,                              0,                 31501,                    796,                 84232,                  2162,,,                 47600,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,2014年12月31日,,,,                    577,              1180024,                              0,              1180601,,                              0,,                      8,                      8,,              1048672,                  6797,              1041875,,                  9199,                  9199,,                 34595,                 10264,                 44859,,                              0,,                              0,,,                 91707,                123713,                215420,                 13744,                444584,                444584,,                 30134,                 30134,,                 47804,              2799064,,,                 47778,                 47778,,,                283212,,                420197,,              1234980,,                  1308,,                  9578,,                 31338,,                 23803,              2004416,,,                    607,                    607,,                  9261,                  9261,                  9868,                  8631,,                185957,                  7239,                 57252,,                 58339,                308787,              2379480,              5178544,,,,,                              0,                              0,,                825065,                825065,,                 92258,                512699,                604957,                138826,,                  7094,                  7094,,                  2323,,                 19175,                 52296,                 71471,,                 20548,                 20548,                 94342,              1670284,,,                 56141,                 56141,,                 95681,,                108826,                 19491,                  2172,                130489,                282311,              1952595,,,,                766422,                766422,,,                322130,                322130,                  6420,                328550,,                245657,,              1024945,              1270602,,,                 55715,                 55715,              2421289,                804660,              3225949,              5178544,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,2014年09月30日,,,,                    829,              1110204,                182520,              1293553,,                              0,,                     84,                     84,,              1150710,                  4137,              1146573,,                  7515,                  7515,,                 22091,                 19215,                 41306,,                  9552,,                              0,,,                 36964,                147631,                223680,                              0,                408275,                408275,,                 43891,                 43891,,                 51110,              3001859,,,                 43468,                 43468,,,                283212,,                415836,,              1032134,,                  1407,,                 10276,,                 31911,,                 23389,              1798165,,,                    773,                    773,,                 11021,                 11021,                 11794,                  5346,,                289463,                  6771,                 55056,,                 55852,                407142,              2265915,              5267774,,,,,                 24315,                 24315,,                815140,                815140,,                 78060,                459365,                537425,                 86004,,                  6730,                  6730,,                  2330,,                 19759,                 52296,                 72055,,                188604,                188604,                262989,              1732603,,,                350148,                350148,,                 83909,,                121899,                 15007,                    795,                137701,                571758,              2304361,,,,                766422,                766422,,,                322130,                322130,                  6420,                328550,,                245657,,                845309,              1090966,,,                 29830,                 29830,              2215768,                747645,              2963413,              5267774,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,2014年06月30日,,,,                    770,              1227320,                179677,              1407767,,,,                              0,                              0,,              1216102,                  4390,              1211712,,                  7454,                  7454,,                  1010,                  7112,                  8122,,,,,,,                 35947,                126501,                268390,                              0,                430838,                430838,,                 64009,                 64009,,                 43591,              3203578,,,                 37071,                 37071,,,                283212,,                419317,,                995485,,                    569,,                  8781,,                 31507,,                 18620,              1757491,,,                    946,                    946,,                 12431,                 12431,                 13377,                  6002,,,,                 54371,,                270741,                325112,              2139053,              5342631,,,,,,                 42049,,                969900,                969900,,,                860502,                860502,                 83184,,,                  6404,,,,,,,,,                185163,                262694,              2224733,,,                275264,                275264,,                 65416,,                134973,                 15009,,                150764,                491444,              2716177,,,,                766422,                766422,,,,,,                338286,,                245657,,                641925,                887582,,,,                 19850,              2012140,                614314,              2626454,              5342631,              0,              0,,                 30085,                 30085,                 43468,                    123,                 77531,                    782,                              0,,                 19850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,2014年03月31日,,,,,,,                993790,,,,,                              0,,,,              1089167,,,                  8839,,,,                 35267,,,,,,,,,,,,                388128,,,                 50283,,                 80288,              2745911,,,,                 33807,,,,,,,,,,,,,,,,              1826864,,,,,,,,                 15577,                  5379,,,,                 55808,,                147220,                203028,              2084655,              4830566,,,,,,                 28814,,,                808116,,,,                433884,                118879,,,                  6057,,,,,,,,,                 30470,                 92027,              1487777,,,,                402329,,                 52813,,                148047,                 15009,,                163852,                618994,              2106771,,,,                766422,                766422,,,,,,                338286,,                198806,,                810909,              1035622,,,,                 30578,              2170908,                552887,              2723795,              4830566,              0,              0,,,                100149,                 79962,                    326,                 61542,                    796,,,                 30578,                     15,                 25907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3450,2013年12月31日,,,,                    592,                900102,                187186,,,,,                              0,                              0,,                971560,                  2765,                968795,,                  8961,                  8961,,                 28884,                 15945,                 44829,,,,,,,                 43813,                 97831,                195863,                 14366,                351873,                351873,,                 61220,                 61220,,                 46176,              2819792,,,                 31107,                 31107,,,                283212,,                436980,,              1170443,,                    761,,                 10011,,                 25638,,                 13740,              1940805,,,                  1316,                  1316,,                  8523,                  8523,                  9839,                  7459,,                 36183,                  6912,                 55409,,                 61854,                160358,              2149568,,,,,,,,                810595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                250058,,,,,,,,,,              1087880,,                     20,              4969360,,,,                  8590,                  8590,,                810595,,                 16024,                391265,                407289,                 73520,,                  5749,                  5749,,                  2123,,                  6948,                 52296,                 59244,,                223666,                223666,                     37,                285070,              1590813,,,                645376,                645376,,                 43522,,                161121,                 15023,                    787,                176931,                865829,              2456642,,,,                766422,                766422,,,                322130,                322130,                  6420,                  9736,                338286,,                198806,                 25907,,                653296,                878009,,,                 26024,                 26024,              2008741,                503977,              2512718,              0,,,,,,,,,,,,,,,,,,,,,,
3450,2013年09月30日,,,,                    589,                999165,                              0,,,,,                              0,                              0,,              1033354,                  4244,              1029110,,                  4042,                  4042,,                 19462,                 20645,                 40107,,                              0,,,,,                 57017,                 84727,                183629,                              0,                325373,                325373,,                 78820,                 78820,,                 41716,              2531350,,,                 27832,                 27832,,,                283212,,                436820,,              1256008,,                    862,,                 11085,,                 24935,,                 14573,              2027523,,,                  1491,                  1491,,                  4055,                  4055,                  5546,                 12394,,                 55630,                  6652,                 54834,,                 66900,                184016,              2257311,,,,,,,,                725559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,                              0,,,,,,,,,,                999754,,                     28,              4788661,,,,                  7000,                  7000,,                725559,,                 40423,                341804,                382227,                 48101,,                  5459,                  5459,,                  1979,,                 10736,                 61462,                 72198,,                305433,                305433,                     58,                379668,              1548014,,,                720160,                720160,,                 36350,,                174195,                  9713,                    776,                184684,                941194,              2489208,,,,                766422,                766422,,,                322130,                322130,                  6420,                  1777,                330327,,                198806,                 25907,,                515797,                740510,,,                 21253,                 15510,              1852769,                446684,              2299453,              0,,                 12428,                 12428,,                 -5743,,,,,,,,,,,,,,,,,
3450,2013年06月30日,,,,                    512,                857037,                              0,,,,,,,,                870970,                 23100,                847870,,                  4360,                  4360,,                  7451,                  4884,                 12335,,,,,,,                 40646,                100198,                184569,                              0,                325413,                325413,,                 81413,                 81413,,                  1471,              2197563,,,                 23407,                 23407,,,                283212,,                446953,,              1350527,,                    961,,                 11596,,                 25886,,                 14563,              2133735,,,                  1700,                  1700,,                  2787,                  2787,                  4487,                 13518,,,,                 55678,,                133222,                188900,              2364047,,,,,,,,                633775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                 50006,                 50006,,                  1471,,,,,,,,                857549,,                     37,              4561610,,,,,                 19461,,                633775,,,                500378,                500378,                 40922,,,                  5137,,,,,,,,,                281245,                     79,                343584,              1543257,,,                783750,                783750,,                 28789,,                126565,                  9528,,                136759,                949298,              2492555,,,,                766422,                766422,,,,,,,                328550,,                198806,                 25907,,                354877,                579590,,,,                  7094,              1681656,                387399,              2069055,              0,,                 17146,                 17146,,,                 62260,,                              0,                              0,                    666,,                  7094,,,,,,,,,,
