證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 避險之衍生金融資產－非流動,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 避險之衍生金融負債－流動,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 避險之衍生金融負債－非流動,　　　　 應付公司債,　　　　　 應付公司債合計,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 長期應付票據及款項,　　　　　　 應付租賃款－非流動,　　　　　　 長期應付票據及款項合計,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 預收股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 避險之衍生金融資產－流動,　　　 生物資產－非流動,　　　　 生物資產－非流動合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　　 待註銷股本,　　　 共同控制下前手權益,　　　　　 資本公積－認股權,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積－其他,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 避險之衍生金融負債－流動,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 長期應付票據及款項,　　　　　 應付租賃款－非流動,　　　　　 長期應付票據及款項合計,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 避險之衍生金融負債－非流動
2618,2015年09月30日,,,,             36199200,,                  3416,,              1327753,,                500481,,              7520141,,              2292247,,              7731133,,              2117432,             57691803,,,              2521115,                 10858,,                642642,,            114030196,,              2292647,              5398009,,              7378606,            132274073,            189965876,,,,,              1287770,              1943339,,              3333153,,                103891,,             12596534,                231958,,,             12445710,,             16956555,              7237822,             36640087,             56136732,,                571050,,             11000000,,             49223286,,                150401,,,              5589830,              5589830,              3032720,              8621541,             17244091,             78188828,            134325560,,,,             38589450,                              0,             38589450,,              6237027,,              6726319,,             -1479947,             50072849,              5567467,             55640316,            189965876,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,2015年06月30日,,,,             32382010,,                  3061,,              1799988,,                532478,,              7543855,,              2740258,,              7770756,,              1922059,             54736670,,,              2822878,                 27290,,                596292,,            116159889,,              2351489,              5140694,,              5298312,            132396844,            187133514,,,,,              1079743,              1004976,,              3123364,,                149477,,             11086417,                238018,,,             13422115,,             16454747,              7773979,             37650841,             54332836,,,,             14550000,,             46837726,,                152173,,,              5869796,              5869796,              3127266,              7677494,             16674556,             78214455,            132547291,,,,             38589450,                              0,             38589450,,              6237027,,              4404510,,                -56513,             49174474,              5411749,             54586223,            187133514,              0,              0,              0,                 42205,,                              0,,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,2015年03月31日,,,,             40004593,,                  3057,,              1730571,,                582962,,              8587986,,              2041910,,              7588162,,              2094881,             62634122,,,              2975926,                    751,,                658448,,            106212299,,              2385620,              5326524,,              5108717,            122668285,            185302407,,,,,              1229933,              1940195,,              3017798,,                170157,,             11961066,                339753,,,             11396909,,             15994846,              6512784,             33904539,             52577579,,                 59026,,             14550000,,             48962154,,                153943,,,              6385531,              6385531,              3235444,              7229714,             16850689,             80575812,            133153391,,,,             38589450,                              0,             38589450,,              6247874,,              2751773,,               -838019,             46751078,              5397938,             52149016,            185302407,              0,              0,              0,                              0,,,,,,                 14138,,                              0,,                              0,                              0,              6247874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,2014年12月31日,,,,             27144950,,                  3052,,              1104523,,                420018,,              8283584,,              2872770,,              7687222,,              2579775,             50095894,,,              2963385,                              0,,                630177,,             98752051,,              2407217,              5333655,,              7377821,            117464306,            167560200,,,,,                949826,              2332383,,              2967792,,                203147,,             11948648,                255665,,,             10540338,,             16234074,              5920910,             32695322,             51352783,,                              0,,             16100000,,             46294783,,                 66849,,,              3954168,              3954168,              3271521,              6843095,             14068784,             76530416,            127883199,,,,             32589450,                186567,             32776017,,              2047602,,                739412,,             -1171147,             34391884,              5285117,             39677001,            167560200,              0,     10974502,              0,                              0,,                              0,,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,              2047602,             27144950,            167560200,,,,                949826,              2332383,,              2967792,,                203147,,             11948648,                255665,,,             10540338,,             16234074,              5920910,             32695322,             51352783,,,             16100000,,             46294783,,                 66849,,,              3954168,              3954168,              3271521,              6843095,             14068784,             76530416,            127883199,,,,             32589450,                186567,             32776017,,              2047602,,                739412,,             -1171147,             34391884,              5285117,             39677001,
2618,2014年09月30日,,,,             25156515,,                  3198,,              1361785,,                374293,,              8510463,,              2698362,,              7928150,,              2265726,             48298492,,,              2952640,                              0,,                631772,,            100228077,,              2405594,              5050261,,              6217548,            117485892,            165784384,,,,,                949704,                321189,,              3546086,,                175062,,             10132424,                284041,,,              9794096,,             15716743,              5376695,             30887534,             46296040,,                 17796,,             16100000,,             47061122,,                120972,,,              4305865,              4305865,              3082778,              7169243,             14557886,             77857776,            124153816,,,,             32589450,                              0,             32589450,,              1723602,,              1684020,,                449400,             36446472,              5184096,             41630568,            165784384,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,2014年06月30日,,,,             21936441,,                  1095,,              1405978,,                561819,,              8945505,,                686256,,              8243522,,              2158631,             44069719,,,              3000313,                              0,,                895188,,            100629594,,              2423215,              5149187,,              4917097,            117014594,            161084313,,,,,              1223732,                              0,,              3072754,,                187501,,             10596226,                217730,,,             10826937,,             11550541,              5081359,             27458837,             42756780,,,,             19650000,,             43920835,,                180372,,,              4661251,              4661251,              3189364,              6884361,             14734976,             78486183,            121242963,,,,             32589450,                              0,             32589450,,              1723602,,              1485889,,               -473961,             35324980,              4516370,             39841350,            161084313,              0,              0,              0,                130472,,                              0,,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,2014年03月31日,,,,             23732281,,                  1094,,              1689061,,                490456,,              9896832,,                355409,,              7932703,,              1454382,             45566482,,,              3057312,                              0,,                913378,,             86482606,,              2477475,              5200797,,              7455599,            105587167,            151153649,,,,,              1303729,                              0,,              2121713,,                216885,,             10507657,                318779,,,              9223325,,             10976806,              4920126,             25120257,             39589020,,                              0,,             19650000,,             37435519,,                115779,,,              5046317,              5046317,              3295272,              6484265,             14825854,             72027152,            111616172,,,,             32589450,                              0,             32589450,,              1723602,,              1365409,,               -697996,             34980465,              4557012,             39537477,            151153649,              0,              0,              0,                 14264,,,,,,                              0,,                              0,,                              0,                              0,              1723602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2618,2013年12月31日,,,,,,                  1192,,              2059740,,                345472,,              8598641,,                358272,,              8593070,,              1239005,             46119654,,,              3134113,,,                793704,,             88226342,,              2431864,              5274476,,              6742781,            106603280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 26090,,,,,,,,,,,,,             24898172,            152722934,,,,              1328774,                              0,,              2630022,,                229583,,             10800328,                243859,,,              9264602,,              9334554,              4908506,             23507662,             38740228,,,             21200000,,             37599071,,                116622,,,              5385848,              5385848,              3373119,              6050685,             14809652,             73725345,            112465573,,,,             32589450,                              0,             32589450,,              1723602,,              2275240,,               -750259,             35838033,              4419328,             40257361,                              0
2618,2013年09月30日,,,,,,                  1340,,              2390882,,                458143,,              9080127,,                395053,,              9780798,,              1345232,             46599176,,,              3053757,,,                797802,,             89450810,,              1990823,              5531426,,              6886216,            107710834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                 14771,,,,,,,,,,,,,             23132830,            154310010,,,,              1208892,                    455,,              2590214,,                741032,,              9831001,                243334,,,              8991554,,              9967865,              4969337,             23928756,             38543684,,,             21200000,,             38826503,,                338982,,,              6175946,              6175946,              3061206,              5823846,             15060998,             75426483,            113970167,,,,             32589450,,             32589450,,              1723602,,              2570563,,               -845252,             36038363,              4301480,             40339843,                              0
2618,2013年06月30日,,,,,,                    139,,              2333320,,                493330,,             10209979,,                353557,,              9866724,,              1288743,             48326118,,,              3127216,,,                799339,,             91499569,,              2354488,              5529361,,              5664825,            108974798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                              0,,,,,,,,,,,,,             23780326,            157300916,,,,              1558734,                 76224,,              4173748,,              1203168,,              9773700,                253315,,,              9803704,,             10560746,              4558209,             24922659,             41961548,,,             21200000,,             39963728,,                325698,,,              6603343,              6603343,              3150982,              5877890,             15632215,             77121641,            119083189,,,,             32589450,,             32589450,,              1723602,,                799761,,             -1044180,             34068633,              4149094,             38217727,
