證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 應收建造合約款,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 土地淨額,　　　　　 土地淨額,　　　　 房屋及建築淨額,　　　　　 房屋及建築淨額,　　　　 其他設備淨額,　　　　　 其他設備淨額,　　　　 應付建造合約款,　　　　　　 資本公積－普通股股票溢價,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　 存貨（建設業適用）,　　　　　 存貨（建設業適用）淨額,　　　　　 資本公積－其他,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付建造合約款,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 其他應付款－其他,　　　　　 資本公積－普通股股票溢價,　　　　 資本公積－其他,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 備供出售金融資產－非流動,　　　　 以成本衡量之金融資產－非流動
2527,2015年09月30日,,,,                122718,,                 30694,,                  1570,,                  2289,                  2289,,                  6439,                 89488,,                  4243,,              9242047,,                166899,                166899,,                  1503,              9667890,,,              3021267,,                306887,,                 18089,,                813164,,              1324251,                 25395,,,                128646,                128646,              5637699,             15305589,,,,,              1274000,,              1812141,,                  3641,,                670602,,                117793,                117793,                 75758,,,                              0,                              0,                 16438,                 16438,              3970373,,,              3608517,,                    501,,                 25619,                 25619,              3634637,              7605010,,,,              2703060,              2703060,,,                148999,                114840,                263839,,                593019,                333878,,              1555645,              2482542,,              2258365,                455812,              7251994,                448585,              7700579,             15305589,              0,              0,      8547695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,2015年06月30日,,,,                875618,,                 20763,,                    233,,                  8054,                  8054,,                  4068,                 22558,,                  2493,,              8809071,,                134839,                134839,,                  2964,              9880661,,,              3577591,,                306887,,                 18040,,                817128,,              1333143,                 25515,,,                126328,                126328,              6204632,             16085293,,,,,              1127000,,              1947309,,                 13344,,                986702,,                544128,                544128,                123264,,,                              0,                              0,                 11720,                 11720,              4760757,,,              3205819,,                    312,,                 25461,                 25461,              3231592,              7992349,,,,              2703060,              2703060,,,                148999,                102018,                251017,,                593019,                333878,,              1401061,              2327958,,              2813763,                455812,              7639986,                452958,              8092944,             16085293,              0,              0,      8547695,,                205648,,                602083,,                  9397,                  7290,                148999,,                  1521,,              2812242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,2015年03月31日,,,,                104289,,                 20729,,                  5320,,,                  6198,,                  4094,                 22558,,                  3085,,              9984162,,,                260535,,                    702,             10411672,,,              3616105,,                306887,,                 21257,,                821761,,              1342034,                 25634,,,,                165888,              6299566,             16711238,,,,,              1217000,,              2475244,,                 10738,,                883955,,                 98161,                 98161,                103496,,,                365000,                365000,                 15224,                380224,              5303960,,,              3208205,,                    379,,                 26005,                 26005,              3234589,              8538549,,,,              2703060,              2703060,,,                148999,                102018,                251017,,                504521,                356957,,              1504364,              2365842,,              2852606,                455812,              7716713,                455976,              8172689,             16711238,              0,              0,      8547695,,,,,,,                135142,                148999,,                  1850,,              2850756,,              9984162,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,2014年12月31日,,,,                109328,,                 20699,,                    381,,                  1173,                  1173,,                 12252,                 22496,,                  4701,,              9217814,,                223639,                223639,,                    712,              9613195,,,              3260914,,                306887,,                 20546,,                826449,,              1350925,                 25755,,,                162044,                162044,              5953520,             15566715,,,,,              1208000,,              2205819,,                  7917,,                798120,,                111033,                111033,                 91858,,,                135000,                135000,                  5572,                140572,              4563319,,,              3207056,,                    492,,                 26410,                 26410,              3233958,              7797277,,,,              2703060,              2703060,,,                148999,                102018,                251017,,                504521,                356957,,              1453956,              2315434,,              2497968,                455812,              7311667,                457771,              7769438,             15566715,              0,              0,      8547695,,                205648,,                610483,,                 10318,                              0,                148999,,                  2403,,              2495565,,              9217814,                              0,                109328,             15566715,,,,              1208000,,              2205819,,                  7917,,                798120,                              0,,                111033,                 91858,,,                135000,                135000,                  5572,                140572,              4563319,,,              3207056,,                    492,,                 26410,                 26410,              3233958,              7797277,,,,              2703060,              2703060,,,                148999,                102018,                251017,,                504521,                356957,,              1453956,              2315434,,              2497968,                455812,              7311667,                457771,              7769438,,,,,,,,,
2527,2014年09月30日,,,,                145315,,                 20672,,                  1515,,                  9339,                  9339,,                 12003,                 56072,,                  5022,,              8725818,,                217670,                217670,,                    774,              9194200,,,              3029826,,                306887,,                 18892,,                830330,,              1364089,                 52558,,,                163456,                163456,              5766038,             14960238,,,,,              1338000,,              1557819,,                  7402,,                860511,,                 94685,                 94685,                105989,,,                135000,                135000,                 18525,                153525,              4117931,,,              3208823,,                    178,,                 26129,                 26129,              3235130,              7353061,,,,              2703060,              2703060,,,                148999,                102018,                251017,,                504521,                356957,,              1514878,              2376356,,              2265345,                455812,              7139966,                467211,              7607177,             14960238,              0,              0,      8547695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,2014年06月30日,,,,                150879,,                 20644,,                    421,,                 10715,                 10715,,                 11336,                 51942,,                  6242,,             11509959,,                380373,                380373,,                    758,             12143269,,,              3325105,,                306887,,                 22627,,                829050,,              1372509,                     57,,,                167780,                167780,              6024015,             18167284,,,,,              1266000,,              3442625,,                  7901,,                844264,,                288266,                288266,                 33650,,,              2000000,              2000000,                 12605,              2012605,              7895311,,,              3343028,,                     71,,                 25078,                 25078,              3368177,             11263488,,,,              2703060,              2703060,,,                148999,                 95180,                244179,,                504521,                356957,,                522404,              1383882,,              2560104,                455812,              6435413,                468383,              6903796,             18167284,              0,              0,      8547695,,                205648,,                617742,,                  5660,                              0,                148999,,                    348,,              2559756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,2014年03月31日,,,,                 80823,,                 20616,,                    348,,,                  7902,,                 29891,                 52817,,                  6531,,             10931374,,,                347904,,                  1992,             11480198,,,              2892884,,                306887,,                 22008,,                833778,,              1380930,                     57,,,,                200410,              5636954,             17117152,,,,,              1148000,,              3220305,,                 10044,,                733294,,                 78914,                 78914,                 32389,,,              1880000,              1880000,                 16651,              1896651,              7135335,,,              3207498,,                    173,,                 25729,                 25729,              3233400,             10368735,,,,              2703060,              2703060,,,                148999,                 95180,                244179,,                471560,                400123,,                785827,              1657510,,              2128381,                455812,              6277318,                471099,              6748417,             17117152,              0,              0,      8547695,,,,,,,                 15738,                148999,,                    846,,              2127535,,             10931374,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527,2013年12月31日,,,,,,                 20587,,                    253,,,                 10924,,                 30764,                170109,,                  6204,,             10222746,,,                323848,,                  1791,             10875334,,,              2370796,,                306887,,                 21407,,                834409,,              1389351,                      7,,,,                202579,              5125436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8547695,,,,,,,,,,,,,,,,                 88108,             16000770,,,,              1152000,,              2624161,,                 25022,,                752511,                 12350,,                 63929,                 26771,,,              1880000,              1880000,                 14286,              1894286,              6551030,,,              3207063,,                    107,,                 25959,                 25959,              3233129,              9784159,,,,              2703060,              2703060,,,                148999,                 95180,                244179,,                471560,                400123,,                775020,              1646703,,              1605970,                455812,              5744100,                472511,              6216611,,,,,,,,,
2527,2013年09月30日,,,,,,                 20557,,                    564,,                  9444,                  9444,,                  6835,                123166,,                  6889,,             10499940,,                619488,                619488,,                    817,             11587675,,,              2439266,,                306887,,                 20274,,                904309,,              1164800,                    124,,,                235688,                235688,              5071348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8547695,,,,,,,,,,,,,,,,                299975,             16659023,,,,              1251000,,              3345622,,                  7165,,              1130609,                  1178,,                 49862,                 39819,,,                              0,                              0,                108988,                108988,              5934243,,,              4838735,,                              0,,                 26584,                 26584,              4865319,             10799562,,,,              2703060,              2703060,,,                148999,                 95180,                244179,,                471560,                400123,,                347570,              1219253,,              1674079,                455812,              5384759,                474702,              5859461,                 49862,,,,,,,,
2527,2013年06月30日,,,,,,                 17528,,                    536,,,                  8304,,                 10650,                              0,,                  7746,,              9398072,,                310333,                310333,,                    820,              9814265,,,              2152546,,                306887,,                 19162,,                908867,,              1171414,                    121,,,                234611,                234611,              4793608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      8547695,,                205648,,                700109,,                  3110,,,,,,,,,,                 60276,             14607873,,,,              1256000,,              2555869,,                 20606,,                680082,                              0,,                239664,                 14692,,,                              0,                              0,                 17673,                 17673,              4784586,,,              4247940,,                              0,,                 26353,                 26353,              4274293,              9058879,,,,              2703060,              2703060,,,                148999,                 89624,                238623,,                471560,                400123,,                327143,              1198826,,              1387654,                455812,              5072351,                476643,              5548994,                239664,                148999,                              0,,                    457,,              1387197,,
