證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 避險之衍生金融資產－流動,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 累計減損－以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資,　　　　 累計減損－採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 避險之衍生金融負債－流動,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期借款,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）,　　　　　　 現金流量避險中屬有效避險部分之避險工具利益（損失）合計,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 長期借款,　　　　　 長期借款合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期借款,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 其他權益－其他,　　　　　 其他權益－員工未賺得酬勞,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　　 預收股本,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）
3596,2015年09月30日,,,,              1247933,,                  6332,                 13091,,              5113867,,                150821,,,              3679348,              3679348,,                277671,,                 47901,             10536964,,,                 81698,                              0,                 81698,,                361757,                              0,                361757,,              1783199,,                 89133,                 58176,,                 48186,              2422149,             12959113,,,,,                              0,,                 60854,                 14705,,              3655677,,                830376,                 89552,,                230618,,,                              0,                              0,                136965,                136965,              5018747,,,                 30163,,                 61908,                  6810,                 68718,                 98881,              5117628,,,,              1891438,              1891438,,              2650850,,              2916012,,,                 29496,,                 -4140,,                 -9679,                 -9679,                 15677,                              0,              7473977,                367508,              7841485,             12959113,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,2015年06月30日,,,,              1895179,,                 21446,                 11307,,              4367286,,                214005,,,              3122743,              3122743,,                196273,,                 34143,              9862382,,,                 63860,                              0,                 63860,,                343254,                              0,                343254,,              1757168,,                 94831,                 58092,,                 46586,              2363791,             12226173,,,,,                              0,,                 16499,                 18123,,              2949429,,              1225621,                 95979,,                221281,,,                              0,                              0,                142485,                142485,              4669417,,,                 15578,,                 62224,                  6479,                 68703,                 84281,              4753698,,,,              1891828,              1891828,,              2653514,,              2648235,,,                -40930,,                -10091,,,                -14956,                -65977,                              0,              7127600,                344875,              7472475,             12226173,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,2015年03月31日,,,,              2026998,,                 71622,,,              3815934,,                174271,,,              3893461,              3893461,,                206436,,                 29823,             10218545,,,                 63860,                              0,                 63860,,                369217,                              0,                369217,,              1726053,,                 92977,                 52860,,                 47894,              2352861,             12571406,,,,,                              0,,                  4733,,,              3391812,,                769752,                140765,,                215419,,,                              0,                              0,                 67721,                 67721,              4590202,,,                 12113,,                 62544,                  6467,                 69011,                 81124,              4671326,,,,              1891828,              1891828,,              2653514,,              3010620,,,                -31703,,,,                -20233,                -20233,                -51936,                              0,              7504026,                396054,              7900080,             12571406,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,2014年12月31日,,,,              2209866,,                 41456,                              0,,              4168762,,                176310,,,              3186866,              3186866,,                215860,,                 48535,             10047655,,,                 63860,                              0,                 63860,,                356486,                              0,                356486,,              1631569,,                 88707,                 49380,,                 44642,              2234644,             12282299,,,,,                475650,,                 39310,                              0,,              3098478,,                923822,                135206,,                209752,,,                200000,                200000,                 95756,                295756,              5177974,,,                 13387,,                 62879,                  6572,                 69451,                 82838,              5260812,,,,              1641828,              1641828,,              2013014,,              2981423,,,                -11441,,                              0,,                -25511,                -25511,                -36952,                              0,              6599313,                422174,              7021487,             12282299,              0,              0,              0,,                              0,              2209866,             12282299,,,,                475650,,                 39310,,              3098478,,                923822,                135206,,                209752,,,                200000,                200000,                 95756,                295756,              5177974,,,                              0,,                 13387,,                 62879,                  6572,                 69451,                 82838,              5260812,,,,              1641828,              1641828,,              2013014,,              2981423,,,                -11441,,                -25511,                -25511,                -36952,                              0,              6599313,                422174,              7021487,,,,,,,
3596,2014年09月30日,,,,              2528710,,                 48144,                              0,,              3178186,,                196237,,,              3253966,              3253966,,                130588,,                 24084,              9359915,,,                  1000,                              0,                  1000,,                323771,                              0,                323771,,              1466609,,                 82216,                 82098,,                 42301,              1997995,             11357910,,,,,                 57960,,                 13610,                              0,,              2883644,,                775091,                158094,,                185451,,,                332000,                332000,                114495,                446495,              4520345,,,                 19915,,                 64708,                  6331,                 71039,                 90954,              4611299,,,,              1641656,              1641656,,              2012624,,              2767485,,,                -52438,,                              0,,                -38162,                -38162,                -90600,                              0,              6331165,                415446,              6746611,             11357910,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,2014年06月30日,,,,              2231749,,                 14743,                              0,,              3339824,,                208965,,,              2796158,              2796158,,                147404,,                 29102,              8767945,,,                              0,                              0,                              0,,                293672,                              0,                293672,,              1380505,,                 59687,                 81212,,                 31683,              1846759,             10614704,,,,,                 40909,,                  4397,                              0,,              2023104,,              1200746,                176263,,                165993,,,                332000,                332000,                 43466,                375466,              3986878,,,                 17918,,                 65031,                  6251,                 71282,                 89200,              4076078,,,,              1639052,              1639052,,              2009196,,              2605856,,,                -59718,,                              0,,,                -50803,               -110521,                              0,              6143583,                395043,              6538626,             10614704,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,2014年03月31日,,,,              2025197,,                  2314,,,              3598687,,                128203,,,              3602687,              3602687,,                136403,,                 40020,              9533511,,,                              0,                              0,                              0,,                293608,                              0,                293608,,              1317316,,                 59266,                 78148,,                 32563,              1780901,             11314412,,,,,                644930,,                 17212,,,              2348418,,                762872,                194425,,                152456,,,                132000,                132000,                 37605,                169605,              4289918,,,                 17897,,                 65350,                  6417,                 71767,                289664,              4579582,,,,              1639052,              1639052,,              2058368,,              2757173,,,                -49545,,,,                -63424,                -63424,               -112969,                              0,              6341624,                393206,              6734830,             11314412,              0,              0,              0,,                200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3596,2013年12月31日,,,,,,                    311,,,              3963622,,                103724,,,              3219277,              3219277,,                119417,,                 50600,              9150926,,,                              0,                              0,                              0,,                260520,                              0,                260520,,              1301817,,                 59163,                 73240,,                 43855,              1738595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1693975,             10889521,,,,                152510,,                 10394,,              2623972,,                798778,                146422,,                123988,,,                132000,                132000,                125481,                257481,              4113545,,,                200000,,                 10941,,                 65673,                  6230,                 71903,                282844,              4396389,,,,              1637910,              1637910,,              2055955,,              2582936,,,                -59671,,                -76045,                -76045,               -135716,                              0,              6141085,                352047,              6493132,,                              0,,                              0,,,
3596,2013年09月30日,,,,,,                  7050,,,              3408351,,                 77871,,,              3125448,              3125448,,                147776,,                 53149,              8140472,,,                              0,                              0,                              0,,                239001,                              0,                239001,,              1270721,,                 47927,                 71840,,                 25572,              1655061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1315424,              9795533,,,,                592486,,                 18721,,              1988988,,                675027,                139070,,                101142,,,                              0,                              0,                113071,                113071,              3628505,,,                432000,,                  9801,,                 54711,                  6906,                 61617,                503418,              4131923,,,,              1436494,              1436494,,              1577844,,              2469522,,,                -66238,,                -91867,                -91867,               -158105,                              0,              5325755,                337855,              5663610,,                  5403,,,,,
3596,2013年06月30日,,,,,,                  8915,,,              4370960,,                201871,,,              3501412,              3501412,,                130666,,                 49895,              9273946,,,,,,,                201983,                              0,                201983,,              1222623,,                 52886,                 67071,,                 26014,              1570577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1009463,             10844523,,,,              1233222,,                  8815,,              2253940,,                940426,                159059,,                110774,,,                              0,                              0,                127167,                127167,              4833403,,,                386000,,                  7023,,                 55564,                  7651,                 63215,                456238,              5289641,,,,              1408419,              1408419,,              1503324,,              2369854,,,                -59535,,,                              0,                -59535,                              0,              5222062,                332820,              5554882,,                    764,,,,,
