證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額
6136,2015年09月30日,,,,                530000,,                187757,,                365456,,                    695,,                108567,,                  8220,,                    586,,                129985,,                  7447,,                 45071,              1383784,,,              1378958,,                  5217,,                171742,,                  6882,                  2951,,                 16696,              1582446,              2966230,,,,,                  1026,,                 17057,,                 51255,                  4116,,                 21339,                 94793,,,                  4967,,                 19440,                 24407,                119200,,,,              1155364,              1155364,,                 21845,,                374284,,                219342,                593626,,              1052766,                              0,              2823601,                              0,                 23429,              2847030,              2966230,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,2015年06月30日,,,,                667913,,                218529,,                445579,,                    663,,                108966,,                 22638,,                    147,,                 79384,,                  3029,,                 46478,              1593326,,,              1668129,,                  5764,,                170819,,                  6882,                  3110,,                 11405,              1866109,              3459435,,,,,                     47,,                 14860,,                300243,                  6439,,                 29852,                351441,,,                  4967,,                 19437,                 24404,                375845,,,,              1155364,              1155364,,                 21845,,                374284,,                 89605,                463889,,              1419005,                              0,              3060103,                              0,                 23487,              3083590,              3459435,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,2015年03月31日,,,,                584936,,                216509,,                565351,,                  1154,,                 95938,,                  6557,,                              0,,                 87040,,                 18918,,                 53705,              1630108,,,              1736782,,                  6268,,                172453,,                  6336,                  3212,,                  1211,              1926262,              3556370,,,,,                     27,,                  9966,,                 43665,                  7343,,                 30358,                 91359,,,                  4968,,                 19421,                 24389,                115748,,,,              1155364,              1155364,,                 79613,,                351065,,                252559,                603624,,              1578449,                              0,              3417050,                              0,                 23572,              3440622,              3556370,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,2014年12月31日,,,,                576682,,                216203,,                516953,,                    619,,                 94452,,                  5704,,                              0,,                 98477,,                 11200,,                 46654,              1566944,,,              1593236,,                  6983,,                173955,,                  6514,                  3311,,                    712,              1784711,              3351655,,,,,                     31,,                 18706,,                 50980,                  4115,,                 20099,                 93931,,,                  4968,,                 19807,                 24775,                118706,,,,              1155364,              1155364,,                 79613,,                351065,,                236168,                587233,,              1387149,                              0,              3209359,                              0,                 23590,              3232949,              3351655,              0,              0,              0,                576682,                              0,              3351655,,,,                     31,,                 18706,,                 50980,                  4115,,                 20099,                 93931,,,                  4968,,                 19807,                 24775,                118706,,,,              1155364,              1155364,,                 79613,,                351065,,                236168,                587233,,              1387149,                              0,              3209359,                              0,                 23590,              3232949
6136,2014年09月30日,,,,                604433,,                191338,,                521863,,                    721,,                 98061,,                  6080,,                    223,,                 75466,,                 36432,,                 48953,              1583570,,,              1607799,,                  7520,,                158573,,                  6571,                  4429,,                    588,              1785480,              3369050,,,,,                    245,,                 16213,,                 47040,                  3307,,                 45699,                112504,,,                  3795,,                 20156,                 23951,                136455,,,,              1155364,              1155364,,                 79613,,                351065,,                218927,                569992,,              1404596,                              0,              3209565,                              0,                 23030,              3232595,              3369050,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,2014年06月30日,,,,                721658,,                193012,,                593014,,                    985,,                104408,,                  9348,,                     92,,                 65044,,                 32668,,                 48576,              1768805,,,              1770068,,                  3156,,                159258,,                  6673,                  4644,,                  5115,              1948914,              3717719,,,,,                    545,,                 11463,,                313281,                  5775,,                 39476,                370540,,,                  3794,,                 17593,                 21387,                391927,,,,              1155364,              1155364,,                 79613,,                351065,,                 84328,                435393,,              1632152,                              0,              3302522,                              0,                 23270,              3325792,              3717719,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,2014年03月31日,,,,                690556,,                148466,,                607425,,                    855,,                 91642,,                  5912,,                     51,,                 66229,,                 30751,,                 57575,              1699462,,,              1589075,,                  3433,,                160019,,                  6342,                  5543,,                    115,              1764527,              3463989,,,,,                    399,,                 13409,,                 43194,                  9155,,                 38835,                104992,,,                  4347,,                 16951,                 21298,                126290,,,,              1155364,              1155364,,                137381,,                327878,,                252200,                580078,,              1441710,                              0,              3314533,                              0,                 23166,              3337699,              3463989,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6136,2013年12月31日,,,,,,                142897,,                566930,,                  1150,,                115174,,                  3946,,,,                105302,,                 37752,,                 57239,              1650150,,,              1485582,,                  3602,,                161331,,                  7215,                  5642,,                    115,              1663487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                619698,                     62,              3313637,,,,                    160,,                 20532,,                 47204,                  6108,,                 40101,                114105,,,                  4347,,                 17057,                 21404,                135509,,,,              1155364,              1155364,,                137381,,                327878,,                235947,                563825,,              1298813,                              0,              3155383,                              0,                 22745,              3178128
6136,2013年09月30日,,,,                553469,,                142789,,                662194,,                    580,,                124090,,                  4452,,,,                 71628,,                 47311,,                 46643,              1653641,,,              1506386,,                  3632,,                162537,,                  9261,                  5409,,                    121,              1687346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,                    485,              3340987,,,,                    204,,                 25432,,                 41603,                  4314,,                 46921,                118474,,,                  1925,,                 20454,                 22379,                140853,,,,              1155364,              1155364,,                137381,,                327878,,                172133,                500011,,              1384749,                              0,              3177505,                              0,                 22629,              3200134
6136,2013年06月30日,,,,,,                141482,,                675514,,                    653,,                126733,,                  1656,,,,                 75457,,                 45525,,                 59993,              1805071,,,              1535511,,                  4298,,                164292,,                 11228,                  5513,,                    115,              1720957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                677669,                    389,              3526028,,,,                    537,,                 15597,,                333700,                  6245,,                 49727,                405806,,,                  1925,,                 20607,                 22532,                428338,,,,              1155364,              1155364,,                137381,,                327878,,                 24804,                352682,,              1427673,                              0,              3073100,                              0,                 24590,              3097690
