證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付租金,　　　　 其他預付款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 無形資產,　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益－其他,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　 待註銷股本股數,　　　　 現金及約當現金合計,　　　　 應收所得稅退稅款,　　　　 當期所得稅資產合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益－其他,　　　　　 其他權益－其他合計,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 法定盈餘公積,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　 庫藏股票
2466,2015年09月30日,,,,                533790,,                  1011,,                415005,,                 91929,,                 47779,,                 89968,,                    879,,                676804,,                  2174,                 75102,                 77276,,                  8652,              1943093,,,                889822,,                365000,,,                 20384,                 20384,                 21457,,                 71229,                 23848,                 44271,,                  2037,                141385,              1438048,              3381141,,,,,                724203,,                              0,,                102193,,                 29281,,                 55794,                    130,,,                112056,                 11765,                123821,              1035422,,,                654352,,                 75481,,                 13608,                    145,                 13753,                743586,              1779008,,,,              1438073,              1438073,,                300403,,                 20940,,               -229321,               -208381,,,                 70558,                 70558,              1600653,                  1480,              1602133,              3381141,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2015年06月30日,,,,                473635,,                  4043,,                279645,,                 76292,,                 81456,,                 90454,,                    361,,                734595,,                  2041,                 83811,                 85852,,                  7621,              1833954,,,                877048,,                344091,,,                 19640,                 19640,                 31505,,                 78984,                 22381,                 42065,,                  2537,                145967,              1418251,              3252205,,,,,                707188,,                              0,,                103204,,                 41575,,                 70862,                              0,,,                112056,                 13693,                125749,              1048578,,,                608935,,                 70600,,                 13639,                    145,                 13784,                693319,              1741897,,,,              1438073,              1438073,,                300403,,                 20940,,               -241976,               -221036,,,                -10845,                -10845,              1506595,                  3713,              1510308,              3252205,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2015年03月31日,,,,                565726,,                  1262,,                278393,,                 73644,,                 83418,,                 92937,,                    118,,                713032,,                  2015,                 63085,                 65100,,                  5538,              1879168,,,                893353,,                348668,,,                 20186,                 20186,                 32411,,                 68925,                 13258,                 41755,,                  3576,                127514,              1422132,              3301300,,,,,                635681,,                              0,,                106601,,                 33536,,                 77660,                              0,,,                112056,                 14327,                126383,                979861,,,                670089,,                 73238,,                 13636,                    145,                 13781,                757108,              1736969,,,,              1438073,              1438073,,                301962,,                 20940,,               -217770,               -196830,,,                 11563,                 11563,              1554768,                  9563,              1564331,              3301300,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2014年12月31日,,,,                498753,,                  1139,,                354448,,                 64412,,                117975,,                105868,,                     70,,                709851,,                  2038,                 63503,                 65541,,                  4178,              1922235,,,                910506,,                352309,,,                 20742,                 20742,                 32403,,                 62215,                 24003,                 42732,,                  3254,                132204,              1448164,              3370399,,,,,                620399,,                              0,,                132320,,                 32256,,                 74615,                  1500,,,                112056,                 10981,                123037,                984127,,,                674167,,                 71544,,                 15653,                    132,                 15785,                761496,              1745623,,,,              1438073,              1438073,,                301962,,                 20940,,               -188440,               -167500,,,                 39460,                 39460,              1611995,                 12781,              1624776,              3370399,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2014年09月30日,,,,                316505,,                  6573,,                485250,,                 43678,,                136478,,                 91548,,                    921,,                716103,,                  1958,                 74798,                 76756,,                  4127,              1877939,,,                872313,,                346431,,,                 20402,                 20402,                 31629,,                 75381,                 23416,                 41561,,                  3713,                144071,              1414846,              3292785,,,,,                752904,,                              0,,                123989,,                 31914,,                 89699,                     15,,,                              0,                 38261,                 38261,              1036782,,,                771893,,                 69664,,                 21702,                    132,                 21834,                863391,              1900173,,,,              1368073,              1368073,,                161405,,                 20940,,               -157636,               -136696,,,                -20929,                -20929,              1371853,                 20759,              1392612,              3292785,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2014年06月30日,,,,                301123,,                 19854,,                345678,,                 54872,,                127591,,                 89360,,                    405,,                806453,,                  1923,                 59398,                 61321,,                  2084,              1808741,,,                885299,,                347930,,,                 20433,                 20433,                 37001,,                 53863,                 22801,                 41283,,                  5274,                123221,              1413884,              3222625,,,,,                688257,,                              0,,                123019,,                 66195,,                 90543,                    177,,,                 12000,                 16020,                 28020,                996211,,,                765427,,                 68939,,                 21309,                    132,                 21441,                855807,              1852018,,,,              1368073,              1368073,,                161405,,                 20940,,               -154288,               -133348,,,                -48806,                -48806,              1347324,                 23283,              1370607,              3222625,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2014年03月31日,,,,                399245,,                 10045,,                317754,,                 61259,,                150976,,                 91196,,                     53,,                765422,,                  1962,                 63974,                 65936,,                  1361,              1863247,,,                896805,,                370256,,,                 21135,                 21135,                 37310,,                 57311,                 14081,                 42610,,                  4902,                118904,              1444410,              3307657,,,,,                681010,,                     65,,                113319,,                 47623,,                 98893,                  2254,,,                 18000,                 19465,                 37465,                980629,,,                772965,,                 73702,,                 21993,                    132,                 22125,                868792,              1849421,,,,              1368073,              1368073,,                161405,,                 20940,,                -97445,                -76505,,,                -17436,                -17436,              1435537,                 22699,              1458236,              3307657,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2014年01月01日,,,,                406076,,                 10252,,                312492,,                 68144,,                193623,,                 83846,,                     50,,                729665,,                  1919,                 42924,                 44843,,                  1896,              1850887,,,                903075,,                338411,,,                 21093,                 21093,                 36094,,                 32448,                 19452,                 42159,,                  5520,                 99579,              1398252,              3249139,,,,,                603327,,                     89,,                141689,,                 10112,,                147089,                  2695,,,                 12000,                  7216,                 19216,                924217,,,                798728,,                 65727,,                 21126,                    138,                 21264,                885719,              1809936,,,,              1368073,              1368073,,                161405,,                 20940,,                -72560,                -51620,,,                -50726,                -50726,              1427132,                 12071,              1439203,              3249139,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2013年12月31日,,,,,,                 10252,,                312492,,                 68144,,                193623,,                 83846,,,,                729665,,                  1919,                 42924,                 44843,,                  1896,              1850887,,,                903075,,                338411,,,                 21093,                 21093,                 35514,,                 32448,                 19452,                 42159,,                  5520,                 99579,              1397672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                406076,                     50,                     50,,                              0,              3248559,,,,                603327,,                     89,,                              0,,                141689,,                 10112,,                147089,                  2695,,,                 12000,                  7216,                 19216,                924217,,,                              0,,                798728,,                 65727,,                 17714,                    138,                 17852,                882307,              1806524,,,,              1368073,              1368073,,                161405,,                 20940,,                -69728,                -48788,,,                -50726,                -50726,              1429964,                 12071,              1442035,,,,
2466,2013年09月30日,,,,,,                    471,,                447572,,                 24295,,                175526,,                106152,,,,                749724,,                  1904,                 58156,                 60060,,                  1473,              1900958,,,                838810,,                384987,,,                 18798,                 18798,                 42114,,                 77403,                 12272,                 42304,,                  1761,                133740,              1418449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                335649,,                     36,,,              3319407,,,,                668675,,                    169,,,,                170834,,                 30499,,                126305,                              0,,,                 18000,                 11250,                 29250,              1025732,,,,,                792410,,                112161,,                 20927,                    132,                 21059,                925630,              1951362,,,,              1368073,              1368073,,                161405,,                 20940,,               -132440,               -111500,,,                -56977,                -56977,              1361001,                  7044,              1368045,,,,
