證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 持有至到期日金融資產－流動,　　　　 持有至到期日金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 持有至到期日金融資產－非流動,　　　　 持有至到期日金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 負債準備-非流動,　　　　　 負債準備－非流動合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 其他非流動負債－其他,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 短期借款,　　　　　 短期借款合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 負債準備－非流動合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－限制員工權利股票,　　　 應付票據,　　　　 應付票據合計
2495,2015年09月30日,,,,                674120,,                545978,,              1011931,,                 89170,,                    109,,                319300,,                140004,,                              0,,                470074,,                 27739,              3278425,,,                 65525,,                386894,,                689856,,                  7327,                 43598,,,                 10963,,                    615,                 11578,              1204778,              4483203,,,,,                    161,,                113784,,                109306,                 41901,,                 15307,                280459,,,                 11819,,                  9085,,                 14367,                 40670,                 55037,                 75941,                356400,,,,              2839435,              2839435,,,                 86215,                 86215,,              1069683,                              0,,                208838,              1278521,,                -17128,                 60240,              4126803,                              0,              4126803,              4483203,              0,              0,      4262000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,2015年06月30日,,,,                698645,,                866177,,              1056830,,                 87949,,                  1575,,                276690,,                 21326,,                  1633,,                446286,,                 31459,              3488570,,,                 62329,,                380175,,                690705,,                  6223,                 43327,,,                 10778,,                    751,                 11529,              1194288,              4682858,,,,,                              0,,                 68168,,                291012,                 17304,,                 12445,                543454,,,                 11614,,                  9085,,                 14512,                 37158,                 51670,                 72369,                615823,,,,              2839654,              2839654,,,,                 85996,,              1069683,                              0,,                 91511,              1161194,,                 -9924,                  9885,              4067035,                              0,              4067035,              4682858,              0,              0,        671000,,                154525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,2015年03月31日,,,,                745171,,                772810,,              1118398,,                106084,,                  3884,,                229944,,                 65372,,                  1633,,                491930,,                 38080,              3573306,,,                 63857,,                451162,,                696308,,                  7099,                 43379,,,                 10856,,                    922,                 11778,              1273583,              4846889,,,,,                              0,,                 90718,,                362163,                 25511,,                 13438,                555580,,,                 11653,,                  9085,,                 14511,                 34933,                 49444,                 70182,                625762,,,,              2839654,              2839654,,,,                 86380,,              1050844,                  2805,,                249601,              1303250,,                 -8157,                              0,              4221127,                              0,              4221127,              4846889,              0,              0,              0,,                 63750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,2014年12月31日,,,,                835484,,                586099,,                955149,,                 69429,,                  1283,,                227650,,                 27331,,                  1633,,                387906,,                104692,              3196656,,,                 63339,,                506586,,                702147,,                  8443,                 43426,,,                 11377,,                  1125,                 12502,              1336443,              4533099,,,,,                    116,,                121728,,                133552,                 16672,,                 10694,                282762,,,                 11689,,                  9085,,                 14538,                 32441,                 46979,                 67753,                350515,,,,              2833597,              2833597,,,                 82366,                 82366,,              1050844,                  2805,,                206446,              1260095,,                  6526,                              0,              4182584,                              0,              4182584,              4533099,              0,              0,              0,,                              0,                835484,                  1633,              4533099,,,,                    116,,                121728,,                133552,                 16672,,                 10694,                282762,,,                 11689,,                  9085,,                 14538,                 32441,                 46979,                 67753,                350515,,,,              2833597,              2833597,,                 82366,,              1050844,                  2805,,                206446,              1260095,,                  6526,                              0,              4182584,                              0,              4182584,,,,,
2495,2014年09月30日,,,,                934949,,                484659,,                825981,,                 68313,,                     46,,                171580,,                156545,,                  1633,,                405644,,                120745,              3170095,,,                 95615,,                494906,,                706533,,                  9817,                 42435,,,                 10690,,                  1335,                 12025,              1361331,              4531426,,,,,                  1293,,                122540,,                236634,                 14536,,                 49880,                424883,,,                 11588,,                  3040,,                 16135,                 29255,                 45390,                 60018,                484901,,,,              2834135,              2834135,,,                 82550,                 82550,,              1050844,                  2805,,                 85626,              1139275,,                 -9435,                              0,              4046525,                              0,              4046525,              4531426,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,2014年06月30日,,,,              1115934,,                678696,,                867833,,                 87859,,                  1388,,                180885,,                 76302,,                  1633,,                394863,,                 99965,              3505358,,,                 63642,,                506201,,                712436,,                 11444,                 42355,,,                 11012,,                  1426,                 12438,              1348516,              4853874,,,,,                408602,,                 88798,,                287270,                  2057,,                 34123,                820850,,,                 11528,,                  3040,,                 16135,                 27540,                 43675,                 58243,                879093,,,,              2834135,              2834135,,,,                 83192,,              1050844,                  2805,,                 24700,              1078349,,                -20895,                              0,              3974781,                              0,              3974781,              4853874,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,2014年03月31日,,,,              1103903,,                624537,,                835256,,                 34897,,                  1704,,                148051,,                 27717,,                  1633,,                420535,,                108519,              3306752,,,                120293,,                582803,,                713903,,                 13088,                 42438,,,                 11305,,                  1684,                 12989,              1485514,              4792266,,,,,                426722,,                115744,,                137375,                  6477,,                 17715,                704033,,,                 11591,,                  3040,,                 16135,                 26755,                 42890,                 57521,                761554,,,,              2824957,              2824957,,,,                 74932,,              1046125,                              0,,                 85805,              1131930,,                 -1107,                              0,              4030712,                              0,              4030712,              4792266,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,2013年12月31日,,,,,,                454443,,                555918,,                 68575,,                  5804,,                195578,,                 23584,,,,                353257,,                 99446,              3224975,,,                 58418,,                535955,,                718826,,                 12233,                 42349,,,                 13112,,                  1562,                 14674,              1382455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1466737,                  1633,              4607430,,,,                241097,,                145660,,                140453,                  2546,,                 15100,                544856,,,                 11523,,                  3040,,                 16154,                 22034,                 38188,                 52751,                597607,,,,              2824957,              2824957,,                 74932,,              1046125,                              0,,                 66614,              1112739,,                 -2805,                              0,              4009823,                              0,              4009823,,                 74932,                              0,,
2495,2013年09月30日,,,,,,                164198,,                665817,,                 91393,,                              0,,                172434,,                 70381,,,,                305618,,                102419,              3033591,,,                 30416,,                391608,,                722081,,                 13775,                 96228,,,                 17007,,                  1703,                 18710,              1272818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1459698,                  1633,              4306409,,,,                              0,,                110450,,                137248,                  9546,,                 12761,                270005,,,                 11499,,                    712,,                 17366,                 21174,                 38540,                 50751,                320756,,,,              2824957,              2824957,,                 74932,,              1046125,                              0,,                 42895,              1089020,,                 -3256,                              0,              3985653,                              0,              3985653,,                 74932,,,
2495,2013年06月30日,,,,,,                140297,,                991232,,                 72677,,                              0,,                179679,,                 14755,,,,                307207,,                 89355,              3093761,,,                              0,,                398442,,                728887,,                 15331,                 96320,,,                 17782,,                    966,                 18748,              1257728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,              1296926,                  1633,              4351489,,,,                  2293,,                 73708,,                228999,                  7107,,                 11317,                323424,,,                 11541,,                    716,,                 17366,                 17105,                 34471,                 46728,                370152,,,,              2824957,              2824957,,                 74932,,              1046125,                              0,,                 37959,              1084084,,                 -2636,                              0,              3981337,                              0,              3981337,,                 74932,                              0,,
2495,2013年03月31日,,,,,,                175398,,                672516,,                 71432,,                              0,,                171222,,                 14816,,,,                379201,,                102428,              3121157,,,                              0,,                380675,,                712878,,                 16909,                 96294,,,                 15112,,                  1118,                 16230,              1222986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1099000,,,              1533261,                    883,              4344143,,,,                  6394,,                 68446,,                112816,                  9769,,                  7614,                205039,,,                 11529,,                    715,,                 17366,                 15909,                 33275,                 45519,                250558,,,,              2835947,              2835947,,                 75224,,              1034454,                  2937,,                163471,              1200862,,                    148,                 18596,              4093585,                              0,              4093585,,                 75224,,,
2495,2012年12月31日,,,,              1609595,,                422056,,                353315,,                 23267,,                              0,,                199747,,                 26310,,,,                442112,,                 81448,              3158733,,,                              0,,                344128,,                716352,,                 18544,                 96108,,,                  7974,,                 12454,                 20428,              1195560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                    883,              4354293,,,,                              0,,                116905,,                108984,                    744,,                  7043,                234506,,,                 11448,,                    706,,                 17396,                  6782,                 24178,                 36332,                270838,,,,              2835947,              2835947,,                 75224,,              1034454,                  2937,,                133323,              1170714,,                  1570,                              0,              4083455,                              0,              4083455,,                 75224,,,                    830
2495,2012年09月30日,,,,              1271552,,                578348,,                528880,,                              0,,,,                167412,,                 27367,,,,                481351,,                 89815,              3144725,,,                              0,,                302945,,                724996,,                 20193,                135387,,,                  7561,,                  8325,                 15886,              1199407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                              0,              4344132,,,,                              0,,                102097,,                133694,                              0,,                  8149,                243940,,,                 13674,,                  1616,,                 15207,                  5401,                 20608,                 35898,                279838,,,,              2835947,              2835947,,                 75224,,              1034454,                  2937,,                118092,              1155483,,                 -2360,                              0,              4064294,                              0,              4064294,,                 75224,,,                              0
2495,2012年06月30日,,,,              1568431,,                714305,,                507108,,                              0,,,,                198794,,                 53466,,,,                511175,,                 84214,              3637493,,,,,                303872,,                577219,,                 21882,                131967,,,                  7746,,                 11515,                 19261,              1054201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                              0,              4691694,,,,                  5070,,                119305,,                437129,                 14242,,                  8577,                584323,,,                 13778,,                  1291,,                 15207,                  3542,                 18749,                 33818,                618141,,,,              2835947,              2835947,,                 75224,,              1034454,                  2937,,                127786,              1165177,,                 -2795,                              0,              4073553,                              0,              4073553,,                 75224,,,                              0
2495,2012年03月31日,,,,              1475491,,                705293,,                675382,,                              0,,,,                227298,,                 14761,,,,                493336,,                 91878,              3683439,,,,,                223672,,                584464,,                 22373,                152788,,,                  7711,,                  8821,                 16532,                999829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,,,,                              0,              4683268,,,,                    665,,                169636,,                133454,                 30981,,                  5509,                340245,,,                 14551,,                    646,,                 15207,                  1618,                 16825,                 32022,                372267,,,,              2835947,              2835947,,                 75224,,              1002442,                  6485,,                392007,              1400934,,                 -1104,                              0,              4311001,                              0,              4311001,,                 75224,,,                              0
2495,2012年01月01日,,,,              1589547,,                640541,,                627068,,                              0,,                              0,,                207172,,                 17092,,,,                442460,,                 78368,              3602248,,,                              0,,                219494,,                589631,,                 23010,                164314,,,                  9030,,                 11922,                 20952,              1017401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      5000000,,,,                              0,              4619649,,,,                    799,,                139521,,                168211,                 24531,,                  4918,                337980,,,                 14704,,                  3243,,                 15207,                      6,                 15213,                 33160,                371140,,,,              2885947,              2885947,,                 76550,,              1002442,                  6485,,                391689,              1400616,,                 -2569,                112035,              4248509,                              0,              4248509,,                 76550,,,                              0
