證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 持有供交易之金融資產－流動,　　　　 持有供交易之金融資產評價調整－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 持有供交易金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期或執行賣回權公司債,　　　　　 一年或一營業週期內到期長期負債合計,　　 非控制權益,　　　　　 一年或一營業週期內到期長期借款,　　　 應付公司債,　　　　 應付公司債合計,　　　 長期借款,　　　　 長期借款合計,　　　　 待分配股票股利
3653,2015年09月30日,,,,                986669,,                              0,,                108676,,                  1546,,                958530,,                 12534,,                931712,,                 56129,              3055796,,,                  2572,,                              0,,              1816880,,                  3277,                 42308,,                 46775,                 13537,                 60421,,                    950,                121683,              1986720,              5042516,,,,,                  4122,,                322469,,                217195,                  8292,,                 22489,                 22489,                574567,,,                 17199,,                 54693,                  3720,                 58413,                 75612,                650179,,,,              1063242,              1063242,,              2268961,,                332100,                  9229,,                692916,              1034245,,,                 59864,,                              0,                 59864,                 33975,              4392337,              4392337,              5042516,              0,              0,        830000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,2015年06月30日,,,,              1185822,,                169068,,                 85219,,                  1059,,                917234,,                 18585,,                975888,,                 28890,              3381765,,,                  2572,,                              0,,              1859640,,                  4241,                 47120,,                 41482,                 13296,                 59424,,                    600,                114802,              2028375,              5410140,,,,,                  4129,,                362747,,                630940,                 24837,,                 23626,                 23626,              1046279,,,                 16319,,                 54693,                  3906,                 58599,                 74918,              1121197,,,,              1063242,              1063242,,              2268961,,                332100,                  9229,,                574841,                916170,,,                 40502,,                     68,                 40570,                              0,              4288943,              4288943,              5410140,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,2014年12月31日,,,,                987868,,                261674,,                 73661,,                    286,,                956913,,                 15561,,                877138,,                 36749,              3209850,,,                  2572,,                              0,,              1927951,,                  6355,                 39863,,                 82540,                 12111,                 61744,,                    600,                156995,              2133736,              5343586,,,,,                    763,,                350135,,                244635,                 39488,,                 24163,                 24163,                659184,,,                 19936,,                 54802,                  4321,                 59123,                 79059,                738243,,,,              1068242,              1068242,,              2303706,,                291447,                  9229,,                911247,              1211923,,,                 60566,,                    651,                 61217,                 39745,              4605343,              4605343,              5343586,              0,              0,        500000,                987868,                 73661,              5343586,,,,                    763,,                350135,,                244635,                 39488,,                 24163,                 24163,                659184,,,                 19936,,                 54802,                  4321,                 59123,                 79059,                738243,,,,              1068242,              1068242,,              2303706,,                291447,                  9229,,                911247,              1211923,,,                 60566,,                    651,                 61217,                 39745,              4605343,              4605343,,,,,,,,,,,,,,,,,,,
3653,2014年09月30日,,,,                957059,,                141455,,                135692,,                  1113,,                939992,,                 21465,,                911684,,                 35437,              3143897,,,                              0,,                  2844,,              1920149,,                  7273,                 39456,,                 96484,                 10303,                 59422,,                    600,                166809,              2136531,              5280428,,,,,                  1045,,                438556,,                218800,                 30279,,                 22372,                 22372,                711052,,,                 17154,,                 48490,                  4593,                 53083,                 70237,                781289,,,,              1068242,              1068242,,              2308096,,                291447,                  9229,,                837774,              1138450,,,                 23894,,                    202,                 24096,                 39745,              4499139,              4499139,              5280428,              0,              0,        500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,2014年06月30日,,,,              1046299,,                282959,,                 68270,,                    243,,                964336,,                 26447,,                873009,,                 36941,              3298504,,,                              0,,                  6846,,              1924663,,                  7381,                 40276,,                 83858,                 10597,                 58730,,                    600,                153785,              2132951,              5431455,,,,,                    190,,                436787,,                498215,                 33358,,                 30243,                 30243,                998793,,,                 15484,,                 48280,                  3583,                 51863,                 67347,              1066140,,,,              1068242,              1068242,,              2308096,,                291447,                  9229,,                724138,              1024814,,,                  9395,,                 -5487,                  3908,                 39745,              4365315,              4365315,              5431455,              0,              0,        500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3653,2014年03月31日,,,,,,                184238,,,,                    622,,                915985,,                 26208,,                782210,,                 31844,              3088988,,,,,                 10630,,              1903364,,                  8137,                 39937,,                143792,                 12055,                 60328,,,                216175,              2178243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        500000,              1098031,                 49850,              5267231,,,,                    475,,                406570,,                165230,                 61218,,                 30276,                 30276,                663769,,,                 16378,,                 48040,                  3746,                 51786,                 68164,                731933,,,,              1068242,              1068242,,              2308096,,                262516,                  9229,,                909224,              1180969,,,                 25204,,                 -7468,                 17736,                 39745,              4535298,              4535298,,,,,,                              0,,,                              0,,                              0,                              0,                              0,,,,,,
3653,2013年12月31日,,,,,,                179357,,,,                  1796,,                983466,,                 17775,,                796874,,                 31853,              2999824,,,                              0,,                 14183,,              1945507,,                  8167,                 34623,,                117634,                 12733,                 59943,,                              0,                190310,              2192790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1000000,                807828,                180875,              5192614,,,,                    760,,                439365,,                218351,                 45909,,                 22126,                 22126,                726511,,,                 18119,,                 47829,                  3543,                 51372,                 69491,                796002,,,,              1068242,              1068242,,              2295523,,                262516,                  9229,,                825773,              1097518,,,                 14805,,                 -9288,                  5517,                 70188,              4396612,              4396612,,                              0,                              0,                              0,,                              0,,                              0,                              0,,                              0,                              0,                              0,,,,,,
3653,2013年09月30日,,,,,,                178720,,,,                  5776,,                938227,,                 19223,,                775310,,                 42727,              2813977,,,,,                 18222,,              1879418,,                  8747,                 36622,,                172452,                 11907,                 59366,,                              0,                243725,              2186734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1000000,                676035,                177959,              5000711,,,,                    950,,                415994,,                183232,                 15026,,                 12814,                 12814,                656418,,,                 18177,,                 36998,                  3633,                 40631,                 58808,                715226,,,,              1068242,              1068242,,              2295523,,                262516,                  9229,,                728046,                999791,,,                  2042,,                 -9925,                 -7883,                 70188,              4285485,              4285485,,                              0,                              0,                              0,,                  5559,,                 22843,                 22843,,                              0,                              0,                              0,,,,,,
3653,2013年06月30日,,,,,,                178327,,,,                  2841,,                819697,,                 17266,,                774744,,                 51090,              2907050,,,,,                 21766,,              1902351,,                  9821,                 45714,,                164063,                 11882,                 60324,,                              0,                236269,              2215921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      1000000,              1062354,                              0,              5122971,,,,                              0,,                440207,,                376254,                 16186,,                 22169,                 22169,                922846,,,                 18524,,                 36903,                  3237,                 40140,                 58664,                981510,,,,              1068242,              1068242,,              2295523,,                262516,                  9229,,                577008,                848753,,,                  9460,,                -10329,                   -869,                 70188,              4141461,              4141461,,                    731,                              0,                    731,,,,                 68030,                 68030,,                              0,                              0,                              0,,,,,,
3653,2013年03月31日,,,,,,                134245,,,,                  7845,,                644670,,                 18519,,                761954,,                 39585,              2862835,,,,,                 18888,,              1886186,,                 10314,                 29596,,                207818,                 12002,                 59444,,,                279264,              2224248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        500000,              1256017,                              0,              5087083,,,,                              0,,                382588,,                147560,                 17343,,                 24351,                131690,                694009,,,                 19173,,                 36773,                  3313,                 40086,                 59259,                753268,,,,              1068242,              1068242,,              2291133,,                238724,                  9229,,                784250,              1032203,,,                 -7115,,                -10903,                -18018,                 39745,              4333815,              4333815,,,,,,                  4810,,,                 10018,,                107339,                107339,                              0,,,,,,
