證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 應付薪資,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　　 待註銷股本,　　　 共同控制下前手權益,　　　　　 應付股利,　　　　　　 資本公積－普通股股票溢價,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 應付薪資,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 預收股本,　　　　 待註銷股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－其他,　　　　 資本公積合計,　　　 保留盈餘,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 共同控制下前手權益,　　 非控制權益,　　 權益總額,　　　　 應付股利,　　　　　 資本公積－普通股股票溢價,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計
6202,2015年12月31日,,,,                680400,,                214512,,                 94901,,                585618,,                588609,,              1639025,                 21457,              1660482,              3824522,,,                229750,,                429270,,                463561,                 42077,,                 74857,              1239515,              5064037,,,,,                120640,,                349476,,                    598,,                231504,                231504,                 75095,,                 77387,                854700,,,                 84749,,                 71738,                  6654,                 78392,                163141,              1017841,,,,              2261682,              2261682,,,                142309,                              0,                142309,,                794631,                  2642,,                794419,              1591692,,,                 32280,                 32280,              4027963,                 18233,              4046196,              5064037,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2015年09月30日,,,,                582894,,                163280,,                108478,,                568873,,                575409,,              1682839,                 29449,              1712288,              3711222,,,                229750,,                415353,,                480756,                 37897,,                 68604,              1232360,              4943582,,,,,                139114,,                464659,,                    472,,                184068,                184068,                 63598,,                 61941,                913852,,,                 78015,,                 57062,                  7597,                 64659,                142674,              1056526,,,,              2261682,              2261682,,,                142309,                              0,                142309,,                794631,                  2642,,                600293,              1397566,,,,                 58978,              3860535,                 26521,              3887056,              4943582,              0,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2015年06月30日,,,,                663261,,                615199,,                105475,,                590656,,                528087,,              1679492,                 23566,              1703058,              4205736,,,                229750,,                380801,,                475786,                 37897,,                 76282,              1200516,              5406252,,,,,                105189,,                365365,,                    672,,                205031,              1000873,                 90553,,                 71518,              1634170,,,                 78015,,                 57457,                  7597,                 65054,                143069,              1777239,,,,              2261682,              2261682,,,                142309,,                142309,,                794631,                  2642,,                380671,              1177944,,,,                 27937,              3609872,                 19141,              3629013,              5406252,,              0,              0,,,                795842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2015年03月31日,,,,                889125,,                344028,,                100031,,                465335,,                538470,,              1585638,                 27795,              1613433,              3950422,,,                229750,,                395099,,                481283,                 37897,,                 69535,              1213564,              5163986,,,,,                134343,,                321098,,                    685,,                167450,                167450,                129248,,                 52829,                805653,,,                 78015,,                 57853,                  7597,                 65450,                143465,                949118,,,,              2261682,              2261682,,,                142309,,                142309,,                791920,                  2642,,                954966,              1749528,,,                 41216,                 41216,              4194735,                 20133,              4214868,              5163986,              0,              0,              0,,,,                142309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2014年12月31日,,,,              1179235,,                158476,,                102956,,                571953,,                500981,,              1294657,                 21900,              1316557,              3830158,,,                229750,,                399112,,                487863,                 37897,,                 74786,              1229408,              5059566,,,,,                131156,,                338602,,                  2024,,                219015,                219015,                 98477,,                 68819,                858093,,,                 78015,,                 58254,                  7597,                 65851,                143866,              1001959,,,,              2261682,              2261682,,,                142309,                              0,                142309,,                791920,                  2642,,                794417,              1588979,,,                 45662,                 45662,              4038632,                 18975,              4057607,              5059566,              0,              0,              0,                              0,                              0,                              0,                142309,              1179235,              5059566,,,,                131156,,                338602,,                  2024,,                219015,                219015,                 98477,,                 68819,                858093,,,                 78015,,                 58254,                  7597,                 65851,                143866,              1001959,,,,              2261682,                              0,                              0,              2261682,,,                142309,                              0,                142309,,              1588979,,                 45662,              4038632,                              0,                 18975,              4057607,,,,,,,,
6202,2014年09月30日,,,,                906049,,                123097,,                113317,,                537022,,                542478,,              1287054,                 28760,              1315814,              3537777,,,                229750,,                369099,,                485471,                 35644,,                 76101,              1196065,              4733842,,,,,                139355,,                349333,,                    536,,                166642,                166642,                 72329,,                 70373,                798568,,,                 56138,,                 59551,                  7597,                 67148,                123286,                921854,,,,              2261682,              2261682,,,                142309,                              0,                142309,,                791920,                  2642,,                578861,              1373423,,,,                 17785,              3795199,                 16789,              3811988,              4733842,              0,              0,              0,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2014年06月30日,,,,              1515412,,                147659,,                136755,,                549781,,                553875,,              1202512,                 20501,              1223013,              4126495,,,                229750,,                349993,,                484865,                 35644,,                 78465,              1178717,              5305212,,,,,                142885,,                369763,,                    284,,                190578,                936933,                 70354,,                 74704,              1594923,,,                 56138,,                 59968,                  7597,                 67565,                123703,              1718626,,,,              2261682,              2261682,,,                142309,,                142309,,                791920,                  4598,,                372493,              1169011,,,,                   -538,              3572464,                 14122,              3586586,              5305212,,              0,              0,,,                746355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2014年03月31日,,,,              1431162,,                163126,,                116742,,                444535,,                575255,,              1137581,                 29010,              1166591,              3897411,,,                238570,,                352878,,                491908,                 35644,,                 74177,              1193177,              5090588,,,,,                129754,,                365420,,                              0,,                165002,                165002,                 92518,,                 74978,                827672,,,                 56138,,                 60394,                  7597,                 67991,                124129,                951801,,,,              2261682,              2261682,,,                142309,,                142309,,                777359,                  4598,,                926185,              1708142,,,                 14170,                 14170,              4126303,                 12484,              4138787,              5090588,              0,              0,              0,,,,                142309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6202,2013年12月31日,,,,,,                263247,,                 91116,,                528982,,                515202,,              1256951,                 18464,              1275415,              3724582,,,                238570,,                360439,,                499508,                 35644,,                 70742,              1204903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,      1227000,              0,,,,,              1050620,              4929485,,,,                147907,,                310755,,                              0,,                209616,                209616,                 85354,,                 76921,                830553,,,                 56138,,                 60829,                  7597,                 68426,                124564,                955117,,,,              2249412,                 40368,                              0,              2289780,,,                114211,                              0,                114211,,              1543041,,                 15730,              3962762,                              0,                 11606,              3974368,,,,,,,,
6202,2013年09月30日,,,,,,                242565,,                111616,,                483673,,                579617,,              1291221,                 30316,              1321537,              3430663,,,                236991,,                341896,,                502751,                 91495,,                 65744,              1238877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,         11351,              0,,,,,                691655,              4669540,,,,                156151,,                343938,,                    271,,                173482,                173482,                109244,,                 63372,                846458,,,                 38316,,                 67423,                  7597,                 75020,                113336,                959794,,,,              2236805,                 11351,                              0,              2248156,,,                 85340,                              0,                 85340,,              1355661,,                  8874,              3698031,                              0,                 11715,              3709746,,,,,,,,
