證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 流動資產合計,　　 非流動資產,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－限制員工權利股票,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 累積盈虧,　　　　　　 本期損益,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 確定福利計畫再衡量數,　　　　　　 確定福利計畫再衡量數-母公司,　　　　　　 確定福利計畫再衡量數總額,　　　　　 其他權益－其他,　　　　　　 其他權益－員工未賺得酬勞,　　　　　　 其他權益－其他合計,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　 應收票據淨額,　　　　 應收票據淨額,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 短期借款,　　　　 短期借款合計,　　　　 待分配股票股利
5269,2015年09月30日,,,,                658861,,                182648,,                247300,,                 51437,,                  4602,,                149581,,                 13344,              1307773,,,                109849,,                 40043,                 42498,,                  8480,                200870,              1508643,,,,,                 11188,,                 76178,,                153817,                  6067,,                  1330,                248580,,,                  1374,,                    379,                  1753,                250333,,,,                570909,                570909,,,                346143,                107451,                453594,,                 59708,,                102531,                134396,                236927,                296635,,,                    105,                    105,,                -62933,                -62933,                -62828,              1258310,                              0,              1258310,              1508643,          4000,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5269,2015年06月30日,,,,                731178,,                225106,,                138708,,                 28960,,                  4236,,                192240,,                  8053,              1328505,,,                103282,,                 28632,                 40125,,                  8483,                180522,              1509027,,,,,                  2574,,                 41871,,                303363,                  8330,,                  1045,                357193,,,                              0,,                    379,                    379,                357572,,,,                571199,                571199,,,                346143,                107451,                453594,,                 59708,,,,                145415,                205123,,,,,,,                -78461,                -78461,              1151455,,              1151455,              1509027,         29000,              0,              0,,                     24,,                     10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5269,2015年03月31日,,,,                711520,,                213505,,                168901,,                 38440,,                  4997,,                195168,,                  8548,              1341079,,,                 97567,,                 34883,                 40646,,                  8792,                181888,              1522967,,,,,                  4695,,                 70132,,                128933,                 15911,,                  1026,                220697,,,                              0,,                    379,                    379,                221076,,,,                571199,                571199,,,                346143,                114192,                460335,,                 36906,,,,                333021,                369927,,,,,,,                -99570,                -99570,              1301891,,              1301891,              1522967,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5269,2014年12月31日,,,,                602626,,                224570,,                190979,,                 51006,,                  3435,,                201435,,                 13963,              1288014,,,                 95897,,                 33167,                 39916,,                  8328,                177308,              1465322,,,,,                  6995,,                 39719,,                162106,                 10078,,                  1024,                219922,,,                  1295,,                    379,                  1674,                221596,,,,                563879,                563879,,,                346143,                              0,                346143,,                 36906,,                 68671,                228022,                296693,                333599,,,                    105,                    105,,                              0,                              0,                    105,              1243726,                              0,              1243726,              1465322,              0,              0,              0,,,,,                602626,              1465322,,,,                              0,,                  6995,,                 39719,,                162106,                 10078,,                  1024,                219922,,,                  1295,,                    379,                  1674,                221596,,,,                563879,                563879,,,                346143,                346143,,                 36906,,                296798,                333704,              1243726,              1243726,,,
5269,2014年09月30日,,,,                541017,,                185864,,                169715,,                 51004,,                  8588,,                288795,,                 14719,              1259702,,,                 99848,,                 39228,                 39304,,                  8326,                186706,              1446408,,,,,                 10938,,                 84366,,                158198,                  2918,,                  1805,                258225,,,                    497,,                    633,                  1130,                259355,,,,                563879,                563879,,,                346143,                              0,                346143,,                 36906,,                 68671,                171327,                239998,                276904,,,                    127,                    127,,                              0,                              0,                    127,              1187053,                              0,              1187053,              1446408,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5269,2014年06月30日,,,,                443624,,                346971,,                161007,,                 62503,,                  4559,,                244112,,                  7696,              1270472,,,                 89341,,                 44565,                 43904,,                  5722,                183532,              1454004,,,,,                  2081,,                101091,,                208024,                  9382,,                    937,                321515,,,                              0,,                    633,                    633,                322148,,,,                563879,                563879,,,                346143,                              0,                346143,,                 36906,,,,                184801,                221707,,,,,,,                    127,                    127,              1131856,,              1131856,              1454004,              0,              0,              0,,                              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5269,2014年03月31日,,,,                309444,,                426391,,                120277,,                 41176,,                 10516,,                242066,,                 11133,              1161003,,,                 98010,,                 41203,                 43757,,                  5552,                188522,              1349525,,,,,                  4518,,                 70906,,                123408,                 14935,,                    892,                214659,,,                    130,,                    633,                    763,                215422,,,,                563879,                563879,,,                346143,                              0,                346143,,                 28208,,,,                195746,                223954,,,,,,,                    127,                    127,              1134103,,              1134103,              1349525,              0,              0,              0,,,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5269,2013年12月31日,,,,,,                425818,,                118645,,                 65709,,                  4426,,                174669,,                 11613,              1139201,,,                 99972,,                 46331,                 51701,,                  5552,                203556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                338321,              1342757,,,,                    777,,                  6588,,                 99985,,                132447,                 14935,,                    872,                255604,,,                    309,,                    633,                    942,                256546,,,,                563879,                563879,,,                346143,                346143,,                 28208,,                147981,                176189,              1086211,              1086211,,,
5269,2013年09月30日,,,,,,                452069,,                131125,,                 58426,,                  4671,,                120978,,                  6620,              1039748,,,                111165,,                 45487,                 48889,,                  2733,                208274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                265859,              1248022,,,,                              0,,                    736,,                 53885,,                112482,                 11492,,                  1693,                180288,,,                              0,,                    848,                    848,                181136,,,,                563879,                563879,,,                346143,                346143,,                 28208,,                128656,                156864,              1066886,              1066886,,,
5269,2013年06月30日,,,,,,                501288,,                162244,,                 47603,,                  3233,,                138545,,                  7630,              1190567,,,                113247,,                 41842,                 49656,,                  2730,                207475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,,,                330024,              1398042,,,,                    162,,                  1647,,                 67000,,                251250,                  9442,,                  1088,                330589,,,                    224,,                 14003,                 14227,                344816,,,,                563879,                563879,,,                346143,                346143,,                 28208,,                114996,                143204,              1053226,              1053226,,,
