證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 其他流動負債,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積－發行溢價,　　　　　　 資本公積－發行溢價合計,　　　　　 資本公積－庫藏股票交易,　　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　　 資本公積－員工認股權,　　　　　 資本公積－其他,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 法定盈餘公積,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 其他流動負債,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－庫藏股票交易,　　　　 資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,　　　　 資本公積－員工認股權,　　　　 資本公積合計,　　　 保留盈餘,　　　　 法定盈餘公積,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額
2380,2015年09月30日,,,,                504768,,                509867,,                    436,,                543192,,                  5963,,                 11119,,                828177,,                 51597,,                  7000,              2462119,,,                331834,,                 31981,,                994005,,                 34187,                210763,,                 63219,              1665989,              4128108,,,,,                115121,,                    200,,                251244,,                141667,                  5432,,                 13426,,                  4510,                531600,,,                 55400,,                153379,                208779,                740379,,,,              2188519,              2188519,,,                646206,                 21945,                     63,                 68037,                 52299,                788550,,                586521,                  5836,,               -341562,                250795,,,                269539,,                -70563,                198976,                 39815,              3387025,                    704,              3387729,              4128108,              0,              0,      3868078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,2015年06月30日,,,,                514042,,                456351,,                  1433,,                521091,,                  4195,,                  6876,,                864730,,                 47565,,                 11059,              2427342,,,                351040,,                 66320,,                982172,,                 34650,                211205,,                 60257,              1705644,              4132986,,,,,                106487,,                    199,,                311348,,                121248,                  1312,,                 13936,,                  7979,                562509,,,                 43799,,                152809,                196608,                759117,,,,              2202259,              2202259,,,                650263,                 17157,                     63,                118788,,                786271,,                586521,                  5836,,               -324437,                267920,,,                212055,,                -54207,                157848,                 41195,              3373103,                    766,              3373869,              4132986,              0,              0,      3625078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,2015年03月31日,,,,                611134,,                376798,,                    324,,                508947,,                 10208,,                 16928,,                901836,,                 54949,,                  9464,              2490588,,,                384274,,                 67777,,                978600,,                 37164,                207338,,                 61550,              1736703,              4227291,,,,,                108536,,                    192,,                296208,,                121394,                  5830,,                 14073,,                  5532,                551765,,,                 49598,,                152178,                201776,                753541,,,,              2202259,              2202259,,,                650263,                 17157,                     63,                116880,,                784363,,                586521,                  5836,,               -270762,                321595,,,                232639,,                -26622,                206017,                 41195,              3473039,                    711,              3473750,              4227291,              0,              0,      3625078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,2014年12月31日,,,,              1057348,,                              0,,                    737,,                580188,,                  9998,,                  8477,,                893398,,                 49248,,                  9865,              2609259,,,                400855,,                 67687,,              1004142,,                 40088,                215535,,                 63045,              1791352,              4400611,,,,,                140507,,                    237,,                320262,,                161512,                  8220,,                 13885,,                  5147,                649770,,,                 60393,,                151039,                211432,                861202,,,,              2202244,              2202244,,,                650263,                 17157,                     63,                115019,                              0,                782502,,                586521,                  5836,,               -215422,                376935,,,                247255,,                -29193,                218062,                 41195,              3538548,                    861,              3539409,              4400611,              0,              0,      3625078,              1057348,              4400611,,,,                140507,,                    237,,                320262,,                161512,                  8220,,                 13885,,                  5147,                649770,,,                 60393,,                151039,                211432,                861202,,,,              2202244,              2202244,,,                650263,                 17157,                     63,                115019,                782502,,                586521,                  5836,,               -215422,                376935,,,                247255,,                -29193,                218062,                 41195,              3538548,                    861,              3539409
2380,2014年09月30日,,,,                600686,,                423308,,                    540,,                538753,,                  6654,,                  5217,,                926912,,                 45247,,                  7000,              2554317,,,                416247,,                 69413,,              1010620,,                 40922,                160360,,                 69064,              1766626,              4320943,,,,,                152422,,                              0,,                350428,,                148194,                  4290,,                 12557,,                 10753,                678644,,,                  1974,,                148716,                150690,                829334,,,,              2202244,              2202244,,,                650263,                 17157,                     63,                113003,                              0,                780486,,                586521,                  5836,,               -232974,                359383,,,                204085,,                -14249,                189836,                 41195,              3490754,                    855,              3491609,              4320943,              0,              0,      3625078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,2014年06月30日,,,,                614353,,                430572,,                    610,,                608237,,                  4359,,                  7612,,                898767,,                 46425,,                 11279,              2622214,,,                434606,,                 67000,,                988794,,                 41685,                199056,,                 69550,              1800691,              4422905,,,,,                236968,,                              0,,                336777,,                141789,                  6648,,                 14566,,                 10078,                746826,,,                 35982,,                148120,                184102,                930928,,,,              2202214,              2202214,,,                650263,                 17157,                     63,                110123,,                777606,,                586521,                  5836,,               -207031,                385326,,,                166039,,                  1987,                168026,                 41195,              3491977,                              0,              3491977,              4422905,              0,              0,      3625078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,2014年03月31日,,,,                663436,,                216656,,                  2205,,                580491,,                  6662,,                 22740,,              1019218,,                 45608,,                 14272,              2571288,,,                412455,,                 69474,,              1014040,,                 44642,                206409,,                 75835,              1822855,              4394143,,,,,                150735,,                    385,,                330614,,                137443,                              0,,                 13803,,                 11924,                644904,,,                 40833,,                147435,                188268,                833172,,,,              2202214,              2202214,,,                650263,                 17157,                     63,                108864,,                776347,,                586521,                  5836,,               -141973,                450384,,,                189727,,                -16506,                173221,                 41195,              3560971,                              0,              3560971,              4394143,              0,              0,      3625078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2380,2013年12月31日,,,,,,                187587,,                     50,,                528578,,                 11297,,                  9544,,              1033216,,                 58066,,                 15238,              2564201,,,                410879,,                 69653,,              1041425,,                 44568,                204403,,                 70722,              1841650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3625078,                720625,              4405851,,,,                120167,,                    230,,                347779,,                152854,                  2359,,                 13803,,                  4083,                641275,,,                 44946,,                146843,                191789,                833064,,,,              2202176,              2202176,,,                650263,                 17157,                     63,                104415,                771898,,                586521,                  5836,,               -129108,                463249,,,                194884,,                -18225,                176659,                 41195,              3572787,                              0,              3572787
2380,2013年09月30日,,,,,,                              0,,                  2738,,                705246,,                  9951,,                 33648,,              1086074,,                 58585,,                  9199,              2660829,,,                362495,,                 70133,,              1024171,,                 46689,                222771,,                 68121,              1794380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3625078,                755388,              4455209,,,,                207869,,                              0,,                325577,,                159755,                  8280,,                 13803,,                 26380,                741664,,,                 33791,,                157959,                191750,                933414,,,,              2202106,              2202106,,,                650263,                 17157,                     63,                 99578,                767061,,                586521,                  5836,,               -117377,                474980,,,                164981,,                -46138,                118843,                 41195,              3521795,                              0,              3521795
2380,2013年06月30日,,,,,,                              0,,                  3147,,                770333,,                 21132,,                 17408,,              1178816,,                 96315,,                 10399,              2756406,,,                365906,,                 70853,,              1063619,,                 38162,                218302,,                 62659,              1819501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,      3625078,                658856,              4575907,,,,                302009,,                    525,,                265299,,                190170,                  9731,,                 12552,,                 31179,                811465,,,                 36815,,                157432,                194247,              1005712,,,,              2202106,              2202106,,,                650263,                 17157,                     63,                 93631,                761114,,                586521,                  5836,,                -77533,                514824,,,                179743,,                -46397,                133346,                 41195,              3570195,,              3570195
