證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 待出售非流動資產（淨額）,　　　　 待出售非流動資產（淨額）,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 存出保證金,　　　　 長期預付租金,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 其他應付款項－關係人,　　　　 本期所得稅負債,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 與待出售非流動資產直接相關之負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 長期借款合計,　　　　 負債準備-非流動,　　　　　 員工福利負債準備－非流動,　　　　　 負債準備－非流動合計,　　　　 其他非流動負債,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 國外營運機構財務報表換算之兌換差額,　　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 備供出售金融資產未實現損益,　　　　　　 備供出售金融資產未實現損益合計,　　　　　 與待出售非流動資產直接相關之權益,　　　　　　 與待出售非流動資產直接相關之權益合計,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　　 資本公積－庫藏股票交易,　　　　 現金及約當現金合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 其他應付款項－關係人,　　　 當期所得稅負債,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 與待出售非流動資產直接相關之負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 負債準備-非流動,　　　　 員工福利負債準備－非流動,　　　　 負債準備－非流動合計,　　　 其他非流動負債,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　 備供出售金融資產未實現損益,　　　　　 備供出售金融資產未實現損益合計,　　　　 與待出售非流動資產直接相關之權益,　　　　　 與待出售非流動資產直接相關之權益合計,　　　　 其他權益合計,　　　 庫藏股票,　　　 歸屬於母公司業主之權益合計,　　 非控制權益,　　 權益總額,　　　 長期借款,　　　　 長期借款合計,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 資本公積－庫藏股票交易,　　　　　 其他金融資產－其他－非流動,　　　　 資本公積－發行溢價,　　　　　 資本公積－發行溢價合計
3701,2015年09月30日,,,,                777678,,                  2434,,                 80647,,                 14543,,              2280272,,                 12479,,                108546,,                  3162,,              1898519,,                388598,,                236063,,              1655124,                  4143,              1659267,              7462208,,,                 39689,,                226834,,              2786356,,              1328395,                 26608,,                 53130,                287523,,                              0,                              0,                340653,              4748535,             12210743,,,,,              2625790,,                 22827,,                  2935,,              2471076,,                147064,,                952584,              1801445,                 17948,,                  7252,                 86439,,,                 17130,,                 24653,                137286,                179069,              8314429,,,                 24652,,                 48099,                 48099,,                 23191,                 95942,              8410371,,,,              3206891,              3206891,,                151669,,,             -1792373,             -1792373,,,                208224,,                 63050,,                -23993,                247281,                  3232,              1810236,              1990136,              3800372,             12210743,              0,              0,        338048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,2015年06月30日,,,,                989923,,                  3181,,                109665,,                 31357,,              2166813,,                 15381,,                104000,,                  8615,,              1909221,,                364342,,                160932,,              1767973,                  2481,              1770454,              7633884,,,                 39779,,                225194,,              2806970,,              1215123,                 27720,,                 49227,                278176,,                    552,                    552,                327955,              4642741,             12276625,,,,,              3049449,,                 11711,,                  2942,,              2449509,,                 94605,,                886324,              1788578,                    887,,                  6657,                 57924,,,                 17657,,                              0,                115379,                133036,              8481622,,,,,                 49312,                 49312,,                 19891,                 69203,              8550825,,,,              3206891,              3206891,,                152006,,,             -1756640,             -1756640,,,                 77444,,                 94618,,                -23775,                148287,                  3232,              1747312,              1978488,              3725800,             12276625,              0,              0,        338048,,                              0,                152006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,2015年03月31日,,,,              1171784,,                  2885,,                 48966,,                 49139,,              2237995,,                 14758,,                137597,,                  3109,,              2017647,,                312985,,                198455,,              2009974,                  4844,              2014818,              8210138,,,                 47182,,                234622,,              3088631,,              1232849,                 33790,,                 46398,                284104,,                    560,                    560,                331062,              4968136,             13178274,,,,,              3416506,,                101297,,                  2933,,              2651983,,                166782,,                850605,              1793121,                      6,,                  6715,                 67433,,,                 15583,,                              0,                 98418,                114001,              9171382,,,,,                 48457,                 48457,,                 19097,                 67554,              9238936,,,,              3206891,              3206891,,                151878,,,             -1628148,             -1628148,,,                115998,,                 42271,,                -31524,                126745,                  3232,              1854134,              2085204,              3939338,             13178274,              0,              0,        338048,,,                151878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,2014年12月31日,,,,              1222325,,                  2774,,                 88978,,                 30390,,              2746677,,                 16821,,                195751,,                  3057,,              1994281,,                335885,,                215351,,              1664353,                  1840,              1666193,              8518483,,,                 47182,,                237830,,              3172053,,              1251971,                 27747,,                 47172,                288784,,                    565,                    565,                336521,              5073304,             13591787,,,,,              3079860,,                159413,,                  2934,,              2925500,,                139040,,              1067132,              1816872,                 33452,,                  7966,                 54218,,,                  9371,,                              0,                171741,                181112,              9467499,,,                              0,,                 48191,                 48191,,                 16253,                 64444,              9531943,,,,              3206891,              3206891,,                151878,,,             -1639471,             -1639471,,,                155586,,                 76328,,                 -6053,                225861,                  3232,              1941927,              2117917,              4059844,             13591787,              0,              0,        338048,,                              0,                151878,              1222325,             13591787,,,,              3079860,,                159413,,                  2934,,              2925500,,                139040,,              1067132,              1816872,                 33452,,                  7966,                 54218,,,                  9371,                171741,                181112,              9467499,,,                 42460,                 42460,,                 16253,                 58713,              9526212,,,,              3206891,              3206891,,                151878,,,             -1633918,             -1633918,,,                155586,,                 76328,,                 -6053,                225861,                  3232,              1947480,              2118095,              4065575,,,,,,,,
3701,2014年09月30日,,,,              1492700,,                  2289,,                137540,,                  9481,,              2261527,,                 11751,,                166223,,                  3387,,              2047719,,                346740,,                217405,,              1734109,                  4411,              1738520,              8435282,,,                 57401,,                240085,,              3319181,,              1261379,                 33267,,                 38876,                281759,,                    548,                    548,                321183,              5232496,             13667778,,,,,              2970899,,                148903,,                  2932,,              3122615,,                138059,,                996131,              1805152,                  8054,,                    403,                 52430,,,                 14591,,                              0,                124530,                139121,              9384699,,,                              0,,                 50186,                 50186,,                 14750,                 64936,              9449635,,,,              3206891,              3206891,,                149134,,,             -1532677,             -1532677,,,                 65310,,                117949,,                  3498,                186757,                  3232,              2006873,              2211270,              4218143,             13667778,              0,              0,        338048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,2014年06月30日,,,,              1259450,,                  3064,,                              0,,                 10259,,              2591247,,                 16808,,                157894,,                  7022,,              1713601,,                338557,,                229489,,              2337998,                  2782,              2340780,              8668171,,,                 70575,,                241518,,              3443675,,              1129870,                 31369,,                 23330,                276581,,                    533,                    533,                300444,              5217451,             13885622,,,,,              3670428,,                193374,,                  2930,,              2920966,,                129595,,              1089492,              1798047,                 22150,,                  1806,                 53594,,,                 57599,,                              0,                124481,                182080,             10064462,,,,,                 54841,                 54841,,                 13720,                 68561,             10133023,,,,              3206891,              3206891,,                 75099,,,             -1577905,             -1577905,,,                   -969,,                 -3447,,                 20573,                 16157,                  3232,              1717010,              2035589,              3752599,             13885622,              0,              0,        338048,,                              0,                 75099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,2014年03月31日,,,,              1164002,,                 19552,,                              0,,                  3998,,              2557347,,                 20111,,                128344,,                  2327,,              1761440,,                548521,,                233839,,              2037543,                  7099,              2044642,              8484123,,,                 70789,,                249535,,              3595118,,              1156201,                 37467,,                 29928,                283598,,                    543,                    543,                314069,              5423179,             13907302,,,,,              3689575,,                182408,,                  2965,,              2879969,,                 72055,,              1079042,              1776802,                  5998,,                  3360,                 51171,,,                 10533,,                              0,                168192,                178725,              9922070,,,,,                 56056,                 56056,,                 12719,                 68775,              9990845,,,,              3206891,              3206891,,                 75099,,,             -1527841,             -1527841,,,                 54073,,                 -3916,,                 23625,                 73782,                  3232,              1824699,              2091758,              3916457,             13907302,              0,              0,        338048,,,                 75099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,2014年01月01日,,,,              1013087,,                 30497,,                              0,,                  2876,,              2798510,,                 13364,,                120536,,                  2259,,              1609913,,                506155,,                222135,,              1854030,                  3178,              1857208,              8176540,,,                 73864,,                255876,,              3662559,,              1165873,                 42753,,                 29705,                286825,,                    381,                    381,                316911,              5517836,             13694376,,,,,              3721462,,                              0,,                  2892,,              2690568,,                 24817,,                991378,              1651980,                 17614,,                  2390,                 39999,,,                  7960,,                              0,                139123,                147083,              9290183,,,                              0,,                 51355,                 51355,,                 12789,                 64144,              9354327,,,,              3206891,              3206891,,                 75099,,,             -1307970,             -1307970,,,                 61546,,                 -4085,,                 23588,                 81049,                  3232,              2051837,              2288212,              4340049,             13694376,              0,              0,        338048,,                              0,                 75099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,2013年12月31日,,,,,,                 30497,,                              0,,                  2876,,              2798510,,                 13364,,                120536,,                  2259,,              1609913,,                506155,,                222135,,              1854030,                  3178,              1857208,              8176540,,,                 73864,,                255876,,              3662559,,              1165873,                 42753,,                 29705,                286825,,                    381,                    381,                316911,              5517836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        338048,,,,              1013087,             13694376,,,,              3721462,,                              0,,                  2892,,              2690568,,                 24817,,                991378,              1651980,                 17614,,                  2390,                 39999,,,                  7960,                139123,                147083,              9290183,,,                 41746,                 41746,,                 12789,                 54535,              9344718,,,,              3206891,              3206891,,                 75099,,,             -1298660,             -1298660,,,                 61546,,                 -4085,,                 23588,                 81049,                  3232,              2061147,              2288511,              4349658,,                              0,,,,,,
3701,2013年09月30日,,,,,,                 20579,,                              0,,                  5319,,              3041911,,                  8131,,                169908,,                  2148,,              1679818,,                464750,,                              0,,              1789297,                  5195,              1794492,              8735908,,,                137679,,                261817,,              3723950,,              1140506,                 57903,,                 26681,                283394,,                    369,                    369,                310444,              5632299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,        338048,,,,              1548852,             14368207,,,,              4409584,,                 13686,,                  3095,,              2598885,,                 38121,,              1025196,              1618060,                  9006,,                  7925,                              0,,,                 21399,                146193,                167592,              9891150,,,                 53058,                 53058,,                 12606,                 65664,              9956814,,,,              3206891,              3206891,,                 74229,,,             -1206210,             -1206210,,,                 21934,,                 -5120,,                              0,                 16814,                  3232,              2088492,              2322901,              4411393,,                              0,,,,,,
