證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 現金及約當現金總額,　　　 透過損益按公允價值衡量之金融資產－流動,　　　　 透過損益按公允價值衡量之金融資產－流動合計,　　　 備供出售金融資產－流動,　　　　 備供出售金融資產－流動淨額,　　　 應收票據淨額,　　　　 應收票據淨額,　　　 應收帳款淨額,　　　　 應收帳款淨額,　　　 應收帳款－關係人淨額,　　　　 應收帳款－關係人淨額,　　　 其他應收款,　　　　 其他應收款淨額,　　　 其他應收款－關係人,　　　　 其他應收款－關係人淨額,　　　 當期所得稅資產,　　　　 本期所得稅資產合計,　　　 存貨,　　　　 存貨合計,　　　 預付款項,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 採用權益法之投資,　　　　 採用權益法之投資淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 投資性不動產淨額,　　　　 投資性不動產淨額,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付短期票券,　　　　　 應付短期票券合計,　　　　 透過損益按公允價值衡量之金融負債－流動,　　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　　 應付票據,　　　　　 應付票據合計,　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 應付帳款－關係人,　　　　　 應付帳款－關係人合計,　　　　 其他應付款,　　　　　 其他應付款－其他,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 一年或一營業週期內到期長期負債,　　　　　　 一年或一營業週期內到期長期負債合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 非流動負債,　　　　 長期借款,　　　　　 銀行長期借款,　　　　　 其他長期借款,　　　　　 長期借款合計,　　　　 遞延所得稅負債,　　　　　 遞延所得稅負債合計,　　　　 其他非流動負債,　　　　　 淨確定福利負債-非流動,　　　　　 存入保證金,　　　　　 其他非流動負債合計,　　　　 非流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 歸屬於母公司業主之權益合計,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 負債準備-流動,　　　　　 負債準備－流動合計,　　　　 現金及約當現金合計,　　　　 當期所得稅資產合計,　　 資產總額,　 負債,　　 流動負債,　　　 短期借款,　　　　 短期借款合計,　　　 應付短期票券,　　　　 應付短期票券合計,　　　 透過損益按公允價值衡量之金融負債－流動,　　　　 透過損益按公允價值衡量之金融負債－流動合計,　　　 應付票據,　　　　 應付票據合計,　　　 應付帳款,　　　　 應付帳款合計,　　　 應付帳款－關係人,　　　　 應付帳款－關係人合計,　　　 其他應付款,　　　　 其他應付款－其他,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 一年或一營業週期內到期長期負債,　　　　　 一年或一營業週期內到期長期負債合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 非流動負債,　　　 長期借款,　　　　 銀行長期借款,　　　　 其他長期借款,　　　　 長期借款合計,　　　 遞延所得稅負債,　　　　 遞延所得稅負債合計,　　　 其他非流動負債,　　　　 應計退休金負債（應付退休金費用）,　　　　 存入保證金,　　　　 其他非流動負債合計,　　　 非流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　 負債準備-流動,　　　　 負債準備－流動合計,　　　 透過損益按公允價值衡量之金融負債－非流動,　　　　 透過損益按公允價值衡量之金融負債－非流動合計,　　　 透過損益按公允價值衡量之金融資產－非流動,　　　　 透過損益按公允價值衡量之金融資產－非流動合計,　　　 遞延所得稅資產,　　　　 法定盈餘公積,　　　　 其他權益－其他,　　　　　 其他權益－其他合計
2014,2015年09月30日,,,,                 45251,,                243377,,                635697,,                              0,,                542220,,                 39729,,                115855,,                304207,,                    635,,              4075078,,                516954,,                525500,                  8015,                533515,              7052518,,,                 76896,,              1700552,,             16856906,,              5942742,,                 92673,                  5962,                 98635,             24675731,             31728249,,,,,             11946896,,              1799393,,                              0,,                              0,,                 97097,,                 87053,,                800228,                800228,                     64,,,              1076923,                 46592,              1123515,             15854246,,,              6709031,              1299081,              8008112,,                182222,,                217812,                 35120,                252932,              8443266,             24297512,,,,             14355444,             14355444,,                    903,,,             -5785751,             -5785751,,             -1139859,              7430737,              7430737,             31728249,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2015年06月30日,,,,                167238,,                260168,,                816143,,,,                705466,,                 86469,,                  8140,,                511023,,                    586,,              4455011,,                591005,,                525500,                 30680,                556180,              8157429,,,                 85275,,              2185590,,             15737945,,              5459174,,              1266790,                  7454,              1274244,             24742228,             32899657,,,,,              9380045,,              2258934,,                              0,,                              0,,                 79001,,                 51231,,                872038,                872038,                     91,,,              1076923,                243204,              1320127,             13961467,,,              9496522,              1299904,             10796426,,                182487,,                226603,                 35120,                261723,             11240636,             25202103,,,,             14355444,             14355444,,                    903,,,             -6294923,             -6294923,,               -363870,              7697554,              7697554,             32899657,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2015年03月31日,,,,                 88738,,                272664,,                860840,,,,                724554,,                 55535,,                103637,,                248611,,                    561,,              7916003,,                635990,,                525500,                 30885,                556385,             11463518,,,                 83803,,              2333876,,             16143028,,              4308547,,              1256192,                  5734,              1261926,             24131180,             35594698,,,,,             11790732,,              2259182,,                    337,,                              0,,                610580,,                 63558,,                820394,                820394,                    121,,,              1076923,                114370,              1191293,             16746397,,,              9495550,              1299616,             10795166,,                182815,,                235513,                 35120,                270633,             11248614,             27995011,,,,             14355444,             14355444,,                    903,,,             -6581961,             -6581961,,               -174699,              7599687,              7599687,             35594698,              0,              0,              0,,                 10200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014年12月31日,,,,                 19604,,                283979,,                870773,,                              0,,                760663,,                 59097,,                137966,,                119089,,                    550,,              7095557,,                615361,,                525500,                 43054,                568554,             10531193,,,                 83707,,              2369107,,             16429842,,              4308752,,              1251659,                  5734,              1257393,             24448801,             34979994,,,,,              7837538,,              2401665,,                              0,,                 17386,,                692615,,                 65055,,                650234,                650234,                     57,,,              1076923,                 45543,              1122466,             12787016,,,             11383040,              1299251,             12682291,,                184132,,                246935,                 35120,                282055,             13148478,             25935494,,,,             14355444,             14355444,,                    903,,,             -5179417,             -5179417,,               -132430,              9044500,              9044500,             34979994,              0,              0,              0,,                              0,                 19604,                    550,             34979994,,,,              7837538,,              2401665,,                              0,,                 17386,,                692615,,                 65055,,                650234,                650234,                     57,,,              1076923,                 45543,              1122466,             12787016,,,             11383040,              1299251,             12682291,,                184132,,                215391,                 35120,                250511,             13116934,             25903950,,,,             14355444,             14355444,,                    903,,,             -5147873,             -5147873,,               -132430,              9076044,              9076044,,,,,,,,,,
2014,2014年09月30日,,,,                 46357,,                274217,,                860840,,                    751,,              1062812,,                108279,,                108795,,                100917,,                    462,,              5835250,,                652680,,                525500,                142709,                668209,              9719569,,,                 84229,,              2339752,,             16801964,,              4308958,,              1374001,                  5733,              1379734,             24914637,             34634206,,,,,             10731256,,              2386088,,                     22,,                              0,,                526304,,                 65997,,                725370,                725370,                              0,,,              2375323,                102670,              2477993,             16913030,,,              6932069,              1298877,              8230946,,                182448,,                178344,                 35120,                213464,              8626858,             25539888,,,,             14355444,             14355444,,                    903,,,             -5087756,             -5087756,,               -174273,              9094318,              9094318,             34634206,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014年06月30日,,,,                 11150,,                276316,,                814747,,,,              1110128,,                248306,,                 23018,,                 79070,,                    406,,              6481434,,                825813,,                528059,                394625,                922684,             10793072,,,                 82839,,              2119689,,             16987748,,              4309164,,              1479070,                  5651,              1484721,             24984161,             35777233,,,,,              9901839,,              1649369,,                  2544,,                  9769,,              1680958,,                449452,,                710558,                710558,                              0,,,              3324723,                 38694,              3363417,             17767906,,,              7469559,              1299854,              8769413,,                182742,,                185451,                 35120,                220571,              9172726,             26940632,,,,             14355444,             14355444,,                    903,,,             -5148193,             -5148193,,               -371553,              8836601,              8836601,             35777233,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2014年03月31日,,,,                 32728,,                285199,,                832600,,,,              1112395,,                 64014,,                112461,,                376679,,                    562,,              6852923,,                796609,,                525500,                 17371,                542871,             11009041,,,                 56362,,              2180118,,             17186922,,              4309369,,              1463455,                  6032,              1469487,             25202258,             36211299,,,,,              9891534,,              2605759,,                  2517,,                  8357,,              1401036,,                550541,,                768208,                768208,                              0,,,              1076923,                362606,              1439529,             16667481,,,              8965788,              1299521,             10265309,,                182996,,                191232,                 35120,                226352,             10674657,             27342138,,,,             14355444,             14355444,,                    903,,,             -5162578,             -5162578,,               -324608,              8869161,              8869161,             36211299,              0,              0,              0,,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,2013年12月31日,,,,,,                287774,,                876421,,,,                466728,,                 81754,,                290273,,                 33862,,,,              7125502,,                897422,,                516000,                 50105,                566105,             10729190,,,                 56961,,              2324605,,             17409648,,              4309575,,              1393917,                 18084,              1412001,             25512790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                102721,                    628,             36241980,,,,              8611347,,              2140920,,                  3674,,                110111,,              1258346,,                 70144,,                847252,                847252,                              0,,,              1076923,              1152852,              2229775,             15271569,,,             11652678,                              0,             11652678,,                182791,,                163693,                 35120,                198813,             12034282,             27305851,,,,             14355444,             14355444,,                    903,,,             -5281959,             -5281959,,               -138259,              8936129,              8936129,,,,,,,,,,
2014,2013年09月30日,,,,,,                286847,,                              0,,                              0,,              1210727,,                 57766,,                 90388,,                412021,,,,              6065066,,                854363,,                516000,                 45323,                561323,              9865794,,,              1169873,,              2217175,,             17173067,,              4302774,,              1408092,                 27569,              1435661,             26298550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                326734,                    559,             36164344,,,,              9812254,,              2210205,,                  3003,,                  8144,,                771404,,                178355,,                917150,                917150,,,,              1076923,              1201698,              2278621,             16284136,,,             10951106,                              0,             10951106,,                183918,,                161957,                 35120,                197077,             11334266,             27618402,,,,             14355444,             14355444,,                    903,,,             -5593773,             -5593773,,               -216632,              8545942,              8545942,,                105000,,                  2165,,,,,,
2014,2013年06月30日,,,,,,                304044,,                              0,,,,                989637,,                199586,,                  3202,,                 30815,,,,              7524218,,                912094,,                516000,                 24271,                540271,             10601055,,,              1098999,,              2004991,,             16942504,,              4302979,,              1337801,                 25048,              1362849,             25712322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,,,                 96674,                    514,             36313377,,,,              8818877,,              1767847,,                  2455,,                  4360,,              1019365,,                243488,,                883680,                883680,                    208,,,              1076923,              1225930,              2302853,             15133883,,,             12237996,                              0,             12237996,,                186173,,                166767,                 35120,                201887,             12628174,             27762057,,,,             14355444,             14355444,,                    903,,,             -5344780,             -5344780,,               -460247,              8551320,              8551320,,                 90750,,                  2118,,,,,,
