證券代號,年季,　 資產,　　 流動資產,　　　 現金及約當現金,　　　　 零用金／週轉金,　　　　 銀行存款,　　　　 現金及約當現金總額,　　　 無活絡市場之債券投資－流動,　　　　 無活絡市場之債券債務工具投資-流動淨額,　　　 應收帳款淨額,　　　　 應收帳款,　　　　 備抵呆帳－應收帳款、分期帳款及租賃款,　　　　 應收帳款淨額,　　　 其他應收款,　　　　 其他應收款－其他,　　　　 其他應收款淨額,　　　 存貨,　　　　 存貨－製造業,　　　　　 存貨－製造業淨額,　　　　 存貨合計,　　　 預付款項,　　　　 預付貨款,　　　　 預付款項合計,　　　 其他流動資產,　　　　 其他金融資產－流動,　　　　 其他流動資產－其他,　　　　 其他流動資產合計,　　　 流動資產合計,　　 非流動資產,　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動,　　　　 備供出售金融資產－非流動淨額,　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動,　　　　 以成本衡量之金融資產－非流動淨額,　　　 不動產、廠房及設備,　　　　 不動產、廠房及設備合計,　　　 無形資產,　　　　 無形資產合計,　　　 遞延所得稅資產,　　　 其他非流動資產,　　　　 預付設備款,　　　　 存出保證金,　　　　 其他金融資產－非流動,　　　　　 其他金融資產－非流動合計,　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他,　　　　　 其他非流動資產－其他合計,　　　　 其他非流動資產合計,　　　 非流動資產合計,　　 資產總計,　 負債及權益,　　 負債,　　　 流動負債,　　　　 短期借款,　　　　　 短期借款合計,　　　　 應付帳款,　　　　　 應付帳款,　　　　　 應付帳款合計,　　　　 其他應付款,　　　　　 其他應付款合計,　　　　 本期所得稅負債,　　　　 其他流動負債,　　　　　 預收款項,　　　　　　 預收款項合計,　　　　　 其他流動負債－其他,　　　　　 其他流動負債合計,　　　　 流動負債合計,　　　 負債總計,　　 權益,　　　 歸屬於母公司業主之權益,　　　　 股本,　　　　　 普通股股本,　　　　　 股本合計,　　　　 資本公積,　　　　　 資本公積合計,　　　　 保留盈餘,　　　　　 特別盈餘公積,　　　　　 未分配盈餘（或待彌補虧損）,　　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　　 保留盈餘合計,　　　　 其他權益,　　　　　 其他權益合計,　　　　 庫藏股票,　　　　 歸屬於母公司業主之權益合計,　　　 共同控制下前手權益,　　　 非控制權益,　　　 權益總額,　　 負債及權益總計,　　 待註銷股本股數,　　 預收股款（權益項下）之約當發行股數,　　 母公司暨子公司所持有之母公司庫藏股股數（單位：股）,　　　　 現金及約當現金合計,　　　　 無活絡市場之債券投資－流動淨額,　　 資產總額,　 負債,　　 流動負債,　　　 應付帳款,　　　　 應付帳款合計,　　　 其他應付款,　　　　 其他應付款合計,　　　 當期所得稅負債,　　　 其他流動負債,　　　　 預收款項,　　　　　 預收款項合計,　　　　 其他流動負債－其他,　　　　 其他流動負債合計,　　　 流動負債合計,　　 負債總額,　 權益,　　 歸屬於母公司業主之權益,　　　 股本,　　　　 普通股股本,　　　　 股本合計,　　　 資本公積,　　　　 資本公積合計,　　　 保留盈餘,　　　　 特別盈餘公積,　　　　 未分配盈餘（或待彌補虧損）,　　　　　 未分配盈餘（或待彌補虧損）合計,　　　　 保留盈餘合計,　　　 其他權益,　　　　 其他權益合計,　　　 歸屬於母公司業主之權益合計,　　 權益總額,　　　　 電腦軟體淨額,　　　　　 電腦軟體,　　　　　 電腦軟體淨額,　　　　 其他無形資產,　　　　　 其他無形資產,　　　　　 其他無形資產淨額,　　　　 應付薪資,　　　　 其他應付費用,　　　　 應付設備款,　　　　 應付營業稅,　　　　　 製成品,　　　　　 在製品,　　　　　 原料,　　　　　 備抵存貨跌價,　　　　　 預收貨款,　　 非流動負債,　　　 遞延所得稅負債,　　　　 遞延所得稅負債－所得稅,　　　　 遞延所得稅負債合計,　　　 非流動負債合計,　　　　 國外營運機構財務報表換算之兌換差額,　　　　　 國外營運機構財務報表換算之兌換差額合計,　　　　　 國外營運機構財務報表換算之兌換差額－採用權益法之子公司,　　　　 機器設備淨額,　　　　　 機器設備成本,　　　　　 累計折舊－機器設備,　　　　　 累計減損－機器設備,　　　　　 機器設備淨額,　　　　 電腦通訊設備淨額,　　　　　 電腦通訊設備成本,　　　　　 累計折舊－電腦通訊設備,　　　　　 電腦通訊設備淨額,　　　　 運輸設備淨額,　　　　　 運輸設備成本,　　　　　 累計折舊－運輸設備,　　　　　 運輸設備淨額,　　　　 辦公設備淨額,　　　　　 辦公設備成本,　　　　　 累計折舊－辦公設備,　　　　　 辦公設備淨額,　　　　 租賃改良淨額,　　　　　 租賃改良成本,　　　　　 累計折舊－租賃改良,　　　　　 租賃改良淨額,　　　　 應付股利,　　　 其他非流動負債,　　　　 其他非流動負債－其他,　　　　 其他非流動負債合計,　　　　 資本公積－發行溢價,　　　　　 資本公積－普通股股票溢價,　　　　　 資本公積－發行溢價合計,　　　　 資本公積－認股權,　　　　　 累積盈虧,　　　　　 本期損益
3661,2015年09月30日,,,,                    275,                687616,                687891,,                129076,,              1068184,                 10483,              1057701,,                 28794,                 28794,,,                365690,                365690,,                131035,                131035,,                328699,                 51338,                380037,              2780224,,,                804340,                804340,,                 32870,                 32870,,                375209,,                 87014,                 20276,,                              0,                 15779,,                    300,,                              0,                              0,                 16079,              1335788,              4116012,,,,,                697384,,                366612,                366612,,                209837,                 15443,,,                 83121,                  1902,                 85023,              1374299,              1374299,,,,                615678,                615678,,              1390679,,                 67693,,                518547,                586240,,                149116,                              0,              2741713,                              0,                              0,              2741713,              4116012,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2015年06月30日,,,,                    310,                710853,                711163,,                150901,,                697533,                 10393,                687140,,                 20624,                 20624,,,                334667,                334667,,                130949,                130949,,                308599,                 42726,                351325,              2386769,,,                793526,                793526,,                 30860,                 30860,,                397451,,                 94521,                 19802,,                              0,                 13260,,                    300,,                              0,                              0,                 13560,              1349720,              3736489,,,,,                657494,,                146082,                146082,,                250654,                 37697,,,                124252,                  1778,                126030,              1217957,              1217957,,,,                637668,                637668,,              1437833,,                 67693,,                468511,                536204,,                 20162,                113335,              2518532,                              0,                              0,              2518532,              3736489,              0,              0,      2199000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2015年03月31日,,,,                    314,              1143368,              1143682,,                156601,,                338722,                  6056,                332666,,                 11692,                 11692,,,                292131,                292131,,                251726,                251726,,                375599,                 20288,                395887,              2584385,,,                316931,                316931,,                 31300,                 31300,,                302641,,                137916,                 20085,,                163704,                 13523,,                    326,,                              0,                              0,                177553,                986426,              3570811,,,,,                323996,,                152858,                152858,,                215758,                 59174,,,                109620,                  1440,                111060,                862846,                862846,,,,                637668,                637668,,              1436727,,                 67693,,                492007,                559700,,                 77812,                  3942,              2707965,                              0,                              0,              2707965,              3570811,              0,              0,         60000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2014年12月31日,,,,                    207,              1356517,              1356724,,                118766,,                649213,                  6130,                643083,,                 17674,                 17674,,,                224229,                224229,,                235568,                235568,,                 63300,                 30157,                 93457,              2689501,,,                              0,                              0,,                              0,                              0,,                358202,,                179262,                 20312,,                 56970,                 14626,,                    329,,                              0,                              0,                 71925,                629701,              3319202,,,,,                              0,,                127881,                127881,,                230104,                 62369,,,                119223,                  1102,                120325,                540679,                540679,,,,                634818,                634818,,              1418141,,                 67693,,                547960,                615653,,                109911,                              0,              2778523,                              0,                              0,              2778523,              3319202,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2014年09月30日,,,,                    298,                596782,                597080,,                123114,,                622161,                 14912,                607249,,                  8181,                  8181,,,                382936,                382936,,                276129,                276129,,                 60840,                 22646,                 83486,              2078175,,,                              0,                              0,,                              0,                              0,,                398526,,                203563,                 13022,,                              0,                 14140,,                    307,,                              0,                              0,                 14447,                629558,              2707733,,,,,                              0,,                289480,                289480,,                228424,                 16943,,,                234944,                  1259,                236203,                771050,                771050,,,,                547848,                547848,,                779057,,                 67693,,                538065,                605758,,                  4020,                              0,              1936683,                              0,                              0,              1936683,              2707733,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2014年06月30日,,,,                    218,                704544,                704762,,                 72435,,                443192,                 12284,                430908,,                 10343,                 10343,,,                247652,                247652,,                150896,                150896,,                 59730,                 22227,                 81957,              1698953,,,                              0,                              0,,                              0,                              0,,                345348,,                226726,                 12784,,                113641,                 14327,,                    306,,                              0,                              0,                128274,                713132,              2412085,,,,,                              0,,                257536,                257536,,                235322,                 22038,,,                110779,                  1811,                112590,                627486,                627486,,,,                543108,                543108,,                749491,,                 67693,,                449436,                517129,,                -25129,                              0,              1784599,                              0,                              0,              1784599,              2412085,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2014年03月31日,,,,                    345,                542324,                542669,,                107188,,                413193,                 11590,                401603,,                 49102,                 49102,,,                205358,                205358,,                253976,                253976,,                 60940,                 13374,                 74314,              1634210,,,                              0,                              0,,                              0,                              0,,                286408,,                211249,                 13043,,                122630,                 14506,,                    306,,                              0,                              0,                137442,                648142,              2282352,,,,,                              0,,                154121,                154121,,                149348,                 18073,,,                198534,                  1948,                200482,                522024,                522024,,,,                541133,                541133,,                742647,,                 67693,,                399618,                467311,,                  9237,                              0,              1760328,                              0,                              0,              1760328,              2282352,              0,              0,              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2013年12月31日,,,,                    230,                556322,,,,,                481046,                 10608,                470438,,                 30439,                 30439,,,                 86492,                 86492,,                 72004,                 72004,,                 59610,                 20554,                 80164,              1344212,,,,,,,,,                327780,,                206642,                 12759,,                              0,                 13253,,                    306,,                              0,                              0,                 13559,                560740,,,,,,,                 83618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                556552,                 48123,              1904952,,,,                 83618,,                145265,                 18557,,,                              0,                  1310,                  1310,                248750,                248750,,,,                539473,                539473,,                731887,,                 67693,,                346520,                414213,,                -29371,              1656202,              1656202,,                  3875,                  3875,,                202767,                202767,                 44639,                 86670,                 13832,                    124,                  6387,                 87232,                 15567,                 22694,                              0,,,                              0,                              0,                              0,,                -29371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2013年09月30日,,,,                    333,                635255,,,,,                401946,                 10492,                391454,,                 32882,                 32882,,,                165349,                165349,,                 54475,                 54475,,                 59140,                 13361,                 72501,              1381819,,,,,,,,,                322474,,                163176,                 24730,,,                 13531,,                    306,,                              0,                              0,                 13837,                524217,,,,,,,                145556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                635588,                 29570,              1906036,,,,                145556,,                177248,                    458,,,                 31553,                  1662,                 33215,                356477,                356477,,,,                538713,                538713,,                732354,,                 67693,,                248575,                316268,,                -37776,              1549559,              1549559,,                  4444,                  4444,,                158732,                158732,                 15002,                 88337,                 73909,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3661,2013年06月30日,,,,                    220,                556933,,,,,                421994,                  5679,                416315,,                 28299,                 28299,,,                124613,                124613,,,                 67272,,                 60000,                  5833,                 65833,              1259485,,,,,,,,,                255499,,                151916,                 30951,,                              0,                 13671,,                    303,,,,                 13974,                452340,,,,,,,                153097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              0,              0,              0,                557153,                              0,              1711825,,,,                153097,,                 71494,                              0,,,                  3935,                  2793,                  6728,                231319,                231563,,,,                538713,                538713,,                732107,,                 67693,,                158182,                225875,,                -16433,              1480262,              1480262,,,,,,,,,,,                 23976,                119440,                 10344,                 29147,                  3935,,,                    244,                    244,                    244,,                -16433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
